"VBR","Player","Team","Positions","Opp","IP","K","W","SV","ERA","WHIP","ER","H","BB","HR","G","GS","L","CG","PTS","Rost%"
"1","Max Fried","ATL","SP","@BAL","6.20","5.83","0.39","0.00","3.33","1.27","2.30","6.02","1.64","0.61","0.00","0.00","0.26","0.00","14","98%"
"2","Zack Wheeler","PHI","SP","@BOS","5.99","6.26","0.42","0.00","4.00","1.31","2.67","6.04","1.57","0.60","0.00","0.00","0.28","0.00","14","99%"
"3","Paul Skenes","PIT","SP","@STL","5.21","5.96","0.33","0.00","3.19","1.15","1.85","4.17","1.68","0.50","0.00","0.00","0.27","0.00","13","93%"
"4","Zach Eflin","TB","SP","CHC","5.81","5.15","0.38","0.00","3.47","1.11","2.24","5.35","0.92","0.69","0.00","0.00","0.31","0.00","13","91%"
"5","Jesus Luzardo","MIA","SP","@NYM","5.48","5.80","0.28","0.00","3.49","1.19","2.12","4.48","1.84","0.66","0.00","0.00","0.33","0.00","12","85%"
"6","Yusei Kikuchi","TOR","SP","@MIL","5.48","5.67","0.33","0.00","4.05","1.29","2.46","5.05","1.82","0.84","0.00","0.00","0.29","0.00","12","61%"
"7","Ronel Blanco","HOU","SP,RP","@SF","5.67","5.54","0.32","0.00","4.19","1.41","2.64","5.27","2.51","0.70","0.00","0.00","0.31","0.00","11","84%"
"8","Louie Varland","MIN","SP,RP","COL","5.14","4.81","0.41","0.00","4.09","1.32","2.34","5.05","1.51","0.68","0.00","0.00","0.31","0.00","11","7%"
"9","Bryan Woo","SEA","SP","CWS","4.77","4.71","0.40","0.00","3.63","1.19","1.93","4.04","1.35","0.59","0.00","0.00","0.28","0.00","11","84%"
"10","Jordan Montgomery","ARI","SP","LAA","5.49","4.47","0.38","0.00","4.05","1.37","2.47","5.80","1.57","0.55","0.00","0.00","0.30","0.00","11","60%"
"11","Marcus Stroman","NYY","SP","@KC","5.54","4.47","0.35","0.00","4.65","1.51","2.86","6.27","1.88","0.55","0.00","0.00","0.31","0.00","10","79%"
"12","Kutter Crawford","BOS","SP,RP","PHI","5.65","5.36","0.26","0.00","4.74","1.38","2.97","5.82","1.77","0.83","0.00","0.00","0.34","0.00","10","73%"
"13","Tylor Megill","NYM","SP","MIA","5.18","4.81","0.34","0.00","4.05","1.34","2.33","4.84","1.88","0.67","0.00","0.00","0.34","0.00","10","24%"
"14","Brady Singer","KC","SP","NYY","5.39","4.79","0.28","0.00","4.48","1.44","2.68","5.79","1.62","0.59","0.00","0.00","0.33","0.00","10","81%"
"15","Jameson Taillon","CHC","SP","@TB","5.58","4.47","0.29","0.00","4.02","1.22","2.49","5.14","1.48","0.75","0.00","0.00","0.35","0.00","10","26%"
"16","Triston McKenzie","CLE","SP","@CIN","5.36","5.10","0.32","0.00","5.20","1.39","3.10","5.32","1.99","1.26","0.00","0.00","0.35","0.00","10","56%"
"17","James Paxton","LAD","SP","TEX","5.26","4.70","0.36","0.00","4.63","1.43","2.71","5.23","2.14","0.96","0.00","0.00","0.33","0.00","10","30%"
"18","Jordan Hicks","SF","SP,RP","HOU","4.98","4.83","0.29","0.00","3.86","1.42","2.13","4.59","2.18","0.41","0.00","0.00","0.31","0.00","10","71%"
"19","JP Sears","OAK","SP","@SD","5.41","4.57","0.26","0.00","4.00","1.30","2.41","5.06","1.69","0.84","0.00","0.00","0.38","0.00","10","13%"
"20","Mitchell Parker","WSH","SP","@DET","5.22","4.60","0.30","0.00","4.46","1.46","2.59","5.20","2.25","0.56","0.00","0.00","0.38","0.00","9","27%"
"21","Miles Mikolas","STL","SP","PIT","5.39","3.83","0.28","0.00","4.29","1.31","2.57","5.71","1.16","0.74","0.00","0.00","0.34","0.00","9","11%"
"22","Randy Vasquez","SD","SP,RP","OAK","4.88","4.07","0.34","0.00","4.09","1.37","2.22","4.63","1.77","0.63","0.00","0.00","0.31","0.00","9","3%"
"23","Dane Dunning","TEX","SP,RP","@LAD","4.92","4.46","0.24","0.00","3.98","1.36","2.18","4.63","1.79","0.74","0.00","0.00","0.32","0.00","9","19%"
"24","Kenta Maeda","DET","SP","WSH","4.75","4.35","0.28","0.00","4.47","1.31","2.36","4.66","1.37","0.67","0.00","0.00","0.34","0.00","9","14%"
"25","Albert Suarez","BAL","SP,RP","ATL","4.69","4.11","0.25","0.00","4.25","1.37","2.22","4.73","1.50","0.63","0.00","0.00","0.24","0.00","8","23%"
"26","Drew Thorpe","CWS","SP","@SEA","4.72","3.96","0.18","0.00","3.72","1.25","1.95","4.19","1.57","0.59","0.00","0.00","0.26","0.00","8","22%"
"27","Carlos Rodriguez","MIL","","TOR","4.61","4.02","0.26","0.00","4.77","1.42","2.44","4.36","1.90","0.77","0.00","0.00","0.23","0.00","8","0%"
"28","Cal Quantrill","COL","SP","@MIN","5.26","3.48","0.21","0.00","4.14","1.41","2.42","5.32","1.79","0.69","0.00","0.00","0.39","0.00","8","21%"
"29","Jose Suarez","LAA","SP,RP","@ARI","4.63","4.40","0.22","0.00","4.34","1.48","2.23","4.75","1.88","0.50","0.00","0.00","0.25","0.00","8","0%"
"30","Brent Suter","CIN","RP","CLE","4.61","3.79","0.26","0.00","4.82","1.48","2.47","5.03","1.61","0.81","0.00","0.00","0.26","0.00","7","0%"
"31","Camilo Doval","SF","RP","HOU","0.39","0.47","0.03","0.22","3.34","1.32","0.14","0.32","0.18","0.03","0.00","0.00","0.02","0.00","2","95%"
"32","Josh Hader","HOU","RP","@SF","0.37","0.54","0.03","0.20","2.81","1.15","0.12","0.25","0.15","0.03","0.00","0.00","0.02","0.00","2","97%"
"33","Emmanuel Clase","CLE","RP","@CIN","0.39","0.39","0.03","0.22","3.31","1.17","0.14","0.36","0.09","0.04","0.00","0.00","0.02","0.00","2","99%"
"34","Evan Phillips","LAD","RP","TEX","0.38","0.43","0.02","0.22","3.21","1.17","0.14","0.31","0.12","0.05","0.00","0.00","0.01","0.00","2","94%"
"35","Clay Holmes","NYY","RP","@KC","0.39","0.41","0.03","0.21","3.59","1.40","0.16","0.38","0.14","0.02","0.00","0.00","0.02","0.00","2","96%"
"36","Mason Miller","OAK","SP,RP","@SD","0.41","0.62","0.02","0.17","2.43","1.06","0.11","0.26","0.16","0.03","0.00","0.00","0.01","0.00","2","91%"
"37","Robert Suarez","SD","RP","OAK","0.41","0.44","0.03","0.19","3.49","1.22","0.16","0.33","0.15","0.05","0.00","0.00","0.02","0.00","2","92%"
"38","Raisel Iglesias","ATL","RP","@BAL","0.39","0.43","0.03","0.19","3.38","1.20","0.15","0.36","0.10","0.05","0.00","0.00","0.02","0.00","2","97%"
"39","Ryan Helsley","STL","RP","PIT","0.38","0.46","0.03","0.18","3.01","1.16","0.13","0.29","0.14","0.04","0.00","0.00","0.02","0.00","2","96%"
"40","Alexis Diaz","CIN","RP","CLE","0.39","0.45","0.03","0.19","4.34","1.43","0.19","0.32","0.20","0.06","0.00","0.00","0.02","0.00","2","91%"
"41","David Bednar","PIT","RP","@STL","0.39","0.45","0.02","0.19","3.24","1.19","0.14","0.32","0.12","0.04","0.00","0.00","0.02","0.00","2","90%"
"42","Andres Munoz","SEA","RP","CWS","0.37","0.50","0.03","0.16","2.70","1.12","0.11","0.26","0.13","0.03","0.00","0.00","0.02","0.00","2","94%"
"43","Paul Sewald","ARI","RP","LAA","0.36","0.42","0.02","0.19","3.74","1.28","0.15","0.31","0.13","0.04","0.00","0.00","0.02","0.00","2","89%"
"44","Kenley Jansen","BOS","RP","PHI","0.37","0.42","0.02","0.19","4.20","1.34","0.17","0.33","0.15","0.05","0.00","0.00","0.02","0.00","2","87%"
"45","Craig Kimbrel","BAL","RP","ATL","0.38","0.47","0.03","0.17","3.82","1.28","0.16","0.30","0.16","0.05","0.00","0.00","0.03","0.00","2","93%"
"46","Jhoan Duran","MIN","RP","COL","0.37","0.46","0.02","0.17","2.97","1.22","0.12","0.30","0.13","0.03","0.00","0.00","0.02","0.00","2","93%"
"47","Hector Neris","CHC","RP","@TB","0.40","0.42","0.02","0.17","3.55","1.26","0.16","0.31","0.17","0.04","0.00","0.00","0.02","0.00","2","67%"
"48","Tanner Scott","MIA","RP","@NYM","0.39","0.49","0.03","0.14","2.97","1.26","0.13","0.28","0.19","0.03","0.00","0.00","0.02","0.00","2","78%"
"49","Pete Fairbanks","TB","RP","CHC","0.36","0.46","0.02","0.15","3.01","1.17","0.12","0.26","0.14","0.03","0.00","0.00","0.02","0.00","2","83%"
"50","James McArthur","KC","RP","NYY","0.39","0.36","0.02","0.17","4.37","1.44","0.19","0.41","0.13","0.04","0.00","0.00","0.02","0.00","2","56%"
"51","Carlos Estevez","LAA","RP","@ARI","0.39","0.41","0.02","0.16","4.10","1.36","0.18","0.37","0.15","0.05","0.00","0.00","0.02","0.00","2","59%"
"52","Michael Kopech","CWS","SP,RP","@SEA","0.40","0.45","0.02","0.15","3.81","1.33","0.17","0.30","0.20","0.05","0.00","0.00","0.03","0.00","2","24%"
