Season,Name,Tm,G,PA,AB,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,playerId
2023,"Miguel Cabrera","DET",4,10,10,2,1,1,0,0,0,1,0,0,3,0,0,0,1,0,0,0.2,1744
2023,"Carlos Santana","PIT",5,11,11,6,3,3,0,0,2,1,0,0,2,0,0,0,0,0,0,0.54545455,2396
2023,"Nelson Cruz","SDP",5,19,18,6,3,2,0,1,2,8,0,0,5,1,0,0,0,0,0,0.33333333,2434
2023,"Tommy Pham","NYM",10,24,22,6,5,0,0,1,2,3,2,0,4,0,0,0,1,1,0,0.27272727,2967
2023,"Justin Turner","BOS",10,23,19,5,3,2,0,0,2,0,3,0,5,1,0,0,0,1,0,0.26315789,5235
2023,"Freddie Freeman","LAD",7,15,12,4,3,0,0,1,2,2,3,0,1,0,0,0,0,0,1,0.33333333,5361
2023,"Wilmer Flores","SFG",7,14,13,4,2,1,0,1,2,3,1,0,5,0,0,0,1,0,0,0.30769231,5827
2023,"Eduardo Escobar","NYM",10,23,23,3,2,1,0,0,1,1,0,0,7,0,0,0,0,0,0,0.13043478,6153
2023,"J.D. Martinez","LAD",8,13,9,2,1,1,0,0,0,1,2,0,4,1,1,0,0,0,0,0.22222222,6184
2023,"Salvador Perez","KCR",7,11,10,2,1,0,0,1,2,1,0,0,2,1,0,0,0,0,0,0.2,7304
2023,"Travis d'Arnaud","ATL",7,13,13,8,7,1,0,0,2,2,0,0,0,0,0,0,1,0,0,0.61538462,7739
2023,"Charlie Blackmon","COL",7,14,11,6,5,1,0,0,0,0,1,0,0,2,0,0,1,0,1,0.54545455,7859
2023,"Josh Harrison","PHI",6,14,14,3,3,0,0,0,1,0,0,0,5,0,0,0,1,0,0,0.21428571,8202
2023,"Elvis Andrus","CHW",6,10,9,1,1,0,0,0,1,0,1,0,1,0,0,0,0,1,0,0.11111111,8709
2023,"Paul Goldschmidt","STL",7,12,12,5,4,1,0,0,1,2,0,0,0,0,0,0,1,0,0,0.41666667,9218
2023,"Starling Marte","NYM",9,23,21,7,5,2,0,0,0,1,2,0,4,0,0,0,0,2,1,0.33333333,9241
2023,"Evan Longoria","ARI",6,13,11,4,2,1,0,1,3,1,2,0,3,0,0,0,1,0,0,0.36363636,9368
2023,"Nolan Arenado","STL",7,12,10,3,2,0,0,1,1,3,1,0,3,0,1,0,1,0,0,0.3,9777
2023,"Andrew McCutchen","PIT",5,11,9,1,0,1,0,0,2,0,2,0,3,0,0,0,0,0,0,0.11111111,9847
2023,"DJ LeMahieu","NYY",6,10,9,1,0,1,0,0,2,1,1,0,3,0,0,0,0,0,0,0.11111111,9874
2023,"Trayce Thompson","LAD",7,12,9,1,0,0,0,1,2,4,2,0,5,1,0,0,0,0,0,0.11111111,9952
2023,"Christian Bethancourt","TBR",4,10,8,2,1,0,0,1,3,1,2,0,2,0,0,0,0,0,0,0.25,10028
2023,"Wil Myers","CIN",6,13,13,3,3,0,0,0,2,2,0,0,3,0,0,0,0,0,0,0.23076923,10047
2023,"Mike Trout","LAA",5,13,12,5,3,1,0,1,3,2,1,0,2,0,0,0,0,0,0,0.41666667,10155
2023,"Enrique Hernandez","BOS",9,17,13,1,0,0,0,1,3,1,4,0,3,0,0,0,0,0,0,0.07692308,10472
2023,"Gio Urshela","LAA",6,13,13,5,4,1,0,0,1,1,0,0,3,0,0,0,1,0,0,0.38461538,10681
2023,"Jurickson Profar","COL",4,11,10,2,2,0,0,0,0,1,0,0,2,0,1,0,0,0,0,0.2,10815
2023,"Kevin Kiermaier","TOR",6,14,13,5,5,0,0,0,0,2,0,0,3,0,0,1,0,0,0,0.38461538,11038
2023,"Jonathan Schoop","DET",5,11,9,2,2,0,0,0,2,0,2,0,5,0,0,0,0,0,0,0.22222222,11265
2023,"Whit Merrifield","TOR",8,19,17,5,4,1,0,0,2,3,0,0,2,0,2,0,1,2,0,0.29411765,11281
2023,"Jesus Aguilar","OAK",7,14,11,5,4,0,0,1,1,4,1,0,2,0,1,0,0,0,0,0.45454545,11342
2023,"Mark Canha","NYM",11,27,22,6,4,1,0,1,3,3,3,0,6,1,1,0,1,1,0,0.27272727,11445
2023,"Christian Yelich","MIL",9,17,15,4,4,0,0,0,1,2,2,0,6,0,0,0,0,0,0,0.26666667,11477
2023,"Manny Machado","SDP",8,22,21,8,6,2,0,0,3,2,1,0,3,0,0,0,1,1,0,0.38095238,11493
2023,"Willson Contreras","STL",7,11,10,2,2,0,0,0,0,2,1,0,3,0,0,0,1,0,0,0.2,11609
2023,"Brandon Drury","LAA",5,12,11,1,1,0,0,0,0,0,1,0,4,0,0,0,0,0,0,0.09090909,11615
2023,"Elias Diaz","COL",6,12,8,1,1,0,0,0,2,0,4,0,1,0,0,0,1,0,0,0.125,11680
2023,"Nick Castellanos","PHI",8,17,13,5,5,0,0,0,5,2,4,0,5,0,0,0,0,0,0,0.38461538,11737
2023,"J.T. Realmuto","PHI",7,18,18,2,2,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0.11111111,11739
2023,"Jon Berti","MIA",7,10,8,2,2,0,0,0,2,0,2,0,3,0,0,0,0,0,0,0.25,12037
2023,"Nick Ahmed","ARI",7,15,15,6,5,1,0,0,2,1,0,0,2,0,0,0,0,1,0,0.4,12147
2023,"Xander Bogaerts","SDP",9,23,20,3,2,0,0,1,3,3,2,0,1,0,1,0,1,0,0,0.15,12161
2023,"Marcus Semien","TEX",6,13,13,4,4,0,0,0,0,1,0,0,4,0,0,0,0,1,1,0.30769231,12533
2023,"C.J. Cron","COL",10,17,17,4,4,0,0,0,0,1,0,0,6,0,0,0,1,0,0,0.23529412,12546
2023,"George Springer","TOR",8,22,20,4,3,0,0,1,4,2,2,0,3,0,0,0,0,2,0,0.2,12856
2023,"Francisco Lindor","NYM",10,27,23,6,2,2,0,2,5,5,3,0,8,1,0,0,1,0,0,0.26086957,12916
2023,"Brandon Nimmo","NYM",9,21,17,6,4,2,0,0,3,3,3,0,1,1,0,0,0,0,0,0.35294118,12927
2023,"Javier Baez","DET",5,14,12,1,1,0,0,0,1,0,2,0,5,0,0,0,1,0,0,0.08333333,12979
2023,"Josh Bell","CLE",4,11,7,0,0,0,0,0,1,0,4,1,3,0,0,0,0,0,1,0,13145
2023,"Orlando Arcia","ATL",7,12,10,5,2,1,0,2,5,4,2,0,3,0,0,0,1,0,0,0.5,13185
2023,"Max Muncy","LAD",7,11,8,1,0,0,0,1,2,1,2,0,3,1,0,0,0,0,0,0.125,13301
2023,"Christian Walker","ARI",6,12,11,4,2,0,0,2,2,4,1,0,2,0,0,0,1,0,0,0.36363636,13419
2023,"Jose Ramirez","CLE",7,17,15,4,2,2,0,0,1,2,2,1,2,0,0,0,0,0,0,0.26666667,13510
2023,"Mookie Betts","LAD",6,11,8,2,0,2,0,0,2,0,3,0,2,0,0,0,0,0,0,0.25,13611
2023,"Ketel Marte","ARI",6,16,14,5,2,3,0,0,4,0,1,0,1,1,0,0,0,0,0,0.35714286,13613
2023,"Jeimer Candelario","WSN",10,27,26,5,4,1,0,0,3,2,1,0,6,0,0,0,1,0,0,0.19230769,13621
2023,"Corey Seager","TEX",7,14,13,5,4,1,0,0,1,0,1,0,1,0,0,0,1,0,0,0.38461538,13624
2023,"Tomas Nido","NYM",8,13,12,0,0,0,0,0,0,1,0,0,6,0,1,0,0,0,0,0,13755
2023,"Rob Refsnyder","BOS",6,19,17,4,3,0,0,1,2,4,2,0,5,0,0,0,0,0,0,0.23529412,13770
2023,"Matt Olson","ATL",9,18,15,3,1,2,0,0,1,2,3,0,10,0,0,0,0,0,0,0.2,14344
2023,"Joey Meneses","WSN",9,28,27,7,4,3,0,0,3,0,1,0,4,0,0,0,2,0,0,0.25925926,14366
2023,"Harold Ramirez","TBR",7,13,12,5,2,1,0,2,2,5,0,0,1,1,0,0,0,0,0,0.41666667,14387
2023,"Anthony Santander","BAL",9,15,12,2,2,0,0,0,1,0,3,0,5,0,0,0,0,0,0,0.16666667,14551
2023,"Manuel Margot","TBR",7,13,11,3,2,0,0,1,4,3,1,0,5,0,1,0,0,1,0,0.27272727,14712
2023,"Luke Voit","MIL",5,10,10,1,1,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0.1,14811
2023,"Mike Yastrzemski","SFG",6,10,10,2,2,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0.2,14854
2023,"Tony Kemp","OAK",7,11,8,2,1,1,0,0,1,1,3,0,2,0,0,0,0,0,0,0.25,14894
2023,"Ryan McMahon","COL",10,15,14,3,1,1,0,1,2,1,1,0,7,0,0,0,3,0,0,0.21428571,15112
2023,"Tim Anderson","CHW",5,10,10,5,3,2,0,0,3,2,0,0,1,0,0,0,0,2,0,0.5,15172
2023,"Adam Frazier","BAL",6,12,10,2,2,0,0,0,2,0,2,0,0,0,0,0,1,0,0,0.2,15223
