NAME	TEAM	OPP	PROP	SZN AVG	% OVER	L3 % OVER	LAST GAMES ➡️	LAST YR % OVER	DK	FD
Ezekiel Elliott	DAL	TEN	ATTD	0.8	69%	100%	1,1,1,1,1,2,2,1,0,0,1,0,0	47%	-180	-155
Austin Ekeler	LAC	LAR	ATTD	1.1	67%	100%	2,1,1,0,1,1,0,2,2,1,2,3,0,0,0	81%	-155	-145
Jahan Dotson	WSH	CLE	ATTD	0.7	60%	100%	1,1,1,0,0,0,1,0,1,2	0%	'+220	'+250
Christian Mccaffrey	SF	LV	ATTD	0.7	60%	100%	1,1,2,1,0,0,1,2,0,0,1,1,0,0,1	29%	-170	-165
James Conner	ARI	ATL	ATTD	0.7	58%	100%	1,1,1,1,1,2,0,0,0,0,0,1	73%	-110	-110
Tee Higgins	CIN	BUF	ATTD	0.5	54%	100%	1,1,1,1,0,0,1,0,0,1,0,1,0	36%	'+140	0
Mecole Hardman	KC	DEN	ATTD	0.8	50%	100%	1,3,1,0,0,0,0,1	12%	0	0
Dawson Knox	BUF	CIN	ATTD	0.4	36%	100%	1,1,1,0,0,0,0,0,1,1,0,0,0,0	47%	'+225	0
Aj Dillon	GB	MIN	ATTD	0.4	33%	100%	1,2,1,1,0,0,0,0,0,0,0,0,0,0,1	29%	'+105	'+125
Jerick Mckinnon	KC	DEN	ATTD	0.5	33%	100%	1,2,2,1,0,0,0,0,0,0,0,0,0,1,0	14%	'+140	'+165
Saquon Barkley	NYG	IND	ATTD	0.7	67%	67%	1,1,0,1,1,0,1,1,0,1,1,0,1,0,1	23%	-140	-160
Dalvin Cook	MIN	GB	ATTD	0.7	60%	67%	0,1,1,1,0,0,1,1,1,1,2,0,1,0,0	38%	-125	-115
Jamarr Chase	CIN	BUF	ATTD	0.7	55%	67%	0,1,1,0,2,2,0,0,1,0,1	53%	-110	0
Justin Jefferson	MIN	GB	ATTD	0.6	53%	67%	1,1,0,1,1,0,1,1,0,0,0,1,0,0,2	53%	-110	'+105
Tyler Lockett	SEA	NYJ	ATTD	0.6	50%	67%	0,1,1,1,1,1,1,0,0,2,0,0,0,0	38%	'+170	'+210
Najee Harris	PIT	BAL	ATTD	0.5	47%	67%	0,1,1,0,1,2,0,0,0,1,0,0,1,0,1	53%	'+135	'+150
Isaiah Hodgins	NYG	IND	ATTD	0.4	43%	67%	1,0,1,1,0,0,0	0%	'+205	'+300
Taysom Hill	NO	PHI	ATTD	0.6	43%	67%	1,0,1,0,0,0,0,0,1,0,3,1,0,1	25%	'+205	'+280
Josh Allen	BUF	CIN	ATTD	0.5	40%	67%	1,0,1,0,1,0,0,2,0,0,0,1,0,0,1	29%	'+130	0
Devonta Smith	PHI	NO	ATTD	0.5	40%	67%	2,0,1,1,0,0,1,0,0,1,0,0,1,0,0	24%	'+125	'+170
Marlon Mack	DEN	KC	ATTD	0.4	40%	67%	0,1,1,0,0	0%	'+1000	'+800
Dj Moore	CAR	TB	ATTD	0.4	40%	67%	1,1,0,1,0,0,0,1,1,0,0,0,0,1,0	18%	0	'+230
Jaylen Waddle	MIA	NE	ATTD	0.5	40%	67%	1,1,0,0,0,0,1,2,0,0,0,0,0,2,1	38%	'+160	'+210
Tyreek Hill	MIA	NE	ATTD	0.5	40%	67%	0,1,1,1,0,1,1,0,0,0,0,0,0,2,0	35%	'+155	'+145
Trenton Irwin	CIN	BUF	ATTD	0.5	38%	67%	2,0,1,0,0,1,0,0	0%	'+450	0
