EV (AVG)	EV (365)	Game	Player	IN	FD	AVG	bet365	DK	MGM	CZ	Kambi
-3.3		TOR @ NYM	Juan Soto		'420		'350/-500	'340	'360/-500	'333	
-6.2		TB @ TEX	Adolis Garcia		'450		'375/-550	'370	'400/-525	'350	
-6.4		MIA @ ATL	Matt Olson		'350		'310/-425	'300	'320/-400	'280	
-6.6		MIA @ ATL	Marcell Ozuna		'310		'280/-380	'265	'290/-375	'260	
-7.9		TOR @ NYM	Brandon Nimmo		'560		'450/-700	'450	'475/-700	'400	
-8.2		MIA @ ATL	Matt Mervis		'630		'500/-800	'475	'525/-750	'400	
-8.6		CIN @ MIL	Elly De La Cruz		'370		'375/-550	'370	'375/-525	'350	
-9.5		TB @ TEX	Corey Seager		'280		'350/-500	'330	'350/-450	'300	
-9.7		MIA @ ATL	Griffin Conine		'630		'500/-800	'550	'525/-750	'400	
-9.9		ATH @ COL	Brent Rooker		'360		'475/-750	'400	'500/-700	'375	
-10.3		TB @ TEX	Danny Jansen		'680		'525/-850	'550	'575/-800	'500	
-11.4		TOR @ NYM	Vladimir Guerrero		'430		'550/-900	'550	'600/-900	'400	
-11.4		ATH @ COL	Michael Toglia		'450		'400/-600	'380		'360	
-11.5		TOR @ NYM	Francisco Lindor		'470		'425/-650	'425	'450/-625	'375	
-11.7		SEA @ SF	Randy Arozarena		'630		'525/-850	'550	'550/-800	'450	
-12.0		CLE @ LAA	Mike Trout		'330		'375/-550	'400	'400/-525	'333	
-12.3		CLE @ LAA	Jose Ramirez		'320		'450/-700	'475	'475/-650	'375	
-12.6		TB @ TEX	Kameron Misner		'900		'700/-1200	'700	'700/-1100	'600	
-12.6		MIA @ ATL	Michael Harris		'500		'450/-700	'425	'450/-650	'380	
-12.7		MIA @ ATL	Austin Riley		'350		'350/-500	'330	'375/-500	'320	
-12.7		ATH @ COL	Brenton Doyle		'600		'500/-800	'500	'525/-750	'400	
-13.1		SEA @ SF	Matt Chapman		'480		'425/-650	'400	'450/-625	'400	
-13.5		MIA @ ATL	Jarred Kelenic		'560		'475/-750	'500	'500/-700	'400	
-14.3		CIN @ MIL	Jeimer Candelario		'600		'500/-800	'550	'550/-800	'480	
-14.7		MIA @ ATL	Kyle Stowers		'630		'550/-900	'500	'575/-800	'480	
-15.0		TB @ TEX	Brandon Lowe		'500		'500/-800	'500	'525/-750	'400	
-15.0		CIN @ MIL	Christian Encarnacion Strand		'450		'400/-600	'400	'425/-600	'375	
-15.1		TB @ TEX	Jonathan Aranda		'630		'525/-850	'550	'550/-800	'450	
-15.3		TOR @ NYM	Anthony Santander		'400		'425/-650	'400	'450/-625	'375	
-15.5		TB @ TEX	Joc Pederson		'360		'400/-600	'400	'425/-600	'350	
-15.5		TB @ TEX	Jake Burger		'400		'400/-600	'400	'425/-600	'350	
-15.5		ATH @ COL	Hunter Goodman		'400		'400/-600	'400	'425/-600	'380	
-16.0		CIN @ MIL	Christian Yelich		'560			'500	'525/-750	'400	
-16.9		CIN @ MIL	Matt Mclain		'500		'450/-700	'500	'475/-650	'400	
-16.9		CLE @ LAA	Jorge Soler		'420		'400/-600	'425	'425/-600	'360	
-17.1		TOR @ NYM	Pete Alonso		'450		'425/-650	'425	'450/-625	'380	
-17.2		ATH @ COL	Shea Langeliers		'440		'500/-800	'475	'525/-750	'400	
-17.5		TB @ TEX	Wyatt Langford		'430		'450/-700	'450	'475/-650	'375	
-17.6		MIA @ ATL	Ozzie Albies		'600		'550/-900	'500	'575/-800	'450	
-17.6		CLE @ LAA	Jo Adell		'520		'475/-750	'475	'500/-700	'400	
-17.6		CLE @ LAA	Kyle Manzardo		'440		'500/-800	'500	'525/-750	'400	
-18.1		SEA @ SF	Willy Adames		'450		'450/-700	'450	'475/-650	'400	
-18.2		SEA @ SF	Cal Raleigh		'450		'475/-750	'475	'500/-700	'400	
-18.5		CIN @ MIL	William Contreras		'520		'550/-900	'550	'575/-800	'450	
-18.6		ATH @ COL	Lawrence Butler		'470		'475/-750	'450	'500/-700	'400	
-19.3		CIN @ MIL	Rhys Hoskins		'460		'450/-700	'450	'475/-650	'400	
-19.4		MIA @ ATL	Bryan De La Cruz		'560		'525/-850	'500	'525/-750	'400	
-19.5		CLE @ LAA	Taylor Ward		'470		'525/-850	'500	'550/-800	'400	
-19.8		ATH @ COL	Ezequiel Tovar		'470		'525/-850	'500		'400	
-20.0		ATH @ COL	Jj Bleday		'540		'500/-800	'500	'525/-750	'400	
-20.2		ATH @ COL	Tyler Soderstrom		'520		'525/-850	'500	'550/-800	'450	
-21.4		TB @ TEX	Kyle Higashioka		'400			'600	'625/-1000	'400	
-21.5		CLE @ LAA	Logan Ohoppe		'520		'500/-800	'500	'525/-750	'400	
-21.7		SEA @ SF	Julio Rodriguez		'500		'600/-1000	'550	'600/-900	'450	
-22.0		TOR @ NYM	Mark Vientos		'520		'550/-900	'550	'575/-900	'450	
-22.1		MIA @ ATL	Otto Lopez		'800		'700/-1200	'650	'700/-1100	'550	
-22.5		CIN @ MIL	Gavin Lux		'750		'650/-1100	'700	'675/-1100	'550	
-22.8		CIN @ MIL	Jackson Chourio		'520		'550/-900	'550	'575/-900	'450	
-23.9		TB @ TEX	Yandy Diaz		'630		'650/-1100	'650	'675/-1100	'500	
-24.0		TB @ TEX	Junior Caminero		'600		'600/-1000	'600	'600/-900	'480	
-24.1		CLE @ LAA	Bo Naylor		'540		'600/-1000	'650	'625/-1000	'500	
-24.4		TB @ TEX	Marcus Semien		'500		'600/-1000	'550	'600/-900	'400	
-24.8		SEA @ SF	Heliot Ramos		'560		'750/-1400	'750	'775/-1400	'550	
-25.2		CIN @ MIL	Tj Friedl		'630		'650/-1100	'700	'675/-1100	'550	
-25.4		MIA @ ATL	Graham Pauley		'700		'650/-1100	'600	'675/-1100	'500	
-25.4		ATH @ COL	Kris Bryant		'630		'600/-1000	'600	'625/-1000	'480	
-26.1		CLE @ LAA	Carlos Santana		'520		'550/-900	'550		'450	
-26.4		SEA @ SF	Dylan Moore		'870		'750/-1400	'900	'800/-1400	'650	
-26.7		TB @ TEX	Jonah Heim		'630		'700/-1200	'700	'700/-1100	'500	
-26.7		SEA @ SF	Mitch Garver		'600		'600/-1000	'600	'625/-1000	'500	
-26.9		ATH @ COL	Sean Bouchard		'630		'650/-1100	'650	'675/-1100	'500	
-27.2		MIA @ ATL	Dane Myers		'750		'750/-1400	'700	'750/-1200	'550	
-27.3		SEA @ SF	Mike Yastrzemski		'680		'750/-1400	'750	'750/-1200	'550	
-27.6		TOR @ NYM	George Springer		'630		'700/-1200	'700	'750/-1200	'550	
-28.8		TOR @ NYM	Bo Bichette		'870		'850/-1600	'900	'875/-1600	'600	
-28.8		CIN @ MIL	Garrett Mitchell		'750		'850/-1600	'950	'825/-1600	'650	
-28.9		CLE @ LAA	Nolan Jones		'560		'850/-1600	'900	'850/-1600		
-29.2		ATH @ COL	Kyle Farmer		'750		'700/-1200	'700		'550	
-29.4		ATH @ COL	Jordan Beck		'830		'750/-1400	'750	'775/-1400	'550	
-29.5		CIN @ MIL	Santiago Espinal		'700		'950/-2000	'1100	'1000/-2000	'700	
-29.5		CLE @ LAA	Lane Thomas		'560		'750/-1400	'800	'775/-1400	'550	
-31.0		ATH @ COL	Ryan Mcmahon		'750		'750/-1400	'750	'775/-1400	'550	
-31.0		CLE @ LAA	Steven Kwan		'1000		'1200/-3000	'1400	'1300/-3000	'750	
-31.1		CIN @ MIL	Jose Trevino		'1000		'950/-2000	'1100	'1000/-2000	'750	
-31.3		CIN @ MIL	Oliver Dunn		'870		'850/-1600	'950	'900/-1600	'650	
-31.3		MIA @ ATL	Jonah Bride		'800		'750/-1400	'750	'775/-1400	'550	
-31.6		SEA @ SF	Lamonte Wade		'630		'850/-1600	'850	'850/-1600	'600	
-31.7		TOR @ NYM	Jose Siri		'680		'950/-2000	'1100	'1000/-2000	'600	
-32.9		TB @ TEX	Jose Caballero		'1060			'1000	'1000/-2000	'700	
-32.9		SEA @ SF	Tyler Fitzgerald		'800		'1000/-2200	'1200	'1100/-2500	'650	
-33.1		TB @ TEX	Josh Smith		'800		'750/-1400	'800		'550	
-33.6		TB @ TEX	Leody Taveras		'750		'900/-1800	'900	'900/-2000	'550	
-33.6		MIA @ ATL	Drake Baldwin		'750		'850/-1600	'850	'875/-1600	'650	
-33.7		TOR @ NYM	Alejandro Kirk		'830		'850/-1600	'850	'875/-1600	'600	
-33.9		CIN @ MIL	Jake Fraley		'900		'850/-1600	'900	'875/-1600	'650	
-34.1		TB @ TEX	Taylor Walls		'1060		'1000/-2200	'1200	'1100/-2500	'700	
-34.1		TOR @ NYM	Brett Baty		'900		'850/-1600	'800		'650	
-34.3		TOR @ NYM	Jesse Winker		'870		'850/-1600	'850	'900/-1600	'650	
-34.4		CLE @ LAA	Brayan Rocchio		'1060		'1200/-3000	'1500	'1300/-3000	'750	
-35.7		CLE @ LAA	Nolan Schanuel		'830		'900/-1800	'950	'950/-2000	'650	
-35.8		TOR @ NYM	Alan Roden		'900		'900/-1800	'1000	'950/-2000		
-35.9		TB @ TEX	Curtis Mead		'900			'1000	'1000/-2000	'700	
-35.9		CLE @ LAA	Gabriel Arias		'680		'900/-1800	'950		'600	
-36.1		SEA @ SF	Donovan Solano		'900		'900/-1800	'1000	'950/-2000	'650	
-36.4		CLE @ LAA	Kyren Paris		'900			'1200	'1050/-2500	'700	
-36.6		TOR @ NYM	Will Wagner		'900		'900/-1800	'1000	'950/-2000	'700	
-36.9		TOR @ NYM	Luis Torrens		'1000		'1100/-2500	'1300	'1200/-3000	'650	
-37.3		CIN @ MIL	Spencer Steer		'600						
-37.3		MIA @ ATL	Eric Wagaman		'+600			'+600			
-37.3		CLE @ LAA	Yoan Moncada		'600						
-37.7		SEA @ SF	Victor Robles		'900		'1000/-2200	'1100	'1050/-2500	'600	
-37.9		ATH @ COL	Max Muncy					'1000	'950/-2000		
-38.0		TB @ TEX	Jonny Deluca		'870		'1000/-2200	'1100	'1050/-2500	'650	
-38.5		TOR @ NYM	Andres Gimenez		'1060		'1000/-2200	'1100	'1050/-2500	'650	
-39.3		TB @ TEX	Christopher Morel		'630						
-39.3		SEA @ SF	Jorge Polanco		'630						
-41.1		CIN @ MIL	Joey Ortiz		'870			'1100	'1100/-2500	'700	
-41.2		MIA @ ATL	Nick Fortes		'1100		'1100/-2500	'1200	'1150/-3000	'700	
-41.2		SEA @ SF	Patrick Bailey		'870		'1100/-2500	'1100	'1100/-2500	'650	
-41.3		TOR @ NYM	Nathan Lukes				'1100/-2500	'1200	'1150/-3000	'700	
-41.3		ATH @ COL	Miguel Andujar		'900			'1100	'1050/-2500	'750	
-41.6		SEA @ SF	Jung Hoo Lee		'900		'1100/-2500	'1100	'1100/-2500	'700	
-41.8		SEA @ SF	Ryan Bliss				'1100/-2500	'1100	'1100/-2500	'700	
-41.9		CIN @ MIL	Brice Turang		'900		'1200/-3000	'1300	'1250/-3000	'800	
-42.3		ATH @ COL	Gio Urshela		'1100			'1300	'1250/-3000	'800	
-43.9		SEA @ SF	Wilmer Flores		'800			'1200	'1150/-3000	'650	
-44.2		MIA @ ATL	Xavier Edwards		'1100		'1200/-3000	'1200	'1250/-3000	'750	
-48.7		TB @ TEX	Jake Mangum		'900		'1300/-3500	'1500	'1400/-5000	'800	
-50.8		SEA @ SF	Jp Crawford		'900		'1400/-4000	'1500	'1450/-5000	'650	
-53.0		MIA @ ATL	Derek Hill		'+750			'+950			
-58.7		TOR @ NYM	Ernie Clement		'900						
