Player	ECR / ADP	PASS_YD	PASS_TD	INT	RUSH_ATT	RUSH_YD	RUSH_TD	REC	REC_YD	REC_TD	Points
Josh Allen	3.01 / 2.11	3823.3	27.2	13.0	-	510.2	9.2	-	-	-	341.95
Patrick Mahomes	3.11 / 3.06	4312.9	33.2	10.1	-	376.5	1.8	-	-	-	333.57
Jalen Hurts	3.06 / 3.08	3611.9	22.1	11.0	-	567.9	9.9	-	-	-	327.07
Lamar Jackson	4.01 / 4.02	3324.4	22.9	8.5	-	721.3	5.1	-	-	-	310.31
Dak Prescott	6.08 / 7.02	4102.9	29.5	10.3	-	221.7	2.0	-	-	-	295.69
Cj Stroud	5.08 / 4.11	4210.5	27.6	9.7	-	183.8	2.4	-	-	-	292.2
Joe Burrow	6.06 / 6.03	4056.2	28.0	10.2	-	191.2	2.1	-	-	-	285.57
Anthony Richardson	5.05 / 5.03	3208.4	17.9	10.1	-	546.6	7.6	-	-	-	280.0
Jordan Love	6.12 / 7.03	3870.1	27.6	10.8	-	200.5	2.4	-	-	-	278.05
Brock Purdy	8.01 / 8.07	3913.5	27.8	9.9	-	161.9	1.9	-	-	-	275.53
Kyler Murray	5.10 / 6.05	3484.1	20.4	10.4	-	476.9	4.6	-	-	-	275.45
Trevor Lawrence	9.05 / 10.12	3809.3	21.9	12.5	-	306.4	3.5	-	-	-	266.61
Caleb Williams	8.07 / 9.01	3537.5	23.2	12.1	-	363.4	3.3	-	-	-	266.24
Kirk Cousins	10.06 / 12.02	3877.9	27.0	9.2	-	99.7	1.4	-	-	-	263.09
Justin Herbert	10.08 / 11.04	3675.8	22.8	9.7	-	263.5	2.7	-	-	-	261.38
Christian Mccaffrey	1.01 / 1.01	-	-	-	272.3	1156.0	10.8	63.9	511.6	4.8	260.36
Jared Goff	9.04 / 9.08	4058.5	26.6	10.5	-	54.0	1.1	-	-	-	259.74
Jayden Daniels	7.09 / 8.11	3162.4	17.9	12.9	-	542.5	5.2	-	-	-	257.75
Aaron Rodgers	11.11 / 12.01	3677.8	26.2	8.0	-	107.5	1.3	-	-	-	254.46
Tua Tagovailoa	9.01 / 9.09	4078.3	25.2	11.2	-	88.7	0.6	-	-	-	254.0
Deshaun Watson	12.06 / 15.02	3358.5	19.4	10.8	-	385.1	3.2	-	-	-	248.05
Baker Mayfield	12.12 / 13.04	3614.5	23.5	11.6	-	171.0	1.4	-	-	-	240.88
Matthew Stafford	10.11 / 12.11	3906.5	23.4	11.2	-	67.8	0.6	-	-	-	237.84
Geno Smith	12.05 / 16.04	3504.7	21.4	11.7	-	204.0	1.7	-	-	-	232.99
Daniel Jones	14.12 / 19.03	2796.6	16.0	9.2	-	469.1	3.5	-	-	-	225.37
Breece Hall	1.04 / 1.04	-	-	-	249.4	1040.3	7.6	63.1	510.3	3.8	223.46
Will Levis	13.07 / 14.10	3453.5	19.5	12.5	-	185.3	2.2	-	-	-	222.87
Sam Darnold	15.05 / 19.08	3518.4	20.0	13.9	-	173.2	2.1	-	-	-	222.86
Bijan Robinson	1.06 / 1.05	-	-	-	243.9	1012.3	6.8	65.5	534.1	4.3	221.24
Bo Nix	16.01 / 15.01	3094.3	18.7	12.3	-	281.0	2.4	-	-	-	216.47
Derek Carr	15.03 / 19.02	3456.6	22.1	11.3	-	71.1	0.5	-	-	-	214.17
Bryce Young	15.04 / 18.10	3243.2	18.3	11.0	-	235.4	1.2	-	-	-	211.67
Jonathan Taylor	1.11 / 1.10	-	-	-	283.5	1081.9	9.3	37.3	279.0	1.6	201.49
Russell Wilson	17.07 / 16.02	2675.6	16.4	8.9	-	297.3	2.6	-	-	-	200.15
Saquon Barkley	2.01 / 1.11	-	-	-	269.1	1031.0	7.3	44.2	322.3	3.0	197.13
