PLAYER	PASS_YD	PASS_TD	INT	RUSH_YD	RUSH_TD	POINTS
Patrick Mahomes	4837.1	37.2	12.0	365.4	3.2	374.02
Josh Allen	4295.0	32.3	13.9	605.9	6.5	372.79
Jalen Hurts	3707.2	22.9	9.5	757.0	10.4	358.99
Joe Burrow	4568.1	34.0	13.2	255.6	3.5	338.88
Lamar Jackson	3523.3	23.8	10.9	846.6	5.5	331.99
Justin Herbert	4546.4	30.6	12.1	197.8	2.0	311.84
Justin Fields	3000.3	19.0	12.3	897.2	6.8	301.93
Deshaun Watson	3754.2	25.2	11.4	470.4	4.2	300.41
Trevor Lawrence	4125.0	27.3	12.2	287.7	3.5	299.57
Dak Prescott	4089.5	27.8	13.3	262.8	2.8	291.26
Kirk Cousins	4382.6	29.8	12.8	97.0	1.2	285.8
Aaron Rodgers	4019.5	28.4	9.3	131.2	1.9	280.3
Geno Smith	3927.8	27.3	11.9	252.6	2.0	279.77
Russell Wilson	3799.8	24.7	11.0	295.5	2.9	275.74
Daniel Jones	3360.5	18.7	10.1	581.2	4.6	274.74
Tua Tagovailoa	4002.9	27.3	11.6	114.8	1.6	267.2
Jared Goff	4097.4	26.7	12.4	65.3	1.0	258.43
Anthony Richardson	2837.3	17.6	13.1	627.4	4.8	249.23
Jordan Love	3437.4	21.9	13.0	271.9	3.1	244.89
Kenny Pickett	3417.5	18.5	12.9	355.1	3.3	240.21
Derek Carr	3789.9	23.7	12.2	92.6	1.0	237.26
Bryce Young	3476.2	21.2	13.6	264.8	2.3	236.93
Matthew Stafford	3879.5	24.5	13.9	68.5	0.5	235.23
Sam Howell	3472.2	20.1	13.1	236.7	2.4	231.16
Jimmy Garoppolo	3702.7	23.7	13.6	44.9	1.2	227.4
Kyler Murray	3029.7	16.9	10.4	393.1	3.0	225.3
Ryan Tannehill	3280.5	19.5	11.1	177.7	2.2	217.99
Cj Stroud	3229.0	18.7	13.8	252.2	2.4	215.98
Mac Jones	3371.6	20.3	13.6	139.4	1.1	209.4
Baker Mayfield	3349.6	18.6	13.2	128.7	2.2	208.05
Desmond Ridder	2788.4	16.4	12.1	222.2	2.2	188.36
Brock Purdy	2405.0	16.8	7.3	92.3	1.8	168.83
Kyle Trask	1375.3	6.0	6.5	50.5	0.2	72.26
Trey Lance	901.8	4.6	3.5	127.1	1.2	67.38
Colt Mccoy	1179.4	4.5	4.6	58.7	0.5	64.85
Jacoby Brissett	862.7	4.0	2.8	58.0	0.4	53.11
Brian Hoyer	742.6	4.0	4.0	32.5	0.2	42.15
Will Levis	673.9	3.1	3.1	45.9	0.4	40.15
Taylor Heinicke	561.5	3.0	2.7	43.5	0.5	36.41
Gardner Minshew	515.1	2.5	1.7	30.9	0.1	30.89
Bailey Zappe	598.8	2.4	3.6	22.4	0.1	29.19
Clayton Tune	643.4	1.1	3.9	43.4	0.3	28.48
Tyrod Taylor	285.9	2.0	1.3	59.2	0.2	23.96
Tyler Huntley	323.0	1.4	1.4	62.9	0.2	23.21
Mitch Trubisky	366.6	1.6	1.7	26.1	0.2	21.47
Sam Darnold	366.9	1.6	2.1	26.8	0.2	20.76
Jarrett Stidham	341.5	2.2	2.1	10.8	0.1	19.94
Brett Rypien	494.1	2.0	5.7	27.2	0.1	19.68
Sean Clifford	374.3	1.6	2.6	20.0	0.2	19.37
Easton Stick	286.9	1.8	1.5	10.4	0.3	18.52
Nick Mullens	339.9	1.9	2.1	8.8	0.1	18.48
Jameis Winston	321.6	1.5	1.4	9.4	0.2	18.2
Teddy Bridgewater	366.3	1.2	1.7	14.7	0.1	18.12
Blaine Gabbert	337.6	1.7	2.6	21.2	0.1	17.82
Hendon Hooker	573.8	0.0	5.4	43.1	0.2	17.66
Stetson Bennett	356.1	1.1	1.7	18.2	0.1	17.66
Trevor Siemian	347.6	1.7	2.7	17.3	0.1	17.63
Joshua Dobbs	337.1	1.5	2.6	27.2	0.1	17.6
Mike White	314.8	1.5	1.9	11.2	0.1	16.51
Drew Lock	318.1	1.6	2.7	16.1	0.1	15.93
Pj Walker	369.6	1.5	4.0	21.6	0.1	15.54
Cj Beathard	314.1	1.5	2.9	19.6	0.1	15.32
Cooper Rush	274.3	1.5	1.3	5.0	0.0	14.87
Davis Mills	283.9	1.0	2.1	16.8	0.2	14.04
Kyle Allen	387.2	1.2	5.1	25.3	0.2	13.82
Marcus Mariota	173.9	0.9	0.7	26.3	0.2	12.99
Andy Dalton	221.7	1.1	1.2	8.6	0.1	12.33
Dorian Thompson Robinson	317.1	0.5	2.7	23.3	0.1	12.21
David Blough	298.8	1.3	3.8	21.6	0.0	11.71
Aidan Oconnell	281.4	0.5	2.1	16.9	0.1	11.35
Matt Barkley	214.7	1.0	1.2	4.7	0.1	11.26
Max Duggan	144.0	1.0	0.0	3.0	0.0	10.06
Jaren Hall	141.0	1.0	0.0	3.0	0.0	9.94
Malik Willis	296.3	0.5	3.3	21.5	0.0	9.4
Tanner Mckee	120.0	1.0	0.0	6.0	0.0	9.4
Jake Haener	117.0	1.0	0.0	4.0	0.0	9.08
Zach Wilson	245.0	0.5	2.6	7.4	0.2	8.54
Case Keenum	225.4	0.3	1.3	0.6	0.0	7.68
Skylar Thompson	243.7	0.7	4.0	20.4	0.0	6.59
Matt Corral	197.3	0.1	2.6	19.2	0.1	5.61
Nate Sudfeld	26.3	0.1	0.1	1.7	0.0	1.42
Tommy Devito	23.1	0.1	0.1	0.1	0.0	1.13
Shane Buechele	16.8	0.1	0.1	0.1	0.0	0.88
Mason Rudolph	15.7	0.1	0.1	0.0	0.0	0.83
Will Grier	9.4	0.0	0.1	0.0	0.0	0.18
Josh Johnson	0.0	0.0	0.0	0.0	0.0	0.0
