Player	AVG	draftkings	fanduel	cz	bet365	kambi	mgm	fpros	yahoo
Patrick Mahomes	33.4	34.5	32.5	33.5	33.5	32.5	34.5	32.7	-
Dak Prescott	29.5	30.5	28.5	29.5	29.5	29.5	28.5	30.8	-
Joe Burrow	28.0	28.5	27.5	27.5	27.5	27.5	27.5	30.2	-
Brock Purdy	27.8	28.5	28.5	26.5	27.5	-	26.5	29.6	-
Cj Stroud	27.6	28.5	27.5	26.5	26.5	26.5	28.5	29.4	-
Jordan Love	27.6	27.5	27.5	26.5	27.5	27.5	27.5	29.4	-
Josh Allen	27.2	27.5	27.5	26.5	26.5	-	27.5	27.8	-
Kirk Cousins	27.0	27.5	26.5	26.5	27.5	26.5	27.5	27.0	-
Jared Goff	26.6	25.5	26.5	25.5	26.5	27.5	-	28.1	-
Aaron Rodgers	26.2	26.5	25.5	27.5	25.5	25.5	26.5	26.2	-
Tua Tagovailoa	25.2	25.5	25.5	23.5	24.5	24.5	25.5	27.3	-
Baker Mayfield	23.5	23.5	22.5	23.5	23.5	22.5	23.5	25.7	-
Matthew Stafford	23.4	22.5	23.5	22.5	23.5	22.5	22.5	26.8	-
Caleb Williams	23.2	23.5	22.5	21.5	23.5	22.5	23.5	25.3	-
Lamar Jackson	22.9	22.5	22.5	22.5	22.5	22.5	22.5	25.0	-
Justin Herbert	22.8	-	21.5	-	22.5	-	-	24.5	-
Derek Carr	22.2	21.5	21.5	23.5	22.5	20.5	21.5	24.5	-
Jalen Hurts	22.1	22.5	21.5	21.5	21.5	21.5	21.5	24.4	-
Trevor Lawrence	21.9	22.5	21.5	21.5	21.5	20.5	21.5	24.3	-
Geno Smith	21.4	-	20.5	21.5	20.5	20.5	-	24.1	-
Kyler Murray	20.3	21.5	20.5	19.5	19.5	18.5	20.5	21.8	-
Sam Darnold	20.2	19.5	20.5	18.5	20.5	-	-	22.0	-
Deshaun Watson	19.4	19.5	18.5	18.5	18.5	-	18.5	22.9	-
Will Levis	19.4	20.5	18.5	17.5	18.5	19.5	19.5	22.1	-
Bo Nix	18.7	18.5	-	-	18.5	-	-	19.0	-
Bryce Young	18.3	18.5	17.5	18.5	18.5	17.5	18.5	19.2	-
Anthony Richardson	17.9	18.5	17.5	17.5	17.5	16.5	17.5	20.0	-
Jayden Daniels	17.9	18.5	16.5	17.5	16.5	17.5	18.5	20.2	-
Gardner Minshew	17.7	18.5	-	-	18.5	-	-	16.0	-
Russell Wilson	16.3	-	-	14.5	16.5	-	-	18.0	-
Daniel Jones	16.0	16.5	14.5	-	16.5	-	-	16.6	-
Drake Maye	14.0	-	-	-	-	-	-	14.0	-
Aidan Oconnell	6.4	-	-	-	-	-	-	6.4	-
Jacoby Brissett	5.8	-	-	-	-	-	-	5.8	-
Justin Fields	4.4	-	-	-	-	-	-	4.4	-
Drew Lock	3.3	-	-	-	-	-	-	3.3	-
Sam Howell	3.1	-	-	-	-	-	-	3.1	-
Nick Mullens	2.5	-	-	-	-	-	-	2.5	-
Michael Penix	2.5	-	-	-	-	-	-	2.5	-
Jarrett Stidham	2.4	-	-	-	-	-	-	2.4	-
Jake Browning	2.4	-	-	-	-	-	-	2.4	-
Case Keenum	2.3	-	-	-	-	-	-	2.3	-
Sean Clifford	2.2	-	-	-	-	-	-	2.2	-
Jameis Winston	2.1	-	-	-	-	-	-	2.1	-
Jimmy Garoppolo	2.1	-	-	-	-	-	-	2.1	-
Carson Wentz	2.1	-	-	-	-	-	-	2.1	-
Mitchell Trubisky	2.0	-	-	-	-	-	-	2.0	-
Cooper Rush	2.0	-	-	-	-	-	-	2.0	-
Josh Johnson	1.9	-	-	-	-	-	-	1.9	-
Hendon Hooker	1.9	-	-	-	-	-	-	1.9	-
Mason Rudolph	1.9	-	-	-	-	-	-	1.9	-
Tyrod Taylor	1.9	-	-	-	-	-	-	1.9	-
Joshua Dobbs	1.8	-	-	-	-	-	-	1.8	-
Joe Flacco	1.8	-	-	-	-	-	-	1.8	-
Tyson Bagent	1.7	-	-	-	-	-	-	1.7	-
Easton Stick	1.7	-	-	-	-	-	-	1.7	-
Kyle Trask	1.7	-	-	-	-	-	-	1.7	-
Mac Jones	1.6	-	-	-	-	-	-	1.6	-
Kenny Pickett	1.6	-	-	-	-	-	-	1.6	-
Desmond Ridder	1.6	-	-	-	-	-	-	1.6	-
Spencer Rattler	1.6	-	-	-	-	-	-	1.6	-
Marcus Mariota	1.5	-	-	-	-	-	-	1.5	-
Andy Dalton	1.5	-	-	-	-	-	-	1.5	-
Mike White	1.5	-	-	-	-	-	-	1.5	-
Tyler Huntley	1.0	-	-	-	-	-	-	1.0	-
Zach Wilson	1.0	-	-	-	-	-	-	1.0	-
Jaren Hall	1.0	-	-	-	-	-	-	1.0	-
Bailey Zappe	1.0	-	-	-	-	-	-	1.0	-
Malik Willis	1.0	-	-	-	-	-	-	1.0	-
Tommy Devito	1.0	-	-	-	-	-	-	1.0	-
Davis Mills	1.0	-	-	-	-	-	-	1.0	-
Cj Beathard	1.0	-	-	-	-	-	-	1.0	-
Trey Lance	1.0	-	-	-	-	-	-	1.0	-
Kyle Allen	1.0	-	-	-	-	-	-	1.0	-
Jordan Travis	1.0	-	-	-	-	-	-	1.0	-
Skylar Thompson	1.0	-	-	-	-	-	-	1.0	-
Taylor Heinicke	1.0	-	-	-	-	-	-	1.0	-
Clayton Tune	1.0	-	-	-	-	-	-	1.0	-
Michael Pratt	1.0	-	-	-	-	-	-	1.0	-
Joe Milton	1.0	-	-	-	-	-	-	1.0	-
Stetson Bennett	1.0	-	-	-	-	-	-	1.0	-
Carter Bradley	1.0	-	-	-	-	-	-	1.0	-
Sam Hartman	1.0	-	-	-	-	-	-	1.0	-
Tanner Mckee	1.0	-	-	-	-	-	-	1.0	-
Sam Ehlinger	1.0	-	-	-	-	-	-	1.0	-
Taysom Hill	0.0	-	-	-	-	-	-	0.0	-
Dorian Thompson Robinson	0.0	-	-	-	-	-	-	0.0	-
Devin Leary	0.0	-	-	-	-	-	-	0.0	-
