Player	AVG	draftkings	fanduel	cz	bet365	kambi	mgm	fpros	yahoo
Lamar Jackson	719.7	675.5	725.5	700.5	750.5	700.5	685.5	-	-
Jalen Hurts	568.3	550.5	550.5	525.5	600.5	575.5	550.5	-	-
Anthony Richardson	546.3	550.5	525.5	525.5	525.5	525.5	525.5	-	-
Jayden Daniels	532.6	550.5	525.5	525.5	500.5	525.5	525.5	-	-
Josh Allen	511.1	480.5	500.5	500.5	550.5	-	485.5	-	-
Kyler Murray	475.5	475.5	475.5	440.5	475.5	450.5	480.5	-	-
Daniel Jones	469.3	-	-	-	-	-	-	-	-
Deshaun Watson	382.9	-	-	-	-	-	-	-	-
Patrick Mahomes	376.6	-	-	-	-	-	-	-	-
Taysom Hill	366.5	-	-	-	-	-	-	-	-
Caleb Williams	325.6	-	-	-	-	-	-	-	-
Trevor Lawrence	306.5	-	-	-	-	-	-	-	-
Russell Wilson	302.7	-	-	-	-	-	-	-	-
Bo Nix	270.4	-	-	-	-	-	-	-	-
Justin Herbert	263.0	-	-	-	-	-	-	-	-
Bryce Young	237.2	-	-	-	-	-	-	-	-
Drake Maye	233.4	-	-	-	-	-	-	-	-
Dak Prescott	221.1	-	-	-	-	-	-	-	-
Justin Fields	214.3	-	-	-	-	-	-	-	-
Geno Smith	203.8	-	-	-	-	-	-	-	-
Jordan Love	200.6	-	-	-	-	-	-	-	-
Joe Burrow	191.5	-	-	-	-	-	-	-	-
Will Levis	185.1	-	-	-	-	-	-	-	-
Cj Stroud	183.9	-	-	-	-	-	-	-	-
Jj Mccarthy	173.8	-	-	-	-	-	-	-	-
Baker Mayfield	171.3	-	-	-	-	-	-	-	-
Brock Purdy	161.7	-	-	-	-	-	-	-	-
Aaron Rodgers	109.8	-	-	-	-	-	-	-	-
Gardner Minshew	100.7	-	-	-	-	-	-	-	-
Kirk Cousins	99.5	-	-	-	-	-	-	-	-
Tua Tagovailoa	88.8	-	-	-	-	-	-	-	-
Derek Carr	71.2	-	-	-	-	-	-	-	-
Matthew Stafford	66.2	-	-	-	-	-	-	-	-
Sam Darnold	65.9	-	-	-	-	-	-	-	-
Jacoby Brissett	60.6	-	-	-	-	-	-	-	-
Jared Goff	55.6	-	-	-	-	-	-	-	-
Aidan Oconnell	49.3	-	-	-	-	-	-	-	-
Sam Howell	39.0	-	-	-	-	-	-	-	-
Josh Johnson	37.0	-	-	-	-	-	-	-	-
Jarrett Stidham	36.1	-	-	-	-	-	-	-	-
Marcus Mariota	30.8	-	-	-	-	-	-	-	-
Joshua Dobbs	27.8	-	-	-	-	-	-	-	-
Jaren Hall	26.0	-	-	-	-	-	-	-	-
Malik Willis	26.0	-	-	-	-	-	-	-	-
Hendon Hooker	25.9	-	-	-	-	-	-	-	-
Mitchell Trubisky	25.8	-	-	-	-	-	-	-	-
Drew Lock	25.0	-	-	-	-	-	-	-	-
Tyson Bagent	24.1	-	-	-	-	-	-	-	-
Easton Stick	24.1	-	-	-	-	-	-	-	-
Tyler Huntley	24.0	-	-	-	-	-	-	-	-
Jake Browning	23.8	-	-	-	-	-	-	-	-
Tyrod Taylor	23.5	-	-	-	-	-	-	-	-
Jameis Winston	21.5	-	-	-	-	-	-	-	-
Kenny Pickett	21.5	-	-	-	-	-	-	-	-
Michael Penix	21.0	-	-	-	-	-	-	-	-
Skylar Thompson	20.0	-	-	-	-	-	-	-	-
Desmond Ridder	19.9	-	-	-	-	-	-	-	-
Carson Wentz	19.4	-	-	-	-	-	-	-	-
Mac Jones	19.0	-	-	-	-	-	-	-	-
Trey Lance	18.5	-	-	-	-	-	-	-	-
Sean Clifford	17.8	-	-	-	-	-	-	-	-
Zach Wilson	17.0	-	-	-	-	-	-	-	-
Tommy Devito	17.0	-	-	-	-	-	-	-	-
Joe Milton	17.0	-	-	-	-	-	-	-	-
Andy Dalton	16.7	-	-	-	-	-	-	-	-
Bailey Zappe	15.0	-	-	-	-	-	-	-	-
Cj Beathard	15.0	-	-	-	-	-	-	-	-
Spencer Rattler	14.1	-	-	-	-	-	-	-	-
Taylor Heinicke	14.0	-	-	-	-	-	-	-	-
Mason Rudolph	13.5	-	-	-	-	-	-	-	-
Kyle Trask	13.5	-	-	-	-	-	-	-	-
Davis Mills	13.5	-	-	-	-	-	-	-	-
Joe Flacco	13.3	-	-	-	-	-	-	-	-
Kyle Allen	13.0	-	-	-	-	-	-	-	-
Stetson Bennett	13.0	-	-	-	-	-	-	-	-
Dorian Thompson Robinson	13.0	-	-	-	-	-	-	-	-
Case Keenum	12.1	-	-	-	-	-	-	-	-
Cooper Rush	11.0	-	-	-	-	-	-	-	-
Jimmy Garoppolo	10.6	-	-	-	-	-	-	-	-
Jordan Travis	10.0	-	-	-	-	-	-	-	-
Michael Pratt	10.0	-	-	-	-	-	-	-	-
Nathan Rourke	10.0	-	-	-	-	-	-	-	-
Nick Mullens	9.0	-	-	-	-	-	-	-	-
Mike White	8.5	-	-	-	-	-	-	-	-
Tanner Mckee	8.0	-	-	-	-	-	-	-	-
Sam Ehlinger	8.0	-	-	-	-	-	-	-	-
Clayton Tune	7.0	-	-	-	-	-	-	-	-
Carter Bradley	7.0	-	-	-	-	-	-	-	-
Sam Hartman	7.0	-	-	-	-	-	-	-	-
Devin Leary	0.0	-	-	-	-	-	-	-	-
