PLAYER	ECR / ADP	RUSH_ATT	RUSH_YD	RUSH_TD	REC	REC_YD	REC_TD	POINTS
Christian Mccaffrey	1.02 / 1.02	222.2	924.1	7.3	73.3	610.1	4.1	258.47
Austin Ekeler	1.04 / 1.04	193.6	799.6	8.4	81.7	585.1	4.0	253.72
Saquon Barkley	1.09 / 1.09	268.4	1063.7	7.8	53.4	393.1	2.0	231.18
Bijan Robinson	1.07 / 1.08	257.5	1119.3	8.5	43.1	338.5	1.6	227.93
Tony Pollard	1.11 / 2.02	223.4	1037.6	7.9	48.5	378.0	2.2	226.41
Derrick Henry	2.04 / 2.04	304.0	1193.8	9.8	28.1	233.6	0.9	220.99
Nick Chubb	1.08 / 1.10	281.7	1266.7	9.2	25.2	202.8	0.9	220.15
Josh Jacobs	2.06 / 2.05	271.6	1078.7	9.1	39.8	314.8	0.9	219.25
Aaron Jones	3.11 / 4.01	203.2	873.8	5.4	47.6	353.4	2.4	193.32
Najee Harris	3.06 / 2.12	259.4	941.3	6.9	39.5	276.1	1.6	192.49
Travis Etienne	3.08 / 3.02	229.8	954.9	6.4	40.0	312.2	1.1	191.71
Breece Hall	4.07 / 4.07	216.4	880.3	6.2	43.0	353.8	1.6	191.71
Joe Mixon	2.10 / 3.07	220.6	852.9	6.8	44.9	338.7	1.5	191.41
Rhamondre Stevenson	2.11 / 3.04	225.6	899.0	5.8	47.5	337.4	1.2	189.39
Jahmyr Gibbs	3.07 / 3.08	175.5	683.7	5.9	54.0	418.9	2.7	188.86
*Javonte Williams	6.10 / 6.02	203.7	911.3	6.3	37.6	270.0	1.4	183.13
*Kenneth Walker	4.04 / 4.04	221.9	1011.0	7.8	24.9	178.3	0.8	182.98
Alexander Mattison	4.11 / 5.04	202.5	848.1	6.7	35.2	255.5	1.4	176.56
James Conner	6.01 / 5.10	245.7	785.2	6.5	40.2	302.2	1.1	174.44
*Jonathan Taylor	6.11 / 4.02	205.9	944.9	6.5	26.4	197.3	0.8	171.22
Dameon Pierce	4.06 / 4.06	261.1	928.6	5.5	30.7	215.2	1.0	168.73
Miles Sanders	4.09 / 5.02	232.3	930.5	5.9	28.2	205.1	0.9	168.46
Jk Dobbins	5.02 / 4.12	207.2	858.0	6.8	23.6	174.2	1.2	163.02
Rachaad White	6.03 / 6.10	203.9	728.3	4.8	42.1	306.8	1.4	161.76
David Montgomery	6.08 / 7.04	192.2	749.4	6.5	30.5	239.8	1.1	159.77
Cam Akers	5.06 / 5.08	241.3	833.3	6.2	26.5	201.9	0.8	158.77
Alvin Kamara	6.12 / 6.11	160.3	629.0	3.4	45.1	383.9	2.0	156.24
Isiah Pacheco	7.07 / 7.01	203.5	825.3	6.1	23.7	189.2	0.8	154.7
James Cook	6.05 / 6.06	195.3	766.8	4.6	32.3	246.4	1.3	152.87
Dandre Swift	7.10 / 7.02	128.7	531.5	4.3	47.5	364.0	2.0	151.1
Aj Dillon	8.07 / 8.05	185.0	704.7	6.2	27.6	207.8	0.9	147.65
Dalvin Cook	7.09 / 6.08	194.2	693.2	5.1	30.7	230.8	1.1	144.95
Brian Robinson	8.05 / 8.11	213.6	778.6	5.9	20.7	141.8	0.9	143.19
Khalil Herbert	7.12 / 8.03	187.7	757.6	5.2	24.2	175.3	1.0	142.59
*Antonio Gibson	8.03 / 8.07	121.7	498.5	3.2	47.8	357.4	2.0	140.69
*Jamaal Williams	10.01 / 9.02	169.8	740.8	6.1	19.4	144.3	0.8	139.61
Raheem Mostert	10.05 / 11.06	155.2	710.9	4.8	25.4	181.9	1.1	137.38
*Zach Charbonnet	9.06 / 9.08	151.3	667.6	4.5	24.0	188.3	0.9	129.99
*Devon Achane	11.06 / 11.07	138.9	610.2	4.1	28.8	235.5	1.0	129.57
Samaje Perine	9.05 / 10.01	139.9	579.7	3.8	32.6	250.3	1.2	129.3
Rashaad Penny	10.09 / 9.10	162.9	663.6	5.9	13.7	102.2	0.7	123.03
*Elijah Mitchell	11.04 / 11.05	158.2	733.2	5.0	13.9	100.7	0.3	122.14
Damien Harris	10.10 / 10.10	147.5	619.1	5.2	16.5	117.3	0.6	116.69
Jerick Mckinnon	10.07 / 11.02	54.1	223.3	1.9	46.9	382.2	3.3	115.2
Tyler Allgeier	11.08 / 13.01	156.6	635.5	4.2	15.2	113.2	0.8	112.47
*Donta Foreman	14.11 / 14.01	148.5	686.0	4.2	11.0	84.2	0.1	108.32
*Devin Singletary	13.02 / 13.08	125.2	513.0	3.2	23.8	174.3	0.6	103.43
*Chuba Hubbard	14.05 / 14.12	117.6	516.3	3.5	19.1	154.3	0.7	101.81
*Tank Bigsby	11.11 / 12.06	113.5	465.4	3.9	20.9	156.8	0.9	101.47
Ezekiel Elliott	12.02 / 11.01	130.8	445.5	4.4	17.4	127.7	0.8	97.22
*Jaylen Warren	10.11 / 11.09	101.7	444.7	2.6	25.4	200.7	0.7	97.04
*Zack Moss	 / 	100.7	485.2	3.2	13.7	100.9	0.2	85.86
*Gus Edwards	14.09 / 17.03	113.5	543.0	3.3	8.0	62.7	0.1	84.97
*Ty Chandler	 / 	105.5	411.1	2.9	16.1	129.0	0.9	84.86
*Kenneth Gainwell	12.03 / 12.11	77.4	342.9	2.9	21.1	159.2	0.8	82.96
*Kyren Williams	19.07 / 21.12	87.2	352.1	2.0	23.0	178.2	0.9	81.93
*Clyde Edwards Helaire	15.09 / 15.12	79.2	348.7	2.8	17.4	138.3	1.1	80.8
*Kendre Miller	13.10 / 14.11	82.3	349.2	2.5	15.3	126.7	0.8	75.04
*Jeff Wilson	14.04 / 16.01	86.8	365.1	2.5	14.6	114.0	0.8	75.01
*Jerome Ford	15.07 / 20.10	93.2	379.2	2.3	13.8	115.1	0.7	74.33
*Cordarrelle Patterson	17.09 / 16.04	74.6	318.4	2.4	16.9	134.1	0.9	73.5
*Chase Brown	 / 	73.2	316.6	2.3	15.8	129.3	0.8	71.09
*Tyjae Spears	15.02 / 17.09	86.0	347.5	1.9	16.3	127.0	0.6	70.6
*Michael Carter	 / 	71.1	285.4	1.5	19.9	159.6	1.1	70.05
*Joshua Kelley	17.07 / 20.02	89.9	368.1	2.5	12.8	98.8	0.1	68.69
*Roschon Johnson	13.07 / 14.03	83.1	320.2	2.3	11.8	102.5	0.7	66.17
*Latavius Murray	 / 	73.2	326.1	2.4	13.2	95.2	0.1	63.73
*Deuce Vaughn	 / 	61.7	268.1	1.8	16.7	130.2	0.7	63.18
*Deon Jackson	 / 	68.9	264.4	1.8	17.6	122.9	0.7	62.53
*Keaontay Ingram	 / 	79.5	316.1	1.8	12.8	90.4	0.6	61.45
*Chase Edmonds	 / 	59.9	255.3	1.4	16.8	127.6	1.0	61.09
*Chris Evans	 / 	35.4	144.4	0.8	26.6	194.7	1.4	60.41
*Evan Hull	 / 	61.8	245.8	1.5	15.5	125.9	0.8	58.72
*Rico Dowdle	 / 	66.9	273.2	1.7	9.7	74.8	0.2	51.05
*Matt Breida	 / 	56.5	249.4	1.2	12.2	95.2	0.2	48.96
*Sean Tucker	 / 	61.0	238.7	1.2	11.2	82.5	0.6	48.52
*Zamir White	16.02 / 17.04	68.8	272.5	2.0	6.5	38.0	0.1	46.9
*Pierre Strong	 / 	53.5	239.7	1.4	10.2	79.6	0.2	46.63
*Eric Gray	 / 	64.8	248.8	1.4	8.7	68.8	0.1	45.11
*Jamycal Hasty	 / 	38.0	171.9	1.2	15.2	110.9	0.2	44.28
*Zach Evans	 / 	53.7	208.3	1.2	8.9	81.2	0.4	43.0
*Isaiah Spiller	 / 	59.0	242.9	1.5	7.0	55.8	0.1	42.97
*Trayveon Williams	 / 	58.4	224.9	0.9	10.2	72.4	0.3	42.03
*Craig Reynolds	 / 	35.9	154.3	1.0	14.1	97.1	0.4	40.59
*Jordan Mason	 / 	51.1	242.8	1.4	4.5	39.9	0.1	39.52
*Jaleel Mclaughlin	 / 	43.6	183.9	1.3	10.4	60.2	0.3	39.21
*Ameer Abdullah	 / 	27.8	95.6	0.4	18.8	137.6	0.6	38.72
*Raheem Blackshear	 / 	34.4	128.2	1.3	12.9	91.2	0.3	37.99
*Keshawn Vaughn	 / 	53.1	209.7	1.3	6.9	43.8	0.2	37.8
