Player	Prop	AVG	draftkings	fanduel	cz	bet365	kambi	mgm	fpros	yahoo
Christian Mccaffrey
292.55 FPTS	rush_att	273.0	-	-	-	-	-	-	273.0	-
1.01 ADP	rush_yd	1156.1	o1150.5 -110/-110	o1100.5 -112/-112	o1150.5 -115/-115	o1125.5 -110/-110	o1150.5 -112/-112	o1125.5 -110/-110	1290.0	-
	rush_td	10.8	o10.5 -120/+100	o10.5 -108/-118	o11.5 100/-130	o10.5 -130/+100	o10.5 -124/100	o10.5 -105/-115	11.6	-
	rec	63.9	o62.5 -110/-110	o60.5 -108/-118	-	o62.5 -110/-110	-	-	69.9	-
	rec_yd	513.9	o500.5 -110/-110	-	o500.5 -115/-115	o500.5 -110/-110	-	o500.5 -110/-110	567.4	-
	rec_td	4.8	o5.5 +125/-150	o4.5 -118/-108	o3.5 -170/135	-	-	o5.5 125/-150	4.8	-

Breece Hall
253.89 FPTS	rush_att	249.3	-	-	-	-	-	-	249.3	-
1.05 ADP	rush_yd	1029.4	o1050.5 -110/-110	o1025.5 -112/-112	o1000.5 -115/-115	o1025.5 -110/-110	o975.5 -124/100	o1000.5 -115/-105	1128.0	-
	rush_td	7.6	o7.5 -110/-110	o7.5 -102/-124	o7.5 -115/-115	o7.5 +100/-130	o7.5 -105/-118	o7.5 -105/-115	8.1	-
	rec	63.1	-	-	-	-	o59.5 -112/-112	-	66.8	-
	rec_yd	510.0	-	-	o500.5 -115/-115	-	o500.5 -112/-112	-	529.0	-
	rec_td	3.8	-	-	-	-	-	-	3.8	-

Bijan Robinson
253.78 FPTS	rush_att	240.6	-	-	-	-	-	-	240.6	-
1.04 ADP	rush_yd	1007.0	o1000.5 -110/-110	o1000.5 -112/-112	o1020.5 -115/-115	o1000.5 -110/-110	o950.5 -124/100	o975.5 -115/-105	1100.7	-
	rush_td	6.8	o6.5 -130/+110	o6.5 -128/+100	o7.5 -105/-125	o6.5 -115/-105	o6.5 -112/-112	o6.5 -130/110	7.3	-
	rec	65.7	-	-	-	-	-	-	65.7	-
	rec_yd	536.3	-	-	-	-	-	-	536.3	-
	rec_td	4.3	-	-	-	-	-	-	4.3	-

Jahmyr Gibbs
224.03 FPTS	rush_att	202.6	-	-	-	-	-	-	202.6	-
1.12 ADP	rush_yd	941.3	-	-	-	-	-	-	941.3	-
	rush_td	8.4	-	-	-	-	-	-	8.4	-
	rec	54.6	-	-	-	-	-	-	54.6	-
	rec_yd	390.0	-	-	-	-	-	-	390.0	-
	rec_td	2.2	-	-	-	-	-	-	2.2	-

Saquon Barkley
221.83 FPTS	rush_att	269.4	-	-	-	-	-	-	269.4	-
1.11 ADP	rush_yd	1031.8	o1000.5 -110/-110	o1000.5 -112/-112	o1025.5 -115/-115	o1025.5 -115/-105	o1025.5 110/-136	o1005.5 -110/-110	1139.3	-
	rush_td	7.4	o7.5 +110/-135	o6.5 -130/+102	o8.5 135/-165	o6.5 -140/+110	o7.5 103/-127	o6.5 -140/115	9.1	-
	rec	44.8	-	o40.5 -112/-112	-	-	-	-	49.0	-
	rec_yd	338.5	-	-	o325.5 -115/-115	-	-	-	351.5	-
	rec_td	3.0	-	-	-	-	-	-	3.0	-

Jonathan Taylor
219.7 FPTS	rush_att	283.3	-	-	-	-	-	-	283.3	-
1.10 ADP	rush_yd	1078.1	o1075.5 -110/-110	o1050.5 -112/-112	o1025.5 -115/-115	o1025.5 -110/-110	o1075.5 100/-124	o1025.5 -115/-105	1269.0	-
	rush_td	9.3	o8.5 -115/-115	o8.5 -108/-118	o9.5 120/-150	o9.5 -110/-110	o9.5 100/-141	o9.5 105/-125	10.1	-
	rec	37.2	-	-	-	-	-	-	37.2	-
	rec_yd	278.9	-	-	-	-	-	-	278.9	-
	rec_td	1.6	-	-	-	-	-	-	1.6	-

Kyren Williams
208.67 FPTS	rush_att	254.4	-	-	-	-	-	-	254.4	-
2.03 ADP	rush_yd	990.0	-	o950.5 -112/-112	o950.5 -115/-115	o950.5 -110/-110	o950.5 -129/104	-	1147.8	-
	rush_td	9.0	-	o8.5 -108/-118	o9.5 120/-150	o8.5 -115/-105	o8.5 -129/104	-	10.2	-
	rec	35.5	-	-	-	-	-	-	35.5	-
	rec_yd	259.2	-	-	-	-	-	-	259.2	-
	rec_td	2.0	-	-	-	-	-	-	2.0	-

Travis Etienne
202.94 FPTS	rush_att	250.0	-	-	-	-	-	-	250.0	-
2.06 ADP	rush_yd	931.0	o925.5 -110/-110	o900.5 -118/-108	o900.5 -115/-115	o900.5 -110/-110	o950.5 107/-132	o915.5 -115/-105	1024.2	-
