Player	AVG	draftkings	fanduel	caesars	bet365	fantasypros	yahoo
Christian Mccaffrey	0	-	-	-	-	74.8	76.5
Austin Ekeler	0	-	-	-	-	77.5	91.2
Derrick Henry	0	-	-	-	-	31.8	25.5
Nick Chubb	0	-	-	-	-	27.3	23.2
Bijan Robinson	0	-	-	-	-	41.5	45.8
Josh Jacobs	0	-	-	-	-	39.8	43.6
Tony Pollard	0	-	-	-	-	45.4	53.5
Saquon Barkley	0	-	-	-	-	52.3	56.5
Jonathan Taylor	0	-	-	-	-	32.4	40.7
Joe Mixon	0	-	-	-	-	50.0	41.9
Rhamondre Stevenson	0	-	-	-	-	55.3	45.7
Aaron Jones	0	-	-	-	-	49.8	47.9
Breece Hall	0	-	-	-	-	41.4	50.8
Najee Harris	0	-	-	-	-	39.5	43
Travis Etienne	0	-	-	-	-	34.2	45.8
Kenneth Walker	0	-	-	-	-	27.7	25.8
Alexander Mattison	0	-	-	-	-	34.4	38.3
James Conner	0	-	-	-	-	41.5	41.8
Dameon Pierce	0	-	-	-	-	32.7	29.8
Jahmyr Gibbs	0	-	-	-	-	44.3	68.1
Miles Sanders	0	-	-	-	-	29.8	28.4
Cam Akers	0	-	-	-	-	25.0	30.7
Isiah Pacheco	0	-	-	-	-	25.1	24.4
Jk Dobbins	0	-	-	-	-	23.0	23.7
Rachaad White	0	-	-	-	-	47.1	37.8
David Montgomery	0	-	-	-	-	33.6	30.5
Javonte Williams	0	-	-	-	-	37.5	40.7
James Cook	0	-	-	-	-	35.0	30.7
Alvin Kamara	0	-	-	-	-	42.3	51
Aj Dillon	0	-	-	-	-	25.9	31.8
Brian Robinson	0	-	-	-	-	16.2	26.4
Dandre Swift	0	-	-	-	-	40.8	58.9
Khalil Herbert	0	-	-	-	-	18.6	29
Samaje Perine	0	-	-	-	-	28.5	38.2
Antonio Gibson	0	-	-	-	-	43.4	55.2
Jeff Wilson	0	-	-	-	-	22.7	22.1
Rashaad Penny	0	-	-	-	-	8.3	20.1
Jamaal Williams	0	-	-	-	-	14.3	23.3
Elijah Mitchell	0	-	-	-	-	13.1	15.7
Raheem Mostert	0	-	-	-	-	23.7	22.6
Tyler Allgeier	0	-	-	-	-	11.5	19.7
Donta Foreman	0	-	-	-	-	6.9	16.3
Damien Harris	0	-	-	-	-	17.1	15.7
Zach Charbonnet	0	-	-	-	-	20.0	25.7
Devin Singletary	0	-	-	-	-	24.3	26.6
Chuba Hubbard	0	-	-	-	-	17.4	22.1
Jaylen Warren	0	-	-	-	-	23.6	27.4
Devon Achane	0	-	-	-	-	21.6	37.5
Kenneth Gainwell	0	-	-	-	-	22.1	20.9
Jerick Mckinnon	0	-	-	-	-	38.5	56.1
Gus Edwards	0	-	-	-	-	6.7	9.9
Tank Bigsby	0	-	-	-	-	17.9	23.2
Chase Edmonds	0	-	-	-	-	22.2	14.7
Roschon Johnson	0	-	-	-	-	8.9	15
Cordarrelle Patterson	0	-	-	-	-	19.2	15.6
Joshua Kelley	0	-	-	-	-	13.6	11.2
Clyde Edwards Helaire	0	-	-	-	-	13.2	20.8
Tyjae Spears	0	-	-	-	-	15.3	15.5
Zonovan Knight	0	-	-	-	-	16.1	7.2
Michael Carter	0	-	-	-	-	22.0	29.6
Kendre Miller	0	-	-	-	-	12.8	13.1
Chase Brown	0	-	-	-	-	18.0	17.2
Ronald Jones	0	-	-	-	-	5.4	9.8
Kyren Williams	0	-	-	-	-	16.2	27.3
Jerome Ford	0	-	-	-	-	10.9	18
Ty Chandler	0	-	-	-	-	12.5	5.9
Pierre Strong	0	-	-	-	-	10.2	12.5
Keaontay Ingram	0	-	-	-	-	13.6	-
Israel Abanikanda	0	-	-	-	-	11.5	9.1
Latavius Murray	0	-	-	-	-	10.3	17.2
Matt Breida	0	-	-	-	-	12.9	9.3
Isaiah Spiller	0	-	-	-	-	9.5	6.7
Zamir White	0	-	-	-	-	10.4	7
Zack Moss	0	-	-	-	-	9.0	7.5
Zach Evans	0	-	-	-	-	9.8	12.9
Kenyan Drake	0	-	-	-	-	13.0	0
Corey Clement	0	-	-	-	-	11.7	-
Malik Davis	0	-	-	-	-	4.8	13
Eric Gray	0	-	-	-	-	8.5	11.4
Jamycal Hasty	0	-	-	-	-	12.9	18
Melvin Gordon	0	-	-	-	-	11.7	9.9
Ty Montgomery	0	-	-	-	-	19.1	-
