Player	AVG	draftkings	fanduel	caesars	bet365	kambi	mgm	fantasypros	yahoo
Christian Mccaffrey	610.1	600.5	-	-	-	600.5	-	638.5	601
Austin Ekeler	585.1	575.5	-	-	-	525.5	-	617.6	622
Jahmyr Gibbs	418.9	425.5	425.5	-	-	375.5	-	354.0	514
Saquon Barkley	393.1	-	-	-	-	375.5	-	384.7	419
Alvin Kamara	383.9	-	-	-	-	-	-	369.8	398
Jerick Mckinnon	382.2	425.5	-	-	-	-	-	322.2	399
Tony Pollard	378.0	-	-	-	-	350.5	-	388.6	395
Dandre Swift	364.0	-	-	-	-	325.5	-	329.6	437
Antonio Gibson	357.4	-	-	-	-	-	-	311.8	403
Breece Hall	353.8	-	-	-	-	-	-	328.6	379
Aaron Jones	353.4	-	-	-	-	325.5	-	377.6	357
Joe Mixon	338.7	-	-	-	-	350.5	-	367.6	298
Bijan Robinson	338.5	-	-	-	-	325.5	-	339.9	350
Rhamondre Stevenson	337.4	-	-	-	-	325.5	-	373.6	313
Josh Jacobs	314.8	-	-	-	-	350.5	-	291.0	303
Travis Etienne	312.2	-	-	-	-	300.5	-	293.1	343
Rachaad White	306.8	-	-	-	-	-	-	343.6	270
James Conner	302.2	-	-	-	-	-	-	301.5	303
Najee Harris	276.1	-	-	-	-	-	-	262.3	290
Javonte Williams	270.0	-	-	-	-	-	-	261.0	279
Alexander Mattison	255.5	-	-	-	-	-	-	232.0	279
Samaje Perine	250.3	-	-	-	-	-	-	232.6	268
James Cook	246.4	-	-	-	-	-	-	271.8	221
David Montgomery	239.8	-	-	-	-	-	-	277.6	202
Devon Achane	235.5	-	-	-	-	-	-	169.0	302
Derrick Henry	233.6	-	-	-	-	250.5	-	274.4	176
Dalvin Cook	230.8	-	-	-	-	-	-	211.7	250
Dameon Pierce	215.2	-	-	-	-	-	-	215.4	215
Aj Dillon	207.8	-	-	-	-	-	-	198.6	217
Miles Sanders	205.1	-	-	-	-	-	-	209.1	201
Nick Chubb	202.8	-	-	-	-	-	-	241.6	164
Cam Akers	201.9	-	-	-	-	-	-	199.8	204
Jaylen Warren	200.7	-	-	-	-	-	-	209.3	192
Jonathan Taylor	197.3	-	-	-	-	-	-	176.6	218
Chris Evans	194.7	-	-	-	-	-	-	88.3	301
Isiah Pacheco	189.2	-	-	-	-	-	-	200.4	178
Zach Charbonnet	188.3	-	-	-	-	-	-	181.6	195
Raheem Mostert	181.9	-	-	-	-	-	-	201.9	162
Kenneth Walker	178.3	-	-	-	-	-	-	174.6	182
Kyren Williams	178.2	-	-	-	-	-	-	140.4	216
Khalil Herbert	175.3	-	-	-	-	-	-	139.7	211
Devin Singletary	174.3	-	-	-	-	-	-	162.7	186
Jk Dobbins	174.2	-	-	-	-	-	-	177.3	171
Michael Carter	159.6	-	-	-	-	-	-	114.1	205
Kenneth Gainwell	159.2	-	-	-	-	-	-	171.5	147
Tank Bigsby	156.8	-	-	-	-	-	-	142.7	171
Chuba Hubbard	154.3	-	-	-	-	-	-	155.7	153
Jamaal Williams	144.3	-	-	-	-	-	-	118.7	170
Brian Robinson	141.8	-	-	-	-	-	-	105.7	178
Clyde Edwards Helaire	138.3	-	-	-	-	-	-	125.6	151
Ameer Abdullah	137.6	-	-	-	-	-	-	137.6	-
Cordarrelle Patterson	134.1	-	-	-	-	-	-	161.1	107
Deuce Vaughn	130.2	-	-	-	-	-	-	113.4	147
Chase Brown	129.3	-	-	-	-	-	-	122.7	136
Ty Chandler	129.0	-	-	-	-	-	-	116.0	142
Ezekiel Elliott	127.7	-	-	-	-	-	-	125.4	130
Chase Edmonds	127.6	-	-	-	-	-	-	159.1	96.1
Tyjae Spears	127.0	-	-	-	-	-	-	144.0	110
Kendre Miller	126.7	-	-	-	-	-	-	148.3	105
Evan Hull	125.9	-	-	-	-	-	-	82.8	169
Deon Jackson	122.9	-	-	-	-	-	-	177.6	68.3
Damien Harris	117.3	-	-	-	-	-	-	122.6	112
Jerome Ford	115.1	-	-	-	-	-	-	103.2	127
Jeff Wilson	114.0	-	-	-	-	-	-	114.1	114
Tyler Allgeier	113.2	-	-	-	-	-	-	92.5	134
Kyle Juszczyk	111.2	-	-	-	-	-	-	111.2	-
Jamycal Hasty	110.9	-	-	-	-	-	-	93.8	128
Roschon Johnson	102.5	-	-	-	-	-	-	95.9	109
Rashaad Penny	102.2	-	-	-	-	-	-	55.3	149
Zack Moss	100.9	-	-	-	-	-	-	101.8	100
Elijah Mitchell	100.7	-	-	-	-	-	-	92.4	109
Joshua Kelley	98.8	-	-	-	-	-	-	122.4	75.2
Craig Reynolds	97.1	-	-	-	-	-	-	97.1	-
Latavius Murray	95.2	-	-	-	-	-	-	70.5	120
Matt Breida	95.2	-	-	-	-	-	-	95.2	-
Raheem Blackshear	91.2	-	-	-	-	-	-	91.2	-
Keaontay Ingram	90.4	-	-	-	-	-	-	103.6	77.3
Deejay Dallas	90.2	-	-	-	-	-	-	90.2	-
Giovanni Ricci	84.8	-	-	-	-	-	-	84.8	-
Donta Foreman	84.2	-	-	-	-	-	-	50.3	118
Sean Tucker	82.5	-	-	-	-	-	-	89.8	75.2
Zach Evans	81.2	-	-	-	-	-	-	81.2	-
Pierre Strong	79.6	-	-	-	-	-	-	74.6	84.6
Alec Ingold	75.8	-	-	-	-	-	-	75.8	-
Rico Dowdle	74.8	-	-	-	-	-	-	53.8	95.8
Ty Montgomery	72.8	-	-	-	-	-	-	72.8	-
Trayveon Williams	72.4	-	-	-	-	-	-	72.4	-
Eric Gray	68.8	-	-	-	-	-	-	57.1	80.4
Travis Homer	67.3	-	-	-	-	-	-	67.3	-
Chris Rodriguez	65.6	-	-	-	-	-	-	65.6	-
Reggie Gilliam	64.8	-	-	-	-	-	-	64.8	-
Gus Edwards	62.7	-	-	-	-	-	-	59.6	65.8
Mike Boone	62.5	-	-	-	-	-	-	62.5	-
Cj Ham	62.1	-	-	-	-	-	-	62.1	-
Brandon Bolden	61.7	-	-	-	-	-	-	61.7	-
Anthony Mcfarland	60.8	-	-	-	-	-	-	60.8	-
Andrew Beck	60.5	-	-	-	-	-	-	60.5	-
Dare Ogunbowale	60.4	-	-	-	-	-	-	60.4	-
Jaleel Mclaughlin	60.2	-	-	-	-	-	-	60.2	-
Emari Demercado	59.7	-	-	-	-	-	-	59.7	-
Salvon Ahmed	58.8	-	-	-	-	-	-	58.8	-
Julius Chestnut	56.9	-	-	-	-	-	-	56.9	-
Tyler Badie	56.7	-	-	-	-	-	-	56.7	-
Isaiah Spiller	55.8	-	-	-	-	-	-	64.5	47.1
Kirk Merritt	55.6	-	-	-	-	-	-	55.6	-
Dernest Johnson	55.0	-	-	-	-	-	-	36.1	73.9
