Player	AVG	draftkings	fanduel	cz	bet365	kambi	mgm	fpros	yahoo
Jonathan Taylor	283.5	-	-	-	-	-	-	283.5	-
Christian Mccaffrey	272.3	-	-	-	-	-	-	272.3	-
Derrick Henry	269.2	-	-	-	-	-	-	269.2	-
Saquon Barkley	269.1	-	-	-	-	-	-	269.1	-
Josh Jacobs	255.5	-	-	-	-	-	-	255.5	-
Travis Etienne	250.0	-	-	-	-	-	-	250.0	-
Breece Hall	249.4	-	-	-	-	-	-	249.4	-
Kyren Williams	245.4	-	-	-	-	-	-	245.4	-
Joe Mixon	244.8	-	-	-	-	-	-	244.8	-
Bijan Robinson	243.9	-	-	-	-	-	-	243.9	-
Kenneth Walker	240.9	-	-	-	-	-	-	240.9	-
Isiah Pacheco	238.6	-	-	-	-	-	-	238.6	-
Najee Harris	237.2	-	-	-	-	-	-	237.2	-
Rachaad White	235.2	-	-	-	-	-	-	235.2	-
Zamir White	235.2	-	-	-	-	-	-	235.2	-
James Cook	231.7	-	-	-	-	-	-	231.7	-
Rhamondre Stevenson	213.4	-	-	-	-	-	-	213.4	-
David Montgomery	205.1	-	-	-	-	-	-	205.1	-
Alvin Kamara	204.7	-	-	-	-	-	-	204.7	-
Javonte Williams	204.2	-	-	-	-	-	-	204.2	-
Jahmyr Gibbs	202.5	-	-	-	-	-	-	202.5	-
James Conner	201.6	-	-	-	-	-	-	201.6	-
Tony Pollard	197.6	-	-	-	-	-	-	197.6	-
Devin Singletary	196.3	-	-	-	-	-	-	196.3	-
Aaron Jones	189.1	-	-	-	-	-	-	189.1	-
Brian Robinson	185.3	-	-	-	-	-	-	185.3	-
Gus Edwards	183.9	-	-	-	-	-	-	183.9	-
Dandre Swift	178.2	-	-	-	-	-	-	178.2	-
Devon Achane	175.0	-	-	-	-	-	-	175.0	-
Zack Moss	170.3	-	-	-	-	-	-	170.3	-
Ezekiel Elliott	170.2	-	-	-	-	-	-	170.2	-
Raheem Mostert	168.7	-	-	-	-	-	-	168.7	-
Jerome Ford	162.4	-	-	-	-	-	-	162.4	-
Chuba Hubbard	156.3	-	-	-	-	-	-	156.3	-
Jonathon Brooks	152.2	-	-	-	-	-	-	152.2	-
Nick Chubb	150.7	-	-	-	-	-	-	150.7	-
Khalil Herbert	148.1	-	-	-	-	-	-	148.1	-
Ty Chandler	146.6	-	-	-	-	-	-	146.6	-
Chase Brown	142.7	-	-	-	-	-	-	142.7	-
Jaylen Warren	142.4	-	-	-	-	-	-	142.4	-
Tyjae Spears	141.7	-	-	-	-	-	-	141.7	-
Rico Dowdle	140.0	-	-	-	-	-	-	140.0	-
Blake Corum	138.3	-	-	-	-	-	-	138.3	-
Tyler Allgeier	134.4	-	-	-	-	-	-	134.4	-
Trey Benson	134.3	-	-	-	-	-	-	134.3	-
Jk Dobbins	133.6	-	-	-	-	-	-	133.6	-
Austin Ekeler	126.5	-	-	-	-	-	-	126.5	-
Zach Charbonnet	117.5	-	-	-	-	-	-	117.5	-
Antonio Gibson	116.2	-	-	-	-	-	-	116.2	-
Bucky Irving	116.1	-	-	-	-	-	-	116.1	-
Jamaal Williams	114.7	-	-	-	-	-	-	114.7	-
Alexander Mattison	113.6	-	-	-	-	-	-	113.6	-
Braelon Allen	103.8	-	-	-	-	-	-	103.8	-
Jaleel Mclaughlin	102.7	-	-	-	-	-	-	102.7	-
Tyrone Tracy	102.4	-	-	-	-	-	-	102.4	-
Tank Bigsby	101.5	-	-	-	-	-	-	101.5	-
Jordan Mason	100.3	-	-	-	-	-	-	100.3	-
Marshawn Lloyd	97.2	-	-	-	-	-	-	97.2	-
Miles Sanders	96.9	-	-	-	-	-	-	96.9	-
Ray Davis	86.4	-	-	-	-	-	-	86.4	-
Dameon Pierce	72.8	-	-	-	-	-	-	72.8	-
Audric Estime	68.2	-	-	-	-	-	-	68.2	-
Clyde Edwards Helaire	68.1	-	-	-	-	-	-	68.1	-
Roschon Johnson	66.9	-	-	-	-	-	-	66.9	-
Kenneth Gainwell	66.8	-	-	-	-	-	-	66.8	-
Donta Foreman	64.2	-	-	-	-	-	-	64.2	-
Jaylen Wright	57.8	-	-	-	-	-	-	57.8	-
Justice Hill	57.8	-	-	-	-	-	-	57.8	-
Kendre Miller	54.2	-	-	-	-	-	-	54.2	-
Trey Sermon	52.8	-	-	-	-	-	-	52.8	-
Keaton Mitchell	52.5	-	-	-	-	-	-	52.5	-
Emanuel Wilson	51.1	-	-	-	-	-	-	51.1	-
