Player	AVG	draftkings	fanduel	caesars	bet365	kambi	mgm	fantasypros	yahoo
Derrick Henry	9.6	9.5	8.5	9.5	9.5	9.5	9.5	9.4	11.7
Nick Chubb	9.1	8.5	8.5	9.5	8.5	8.5	8.5	9.1	11.5
Jonathan Taylor	9.1	-	-	-	-	-	-	8.4	9.7
Josh Jacobs	9.0	8.5	-	9.5	-	9.5	-	9.6	8.1
Bijan Robinson	8.5	8.5	7.5	8.5	8.5	8.5	8.5	8.9	8.8
Austin Ekeler	8.4	8.5	7.5	8.5	8.5	8.5	8.5	9.4	7.8
Tony Pollard	8.0	8.5	7.5	8.5	8.5	7.5	-	8.2	7.1
Saquon Barkley	7.7	7.5	7.5	7.5	-	7.5	7.5	7.9	8.8
Kenneth Walker	7.7	-	-	-	-	-	-	8.2	7.2
Christian Mccaffrey	7.3	7.5	6.5	6.5	7.5	7.5	7.5	7.4	8.2
Joe Mixon	6.9	7.5	6.5	6.5	-	6.5	-	7.5	6.6
Najee Harris	6.9	7.5	6.5	6.5	-	6.5	7.5	6.6	7.1
Jk Dobbins	6.8	6.5	-	6.5	-	-	-	6.8	7.2
Alexander Mattison	6.7	6.5	6.5	-	-	6.5	6.5	8.1	6.1
James Conner	6.5	6.5	6.5	5.5	-	5.5	6.5	6.8	7.9
David Montgomery	6.5	6.5	5.5	6.5	7.5	6.5	-	6.3	6.5
Travis Etienne	6.4	6.5	5.5	6.5	-	6.5	6.5	6.4	7
Breece Hall	6.3	-	-	5.5	-	4.5	-	5.7	9.5
Cam Akers	6.2	6.5	5.5	5.5	-	-	-	6.4	7.3
Javonte Williams	6.2	-	-	-	-	-	-	4.6	7.7
Aj Dillon	6.2	6.5	5.5	-	-	6.5	-	5.6	6.9
Isiah Pacheco	6.0	5.5	5.5	5.5	-	5.5	-	6.8	7.5
Jahmyr Gibbs	5.9	-	-	-	-	5.5	-	6.5	5.6
Miles Sanders	5.9	6.5	5.5	6.5	-	5.5	5.5	6.0	5.8
Brian Robinson	5.9	6.5	-	-	-	5.5	6.5	4.3	6.5
Rashaad Penny	5.9	-	-	-	-	5.5	-	5.0	7.3
Rhamondre Stevenson	5.8	5.5	5.5	5.5	-	5.5	5.5	5.7	7.1
Jamaal Williams	5.8	-	-	-	-	-	-	5.3	6.2
Dameon Pierce	5.5	5.5	4.5	5.5	-	4.5	5.5	5.9	6.8
Aaron Jones	5.4	5.5	5.5	-	-	5.5	-	5.6	5
Damien Harris	5.2	-	-	-	-	-	-	3.8	6.6
Khalil Herbert	5.1	-	-	-	-	-	-	5.0	5.2
Elijah Mitchell	5.1	-	-	-	-	-	-	4.1	6.1
Dalvin Cook	5.0	5.5	4.5	4.5	4.5	4.5	-	4.6	7
Rachaad White	4.8	4.5	-	-	-	4.5	4.5	4.6	5.8
James Cook	4.6	3.5	3.5	-	-	3.5	-	4.9	7.6
Zach Charbonnet	4.5	-	-	-	-	-	-	3.5	5.4
Dandre Swift	4.3	4.5	4.5	3.5	-	4.5	-	4.8	4.2
Ezekiel Elliott	4.3	4.5	4.5	-	4.5	-	-	4.2	3.9
Tyler Allgeier	4.2	-	-	-	-	-	-	3.4	5
Donta Foreman	4.2	-	-	-	-	-	-	3.2	5.1
Devon Achane	4.0	-	-	-	-	-	-	2.7	5.2
Raheem Mostert	3.9	-	-	-	-	-	-	3.4	4.4
Tank Bigsby	3.9	-	-	-	-	-	-	2.8	4.9
Samaje Perine	3.8	-	-	-	-	-	-	4.1	3.5
Jeff Wilson	3.6	-	-	-	-	-	-	4.4	2.8
Chuba Hubbard	3.5	-	-	-	-	-	-	3.1	4
Ronald Jones	3.5	-	-	-	-	-	-	2.1	4.8
Alvin Kamara	3.4	-	-	-	-	-	-	3.6	3.2
Devin Singletary	3.3	-	-	-	-	-	-	2.7	3.9
Antonio Gibson	3.2	-	-	-	-	-	-	3.6	2.7
Gus Edwards	3.1	-	-	-	-	-	-	3.0	3.3
Jaylen Warren	2.8	-	-	-	-	-	-	3.1	2.4
Kenneth Gainwell	2.8	-	-	-	-	-	-	3.9	1.7
Joshua Kelley	2.8	-	-	-	-	-	-	2.3	3.2
Clyde Edwards Helaire	2.7	-	-	-	-	-	-	2.1	3.3
Roschon Johnson	2.5	-	-	-	-	-	-	2.2	2.8
Chase Brown	2.5	-	-	-	-	-	-	1.8	3.3
Jerome Ford	2.2	-	-	-	-	-	-	1.7	2.8
Kendre Miller	2.2	-	-	-	-	-	-	1.6	2.8
Latavius Murray	2.2	-	-	-	-	-	-	1.6	2.8
Cordarrelle Patterson	2.1	-	-	-	-	-	-	2.3	2
Kyren Williams	2.1	-	-	-	-	-	-	1.8	2.4
Zamir White	2.1	-	-	-	-	-	-	1.9	2.4
Jerick Mckinnon	1.9	-	-	-	-	-	-	1.6	2.1
Tyjae Spears	1.9	-	-	-	-	-	-	1.9	1.9
Chase Edmonds	1.7	-	-	-	-	-	-	1.5	1.9
Keaontay Ingram	1.7	-	-	-	-	-	-	1.8	1.6
Zack Moss	1.7	-	-	-	-	-	-	1.3	2.1
Deuce Vaughn	1.7	-	-	-	-	-	-	1.3	2.1
Corey Clement	1.7	-	-	-	-	-	-	1.7	-
Melvin Gordon	1.6	-	-	-	-	-	-	0.9	2.3
Michael Carter	1.5	-	-	-	-	-	-	0.6	2.4
Ty Chandler	1.4	-	-	-	-	-	-	2.0	0.7
Isaiah Spiller	1.4	-	-	-	-	-	-	1.2	1.6
Sean Tucker	1.4	-	-	-	-	-	-	1.0	1.7
Eric Gray	1.4	-	-	-	-	-	-	0.8	2
Rico Dowdle	1.4	-	-	-	-	-	-	0.8	2
Zach Evans	1.3	-	-	-	-	-	-	1.3	-
Keshawn Vaughn	1.3	-	-	-	-	-	-	1.3	-
Pierre Strong	1.3	-	-	-	-	-	-	0.9	1.7
Matt Breida	1.2	-	-	-	-	-	-	1.2	-
Abram Smith	1.2	-	-	-	-	-	-	1.2	-
Jamycal Hasty	1.2	-	-	-	-	-	-	1.0	1.5
Raheem Blackshear	1.2	-	-	-	-	-	-	1.2	-
Hassan Haskins	1.2	-	-	-	-	-	-	0.4	2
Boston Scott	1.2	-	-	-	-	-	-	1.1	1.4
