Player	AVG	draftkings	fanduel	cz	bet365	kambi	mgm	fpros	yahoo
Christian Mccaffrey	1156.2	1150.5	1100.5	1150.5	1125.5	1150.5	1125.5	1290.4	-
Jonathan Taylor	1078.2	1075.5	1050.5	1025.5	1025.5	1075.5	1025.5	1269.5	-
Breece Hall	1040.3	1050.5	1025.5	1075.5	1025.5	975.5	1000.5	1129.3	-
Saquon Barkley	1032.7	1000.5	1000.5	-	1025.5	1025.5	1005.5	1138.5	-
Bijan Robinson	1008.7	1000.5	1000.5	1020.5	1000.5	950.5	975.5	1112.7	-
Derrick Henry	992.4	975.5	950.5	950.5	975.5	950.5	950.5	1193.9	-
Kyren Williams	990.0	-	950.5	950.5	950.5	950.5	-	1148.2	-
Josh Jacobs	937.6	925.5	925.5	925.5	925.5	900.5	925.5	1034.9	-
Travis Etienne	934.7	925.5	925.5	900.5	900.5	950.5	915.5	1024.9	-
James Cook	933.6	925.5	900.5	875.5	950.5	900.5	-	1049.3	-
Isiah Pacheco	931.3	900.5	925.5	900.5	925.5	900.5	900.5	1065.8	-
Kenneth Walker	916.2	-	875.5	925.5	875.5	900.5	-	1004.1	-
Jahmyr Gibbs	883.1	-	825.5	-	-	-	-	940.7	-
Najee Harris	872.1	-	850.5	-	850.5	-	825.5	962.1	-
Joe Mixon	853.2	850.5	825.5	800.5	850.5	825.5	850.5	969.1	-
David Montgomery	831.9	-	825.5	800.5	825.5	-	815.5	892.7	-
Rachaad White	825.4	825.5	800.5	775.5	825.5	800.5	825.5	925.0	-
Zamir White	823.7	800.5	825.5	775.5	825.5	800.5	750.5	987.7	-
Rhamondre Stevenson	797.1	-	775.5	775.5	775.5	775.5	-	883.7	-
James Conner	782.1	-	775.5	725.5	775.5	750.5	-	883.5	-
Devon Achane	780.1	750.5	775.5	775.5	750.5	750.5	750.5	907.4	-
Nick Chubb	765.8	-	-	-	-	-	-	765.8	-
Tony Pollard	749.9	775.5	700.5	700.5	750.5	725.5	775.5	821.5	-
Aaron Jones	748.0	750.5	725.5	700.5	750.5	700.5	750.5	857.8	-
Devin Singletary	742.9	725.5	750.5	700.5	750.5	700.5	725.5	847.2	-
Dandre Swift	737.6	725.5	675.5	700.5	750.5	750.5	750.5	810.2	-
Brian Robinson	733.2	-	-	750.5	-	675.5	-	773.7	-
Javonte Williams	732.0	-	-	-	-	650.5	-	813.6	-
Zack Moss	712.5	700.5	725.5	700.5	700.5	725.5	700.5	734.4	-
Jonathon Brooks	701.3	-	-	-	-	-	-	701.3	-
Raheem Mostert	692.8	675.5	650.5	675.5	675.5	-	675.5	804.3	-
Jaylen Warren	683.8	-	-	-	-	-	-	683.8	-
Gus Edwards	681.9	-	-	625.5	-	625.5	-	794.7	-
Chuba Hubbard	681.6	-	-	-	800.5	-	-	562.8	-
Alvin Kamara	668.0	625.5	650.5	650.5	650.5	650.5	650.5	798.2	-
Chase Brown	613.3	-	-	-	-	-	-	613.3	-
Khalil Herbert	596.8	-	-	-	-	-	-	596.8	-
Ty Chandler	595.9	-	-	-	-	-	-	595.9	-
Tyjae Spears	587.4	-	-	550.5	-	-	-	624.2	-
Jerome Ford	580.6	-	-	-	-	-	-	580.6	-
Ezekiel Elliott	578.9	575.5	550.5	575.5	575.5	525.5	-	670.6	-
Jk Dobbins	558.2	-	-	550.5	-	-	-	565.9	-
Tyler Allgeier	555.2	-	-	-	-	-	-	555.2	-
Trey Benson	546.4	-	-	-	525.5	-	-	567.3	-
