PLAYER	ECR / ADP	REC	REC_YD	REC_TD	POINTS
Travis Kelce	1.05 / 1.05	98.9	1157.3	9.8	223.98
Mark Andrews	3.05 / 3.05	71.8	840.1	6.4	158.31
Tj Hockenson	4.09 / 4.07	77.2	790.1	5.5	150.61
George Kittle	6.04 / 5.01	59.0	723.9	5.8	136.69
Darren Waller	6.07 / 6.02	63.2	718.9	4.7	131.69
Kyle Pitts	7.04 / 6.03	57.3	728.7	4.6	129.12
Dallas Goedert	7.05 / 5.12	59.7	700.2	4.1	124.47
Pat Freiermuth	9.01 / 8.01	62.3	645.0	4.8	124.45
Evan Engram	8.11 / 7.08	63.3	640.7	3.9	119.12
David Njoku	9.05 / 8.08	57.2	588.7	4.8	116.27
*Cole Kmet	12.04 / 11.03	51.7	549.5	4.2	106.0
Dalton Schultz	10.07 / 11.06	54.7	544.3	3.9	105.18
Tyler Higbee	11.04 / 13.08	57.0	525.1	4.0	105.01
*Greg Dulcich	11.11 / 11.08	51.8	579.0	3.5	104.8
*Gerald Everett	13.01 / 16.05	51.7	533.5	4.2	104.4
*Chigoziem Okonkwo	11.03 / 11.05	48.0	561.2	4.0	104.12
*Dalton Kincaid	13.05 / 11.11	44.2	487.2	4.2	96.02
*Sam Laporta	14.03 / 14.05	46.0	501.2	3.7	95.32
*Hayden Hurst	16.02 / 17.07	48.9	482.8	3.2	91.93
*Michael Mayer	20.07 / 17.01	42.8	457.4	3.6	88.74
*Irv Smith	14.12 / 16.08	43.1	419.7	4.1	88.12
Juwan Johnson	13.07 / 16.10	38.0	436.4	4.2	87.84
Dawson Knox	16.01 / 17.06	39.5	417.1	4.3	87.26
*Noah Fant	18.09 / 23.09	41.6	465.4	3.0	85.34
*Zach Ertz	19.10 / 17.08	44.7	439.2	3.0	84.27
*Hunter Henry	15.09 / 17.10	39.4	459.9	3.0	83.69
*Cade Otton	 / 	42.4	440.6	2.8	82.06
*Mike Gesicki	17.04 / 17.05	37.8	419.3	3.0	78.83
*Trey Mcbride	17.02 / 23.06	39.5	409.1	2.6	76.26
*Tyler Conklin	 / 	42.5	403.8	2.3	75.43
*Jake Ferguson	21.08 / 17.12	35.5	363.2	3.0	72.07
*Luke Musgrave	 / 	33.4	350.8	2.5	66.78
*Isaiah Likely	 / 	30.4	350.1	2.7	66.41
*Jelani Woods	21.01 / 23.11	29.7	350.9	2.5	64.94
*Austin Hooper	 / 	27.9	285.3	1.8	53.28
*Logan Thomas	 / 	28.6	277.1	1.7	52.21
*Luke Schoonmaker	 / 	23.5	249.1	1.9	48.06
*Foster Moreau	 / 	23.1	256.2	1.8	47.97
*Noah Gray	 / 	23.0	237.8	1.8	46.08
*Cj Uzomah	 / 	20.8	216.1	1.8	42.81
*Darnell Washington	 / 	20.4	226.9	1.6	42.49
*Robert Tonyan	 / 	19.1	210.2	1.8	41.37
*Donald Parham	 / 	18.1	208.2	1.9	41.27
*Brock Wright	 / 	18.4	194.0	2.0	40.6
*Mo Alie Cox	 / 	17.5	208.6	1.8	40.41
*Tommy Tremble	 / 	18.9	185.9	1.8	38.84
*Jordan Akins	 / 	17.8	202.2	1.6	38.72
*Tucker Kraft	 / 	17.8	202.1	1.5	38.11
*Harrison Bryant	 / 	18.1	189.1	1.6	37.56
*Daniel Bellinger	 / 	19.2	211.3	1.1	37.33
*Durham Smythe	 / 	20.0	193.3	1.1	35.93
*Kylen Granson	 / 	19.4	203.9	0.9	35.49
*Peyton Hendershot	 / 	15.9	169.5	1.6	34.5
*Albert Okwuegbunam	 / 	16.3	195.7	1.1	34.32
