Player	AVG	draftkings	fanduel	cz	bet365	kambi	mgm	fpros	yahoo
Sam Laporta	82.7	82.5	79.5	-	82.5	82.5	-	86.3	-
Evan Engram	82.4	-	-	-	-	79.5	-	85.3	-
Travis Kelce	82.1	80.5	79.5	-	80.5	80.5	-	89.5	-
Trey Mcbride	82.0	-	79.5	-	-	80.5	-	86.0	-
Dalton Kincaid	79.2	80.5	77.5	-	80.5	74.5	-	83.1	-
Jake Ferguson	69.2	-	-	-	-	67.5	-	70.8	-
Mark Andrews	67.8	67.5	-	-	67.5	64.5	-	71.9	-
David Njoku	67.0	65.5	-	-	65.5	-	-	70.1	-
Kyle Pitts	65.3	-	64.5	-	-	63.5	-	68.0	-
Dallas Goedert	64.5	-	-	-	-	62.5	-	66.6	-
George Kittle	61.5	59.5	-	-	59.5	-	-	65.4	-
Brock Bowers	60.0	-	-	-	-	57.5	-	62.4	-
Tj Hockenson	59.7	-	-	-	-	-	-	59.7	-
Pat Freiermuth	59.0	-	-	-	-	-	-	59.0	-
Cole Kmet	55.7	-	-	-	-	-	-	55.7	-
Dalton Schultz	53.4	-	-	-	-	49.5	-	57.3	-
Tyler Conklin	50.5	-	-	-	-	47.5	-	53.6	-
Chigoziem Okonkwo	49.6	-	-	-	-	-	-	49.6	-
Cade Otton	48.8	-	-	-	-	-	-	48.8	-
Luke Musgrave	46.7	-	-	-	-	-	-	46.7	-
Hunter Henry	46.6	-	-	-	-	-	-	46.6	-
Noah Fant	44.9	-	-	-	-	-	-	44.9	-
Hayden Hurst	40.6	-	-	-	-	-	-	40.6	-
Juwan Johnson	40.5	-	-	-	-	-	-	40.5	-
Jonnu Smith	37.8	-	-	-	-	-	-	37.8	-
Ben Sinnott	37.2	-	-	-	-	-	-	37.2	-
Mike Gesicki	36.4	-	-	-	-	-	-	36.4	-
Zach Ertz	35.7	-	-	-	-	-	-	35.7	-
Daniel Bellinger	35.3	-	-	-	-	-	-	35.3	-
Tucker Kraft	34.0	-	-	-	-	-	-	34.0	-
Tyler Higbee	33.9	-	-	-	-	-	-	33.9	-
Greg Dulcich	33.8	-	-	-	-	-	-	33.8	-
Isaiah Likely	32.2	-	-	-	-	-	-	32.2	-
Michael Mayer	30.0	-	-	-	-	-	-	30.0	-
Jatavion Sanders	29.9	-	-	-	-	-	-	29.9	-
Gerald Everett	29.8	-	-	-	-	-	-	29.8	-
Colby Parkinson	29.1	-	-	-	-	-	-	29.1	-
Dawson Knox	28.3	-	-	-	-	-	-	28.3	-
Theo Johnson	28.3	-	-	-	-	-	-	28.3	-
Tommy Tremble	27.5	-	-	-	-	-	-	27.5	-
Kylen Granson	23.8	-	-	-	-	-	-	23.8	-
Will Dissly	23.5	-	-	-	-	-	-	23.5	-
Jaheim Bell	23.0	-	-	-	-	-	-	23.0	-
Jelani Woods	22.7	-	-	-	-	-	-	22.7	-
Noah Gray	22.6	-	-	-	-	-	-	22.6	-
Tanner Hudson	20.3	-	-	-	-	-	-	20.3	-
Robert Tonyan	20.1	-	-	-	-	-	-	20.1	-
Durham Smythe	19.5	-	-	-	-	-	-	19.5	-
Austin Hooper	19.5	-	-	-	-	-	-	19.5	-
