Player	AVG	draftkings	fanduel	caesars	bet365	kambi	mgm	fantasypros	yahoo
Cooper Kupp	108.3	107.5	105.5	107.5	-	-	-	107.2	114
Justin Jefferson	107.3	105.5	104.5	105.5	-	102.5	-	110.9	115
Tyreek Hill	101.6	102.5	98.5	102.5	-	96.5	-	105.5	104
Jamarr Chase	100.7	95.5	94.5	95.5	-	-	-	105.9	112
Stefon Diggs	99.7	99.5	95.5	99.5	-	96.5	-	97.2	110
Davante Adams	98.3	-	-	-	-	-	-	93.6	103
Amon Ra St Brown	97.4	95.5	92.5	95.5	-	92.5	-	101.3	107
Ceedee Lamb	94.9	95.5	91.5	95.5	-	90.5	-	99.0	97.2
Keenan Allen	86.3	85.5	-	-	-	74.5	-	90.6	94.5
Garrett Wilson	84.2	86.5	82.5	85.5	-	77.5	-	85.1	88.3
Jaylen Waddle	82.9	85.5	81.5	85.5	-	81.5	-	79.8	83.7
Chris Godwin	82.8	80.5	77.5	80.5	-	76.5	-	89.7	92.1
Diontae Johnson	81.2	82.5	77.5	82.5	-	-	-	80.5	82.9
Devonta Smith	80.7	80.5	77.5	80.5	-	76.5	-	82.9	86.5
Aj Brown	77.0	75.5	74.5	75.5	-	70.5	-	77.8	87.9
Chris Olave	76.9	75.5	74.5	75.5	-	72.5	-	82.3	81.2
Dk Metcalf	76.4	75.5	73.5	74.5	-	75.5	-	82.4	76.8
Tee Higgins	76.1	70.5	73.5	70.5	-	-	-	80.5	85.4
Calvin Ridley	76.1	70.5	-	70.5	-	-	-	80.7	82.8
Deandre Hopkins	75.8	-	69.5	-	-	70.5	-	78.1	84.9
Michael Pittman	75.6	74.5	70.5	70.5	-	70.5	-	75.8	91.9
Juju Smith Schuster	74.6	-	-	-	-	-	-	72.5	76.7
Terry Mclaurin	73.9	-	69.5	-	-	-	-	72.2	79.9
Drake London	73.6	70.5	69.5	70.5	-	69.5	-	75.8	85.9
Amari Cooper	73.2	72.5	69.5	72.5	-	69.5	-	72.6	82.4
Marquise Brown	72.6	70.5	-	70.5	-	71.5	-	77.9	72.4
Michael Thomas	72.3	-	-	-	-	-	-	67.4	77.3
Christian Kirk	72.0	70.5	69.5	70.5	-	68.5	-	74.2	78.8
Jerry Jeudy	71.3	-	-	-	-	-	-	64.9	77.7
Tyler Lockett	71.1	72.5	68.5	69.5	-	69.5	-	75.8	70.6
Jakobi Meyers	67.5	-	-	-	-	-	-	62.5	72.4
Jordan Addison	66.2	-	-	-	-	-	-	60.9	71.6
Brandon Aiyuk	66.1	59.5	-	-	-	-	-	64.7	74
Dj Moore	65.8	62.5	60.5	62.5	-	60.5	-	67.5	81.5
Mike Evans	65.5	65.5	60.5	61.5	-	61.5	-	71.5	72.5
Jaxon Smith Njigba	65.3	-	-	-	-	-	-	57.1	73.6
Brandin Cooks	64.4	62.5	-	-	-	-	-	62.0	68.7
Christian Watson	64.2	62.5	62.5	62.5	-	62.5	-	69.4	65.6
Rondale Moore	64.2	-	-	-	-	-	-	67.1	61.2
Zay Jones	63.5	-	-	-	-	-	-	60.3	66.7
Treylon Burks	62.6	-	-	-	-	-	-	57.3	67.9
Deebo Samuel	62.4	59.5	59.5	59.5	-	58.5	-	68.4	69.1
Mike Williams	61.6	57.5	58.5	57.5	-	56.5	-	70.3	69.6
Tyler Boyd	58.9	57.5	-	-	-	-	-	58.2	60.9
Jahan Dotson	57.6	52.5	-	-	-	-	-	60.4	59.8
Courtland Sutton	57.2	-	-	-	-	57.5	-	60.0	54.2
George Pickens	57.1	55.5	54.5	55.5	-	53.5	-	57.3	66.5
Quentin Johnston	56.8	-	-	-	-	-	-	47.8	65.8
Adam Thielen	56.4	55.5	-	55.5	-	54.5	-	53.8	62.5
Skyy Moore	56.2	-	-	-	-	-	-	49.9	62.6
Darnell Mooney	55.9	-	-	-	-	-	-	52.7	59.1
Hunter Renfrow	55.4	-	-	-	-	-	-	60.6	50.1
Kadarius Toney	54.5	-	-	-	-	-	-	51.2	57.8
Zay Flowers	53.2	-	-	-	-	-	-	54.6	51.8
Allen Lazard	52.8	52.5	-	52.5	-	48.5	-	54.6	56.1
Gabe Davis	52.1	50.5	-	50.5	-	48.5	-	51.6	59.4
Jayden Reed	52.0	-	-	-	-	-	-	47.0	57.1
Robert Woods	51.8	50.5	-	-	-	-	-	52.2	52.7
Romeo Doubs	51.7	47.5	-	-	-	-	-	56.2	51.5
Curtis Samuel	51.2	-	-	-	-	-	-	47.9	54.5
Jonathan Mingo	50.8	-	-	-	-	-	-	48.4	53.2
Nico Collins	50.7	45.5	-	-	-	-	-	56.8	49.7
Michael Gallup	50.4	49.5	-	-	-	-	-	49.8	51.9
Rashee Rice	50.2	-	-	-	-	-	-	33.5	66.9
Mecole Hardman	49.7	-	-	-	-	-	-	46.2	53.1
Kj Osborn	49.0	-	-	-	-	-	-	48.6	49.3
Elijah Moore	48.9	45.5	-	-	-	-	-	44.3	57
Rashod Bateman	48.5	-	-	-	-	-	-	40.8	56.3
Parris Campbell	47.2	-	-	-	-	-	-	39.7	54.7
Isaiah Hodgins	45.6	-	-	-	-	-	-	46.0	45.2
Odell Beckham	45.2	40.5	-	40.5	-	41.5	-	50.8	52.7
Dj Chark	45.2	44.5	-	-	-	-	-	45.8	45.3
Marvin Jones	44.2	-	-	-	-	-	-	37.9	50.5
Donovan Peoples Jones	43.5	40.5	-	-	-	-	-	43.0	46.9
Alec Pierce	43.5	42.5	-	-	-	-	-	42.6	45.4
Jameson Williams	43.5	-	-	-	-	-	-	37.2	49.7
Van Jefferson	42.6	-	-	-	-	-	-	42.0	43.2
Devante Parker	42.5	-	-	-	-	-	-	46.0	39.1
Allen Robinson	42.0	-	-	-	-	-	-	38.3	45.7
John Metchie	41.5	-	-	-	-	-	-	38.7	44.3
Marvin Mims	41.0	-	-	-	-	-	-	31.8	50.1
Wandale Robinson	41.0	-	-	-	-	-	-	34.1	47.9
Rashid Shaheed	40.8	-	-	-	-	-	-	33.5	48.1
Marquez Valdes Scantling	40.2	40.5	-	-	-	-	-	42.2	37.8
Greg Dortch	39.6	-	-	-	-	-	-	37.7	41.5
Tank Dell	39.0	-	-	-	-	-	-	26.1	52
Jalin Hyatt	38.7	-	-	-	-	-	-	28.3	49.1
Khalil Shakir	37.9	-	-	-	-	-	-	24.2	51.6
Chase Claypool	37.5	-	-	-	-	-	-	36.0	38.9
Darius Slayton	37.1	-	-	-	-	-	-	35.4	38.8
Josh Downs	36.5	-	-	-	-	-	-	24.8	48.3
Mack Hollins	36.4	-	-	-	-	-	-	42.1	30.6
Joshua Palmer	35.8	-	-	-	-	-	-	37.6	33.9
Tyquan Thornton	35.0	-	-	-	-	-	-	29.3	40.8
Richie James	34.8	-	-	-	-	-	-	24.4	45.2
Kendrick Bourne	34.3	-	-	-	-	-	-	31.9	36.8
Russell Gage	33.5	-	-	-	-	-	-	60.5	6.4
