Player	AVG	draftkings	fanduel	caesars	bet365	kambi	mgm	fantasypros	yahoo
Jamarr Chase	10.5	10.5	-	10.5	10.5	10.5	-	10.3	10.7
Justin Jefferson	8.7	8.5	-	8.5	8.5	8.5	8.5	8.2	9.9
Davante Adams	8.7	-	-	-	-	7.5	-	8.6	10
Stefon Diggs	8.6	8.5	-	8.5	8.5	8.5	8.5	8.5	9.3
Cooper Kupp	8.4	-	-	-	-	-	-	7.7	9.2
Aj Brown	8.0	7.5	-	7.5	8.5	7.5	7.5	8.5	9
Tyreek Hill	7.7	7.5	-	7.5	7.5	6.5	7.5	8.0	9.1
Garrett Wilson	7.7	8.5	-	8.5	7.5	7.5	8.5	6.8	6.7
Ceedee Lamb	7.6	7.5	-	6.5	7.5	7.5	7.5	7.9	9.1
Dk Metcalf	7.5	7.5	-	8.5	7.5	7.5	7.5	7.3	6.8
Jaylen Waddle	7.0	7.5	-	7.5	6.5	6.5	7.5	6.6	7
Gabe Davis	6.8	6.5	-	6.5	-	6.5	-	6.5	8
Tee Higgins	6.7	6.5	-	6.5	6.5	6.5	-	6.7	7.2
Amari Cooper	6.7	6.5	-	6.5	6.5	6.5	6.5	7.2	7.4
Devonta Smith	6.6	6.5	-	6.5	6.5	6.5	6.5	6.4	7.2
Calvin Ridley	6.2	6.5	-	5.5	5.5	5.5	6.5	6.6	7.2
Mike Evans	6.0	6.5	-	5.5	-	5.5	5.5	5.8	6.9
Mike Williams	5.9	5.5	-	5.5	-	5.5	5.5	6.1	7.1
Tyler Lockett	5.9	6.5	-	5.5	-	5.5	5.5	5.9	6.8
Jerry Jeudy	5.9	-	-	-	-	-	-	4.7	7.1
Chris Olave	5.8	5.5	-	5.5	5.5	5.5	5.5	5.9	7
Amon Ra St Brown	5.7	5.5	-	5.5	5.5	5.5	-	5.9	6.1
Keenan Allen	5.7	5.5	-	5.5	-	5.5	5.5	5.8	6.2
Dj Moore	5.5	4.5	-	5.5	-	5.5	4.5	6.6	6.5
Christian Kirk	5.5	5.5	-	4.5	-	5.5	5.5	5.9	6.1
Christian Watson	5.4	4.5	-	5.5	5.5	5.5	4.5	6.3	6
Brandon Aiyuk	5.3	4.5	-	4.5	-	4.5	-	5.5	7.4
Deandre Hopkins	5.0	4.5	-	4.5	-	4.5	-	5.3	6.2
Brandin Cooks	5.0	-	-	-	-	-	-	4.8	5.2
Jordan Addison	5.0	-	-	-	-	-	-	5.0	4.9
Rashee Rice	5.0	-	-	-	-	-	-	3.0	7
Terry Mclaurin	4.9	-	-	-	-	-	-	4.8	5
Drake London	4.9	4.5	-	4.5	-	4.5	4.5	5.5	5.8
Jahan Dotson	4.9	4.5	-	4.5	4.5	4.5	4.5	6.1	5.6
George Pickens	4.9	4.5	-	4.5	-	4.5	4.5	5.3	6
Treylon Burks	4.8	-	-	-	-	-	-	4.0	5.5
Zay Flowers	4.8	-	-	-	-	-	-	4.8	4.8
Allen Lazard	4.8	4.5	-	4.5	-	4.5	4.5	4.7	5.8
Chris Godwin	4.7	4.5	-	4.5	-	4.5	4.5	4.1	6
Marquise Brown	4.7	4.5	-	4.5	-	4.5	4.5	4.7	5.5
Michael Thomas	4.7	4.5	-	4.5	-	-	-	4.5	5.3
Jaxon Smith Njigba	4.7	-	-	-	-	-	-	4.5	4.9
Skyy Moore	4.7	-	-	-	-	-	-	4.3	5.1
Michael Pittman	4.6	4.5	-	4.5	-	4.5	4.5	4.2	5.4
Adam Thielen	4.6	4.5	-	-	-	4.5	4.5	4.2	5.1
Quentin Johnston	4.6	-	-	-	-	-	-	3.7	5.5
Kadarius Toney	4.6	-	-	-	-	-	-	3.7	5.4
Deebo Samuel	4.5	4.5	-	4.5	-	4.5	4.5	4.1	4.9
Courtland Sutton	4.5	-	-	-	-	4.5	-	4.4	4.6
Odell Beckham	4.5	4.5	-	4.5	-	4.5	4.5	4.4	4.3
