PLAYER	REC	REC_YD	REC_TD
Justin Jefferson	109.8	1528.7	8.0
Tyreek Hill	105.5	1402.5	7.8
Jamarr Chase	107.0	1377.3	10.0
Cooper Kupp	103.5	1319.9	8.7
Stefon Diggs	96.8	1285.8	8.5
Ceedee Lamb	97.1	1274.0	8.0
Travis Kelce	104.8	1242.2	9.8
Davante Adams	93.1	1222.1	8.8
Aj Brown	79.1	1209.1	8.7
Jaylen Waddle	79.5	1179.6	6.5
Amon Ra St Brown	101.0	1147.7	5.8
Garrett Wilson	84.8	1145.8	6.1
Chris Olave	81.2	1136.4	5.6
Tee Higgins	80.2	1088.5	6.5
Amari Cooper	75.3	1062.3	7.3
Devonta Smith	84.3	1062.3	6.3
Jerry Jeudy	74.0	1058.6	5.7
Terry Mclaurin	72.4	1032.7	5.2
Calvin Ridley	79.3	1011.5	6.3
Keenan Allen	90.0	1008.2	5.5
Dk Metcalf	82.0	1006.0	7.1
Mike Williams	71.1	995.5	6.0
Deandre Hopkins	76.4	994.3	5.6
Mike Evans	70.2	973.6	5.9
Chris Godwin	91.3	972.1	4.4
Christian Watson	69.6	954.9	6.1
Christian Kirk	76.0	945.9	6.2
Drake London	75.9	940.7	5.6
Dj Moore	65.3	911.9	6.1
Deebo Samuel	71.0	901.7	3.9
Marquise Brown	78.5	900.5	5.0
Brandon Aiyuk	63.8	899.7	5.3
Mark Andrews	75.0	887.0	6.3
Diontae Johnson	79.0	885.9	4.2
Tyler Lockett	71.2	882.5	5.8
Brandin Cooks	69.2	875.5	5.1
Michael Pittman	75.7	862.1	4.3
George Pickens	54.3	839.0	5.1
Tj Hockenson	82.4	830.6	5.8
Jordan Addison	61.8	820.2	4.7
Jahan Dotson	57.0	809.8	6.1
Gabe Davis	50.3	809.4	6.3
Treylon Burks	58.4	800.4	3.9
George Kittle	60.7	800.1	6.1
Darren Waller	65.6	799.2	4.6
Juju Smith Schuster	70.3	793.8	4.2
Courtland Sutton	57.6	783.6	3.9
Jaxon Smith Njigba	57.8	780.0	4.3
Michael Thomas	66.0	778.4	4.6
Dallas Goedert	64.7	766.4	4.3
Kyle Pitts	59.2	759.3	3.9
Jakobi Meyers	62.4	743.9	3.7
Rashod Bateman	48.9	731.9	3.9
Nico Collins	58.7	725.8	4.5
Zay Flowers	52.9	722.1	4.4
Rondale Moore	70.6	720.1	2.3
Tyler Boyd	57.9	718.6	3.8
Dj Chark	44.7	706.0	3.8
Marquez Valdes Scantling	44.1	694.6	4.0
Quentin Johnston	48.0	693.0	3.6
Donovan Peoples Jones	46.7	690.7	3.2
Devante Parker	45.6	680.3	3.7
Zay Jones	62.0	679.6	3.7
Allen Lazard	53.3	670.3	4.5
Adam Thielen	57.5	667.5	4.3
Darnell Mooney	50.9	661.4	3.8
Evan Engram	63.8	656.9	3.6
Jonathan Mingo	46.8	654.2	3.2
Jameson Williams	42.2	635.8	3.6
Pat Freiermuth	59.7	634.7	4.0
Romeo Doubs	53.6	627.5	4.3
Kadarius Toney	55.4	617.1	4.2
Skyy Moore	48.0	615.7	3.5
Hunter Renfrow	62.0	607.3	3.8
Van Jefferson	42.2	598.7	3.9
Michael Gallup	45.7	598.4	3.9
Greg Dulcich	49.4	598.3	3.8
Dalton Schultz	56.7	585.6	4.2
David Njoku	53.8	585.2	4.2
Darius Slayton	38.1	583.7	2.4
John Metchie	43.6	583.6	3.0
Chigoziem Okonkwo	47.9	582.7	3.8
Rashid Shaheed	36.8	582.1	2.4
Elijah Moore	42.7	578.5	3.1
Alec Pierce	36.6	577.4	2.4
Jayden Reed	45.1	574.0	2.7
Tyler Higbee	60.7	565.7	3.4
Odell Beckham	41.2	558.1	3.5
Robert Woods	55.5	552.1	2.8
Kj Osborn	47.5	544.9	4.4
Corey Davis	36.8	544.8	2.6
Russell Gage	53.9	542.6	2.7
Khalil Shakir	41.4	540.0	2.4
Isaiah Hodgins	47.2	538.8	4.8
Gerald Everett	52.6	535.9	3.7
Allen Robinson	42.5	534.9	2.5
Curtis Samuel	48.4	515.3	2.6
Chase Claypool	35.3	503.6	2.6
Greg Dortch	54.6	499.9	2.0
Mack Hollins	43.3	492.6	2.8
Dalton Kincaid	42.3	491.2	3.9
Rashee Rice	34.1	488.5	2.8
Marvin Jones	36.5	478.9	3.0
Juwan Johnson	40.4	476.4	4.2
Hunter Henry	39.1	471.9	2.8
Joshua Palmer	37.1	469.2	2.2
Cole Kmet	41.5	462.3	3.8
Noah Fant	44.6	461.4	2.8
Mecole Hardman	37.6	459.5	2.7
Wandale Robinson	35.4	456.4	1.9
Sam Laporta	40.7	445.7	3.3
Tyquan Thornton	35.6	445.2	2.8
Hayden Hurst	45.3	440.8	3.1
Cade Otton	44.5	440.6	2.1
Jalin Hyatt	31.6	439.6	2.1
Josh Reynolds	31.4	437.2	2.1
Parris Campbell	35.7	434.6	2.1
Tyler Conklin	46.0	428.2	2.3
Zach Ertz	43.0	423.3	2.3
Jelani Woods	34.3	417.8	2.8
Irv Smith	43.3	414.2	4.1
Terrace Marshall	22.9	409.8	1.3
Logan Thomas	42.8	406.5	2.0
Kendrick Bourne	26.6	401.3	1.7
Mike Gesicki	35.2	400.7	2.5
Nick Westbrook Ikhine	29.1	400.3	2.5
Dawson Knox	35.4	399.5	3.5
Trey Mcbride	37.5	399.4	2.2
Cedric Tillman	0.0	399.2	0.3
Ben Skowronek	40.8	395.3	1.7
Michael Mayer	36.7	389.6	2.7
Kayshon Boutte	0.0	388.5	0.3
Puka Nacua	0.0	377.9	0.3
Justyn Ross	0.0	366.8	0.2
Richie James	26.8	352.7	2.2
Marvin Mims	21.3	346.5	1.5
Josh Downs	19.7	343.1	1.3
Luke Musgrave	32.3	338.1	2.2
Sterling Shepard	26.3	333.8	1.6
Austin Hooper	29.1	312.2	1.8
Tim Patrick	0.0	304.4	0.1
Isaiah Likely	24.5	304.2	2.1
Tutu Atwell	20.7	301.7	1.1
Isaiah Mckenzie	25.9	301.6	1.3
Xavier Hutchinson	0.0	297.8	0.1
Jake Ferguson	28.2	293.7	2.2
Quez Watkins	17.6	292.0	1.2
Robbie Chosen	0.0	291.2	0.2
Tank Dell	16.4	290.8	0.7
Laviska Shenault	19.8	265.5	0.8
Braxton Berrios	20.1	262.4	0.9
Chris Moore	24.1	260.4	1.0
Luke Schoonmaker	23.7	259.8	1.6
Jauan Jennings	19.9	257.8	1.1
Michael Wilson	15.1	245.3	0.6
Olamide Zaccheaus	19.5	244.0	1.2
Noah Brown	21.2	239.6	0.9
Robert Tonyan	21.1	236.4	1.6
Foster Moreau	16.0	230.4	1.0
Demarcus Robinson	22.1	228.9	1.0
Jordan Akins	18.6	225.1	1.2
Noah Gray	20.1	225.0	1.0
Marquez Callaway	20.9	224.6	1.3
Charlie Jones	17.8	219.5	1.1
Amari Rodgers	21.0	218.1	1.1
Samori Toure	19.9	216.0	1.1
Will Dissly	19.0	215.6	1.1
David Bell	12.7	215.1	0.5
Donald Parham	17.9	215.1	1.5
At Perry	0.0	213.7	0.0
Tyler Scott	0.0	213.7	0.0
Jonnu Smith	18.5	211.6	1.2
Marquise Goodwin	15.8	210.2	1.4
Kyle Philips	13.2	207.6	0.6
Durham Smythe	20.8	207.4	1.0
Kalif Raymond	16.8	205.4	1.1
Kylen Granson	17.9	204.6	0.8
Jalen Guyton	15.8	204.3	0.9
Cedrick Wilson	19.3	203.1	1.0
Devin Duvernay	9.8	199.3	0.6
Randall Cobb	19.9	199.2	1.1
Cj Uzomah	18.3	199.0	1.4
Cole Beasley	17.7	196.8	1.3
Brevin Jordan	16.0	196.3	0.6
Darnell Washington	15.2	194.8	0.8
Brenton Strange	22.6	193.4	1.3
Cade Johnson	16.5	191.1	1.2
Taysom Hill	12.7	188.1	1.8
Harrison Bryant	17.8	186.8	0.9
Josiah Deguara	19.9	186.1	1.0
Justin Watson	13.7	183.9	0.9
Jimmy Graham	19.0	183.0	1.2
Albert Okwuegbunam	14.8	180.6	1.1
Trey Palmer	15.2	178.1	0.5
Brock Wright	17.3	177.0	2.0
Dyami Brown	11.8	176.6	0.6
Colby Parkinson	14.5	171.3	0.8
