Player	AVG	draftkings	fanduel	caesars	bet365	kambi	mgm	fantasypros	yahoo
Cooper Kupp	110.0	107.5	105.5	-	-	-	-	107.2	120
Justin Jefferson	108.5	105.5	104.5	105.5	-	102.5	-	110.9	122
Tyreek Hill	102.4	102.5	98.5	102.5	-	96.5	-	105.5	109
Jamarr Chase	101.9	95.5	94.5	95.5	-	-	-	105.9	118
Davante Adams	100.8	-	-	-	-	-	-	93.6	108
Stefon Diggs	100.7	99.5	95.5	99.5	-	96.5	-	97.2	116
Travis Kelce	98.9	95.5	92.5	95.5	-	92.5	-	105.5	112
Amon Ra St Brown	98.3	95.5	92.5	95.5	-	92.5	-	100.8	113
Ceedee Lamb	95.8	95.5	91.5	95.5	-	90.5	-	99.0	103
Keenan Allen	87.3	85.5	-	-	-	74.5	-	89.6	99.7
Garrett Wilson	85.0	86.5	82.5	-	-	77.5	-	83.5	95
Chris Godwin	83.7	80.5	77.5	80.5	-	76.5	-	89.7	97.3
Jaylen Waddle	83.3	85.5	81.5	-	-	81.5	-	79.8	88.3
Diontae Johnson	82.0	82.5	77.5	-	-	-	-	80.5	87.4
Devonta Smith	81.5	80.5	77.5	80.5	-	76.5	-	82.9	91.1
Aj Brown	77.7	75.5	74.5	75.5	-	70.5	-	77.8	92.6
Chris Olave	77.6	75.5	74.5	75.5	-	72.5	-	81.9	85.7
Dk Metcalf	77.3	75.5	73.5	75.5	-	75.5	-	82.3	81.4
Calvin Ridley	77.2	70.5	-	70.5	-	-	-	80.6	87.2
Tj Hockenson	77.2	-	-	-	-	76.5	-	80.9	74.2
Tee Higgins	77.1	70.5	73.5	70.5	-	-	-	80.5	90.6
Juju Smith Schuster	76.8	-	-	-	-	-	-	72.5	81.1
Michael Pittman	76.5	74.5	70.5	70.5	-	70.5	-	75.8	97.2
Terry Mclaurin	76.1	-	69.5	-	-	-	-	73.8	85.1
Deandre Hopkins	75.8	-	69.5	-	-	70.5	-	78.1	84.9
Michael Thomas	74.5	-	-	-	-	-	-	67.4	81.6
Drake London	74.4	70.5	69.5	70.5	-	69.5	-	75.9	90.7
Amari Cooper	74.0	72.5	69.5	72.5	-	69.5	-	73.3	86.9
Marquise Brown	73.4	70.5	-	70.5	-	71.5	-	77.8	76.5
Christian Kirk	72.7	70.5	69.5	70.5	-	68.5	-	74.2	83
Mark Andrews	71.8	-	-	69.5	-	68.5	-	74.8	74.3
Tyler Lockett	71.4	72.5	68.5	68.5	-	69.5	-	74.5	74.8
Jerry Jeudy	70.9	67.5	68.5	69.5	-	65.5	-	72.8	81.6
Jakobi Meyers	69.5	-	-	-	-	-	-	62.5	76.5
Brandon Aiyuk	67.4	59.5	-	-	-	-	-	64.7	78
