Player	AVG	draftkings	fanduel	caesars	bet365	fantasypros	yahoo
Justin Jefferson	1381.8	1400.5	1375.5	1375.5	1375.5	1529.3	1759
Jamarr Chase	1281.8	1275.5	1300.5	1250.5	1300.5	1377.2	1707
Tyreek Hill	1275.5	1300.5	1275.5	1250.5	-	1402.5	1526
Cooper Kupp	1250.5	1250.5	-	-	-	1324.8	1420
Davante Adams	1250.5	-	-	-	1250.5	1221.0	1373
Stefon Diggs	1144.2	1125.5	1125.5	1200.5	1125.5	1285.8	1430
Garrett Wilson	1133.8	1150.5	1125.5	-	1125.5	1144.1	1259
Travis Kelce	1106.8	1150.5	1075.5	1100.5	1100.5	1242.2	1345
Aj Brown	1094.2	1050.5	1125.5	1100.5	1100.5	1209.2	1418
Ceedee Lamb	1088.0	1100.5	1075.5	1100.5	1075.5	1307.2	1341
Jaylen Waddle	1075.5	1075.5	1075.5	-	1075.5	1179.6	1270
Chris Olave	1031.8	1050.5	1025.5	1050.5	1000.5	1143.7	1219
Amon Ra St Brown	1017.2	1050.5	1000.5	1000.5	-	1157.3	1234
Tee Higgins	1000.5	1000.5	1000.5	1000.5	1000.5	1088.5	1229
Devonta Smith	963.0	975.5	925.5	1000.5	950.5	1058.1	1226
Terry Mclaurin	944.2	900.5	950.5	975.5	950.5	1037.7	1136
Jerry Jeudy	925.5	925.5	925.5	950.5	900.5	1058.7	1091
Amari Cooper	919.2	950.5	925.5	875.5	925.5	1057.4	1160
Dk Metcalf	919.2	900.5	900.5	950.5	925.5	1007.8	1065
Mike Evans	894.2	925.5	875.5	900.5	875.5	973.3	1038
Keenan Allen	888.0	875.5	900.5	875.5	900.5	1008.2	1114
Calvin Ridley	883.8	900.5	-	900.5	850.5	1034.2	1153
Deandre Hopkins	858.8	850.5	850.5	875.5	-	994.1	1000
Tyler Lockett	844.2	875.5	825.5	825.5	850.5	892.5	1038
Mike Williams	838.0	800.5	850.5	875.5	825.5	995.5	1106
Marquise Brown	838.0	800.5	-	875.5	-	900.5	921
Christian Watson	831.8	825.5	850.5	850.5	800.5	958.0	1027
Chris Godwin	819.2	800.5	800.5	875.5	800.5	971.8	1050
Drake London	819.2	825.5	800.5	825.5	825.5	940.7	1068
Mark Andrews	819.2	825.5	800.5	825.5	825.5	887.2	908
Christian Kirk	813.0	825.5	825.5	775.5	825.5	945.5	1032
Dj Moore	813.0	800.5	800.5	850.5	800.5	911.9	1123
Diontae Johnson	808.8	825.5	800.5	-	800.5	892.9	886
Michael Pittman	800.5	800.5	800.5	800.5	800.5	871.3	1086
Brandon Aiyuk	788.0	775.5	-	800.5	-	898.1	1086
Tj Hockenson	775.5	-	750.5	800.5	-	830.9	780
George Pickens	763.0	750.5	775.5	775.5	750.5	838.7	969
Gabe Davis	759.0	775.5	-	742.5	-	810.9	957
Deebo Samuel	751.8	725.5	750.5	780.5	750.5	896.7	967
Brandin Cooks	733.8	775.5	700.5	725.5	-	795.4	971
Jahan Dotson	725.5	700.5	700.5	775.5	-	815.5	894
Michael Thomas	725.5	-	-	725.5	-	781.9	903
Kyle Pitts	702.2	700.5	675.5	730.5	-	782.5	808
Courtland Sutton	700.5	700.5	675.5	725.5	700.5	786.7	814
George Kittle	700.5	725.5	675.5	700.5	700.5	792.1	843
Jaxon Smith Njigba	692.2	725.5	650.5	700.5	-	792.3	825
Juju Smith Schuster	688.0	700.5	-	675.5	-	800.7	866
Dallas Goedert	683.8	675.5	700.5	675.5	-	756.8	761
Darren Waller	681.8	700.5	640.5	700.5	685.5	798.5	816
Treylon Burks	678.8	675.5	675.5	685.5	-	795.7	944
Dj Chark	675.5	675.5	-	675.5	-	706.0	663
Tyler Boyd	650.5	675.5	-	625.5	-	720.4	800
Marquez Valdes Scantling	638.0	625.5	-	650.5	-	707.6	638
Pat Freiermuth	625.5	650.5	600.5	625.5	-	638.0	732
Evan Engram	622.2	640.5	600.5	625.5	-	652.4	740
Allen Lazard	613.0	650.5	-	575.5	-	669.1	757
Nico Collins	609.0	585.5	-	632.5	-	720.2	655
Michael Gallup	600.5	600.5	-	600.5	-	653.4	709
Rashod Bateman	600.5	-	-	600.5	-	711.4	815
Skyy Moore	600.5	-	-	600.5	-	625.3	757
Quentin Johnston	588.0	575.5	600.5	-	-	693.0	860
Odell Beckham	576.8	575.5	580.5	575.5	575.5	563.1	654
Romeo Doubs	566.5	550.5	-	582.5	-	631.5	641
Elijah Moore	563.0	575.5	-	550.5	-	577.0	723
Alec Pierce	563.0	575.5	-	550.5	-	587.8	660
Robert Woods	540.5	540.5	-	-	-	547.6	596
Adam Thielen	538.0	550.5	-	525.5	-	668.8	722
David Njoku	538.0	550.5	525.5	-	-	583.0	739
Donovan Peoples Jones	525.5	550.5	-	500.5	-	690.7	735
Dalton Schultz	525.5	550.5	-	500.5	-	579.2	570
Zay Flowers	500.5	-	500.5	-	-	740.1	729
Tyler Higbee	500.5	500.5	-	-	-	569.8	522
Russell Gage	475.5	-	-	475.5	-	552.9	589
Isaiah Hodgins	463.0	500.5	-	425.5	-	539.6	558
Marvin Jones	450.5	-	-	450.5	-	486.1	615
Dawson Knox	425.5	425.5	-	425.5	-	399.5	478
Jordan Addison	0	-	-	-	-	821.2	879
Kadarius Toney	0	-	-	-	-	601.2	695
Jakobi Meyers	0	-	-	-	-	743.2	836
Devante Parker	0	-	-	-	-	697.2	561
Rondale Moore	0	-	-	-	-	717.5	633
Zay Jones	0	-	-	-	-	676.9	789
Darnell Mooney	0	-	-	-	-	655.6	898
Jameson Williams	0	-	-	-	-	638.6	788
Curtis Samuel	0	-	-	-	-	525.7	589
Jonathan Mingo	0	-	-	-	-	658.7	623
Van Jefferson	0	-	-	-	-	600.2	551
Rashid Shaheed	0	-	-	-	-	582.8	651
Hunter Renfrow	0	-	-	-	-	593.4	548
Kj Osborn	0	-	-	-	-	541.7	623
Jayden Reed	0	-	-	-	-	595.0	614
John Metchie	0	-	-	-	-	571.7	558
Mecole Hardman	0	-	-	-	-	458.7	660
Darius Slayton	0	-	-	-	-	580.8	611
Chase Claypool	0	-	-	-	-	501.4	543
Corey Davis	0	-	-	-	-	543.8	594
Khalil Shakir	0	-	-	-	-	540.0	710
Mack Hollins	0	-	-	-	-	492.6	388
Rashee Rice	0	-	-	-	-	502.6	817
Allen Robinson	0	-	-	-	-	520.3	528
Parris Campbell	0	-	-	-	-	436.3	632
Jalin Hyatt	0	-	-	-	-	461.1	591
Greg Dortch	0	-	-	-	-	452.1	448
Tyquan Thornton	0	-	-	-	-	390.2	570
Joshua Palmer	0	-	-	-	-	461.0	479
Wandale Robinson	0	-	-	-	-	451.1	583
Josh Reynolds	0	-	-	-	-	439.9	351
Kendrick Bourne	0	-	-	-	-	415.6	476
Nick Westbrook Ikhine	0	-	-	-	-	400.3	416
Ben Skowronek	0	-	-	-	-	397.8	299
Terrace Marshall	0	-	-	-	-	416.9	450
Marvin Mims	0	-	-	-	-	377.3	633
Sterling Shepard	0	-	-	-	-	355.9	269
Richie James	0	-	-	-	-	350.5	552
Laviska Shenault	0	-	-	-	-	259.7	182
Isaiah Mckenzie	0	-	-	-	-	304.5	349
Josh Downs	0	-	-	-	-	345.0	563
Tutu Atwell	0	-	-	-	-	306.9	326
Kayshon Boutte	0	-	-	-	-	388.5	-
Cedric Tillman	0	-	-	-	-	388.5	387
Puka Nacua	0	-	-	-	-	377.9	127
Justyn Ross	0	-	-	-	-	366.8	112
Tank Dell	0	-	-	-	-	317.5	-
Braxton Berrios	0	-	-	-	-	262.3	424
Quez Watkins	0	-	-	-	-	288.9	390
Michael Wilson	0	-	-	-	-	277.6	-
Chris Moore	0	-	-	-	-	260.4	233
Jauan Jennings	0	-	-	-	-	254.3	334
Olamide Zaccheaus	0	-	-	-	-	250.3	295
Marquez Callaway	0	-	-	-	-	232.7	204
Robbie Chosen	0	-	-	-	-	291.2	220
Marquise Goodwin	0	-	-	-	-	210.5	187
Kalif Raymond	0	-	-	-	-	205.4	444
Amari Rodgers	0	-	-	-	-	218.6	-
Tim Patrick	0	-	-	-	-	292.9	24.4
Demarcus Robinson	0	-	-	-	-	233.0	291
Xavier Hutchinson	0	-	-	-	-	274.4	-
Noah Brown	0	-	-	-	-	237.7	390
Samori Toure	0	-	-	-	-	219.0	132
Charlie Jones	0	-	-	-	-	225.5	-
Randall Cobb	0	-	-	-	-	206.2	245
Devin Duvernay	0	-	-	-	-	187.4	267
Jalen Guyton	0	-	-	-	-	204.3	-
Cedrick Wilson	0	-	-	-	-	203.1	-
Kyle Philips	0	-	-	-	-	211.5	189
David Bell	0	-	-	-	-	213.9	220
Justin Watson	0	-	-	-	-	179.8	-
Cade Johnson	0	-	-	-	-	168.0	-
At Perry	0	-	-	-	-	226.0	-
Zach Pascal	0	-	-	-	-	174.7	-
Tyler Scott	0	-	-	-	-	213.7	-
Dyami Brown	0	-	-	-	-	169.7	-
Trent Sherfield	0	-	-	-	-	168.3	-
Tre Nixon	0	-	-	-	-	137.5	-
Bryan Edwards	0	-	-	-	-	142.5	-
Calvin Austin	0	-	-	-	-	157.0	125
Khadarel Hodge	0	-	-	-	-	131.4	-
Jamal Agnew	0	-	-	-	-	104.1	286
Dontayvion Wicks	0	-	-	-	-	132.3	-
Steven Sims	0	-	-	-	-	96.5	-
David Moore	0	-	-	-	-	104.0	-
Shi Smith	0	-	-	-	-	126.2	-
Dee Eskridge	0	-	-	-	-	106.0	-
Trenton Irwin	0	-	-	-	-	125.1	166
Trey Palmer	0	-	-	-	-	124.2	-
Nelson Agholor	0	-	-	-	-	142.5	298
Jalen Nailor	0	-	-	-	-	105.9	-
Cole Beasley	0	-	-	-	-	107.5	-
Britain Covey	0	-	-	-	-	100.8	-
Andre Baccellia	0	-	-	-	-	116.9	-
Brandon Powell	0	-	-	-	-	89.1	-
Deven Thompkins	0	-	-	-	-	83.6	-
Equanimeous St Brown	0	-	-	-	-	96.5	-
Velus Jones	0	-	-	-	-	79.1	-
Tre Tucker	0	-	-	-	-	100.6	-
Deandre Carter	0	-	-	-	-	102.1	189
Jalen Tolbert	0	-	-	-	-	108.1	-
Kendall Hinton	0	-	-	-	-	94.2	-
Trequan Smith	0	-	-	-	-	98.5	220
Damiere Byrd	0	-	-	-	-	93.3	194
Deonte Harty	0	-	-	-	-	108.4	-
Scott Miller	0	-	-	-	-	93.4	-
Phillip Dorsett	0	-	-	-	-	86.9	-
Denzel Mims	0	-	-	-	-	99.7	-
Parker Washington	0	-	-	-	-	117.3	-
Jamison Crowder	0	-	-	-	-	113.7	-
Demario Douglas	0	-	-	-	-	105.5	-
Ashton Dulin	0	-	-	-	-	81.7	-
Kaylon Geiger Sr	0	-	-	-	-	66.5	-
Montrell Washington	0	-	-	-	-	66.2	-
Jakeem Grant Sr	0	-	-	-	-	51.3	-
Andrei Iosivas	0	-	-	-	-	93.7	-
Cody Thompson	0	-	-	-	-	70.1	-
Kavontae Turpin	0	-	-	-	-	54.8	-
Ray Ray Mccloud	0	-	-	-	-	39.1	-
Dante Pettis	0	-	-	-	-	65.6	-
Ronnie Bell	0	-	-	-	-	57.1	-
Justin Shorter	0	-	-	-	-	81.8	-
Jalen Reagor	0	-	-	-	-	50.9	-
Lance Mccutcheon	0	-	-	-	-	63.4	-
