			UPD: 08 AM

EV (AVG)	EV (365)	Team	Player	FD	AVG	bet365	DK	MGM	CZ	PB	BR	PN	BS	Kambi
29.1	34.5	CIN	Joey Votto	350	275/-396	270/-360	290/-425	240/-375	295	300/-425	290/-400	-	-	285/-400
28.9	31.5	MIN	Joey Gallo	420	320/-481	330/-450	340/-525	260/-400	250	350/-550	-	-	-	
23.2	20.9	ATL	Matt Olson	285	242/-352	265/-350	245/-360	210/-350	225	250/-350	265/-360	-	-	250/-345
23.0	22.8	ATL	Ronald Acuna	340	286/-418	310/-400	285/-425	270/-450	295	280/-400	310/-435	-	-	300/-420
22.0	23.2	BAL	Ryan Ohearn	460	368/-581	390/-550	370/-600	340/-600	360	375/-575	380/-590	-	-	380/-590
21.6	21.1	TEX	Adolis Garcia	350	296/-441	320/-425	320/-500	250/-400	265	-	330/-480	-	-	330/-480
20.9	0	DET	Spencer Torkelson	420	341/-541		350/-550	300/-500	250	375/-575	380/-560	-	-	380/-560
19.8	24.3	CIN	Spencer Steer	750	541/-1000	575/-900	550/-1000	500/-1100	625	-	-	-	-	
19.6	23.4	ATL	Sean Murphy	420	347/-550	360/-500	350/-550	333/-600	375	-	350/-500	-	-	340/-500
19.3	23.2	PHI	Bryce Harper	360	312/-468	320/-425	320/-500	280/-450	300	330/-500	335/-480	-	-	335/-480
18.2	19.8	SEA	Cal Raleigh	440	366/-587	390/-550	360/-575	340/-650	330	375/-575	-	-	-	
17.5	18.5	SF	Mike Yastrzemski	320	291/-425	310/-400	285/-425	270/-450	320	300/-425	300/-420	-	-	300/-420
17.3	0	DET	Riley Greene	830	575/-1166		600/-1200	525/-1200	480	600/-1099	650/-1250	-	-	650/-1250
17.0	19.6	ATL	Marcell Ozuna	360	317/-487	330/-450	320/-500	290/-500	340	330/-500	360/-530	-	-	350/-530
16.9	23.4	LAD	Jd Martinez	420	361/-568	360/-500	390/-650	320/-550	310	375/-575	360/-530	-	-	360/-530
16.8	24.5	BAL	Anthony Santander	300	281/-400	265/-350	310/-450	240/-350	240	310/-450	280/-385	-	-	280/-385
15.9	15.9	CHW	Oscar Colas	750	625/-1000	625/-1000						-	-	500/-910
15.7	16.3	ATL	Ozzie Albies	460	396/-631	425/-600	400/-650	360/-650	420	400/-625	430/-670	-	-	425/-670
15.7	25.2	TEX	Marcus Semien	430	371/-593	360/-500	400/-650	325/-600	350	400/-625	375/-560	-	-	375/-560
15.6	19.9	NYM	Starling Marte	750	556/-1062	600/-950	550/-1100	525/-1200	500	550/-1000	650/-1250	-	-	650/-1250
15.6	22.0	SF	Joc Pederson	255	243/-353	235/-310	275/-400	220/-350	245	-	250/-345	-	-	255/-345
14.3	15.8	LAA	Shohei Ohtani	280	270/-392	280/-370	270/-400	250/-400	250	280/-400	290/-400	-	-	290/-400
14.3	18.6	LAA	Matt Thaiss	700	543/-1000	575/-900	550/-1000	500/-1100	550	550/-1000	575/-1000	-	-	575/-1000
13.5	19.6	TEX	Corey Seager	360	330/-512	330/-450	350/-550	290/-500	310	350/-550	350/-500	-	-	350/-500
13.2	16.4	PHI	Kyle Schwarber	220	223/-317	225/-290	230/-330	200/-300	200	240/-350	225/-305	-	-	225/-305
12.7	16.3	TB	Josh Lowe	680	531/-1000	575/-900	500/-1000	500/-1100	550	550/-1000	550/-1000	-	-	550/-1000
12.4	11.6	NYM	Pete Alonso	320	306/-462	330/-450	295/-450	290/-500	250	310/-450	330/-480	-	-	330/-480
12.1	16.9	MIL	Christian Yelich	500	437/-725	450/-650	450/-750	400/-750	420	450/-750	460/-715	-	-	460/-715
11.7	13.9	SEA	Teoscar Hernandez	480	425/-700	450/-650	425/-700	375/-700	410	450/-750	450/-715	-	-	450/-715
11.1	17.0	NYY	Giancarlo Stanton	330	318/-487	320/-425	330/-525	275/-450	285	350/-550	310/-435	-	-	310/-435
10.9	0	KC	Mj Melendez	630	491/-966		500/-1000	475/-1000	410	500/-899	600/-1115	-	-	600/-1115
10.9	13.2	SEA	Jarred Kelenic	440	400/-650	425/-600	390/-650	360/-650	350	425/-700	375/-590	-	-	375/-590
10.8	13.2	ARI	Corbin Carroll	440	402/-650	425/-600	400/-650	360/-650	410	425/-700	450/-715	-	-	425/-670
10.6	10.9	NYM	Francisco Lindor	460	418/-681	450/-650	425/-700	400/-750	360	400/-625	430/-670	-	-	430/-670
10.5	15.1	ATL	Eddie Rosario	560	466/-850	500/-750	475/-900	425/-900	525	-	-	-	-	
10.1	13.0	SF	Lamonte Wade	400	373/-600	390/-550	380/-600	350/-650	440	-	360/-530	-	-	350/-530
10.1	10.9	CIN	Elly De La Cruz	460	418/-687	450/-650	425/-700	375/-700	490	425/-700	410/-625	-	-	410/-625
9.9	11.6	LAD	Mookie Betts	320	315/-481	330/-450	310/-475	290/-500	285	330/-500	325/-480	-	-	325/-480
9.9	12.3	ARI	Lourdes Gurriel	680	550/-1037	600/-950	550/-1100	500/-1100	600	550/-1000	600/-1115	-	-	575/-1000
9.8	14.8	LAA	Trey Cabbage	630	518/-962	550/-850	500/-1000	475/-1000	525	550/-1000	-	-	-	
9.8	14.8	NYY	Harrison Bader	630	518/-962	550/-850	500/-1000	475/-1000	525	550/-1000	510/-835	-	-	510/-835
