			UPD: 08:11 PM

EV (AVG)	EV (365)	Team	Player	IN	FD	AVG	bet365	DK	MGM	CZ	PB	BR	PN	BS
-9.5	10.2	PHI	Kyle Schwarber	*	320	348/-522	300/-390	350/-550	360/-650	320	375/-575	320/-455	374	381
-5.1	4.7	OAK	Seth Brown	*	360	327/-507	320/-425	340/-525	310/-550	325	350/-550	350/-500	297	291
0.6	4.4	HOU	Jose Abreu		420	358/-537	360/-500	350/-550	325/-550	375	350/-550	370/-560	344	341
-2.6	2.5	SD	Manny Machado		430	407/-672	425/-600	400/-700	375/-700	440	425/-700	430/-670	390	381
-18.1	2.0	ATL	Austin Riley	*	390	440/-756	390/-550	450/-800	450/-900	400	500/-899	450/-715	438	449
-0.7	1.9	LAD	Mookie Betts		330	315/-486	330/-450	330/-500	300/-500	330	330/-500	290/-400	310	300
-0.8	1.9	SD	Fernando Tatis		310	316/-486	330/-450	320/-500	300/-500	330	330/-500	330/-480	310	300
-1.9	1.9	BAL	Anthony Santander	*	300	315/-497	330/-450	320/-500	300/-500	330	350/-550	280/-385	320	320
1.8	1.3	LAD	Max Muncy		265	250/-345	260/-340	240/-340	230/-350	250	250/-350	270/-375	242	240
-1.3	0.9	HOU	Kyle Tucker		360	341/-537	360/-500	340/-550	325/-550	360	350/-550	335/-480	335	320
-8.1	0.9	NYM	Dj Stewart	*	400	365/-588	360/-500	370/-600	340/-650	360	400/-625	-	342	341
0.6	0.5	HOU	Yordan Alvarez		300	283/-403	300/-390	280/-425	260/-400	285	280/-400	295/-420	273	275
-43.7	0	DET	Zack Short	*	900	783/-1493		700/-1600	-	525	750/-1399	-		
-14.5	0	OAK	Tyler Soderstrom	*	680	578/-900		475/-900	-	525	-	-	-	-
-60.2	0	DET	Parker Meadows	*	680	943/-3227		950/-3500	-	700	1200/-2994	-	-	-
-50.0	0	STL	Masyn Winn	*	1000	838/-2038		750/-2000	700/-2500	600	900/-1748	-	-	-
-26.2	0	SEA	Julio Rodriguez		500	445/-864		475/-800	450/-900	390	500/-899	375/-590	390	426
-28.6	0	PHI	Jt Realmuto	*	560	495/-893		475/-900	450/-1000	400	475/-800	510/-835		499
-43.8	0	SEA	Jp Crawford		900	829/-2298		850/-2500	775/-3000	750	900/-1748	800/-2000		747
-39.2	0	CIN	Jonathan India	*	600	606/-1326		600/-1400	575/-1400	480	650/-1199	-	-	-
-68.0	0	PHI	Johan Rojas	*	1060	1030/-6000		1000/-6000	-	950	-	-	-	-
-40.6	0	CIN	Joey Votto	*	450	581/-1326		650/-1400	575/-1400	460	650/-1199	-	-	-
-1.7	0	LAD	Jd Martinez		370	303/-450		300/-450	270/-450	305	310/-450	310/-435	286	275
-16.1	0	NYM	Francisco Alvarez	*	540	505/-899		475/-900	-	490	500/-899	-		
-58.1	0	COL	Alan Trejo	*	600	775/-4118		900/-3500	825/-5000	850	-	-	-	-
-5.3	-0.5	OAK	Zack Gelof	*	480	418/-660	425/-600	400/-650	375/-700	425	425/-700	475/-770	383	381
-2.9	-2.3	SD	Juan Soto		350	368/-574	390/-550	360/-575	340/-600	380	375/-575	410/-625	355	361
-4.0	-2.6	OAK	Lawrence Butler	*	540	528/-887	550/-850	475/-900	450/-900	575	500/-899	650/-1250		
-9.6	-3.1	ARI	Ketel Marte	*	520	455/-803	475/-700	475/-900	450/-900	475	450/-750	410/-625	435	426
-5.0	-3.1	LAD	Freddie Freeman		370	431/-760	475/-700	450/-750	400/-800	475	475/-800	425/-670	424	426
-5.0	-3.1	HOU	Chas Mccormick		450	445/-748	475/-700	450/-800	400/-750	475	450/-750	-	-	-
-4.6	-3.1	HOU	Alex Bregman		420	438/-748	475/-700	450/-800	400/-750	475	450/-750	460/-770	424	426
0.4	-3.3	OAK	Shea Langeliers	*	440	369/-530	390/-550	340/-525	320/-550	375	330/-500	410/-625	357	361
-5.3	-3.5	BAL	Gunnar Henderson	*	400	392/-648	425/-600	390/-650	360/-650	410	425/-700	370/-560	388	381
-3.2	-3.7	LAD	Will Smith		360	398/-687	450/-650	400/-700	375/-700	440	425/-700	380/-560	395	400
