			UPD: 07:58 AM

EV (AVG)	Team	Player	IN	FD	AVG	bet365	DK	MGM	CZ
157.1	BAL	Anthony Santander		340	306/1186	330/-450	320/+0	-	334/-633
5.2	CHW	Oscar Colas		430	319/-462	330/-450	310/-475	-	430/-958
2.6	NYM	Brandon Nimmo		480	343/-549	360/-500	340/-550	-	325/-608
2.4	CHW	Andrew Vaughn		350	277/-384	280/-370	275/-400	-	359/-708
2.2	ATL	Eddie Rosario		500	355/-577	390/-550	360/-575	-	306/-558
1.1	CHW	Luis Robert		330	265/-369	270/-360	260/-380	-	325/-608
-0.1	ATL	Matt Olson		460	341/-543	360/-500	350/-550	-	316/-583
-1.3	NYM	Jeff Mcneil		430	333/-508	330/-450	320/-500	-	297/-533
-1.6	KC	Salvador Perez		430	330/-514	360/-500	330/-525	-	255/-433
-2.0	STL	Nolan Arenado		330	269/-390	290/-380	275/-400	-	234/-388
-3.1	HOU	Jose Altuve		400	315/-487	320/-425	310/-475	-	266/-458
-3.5	NYM	Pete Alonso		470	361/-578	390/-550	360/-575	-	342/-658
-4.9	CLE	Bo Naylor		600	441/-761	475/-700	450/-800	-	390/-808
-5.2	KC	Maikel Garcia		340	287/-419	320/-425	295/-450	-	255/-433
-6.3	BAL	Ryan Mountcastle		370	305/-470	330/-450	310/-475	-	316/-583
-6.5	TB	Christian Bethancourt		500	389/-643	425/-600	400/-700	-	-
-6.8	SEA	Tom Murphy		410	334/-525	360/-500	340/-550		
-7.0	PHI	Alec Bohm		370	314/-469	330/-450	330/-500		
-7.3	DET	Kerry Carpenter		500	391/-650	425/-600	400/-700	-	306/-558
-7.3	HOU	Corey Julks		500	391/-650	425/-600	400/-700		
-7.5	PIT	Jack Suwinski		700	508/-923	525/-800	500/-900	-	390/-808
-7.7	CLE	Will Brennan		410	336/-533	360/-500	330/-525	-	306/-558
-7.7	MIN	Max Kepler		330	284/-425	300/-390	285/-425		
-7.9	BAL	Ryan Ohearn		370	312/-479	330/-450	310/-475	-	316/-583
-8.0	WSH	Stone Garrett		430	351/-561	360/-500	350/-550		
-8.3	OAK	Seth Brown		460	380/-596	390/-550	380/-600	-	334/-633
-8.4	HOU	Yordan Alvarez		500	397/-659	425/-600	400/-650	-	306/-558
-8.4	ATL	Ozzie Albies		320	279/-416	310/-400	280/-425	-	244/-408
-8.9	NYM	Francisco Lindor		380	323/-499	330/-450	310/-475	-	325/-608
-8.9	NYM	Brett Baty		550	428/-733	450/-650	425/-700		
-9.5	SEA	Dylan Moore		550	434/-736	475/-700	450/-750		
-9.8	MIN	Matt Wallner		430	356/-577	390/-550	360/-575		
-9.9	STL	Tyler Oneill		350	309/-463	330/-450	320/-500	-	276/-483
-10.0	HOU	Kyle Tucker		460	376/-620	390/-550	380/-600	-	287/-508
-10.0	PIT	Henry Davis		480	391/-645	425/-600	425/-750	-	255/-433
-10.4	COL	Jurickson Profar		380	330/-508	360/-500	340/-525	-	351/-683
-10.4	HOU	Alex Bregman		410	349/-551	360/-500	330/-525	-	287/-508
-10.6	TB	Yandy Diaz		300	272/-403	290/-380	265/-390	-	225/-368
-10.7	TB	Brandon Lowe		490	404/-663	450/-650	425/-700	-	334/-633
-10.8	SEA	Eugenio Suarez		470	389/-638	425/-600	390/-650	-	359/-708
-10.9	STL	Willson Contreras		330	296/-444	320/-425	310/-475	-	266/-458
-11.1	KC	Bobby Witt		300	274/-405	300/-390	280/-425	-	225/-368
-11.3	CHW	Eloy Jimenez		320	302/-423	310/-400	295/-450	-	325/-608
-11.4	MIN	Edouard Julien		420	356/-576	390/-550	370/-600		
-12.2	BAL	Gunnar Henderson		340	305/-469	320/-425	310/-475	-	342/-658
-12.8	WSH	Alex Call		460	388/-645	425/-600	370/-600	-	375/-758
-13.1	ARI	Corbin Carroll		390	340/-549	360/-500	340/-550	-	351/-683
-13.1	BAL	Austin Hays		400	347/-564	390/-550	350/-575	-	351/-683
-13.3	NYY	Jake Bauers		550	446/-780	475/-700	425/-750	-	430/-958
-13.4	KC	Mj Melendez		550	453/-776	500/-750	450/-800	-	255/-433
-13.7	NYM	Francisco Alvarez		450	387/-637	425/-600	400/-700	-	375/-758
-13.8	WSH	Dominic Smith		440	378/-626	425/-600	390/-650	-	287/-508
-14.2	PHI	Trea Turner		370	334/-526	360/-500	340/-525		
-14.2	CIN	Spencer Steer		340	314/-482	330/-450	330/-500	-	276/-483
-14.5	TB	Wander Franco		300	288/-425	310/-400	290/-425	-	276/-483
-14.5	WSH	Riley Adams		400	359/-569	390/-550	370/-600		
-14.6	CIN	Christian Encarnacion Strand		360	330/-514	360/-500	330/-525	-	276/-483
-14.7	ATL	Marcell Ozuna		410	361/-591	390/-550	390/-650	-	297/-533
-14.7	PHI	Jt Realmuto		390	339/-569		350/-550		
-15.0	LAA	Hunter Renfroe		500	425/-722	450/-650	450/-800	-	316/-583
-15.0	LAA	Brandon Drury		420	372/-605	390/-550	390/-650	-	276/-483
-15.1	TB	Randy Arozarena		370	334/-537	360/-500	350/-550	-	255/-433
-15.1	OAK	Jj Bleday		470	413/-673	425/-600	390/-650	-	359/-708
-15.5	NYY	Anthony Volpe		650	525/-947	525/-800	500/-900	-	351/-683
-15.6	NYY	Isiah Kiner Falefa		500	433/-724	475/-700	450/-800	-	334/-633
-15.7	MIN	Jorge Polanco		330	311/-480	330/-450	320/-500		
-15.7	HOU	Jeremy Pena		340	319/-494	330/-450	320/-500	-	306/-558
-15.7	COL	Elehuris Montero		500	433/-726	475/-700	450/-750	-	506/-1308
-15.8	ATL	Michael Harris		400	362/-582	390/-550	370/-600	-	316/-583
-15.8	BAL	Adam Frazier		450	393/-659	425/-600	390/-650	-	375/-758
-15.9	WSH	Lane Thomas		340	321/-494	330/-450	320/-475	-	306/-558
-16.0	COL	Ezequiel Tovar		400	365/-582	390/-550	380/-600	-	375/-758
-16.2	PHI	Bryce Harper		360	335/-527	360/-500	330/-500		
-16.3	STL	Dylan Carlson		320	308/-468	330/-450	320/-475	-	266/-458
-16.5	WSH	Joey Meneses		340	323/-499	330/-450	310/-475	-	297/-533
-16.5	SEA	Cal Raleigh		430	387/-632	425/-600	390/-650	-	334/-633
