					UPD: 11:59 AM

EV (AVG)	EV (F4)	EV (w/ PN)	EV (365)	Game	Player	IN	FD	AVG	bet365	DK	MGM	CZ	Kambi	PN	vs SP
13.8	16.9	17.7	12.8	COL @ NYY	Aaron Judge		+180	167/-218	170/-220	+135	175/-210	140	170/-225	156/-183	.000 0-2, 0 HR, 0 RBI, 1 BB, 1 SO
11.3	16.1	13.4	14.0	COL @ NYY	Giancarlo Stanton		+250	229/-298	220/-290	+210	225/-275	210	240/-335	227/-276	
7.9	8.2	3.9	2.5	TB @ LAD	Teoscar Hernandez		+320	318/-409	320/-450	+310	290/-375	340		340/-509	.000 0-9, 0 HR, 0 RBI, 0 BB, 2 SO
7.5	8.0	5.4	8.5	SF @ SEA	Cal Raleigh		+360	330/-450	320/-450	+340	340/-450	300		342/-513	
5.6	4.1	-2.3	-0.5	TB @ LAD	Shohei Ohtani		+240	291/-424	320/-450	+295	310/-400	295		290/-665	.667 4-6, 1 HR, 2 RBI, 0 BB, 1 SO
4.6	4.9	2.6	0.5	TB @ LAD	Max Muncy		+310	310/-424	320/-450	+300	320/-400	290		324/-477	.000 0-1, 0 HR, 0 RBI, 0 BB, 0 SO
1.7	2.3	-0.3	3.6	TB @ LAD	Mookie Betts		+390	372/-500	350/-500	+360	375/-500	375		372/-576	.000 0-1, 0 HR, 0 RBI, 1 BB, 0 SO
1.0	1.4	-1.6	0.5	WSH @ ATL	Marcell Ozuna		+350	321/-445	320/-450	+300	325/-450	300	310/-435	325/-594	.417 5-12, 1 HR, 4 RBI, 0 BB, 3 SO
-0.2	4.5	0.3	1.4	ARI @ BOS	Rafael Devers		+350	316/-433	310/-425	+285	310/-400	275	335/-480	313/-456	
-1.3	-1.3	-3.4	-2.0	COL @ NYY	Juan Soto		+320	342/-500	350/-500	+330	360/-500	330	350/-500	402/-546	.192 5-26, 2 HR, 4 RBI, 3 BB, 1 SO
-1.6	1.3	-1.8	0.5	WSH @ ATL	Jorge Soler		+370	330/-460	320/-450	+300	340/-450	290	330/-480	337/-504	.500 1-2, 1 HR, 2 RBI, 1 BB, 0 SO
-2.0	-2.5	-2.4	-2.1	COL @ NYY	Michael Toglia		+500	435/-641	425/-650	+450	450/-650	400	400/-625	471/-667	.000 0-2, 0 HR, 0 RBI, 0 BB, 1 SO
-2.2	0.3	-2.5	-3.8	ARI @ BOS	Tyler Oneill		+400	354/-482	350/-500	+320	350/-450	320	350/-500	355/-540	
-3.2	2.8	-2.6	-0.7	DET @ CHW	Luis Robert		+320	312/-445	310/-425	+275	310/-400	270	350/-530	308/-447	
-3.4	-1.4	-4.4	0.4	DET @ CHW	Parker Meadows		+440	425/-622	400/-600	+425	425/-600	450	410/-670	420/-684	
-3.9	-5.0	-12.9	-4.3	TB @ LAD	Will Smith		+400	444/-700	450/-700	+475	475/-700	450		466/-1169	.000 0-1, 0 HR, 0 RBI, 0 BB, 0 SO
-3.9	-2.8	-5.2	-2.0	TB @ LAD	Brandon Lowe		+430	401/-550	375/-550	+370	400/-550	400		394/-624	
-4.0	-3.3	-5.8	-2.1	MIL @ OAK	Shea Langeliers		+470	445/-657	425/-650	+450	450/-650	450	430/-670	453/-762	.333 1-3, 0 HR, 0 RBI, 0 BB, 0 SO
-4.2	2.7	-3.6	2.5	TEX @ CLE	Corey Seager		+400	346/-489	320/-450	+310	340/-450	300	370/-590	345/-520	.125 1-8, 0 HR, 0 RBI, 1 BB, 0 SO
-4.4	-3.7	-5.0	-3.6	ARI @ BOS	Joc Pederson		+500	415/-597	400/-600	+400	425/-600	380	370/-590	421/-685	
-4.6	-5.3	-7.7	-6.2	TB @ LAD	Christopher Morel		+450	481/-724	475/-750	+500	500/-700	500		481/-834	.000 0-1, 0 HR, 0 RBI, 0 BB, 0 SO
-5.1	-2.6	-9.9	-3.7	PHI @ KC	Kyle Schwarber		+350	366/-573	375/-550	+360	375/-550	340	390/-625	392/-841	.375 6-16, 3 HR, 5 RBI, 4 BB, 5 SO
-5.2	-1.4	-5.4	-5.7	DET @ CHW	Spencer Torkelson		+340	346/-499	350/-500	+310	350/-450	320	370/-560	346/-521	.500 1-2, 1 HR, 2 RBI, 0 BB, 0 SO
-5.3	-4.0	-6.8	-3.6	SF @ SEA	Julio Rodriguez		+470	424/-600	400/-600	+400	425/-600	400		423/-691	
