			UPD: 06:37 PM

EV (AVG)	Line	Team	Player	IN	FD	AVG	bet365	DK	MGM	CZ	PB	BR	PN	BS
2.0	4.5	BAL	Cole Irvin		-144/114	-105/-126	-130/+100	-120/-110	-120/-110	-146/100	-120/-110	-122/-109	-129	-135
1.3	5.5	MIN	Sonny Gray		-144/112	-106/-126	-120/-110	-130/-105	-125/-105	-119/-123	-140/105	-141/106	-115	-125
0.0	6.5	ARI	Brandon Pfaadt		-112/-112	-130/-102	100/-130	100/-130	100/-130	-107/-137	-105/-125	-103/-132		-105
-0.6	3.5	COL	Kyle Freeland		-142/112	-102/-130	-125/-105	-130/+100	-135/100	-139/-105	-125/-105	-136/102	-133	-135
-2.5	4.5	PHI	Cristopher Sanchez		-134/106	-103/-127	-115/-115	-120/-110	-145/110	-158/108	-120/-110	-121/-110	-116	-140
-2.7	5.5	PIT	Mitch Keller		-136/108	-103/-132	-135/+105	-130/+100	-105/-120	-135/-108	-140/105	-165/123	-140	-135
-2.9	4.5	BOS	Kutter Crawford		110/-140	-153/116	140/-170	105/-135	125/-165	108/-158	110/-145	116/-155	131	125
-3.3	4.5	STL	Miles Mikolas		118/-150	-163/123	135/-165	125/-165	125/-165	-	-	114/-152	127	120
-3.5	6.5	NYY	Gerrit Cole		-118/-108	-115/-114	-115/-115	-115/-115	-110/-115	-	-115/-115	-118/-113	-113	-115
-3.6	5.5	TOR	Chris Bassitt		108/-136	-145/111	115/-145	105/-140	115/-150	106/-155	105/-140	114/-152	114	115
-3.9	6.5	SD	Yu Darvish		124/-158	-166/129	150/-180	115/-150	-	117/-173	110/-145	-	116	150
-4.0	8.5	ATL	Spencer Strider		-148/116	108/-143	-140/+110	-140/+105	-145/110	-	-145/110	-143/108	-143	-140
-4.0	6.5	MIL	Brandon Woodruff		108/-136	-145/109	115/-145	110/-145	100/-130	111/-164	105/-140	108/-143	101	115
-4.4	4.5	MIA	Braxton Garrett		-152/120	112/-149	-150/+120	-150/+115	-140/105	-	-150/115	-162/120	-145	-155
-4.7	3.5	DET	Matt Manning		-154/122	116/-150	-155/+125	-145/+115	-155/120	-170/115	-140/105	-148/110	-155	-140
-5.0	4.5	WSH	Joan Adon		130/-166	-169/132	135/-165	140/-185	125/-160	-	-	125/-167	148	120
-5.3	7.5	CHW	Dylan Cease		-132/104	100/-132	-130/+100	-125/+100	-140/105	-152/104	-125/-105	-122/-109	-124	-150
-5.7	3.5	CHC	Kyle Hendricks		-152/120	114/-153	-150/+120	-155/+115	-155/115	-155/106	-160/120	-148/110	-157	-155
-6.1	6.5	NYM	Kodai Senga		-128/100	-101/-128	-130/+100	-130/+100	-115/-110	-149/102	-130/-100	-122/-109	-144	-115
-6.1	5.5	HOU	Framber Valdez		-106/-120	-121/-109	-115/-115	-115/-115	-105/-125	-104/-141	-115/-115	102/-136	-112	-115
-6.5	5.5	LAA	Patrick Sandoval		120/-154	-154/116	120/-150	115/-150	120/-155	115/-170	115/-150	123/-165	119	105
-7.4	5.5	CLE	Tanner Bibee		126/-160	-161/115	130/-160	125/-170	115/-155	110/-161	-	105/-139	111	110
-8.7	5.5	KC	Brady Singer		104/-134	-129/-106	100/-130	-105/-125	100/-130	-115/-127	-100/-130	-104/-129	-119	
-9.4	5.5	TEX	Dane Dunning		124/-156	-142/110	100/-130	120/-155	105/-135	-108/-135	115/-150	110/-148	128	
-10.0	5.5	LAD	Lance Lynn		122/-154	-140/106	-105/-125	110/-145	115/-150	106/-155	105/-140	112/-148	109	110
-10.5	6.5	CIN	Hunter Greene		-116/-110	-102/-130	-135/+105	-120/-110	-140/105	-146/100	-115/-115	-125/-106	-128	-140
-10.6	5.5	TB	Zach Eflin		-140/110	118/-152	-150/+120	-170/+130	-155/115	-158/108	-145/110	-143/108	-147	-150
-12.8	5.5	SEA	Bryce Miller		-118/-108	103/-140	-135/+105	-140/+105	-	-158/108	-	-139/106	-143	-140
