				UPD: 08:43 AM

EV (AVG)	Game	Player	IN	FD	AVG	bet365	DK	MGM	CZ	Kambi	PN	BV
-0.6	ATL @ PHI	Sean Murphy		150	160/-210	170/-210	185/-260					
-2.3	ATL @ PHI	Michael Harris		125	167/-243	170/-210	200/-285					
-4.9	NYY @ BOS	Aaron Judge		-105	103/-140	105/-135	110/-145		{'0.5': '-125/-109'}	{'0.5': '-120/-114'}		
-5.1	ATL @ PHI	Austin Riley		100	120/-165	130/-160	130/-175					
-5.3	ATL @ PHI	Matt Olson		100	109/-146	110/-140	115/-150					
-6.5	CHC @ COL	Elias Diaz		125	135/-177	150/-180	140/-190					
-6.6	CHC @ COL	Ian Happ		100	119/-163	130/-160	125/-165					
-6.8	LAA @ SEA	Teoscar Hernandez		130	127/-166	130/-160	130/-170					
-6.9	STL @ BAL	Anthony Santander		105	116/-157	125/-155	120/-160					
-7.0	NYY @ BOS	Triston Casas		135	154/-213	170/-210	165/-225					
-7.0	ATL @ PHI	Eddie Rosario		165	179/-250	205/-250	195/-270					
-7.0	CHC @ COL	Brendan Rodgers		140	160/-217	180/-225	170/-235					
-7.1	ATL @ PHI	Ronald Acuna		115	144/-203	170/-210	155/-210					
-7.2	CHC @ COL	Yan Gomes		-105	123/-173	140/-170	130/-175					
-7.2	CHC @ COL	Dansby Swanson		-120	122/-174	140/-170	130/-175					
-7.4	ARI @ NYM	Pete Alonso		115	131/-176	145/-175	135/-180					
-7.5	TEX @ TOR	Vladimir Guerrero		125	136/-182	150/-180	140/-185					
-7.5	STL @ BAL	Ryan Ohearn		100	120/-167	135/-165	125/-170					
-7.6	STL @ BAL	Willson Contreras		160	197/-277	220/-280	215/-300					
-7.6	CHC @ COL	Jeimer Candelario		100	131/-188	150/-180	140/-185					
-7.6	CHC @ COL	Cody Bellinger		-120	106/-150	120/-150	110/-145					
-7.7	SD @ LAD	Max Muncy		-105	120/-168	135/-165	125/-165					
-8.1	KC @ CHW	Eloy Jimenez		135	153/-210	170/-210	160/-215					
-8.1	STL @ BAL	Cedric Mullins		130	155/-219	170/-210	165/-225					
-8.2	OAK @ HOU	Yordan Alvarez		105	126/-175	140/-170	130/-175					
-8.2	SD @ LAD	Will Smith		105	135/-187	155/-185	140/-190					
-8.3	WSH @ PIT	Miguel Andujar		115	132/-180	145/-175	135/-180					
-8.3	TEX @ TOR	Corey Seager		125	129/-172	135/-165	130/-170					
-8.5	STL @ BAL	Ryan Mountcastle		110	131/-182	150/-180	135/-180					
-8.5	LAA @ SEA	Cal Raleigh		125	151/-215	165/-200	160/-215					
-8.5	KC @ CHW	Andrew Benintendi		150	192/-310	235/-310	225/-320					
-8.6	KC @ CHW	Nelson Velazquez		150	202/-300	230/-300	225/-320					
-8.7	KC @ CHW	Luis Robert		110	140/-195	160/-190	145/-195					
-8.7	WSH @ PIT	Kebryan Hayes		135	166/-243	195/-240	180/-245					
-9.0	CHC @ COL	Seiya Suzuki		-105	119/-165	130/-160	120/-165					
-9.0	STL @ BAL	Gunnar Henderson		110	140/-197	155/-185	145/-200					
-9.0	ARI @ NYM	Christian Walker		125	149/-209	165/-200	155/-215					
-9.2	KC @ CHW	Salvador Perez		145	155/-215	170/-210	160/-220					
-9.2	STL @ BAL	Nolan Arenado		130	150/-209	165/-200	155/-210					
-9.2	WSH @ PIT	Keibert Ruiz		135	161/-230	180/-225	170/-230					
-9.2	TEX @ TOR	Bo Bichette		145	164/-227	180/-225	170/-230					
-9.3	NYY @ BOS	Rafael Devers		125	146/-203	160/-190	150/-200		{'0.5': '139/-194'}	{'0.5': '132/-182'}		
-9.3	CLE @ SF	Joc Pederson		135	161/-231	175/-220	170/-230					
-9.4	ATL @ PHI	Orlando Arcia		170	199/-288	225/-290	215/-300					
-9.4	NYY @ BOS	Enmanuel Valdez		165	185/-260	210/-260	195/-270		{'0.5': '190/-274'}	{'0.5': '205/-305'}		
-9.5	TEX @ TOR	Brandon Belt		120	170/-255	200/-245	185/-255					
-9.6	SD @ LAD	Juan Soto		135	145/-195	160/-190	145/-195					
-9.6	WSH @ PIT	Connor Joe		165	163/-220	175/-220	165/-225					
-9.7	NYY @ BOS	Wilyer Abreu		120	174/-263	210/-260	190/-265					
-9.8	ARI @ NYM	Lourdes Gurriel		140	164/-231	175/-220	170/-230					
-9.8	CLE @ SF	Josh Naylor		135	133/-165	135/-165	125/-170					
-9.8	KC @ CHW	Gavin Sheets		145	188/-281	215/-270	205/-285					
-9.8	CHC @ COL	Ezequiel Tovar		135	159/-225	175/-220	165/-225					
-9.8	ARI @ NYM	Corbin Carroll		185	221/-321	250/-330	240/-340					
-9.8	CHC @ COL	Christopher Morel		105	150/-224	170/-210	160/-220					
-9.8	KC @ CHW	Andrew Vaughn		175	200/-290	225/-290	215/-300					
-10.0	STL @ BAL	Aaron Hicks		125	186/-285	220/-280	205/-290					
-10.1	CHC @ COL	Nico Hoerner		115	153/-234	175/-220	165/-230					
-10.2	NYY @ BOS	Justin Turner		140	157/-219	170/-210	160/-215					
-10.2	TB @ MIN	Isaac Paredes		175	172/-225		170/-235					
-10.2	NYY @ BOS	Giancarlo Stanton		135	160/-227	170/-210	165/-220		{'0.5': '108/-148'}	{'0.5': '112/-152'}		
-10.2	NYY @ BOS	Alex Verdugo		150	176/-253	195/-240	185/-255		{'0.5': '136/-189'}	{'0.5': '135/-186'}		
-10.3	SD @ LAD	Manny Machado		115	125/-165	135/-165	120/-160					
-10.3	ATL @ PHI	Jt Realmuto		135	160/-250		175/-245					
-10.3	OAK @ HOU	Alex Bregman		130	149/-206	165/-200	150/-200					
-10.5	STL @ BAL	Ramon Urias		145	190/-284	215/-270	205/-290					
-10.5	LAA @ SEA	Julio Rodriguez		145	157/-232		165/-225					
-10.5	WSH @ PIT	Ji Hwan Bae		125	183/-281	215/-270	200/-280					
-10.5	ARI @ NYM	Francisco Lindor		145	159/-219	170/-210	160/-220					
-10.5	WSH @ PIT	Endy Rodriguez		160	155/-190	160/-190	145/-190					
-10.7	OAK @ HOU	Kyle Tucker		120	144/-203	160/-190	145/-200					
-10.7	NYY @ BOS	Gleyber Torres		145	155/-213	165/-200	155/-210		{'0.5': '146/-204'}	{'0.5': '163/-235'}		
-10.8	TB @ MIN	Josh Lowe		170	166/-224	170/-210	165/-225					
