			UPD: 12:24 AM

EV (AVG)	Team	Player	IN	FD	AVG	bet365	DK	MGM	CZ
-4.1	SF	Jd Davis		-105	-112/-120		-110/-120	-	-135/-108
-4.8	SF	Thairo Estrada		-145	-152/114	-145/+115	-150/+115	-	-167/113
-5.3	ATL	Ronald Acuna		-155	-161/120	-160/+130	-160/+120	-	-208/139
-5.9	SF	Austin Slater		-125	-128/-105	-120/-110	-130/+100	-	-141/-104
-6.3	SF	Casey Schmitt		-105	-108/-126	-105/-125	-105/-130	-	-129/-113
-9.0	SF	Patrick Bailey		-115	-110/-122	-110/-120	-110/-120		
-11.9	ATL	Eddie Rosario		-130	-115/-117	-115/-115	-115/-115	-	-108/-135
-12.6	ATL	Orlando Arcia		-120	-106/-127	-105/-125	-105/-125	-	-129/-113
-13.0	ATL	Marcell Ozuna		-125	-108/-123	-110/-120	-110/-120	-	-117/-125
-13.1	ATL	Travis Darnaud		-130	-112/-120	-115/-115	-110/-120		
-13.5	ATL	Nicky Lopez		-145	-123/-111	-120/-110	-125/-110		
-13.5	SF	Heliot Ramos		100	112/-151	120/-150	110/-150		
-14.5	SF	Luis Matos		-130	-109/-124	-110/-120	-105/-125	-	-149/102
-14.7	ATL	Michael Harris		-195	-153/114	-145/+115	-155/+115	-	-105/-139
-14.9	ATL	Austin Riley		-140	-114/-117	-115/-115	-115/-115	-	-137/-107
-15.6	SF	Paul Dejong		100	117/-157	125/-155	115/-155	-	115/-170
-18.3	SF	Wilmer Flores		-145	-109/-124	-105/-125	-105/-125	-	-123/-119
-22.8	ATL	Matt Olson		-120	118/-157	120/-150	120/-160	-	127/-188
