EV%	Player	Prop	FD	Bet365	DK	MGM	Kambi	CZ
102.0	Anthony Richardson	pass_yd	18750.0	+10000	+7500	+10000	+10000	-
94.7	Aaron Rodgers	pass_td	1750.0	+1200	+650	+900	+1000	+700
86.6	Jared Goff	pass_yd	3500.0	+2000	+2500	+1400	+2000	+1600
84.4	Derek Carr	pass_yd	3750.0	+2000	+3500	+1800	+1600	+1800
83.3	Aaron Rodgers	pass_yd	3750.0	+2000	+2000	+2000	+2000	+2000
72.6	Russell Wilson	pass_yd	5000.0	+2500	+3500	+2500	+3000	+3000
64.9	Kirk Cousins	pass_yd	1750.0	+1100	+1000	+900	+1300	+900
64.9	Dak Prescott	pass_yd	2750.0	+2000	+1300	+1800	+1600	+1600
62.2	Deshaun Watson	int	3125.0	+2000	+1500	+1800	+2500	-
61.6	Jalen Hurts	pass_yd	4375.0	+2500	+2800	+2000	+3000	+3500
54.8	Daniel Jones	pass_yd	10000.0	+6000	+6500	+5000	+8000	+7500
53.4	Patrick Mahomes	pass_td	437.5	+250	+275	+200	+240	+300
50.6	Desmond Ridder	int	5000.0	+5000	+2800	+2800	-	-
48.6	Jimmy Garoppolo	pass_yd	6250.0	+5000	+4000	+4000	+6000	+3000
47.8	Josh Allen	pass_td	750.0	+400	+500	+450	+550	+500
46.5	Daniel Jones	int	7500.0	+5000	+7500	+6600	+3300	-
45.7	Josh Allen	pass_yd	1500.0	+1100	+900	+850	+1400	+900
45.6	Justin Fields	pass_yd	12500.0	+10000	+7000	+10000	+8000	-
44.5	Tua Tagovailoa	pass_yd	2250.0	+1200	+2200	+1200	+2000	+1500
43.9	Lamar Jackson	pass_yd	5000.0	+4000	+4000	+3000	+3000	+3500
38.1	Dak Prescott	pass_td	2500.0	+2200	+1600	+2000	-	+1500
36.7	Joe Burrow	pass_td	750.0	+550	+450	+600	+700	+400
36.1	Matthew Stafford	pass_yd	3500.0	+2500	+2500	+3000	+3000	+2000
36.1	Joe Burrow	pass_yd	1062.5	+700	+900	+750	+900	+600
30.3	Geno Smith	pass_yd	3750.0	+2500	+3500	+2500	+3000	+3000
30.1	Trevor Lawrence	pass_yd	2000.0	+1600	+1800	+1200	+1600	+1500
29.8	Anthony Richardson	int	2000.0	+1200	+1800	+1600	+1600	-
29.7	Derek Carr	int	2250.0	+1400	+2000	+2000	+1600	-
28.7	Trevor Lawrence	int	3750.0	+3300	+4000	+3000	+2000	-
28.5	Russell Wilson	pass_td	3750.0	+3300	+2500	+3000	-	-
25.9	Jimmy Garoppolo	int	3750.0	+2500	+3500	+3000	+3000	-
25.9	Deshaun Watson	pass_yd	3750.0	+2800	+3000	+3000	+3000	+3000
25.3	Desmond Ridder	pass_yd	12500.0	+8000	+13000	+10000	+10000	-
25.2	Tua Tagovailoa	int	3125.0	+2000	+3500	+3000	+2000	-
24.7	Bryce Young	pass_yd	10000.0	+8000	+8000	+8000	+8000	-
24.4	Matthew Stafford	pass_td	5000.0	+4000	+4000	+4000	-	-
23.6	Sam Howell	int	2250.0	+1400	-	-	+2500	-
23.5	Tua Tagovailoa	pass_td	2000.0	+1600	+1600	+1600	-	-
22.4	Kenny Pickett	pass_yd	7500.0	+6000	+6000	+6600	+6000	+6000
21.9	Justin Herbert	int	1750.0	+1400	+1300	+1400	+1600	-
21.7	Kenny Pickett	int	2250.0	+1400	+2800	+2200	+1500	-
19.8	Cj Stroud	pass_yd	10000.0	+8000	+8000	+8000	+10000	+8000
18.7	Jordan Love	int	1500.0	+1200	+1300	+1200	+1300	-
17.0	Kirk Cousins	pass_td	1500.0	+1200	+2000	+1200	+1000	-
15.9	Russell Wilson	int	4375.0	+6000	+4000	+4000	+2500	-
15.4	Lamar Jackson	int	2750.0	+2000	+3000	+2800	+2000	-
15.1	Justin Herbert	pass_yd	625.0	+550	+650	+600	+450	+450
14.5	Josh Allen	int	1250.0	+1000	+1000	+1000	+1400	-
14.0	Jordan Love	pass_td	7500.0	+6600	+6500	+6600	-	-
13.6	Kirk Cousins	int	1500.0	+1200	+1300	+1200	+1600	-
13.1	Jordan Love	pass_yd	6250.0	+5000	+5500	+5000	+8000	+5000
12.6	Jared Goff	int	2750.0	+4000	+2000	+2000	+2500	-
12.3	Baker Mayfield	pass_yd	10000.0	+8000	+10000	+8000	+10000	-
11.0	Justin Fields	pass_td	12500.0	+15000	+10000	+10000	-	-
9.8	Dak Prescott	int	1250.0	+1200	+1000	+1000	+1400	-
6.3	Mac Jones	int	2000.0	+1200	+2800	+3000	+1600	-
6.2	Sam Howell	pass_yd	10000.0	+10000	+10000	+10000	+8000	-
4.5	Joe Burrow	int	1500.0	+1200	+1600	+1400	+1600	-
4.1	Desmond Ridder	pass_td	12500.0	+20000	+10000	+10000	-	-
3.8	Patrick Mahomes	int	3125.0	+5000	+2500	+2500	+3000	-
3.8	Cj Stroud	int	1750.0	+1400	+2000	+2000	+1500	-
2.7	Jalen Hurts	pass_td	5000.0	+5000	+6000	+4000	-	-
2.4	Jalen Hurts	int	7500.0	+8000	+7500	+6600	-	-
1.6	Cj Stroud	pass_td	10000.0	+12500	+8000	+10000	-	-
0.4	Trevor Lawrence	pass_td	2250.0	+2200	+3000	+2000	+2000	-
0.3	Deshaun Watson	pass_td	3750.0	+3300	+4000	+4000	-	-
0.2	Matthew Stafford	int	1250.0	+1000	+1500	+1200	+1400	-
0.0	Geno Smith	int	2000.0	+2000	+2000	+2000	+2000	-
