EV	PN EV	EV Book	Imp	Game	Player	Prop	O/U	FD	Bet365	DK	MGM	PN	Kambi	CZ	SZN	LYR	Splits	Opp Rank	LYR Opp Rank
24.4	-	550 FD	15%	MIN @ CLE	Kody Clemens	tb	o 3.5	'+550	-	'+320	-	-	-	-	0%	0%	1,0,0	25th	9th
13.0	-	360 FD	22%	MIN @ CLE	Kody Clemens	tb	o 2.5	'+360	-	'+245	-	-	-	-	0%	0%	1,0,0	25th	9th
12.9	16.5	870 FD	10%	STL @ CIN	Jose Barrero	hr	o 0.5	'+870	-	'+550	'+500/-750	498/-877	600/-1115	-	0%	0%		27th	24th
11.9	-	750 FD	12%	STL @ CIN	Jose Barrero	tb	o 3.5	'+750	-	'+450	-	-	-	-	0%	0%		13th	17th
11.4	-	460 BR	18%	STL @ CIN	Spencer Steer	double	o 0.5	'+350	-	'+295/-450	-	-	460/-910	300/-479	21%	0%	0,0,1,0,0,0,0,0,2,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0	23rd	23rd
11.2	-	500 FD	17%	STL @ CIN	Jose Barrero	tb	o 2.5	'+500	-	'+330	-	-	-	-	0%	0%		13th	17th
10.1	15.1	680 FD	13%	MIN @ CLE	Kody Clemens	hr	o 0.5	'+680	-	'+400	-	418/-680	475/-770	-	0%	0%	0,0,0	23rd	14th
7.1	-	245 BR	29%	MIN @ CLE	Steven Kwan	h	o 1.5	'+175	-	'+195/-260	'+190/-250	-	245/-335	178/-254	37%	0%	2,1,3,0,1,1,1,2,1,0,0,4,1,1,1,2,0,1,2,2,1,2,2,1,2,2,1,1,0,0	16th	17th
5.7	-	440 BR	19%	STL @ CIN	Masyn Winn	double	o 0.5	'+290	-	'+310/-475	-	-	440/-835	311/-504	11%	0%	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1	18th	21st
5.1	-	500 BR	17%	STL @ CIN	Elly De La Cruz	double	o 0.5	'+370	-	'+350/-550	-	-	500/-1000	334/-554	13%	0%	0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0	23rd	23rd
4.9	-0.1	480 BR	17%	KC @ TB	Salvador Perez	hr	o 0.5	'+360	-	'+350	'+360/-500	363/-558	480/-770	320	7%	0%	0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0	26th	22nd
4.9	-	270 BR	27%	CHC @ PIT	Oneil Cruz	sb	o 0.5	'+225	-	'+205/-300	-	-	270/-400	-	0%	0%		2nd	15th
4.4	-	230 BR	30%	COL @ SF	Mickey Moniak	r	o 0.5	'+195	-	'+175/-250	'+175/-250	-	230/-335	172/-244	27%	0%	0,0,1,0,0,0,1,0,0,2,0,0,0,1,1,1,3,0,0,0,0,0,0,0,0,0	9th	12th
4.3	-	250 BR	29%	BOS @ TOR	Alex Bregman	h	o 1.5	'+200	-	'+195/-270	'+200/-275	-	250/-345	178/-254	34%	0%	0,1,2,1,1,1,3,2,4,1,0,0,1,1,0,2,0,5,0,0,1,1,2,2,2,1,1,3,1	17th	16th
4.2	-	140 BR	42%	MIL @ CHW	Joshua Palacios	r	o 0.5	-	-	'+110/-155	-	-	140/-195	108/-148	22%	0%	0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0	15th	26th
3.8	6.3	460 BR	18%	MIL @ CHW	Rhys Hoskins	hr	o 0.5	'+370	-	'+310	'+333/-450	331/-492	460/-770	300	11%	0%	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0	21st	27th
3.6	-	108 CZ	48%	MIN @ CLE	Carlos Correa	r	o 0.5	-160	-	-110/-130	-105/-130	-	-120/-113	108/-148	27%	0%	0,0,0,0,0,1,0,0,2,0,0,2,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,1,0,0	22nd	28th
3.6	-	425 DK	19%	MIL @ CHW	Joey Ortiz	tb	o 2.5	'+310	-	'+425	-	-	-	-	0%	0%	2,0,0,1,0,2,0,0,1,0,2,2,0,2,1,0,1,1,0,0,0,1,1,0,2,0,1,1,2,1	17th	26th
3.6	-	154 DK	39%	DET @ LAA		f3_spread	u 0.5	-	-	-200/+154	-165/+125	-	-	-	0%	0%		0	0
3.3	-2.5	480 FD	17%	MIL @ CHW	Jackson Chourio	hr	o 0.5	'+480	-	'+350	'+360/-500	372/-576	360/-530	333	17%	0%	0,0,0,0,0,1,0,0,0,2,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0	21st	27th
3.2	-	460 FD	18%	MIN @ CLE	Gabriel Arias	tb	o 3.5	'+460	-	'+340	-	-	-	-	0%	0%	2,1,2,1,1,1,1,0,0,0,0,3,2,0,2,1,0,2,0,1,1,0,1,1,1,1,1,0	9th	18th
3.2	-	114 BR	47%	ARI @ NYM	Corbin Carroll	r	o 0.5	-110	-	-110/-125	-105/-130	-	114/-155	-109/-125	53%	0%	0,0,0,1,2,0,1,2,0,1,0,2,2,0,1,2,2,0,2,0,1,0,2,2,1,0,0,1,0,0	1st	16th
3.0	-	-102 MGM	50%	DET @ LAA		f3_ml	o  	-	-	-125/-105	-102/-130	-	-	-125/-105	0%	0%		0	0
2.8	-	200 DK	33%	CHC @ PIT		f3_spread	o -0.5	-	-	'+200/-270	'+160/-220	-	-	-	0%	0%		0	0
2.3	-	-182 BR	65%	DET @ LAA	Dillon Dingler	r	u 0.5	'+145	-	'+180/-255	'+180/-250	-	132/-182	172/-244	73%	100%	1,0,2,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0	26th	5th
2.3	-	-160 ESPN	62%	ATH @ TEX	Jeffrey Springs	k	u 5.5	'+150	-	'+150	-	-	155/-210	-	83%	100%	9,3,4,4,3,4	11th	23rd
2.0	-	235 BR	30%	CHC @ PIT	Oneil Cruz	h	o 1.5	'+180	-	'+190/-260	'+185/-250	-	235/-335	184/-264	29%	0%	0,2,0,0,1,1,2,0,1,1,0,0,0,2,0,2,1,1,1,0,2,2,2,1,2,0,0,1	22nd	14th
1.8	-	155 BR	39%	ATH @ TEX	Jeffrey Springs	k	o 5.5	'+150	-	'+150	-	-	155/-210	-	17%	0%	9,3,4,4,3,4	11th	23rd
1.8	-	180 BR	36%	ARI @ NYM	Pavin Smith	r	o 0.5	'+145	-	'+145/-200	'+150/-210	-	180/-265	143/-199	46%	0%	0,2,0,0,1,1,0,0,0,1,1,2,0,0,0,0,1,1,0,0,1,2,0,0,1,1,1,0	1st	16th
1.7	-	155 BR	39%	DET @ LAA	Spencer Torkelson	h	u 0.5	-190	-	-170/+125	-165/+130	-	-205/155	-174/126	35%	100%	1,2,1,2,1,0,1,2,1,0,2,1,0,2,1,0,0,1,2,1,1,1,1,0,0,1,1,0,0,0,0	25th	19th
1.7	2.3	-105 CZ	51%	CHC @ PIT		total	o 7.5	-120/-102	-	-118/-102	-118/-102	-117/104	-121/100	-105/-115	0%	0%		0	0
1.6	-	245 BR	29%	MIL @ CHW	Jackson Chourio	h	u 0.5	-260	-	-295	-	-	-345/245	-	23%	100%	0,2,1,1,1,3,1,1,1,2,2,2,1,1,2,0,1,0,0,1,0,2,1,1,0,2,4,2,1,0	18th	26th
1.6	-	154 MGM	39%	DET @ LAA		f3_spread	o -0.5	-	-	'+135/-175	'+154/-210	-	-	130/-160	0%	0%		0	0
1.5	-5.2	285 FD	26%	MIN @ CLE	Byron Buxton	hr	o 0.5	'+285	-	'+205	'+250/-325	253/-345	220/-295	210	21%	0%	0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0	23rd	14th
1.3	-	-105 BR	51%	WSH @ PHI	James Wood	r	o 0.5	-130	-	-130/-110	-125/-105	-	-105/-130	-133/-103	53%	0%	0,0,0,1,0,1,0,1,0,1,2,1,1,2,0,1,1,0,0,1,1,2,1,0,0,0,0,1,1,0	14th	19th
1.3	-	480 FD	17%	COL @ SF	Hunter Goodman	tb	o 3.5	'+480	-	'+350	-	-	-	-	0%	0%	2,1,1,1,2,0,1,1,1,1,0,0,0,1,2,1,1,1,1,1,1,2,2,0,1,2,1	6th	10th
1.3	-	124 DK	45%	CHC @ PIT		f3_ml	o  	-	-	'+124/-160	-102/-130	-	-	115/-145	0%	0%		0	0
1.2	-	160 FD	38%	WSH @ PHI	Keibert Ruiz	rbi	o 0.5	'+160	-	'+125/-175	'+130/-165	-	160/-215	133/-184	32%	0%	1,2,0,0,2,0,0,1,1,2,0,0,1,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0	17th	11th
1.2	-	-130 CZ	57%	COL @ SF		f3_total	u 2.5	-	-	'+120/-154	'+115/-155	-	125/-155	100/-130	0%	0%		0	0
1.1	-	-121 BR	55%	WSH @ PHI	Cj Abrams	r	o 0.5	-135	-	-150/+105	-150/+110	-	-121/-113	-148/108	50%	0%	0,0,0,1,1,1,1,0,1,1,0,0,1,0,1,0,1,0	14th	19th
1.0	-	-150 FD	60%	KC @ TB	Seth Lugo	k	u 5.5	'+118/-150	-	'+145	-	-	132/-177	-	67%	100%	4,2,6,4,5,8	17th	6th
1.0	-	275 BR	27%	DET @ LAA	Nolan Schanuel	rbi	o 0.5	'+250	-	'+215/-310	'+220/-300	-	275/-400	213/-314	29%	0%	0,0,0,1,2,0,1,0,0,0,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0	4th	4th
1.0	-	-165 MGM	62%	DET @ LAA		f3_spread	o 0.5	-	-	-200/+154	-165/+125	-	-	-	0%	0%		0	0
1.0	-4.5	450 FD	18%	COL @ SF	Matt Chapman	hr	o 0.5	'+450	-	'+330	'+360/-500	361/-552	320/-480	320	16%	0%	0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0	20th	30th
1.0	4.2	-110 CZ	52%	ATH @ TEX		total	o 8.5	-122/+100	-	-131/+101	-	-128/114	-121/100	-110/-110	0%	0%		0	0
0.9	-	220 BR	31%	STL @ CIN	Yohel Pozo	rbi	o 0.5	'+190	-	'+180/-260	'+175/-235	-	220/-315	-	29%	0%	1,1,0,0,0,0,0	10th	15th
0.9	-	175 BR	36%	KC @ TB	Maikel Garcia	r	o 0.5	'+150	-	'+140/-200	'+145/-200	-	175/-250	143/-199	33%	0%	0,1,0,2,0,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,1,0	8th	21st
0.9	-	-186 BR	65%	DET @ LAA	Andy Ibanez	rbi	u 0.5	'+130	-	'+175/-250	'+180/-235	-	140/-186	172/-244	75%	100%	0,0,0,0,1,1,3,0,2,0,0,0,1,0,0,0,0,0,0,0	26th	25th
0.9	-5.0	135 BR	43%	CHC @ PIT		total	u 7.0	-	-	-158/+121	-	-156/138	-175/135	-	0%	0%		0	0
