NAME	OVER	POS	R/L	Batting #	B. AVG	TEAM	A/H	OPP	OPP RANK	OPP RANK LYR	PROP	LINE	LAST (old ➡️ new)	AVG	% OVER	L10 % OVER	CAREER % OVER	% OVER VS TEAM	VS TEAM	PITCHER	THROWS	VS PITCHER	UNDER
Orlando Arcia	'+400	SS	R	7	.458	ATL	v	ARI	9th	16th	2b	0.5	2,1,0,1,0,1	0.83	67%	40%	0%	0%	.328 44-134, 2 HR, 10 RBI, 20 BB, 16 SO	Pfaadt	R		-650
Mitch Garver	'+425	C	R	5	.188	SEA	@	MIL	19th	25th	2b	0.5	1,0,1,0,1	0.6	60%	30%	14%	0%	.294 20-68, 4 HR, 14 RBI, 2 BB, 25 SO	Hall	L		-750
Mj Melendez	'+390	LF	L	5	.333	KC	v	CHW	28th	20th	2b	0.5	1,0,1,0,1,1,0	0.57	57%	50%	17%	0%	.292 47-161, 14 HR, 42 RBI, 20 BB, 41 SO	Flexen	R		-650
Will Benson	'+475	CF	L	2	.231	CIN	v	NYM	30th	30th	2b	0.5	1,1,1,0,1,0,0	0.57	57%	40%	0%	0%	.029 1-35, 0 HR, 0 RBI, 10 BB, 3 SO	Severino	R	.000 0-2, 0 HR, 0 RBI, 0 BB, 1 SO	-900
Bryan Reynolds	'+330	RF	S	2	.286	PIT	v	BAL	6th	3rd	2b	0.5	1,0,1,0,1,0,1,0	0.5	50%	40%	18%	0%	.095 6-63, 0 HR, 1 RBI, 1 BB, 5 SO	Wells	R	.000 0-3, 0 HR, 0 RBI, 0 BB, 0 SO	-525
Connor Joe	'+330	1B	R	-	.346	PIT	v	BAL	6th	3rd	2b	0.5	0,1,2,0,1,0	0.67	50%	60%	18%	0%	.111 1-9, 1 HR, 1 RBI, 0 BB, 5 SO	Wells	R	.000 0-3, 0 HR, 0 RBI, 0 BB, 2 SO	-525
Bobby Witt	'+310	SS	R	2	.375	KC	v	CHW	28th	20th	2b	0.5	1,2,0,0,0,1,1,0	0.62	50%	40%	18%	0%	.255 48-188, 3 HR, 8 RBI, 16 BB, 39 SO	Flexen	R	.333 1-3, 0 HR, 0 RBI, 0 BB, 0 SO	-475
Will Smith	'+320	C	R	4	.459	LAD	@	CHC	24th	17th	2b	0.5	0,1,0,1,0,0,0,1,1	0.44	44%	40%	17%	0%	.524 44-84, 0 HR, 14 RBI, 5 BB, 12 SO	Wicks	L		-500
Francisco Alvarez	'+390	C	R	5	.333	NYM	@	CIN	2nd	18th	2b	0.5	0,0,1,1,0,1,0	0.43	43%	30%	10%	0%	.123 7-57, 2 HR, 5 RBI, 1 BB, 32 SO	Martinez	R		-650
Brayan Rocchio	'+475	SS	S	9	.269	CLE	@	MIN	11th	21st	2b	0.5	1,0,2,0,1,0,0	0.57	43%	40%	0%	0%	.032 1-31, 0 HR, 0 RBI, 9 BB, 10 SO	Ryan	R		-800
Jeimer Candelario	'+400	3B	S	4	.185	CIN	v	NYM	30th	30th	2b	0.5	0,0,1,0,0,1,1	0.43	43%	40%	0%	0%	.274 23-84, 1 HR, 12 RBI, 18 BB, 27 SO	Severino	R	.100 1-10, 0 HR, 0 RBI, 0 BB, 5 SO	-700
Charlie Blackmon	'+225	RF	L	1	.357	COL	v	TB	21st	12th	2b	0.5	0,0,1,0,1,1,0	0.43	43%	30%	0%	0%	.105 8-76, 0 HR, 1 RBI, 1 BB, 22 SO	Alexander	L	.000 3-3, 0 HR, 2 RBI, 0 BB, 0 SO	-320
Shohei Ohtani	'+380	DH	L	2	.286	LAD	@	CHC	24th	17th	2b	0.5	0,0,1,0,0,1,1,0,0,1	0.4	40%	40%	17%	0%	.377 23-61, 11 HR, 21 RBI, 3 BB, 3 SO	Wicks	L		-600
Jurickson Profar	'+320	LF	S	6	.267	SD	@	SF	12th	24th	2b	0.5	0,0,0,0,1,0,0,1,1,1	0.4	40%	40%	16%	0%	.302 99-328, 3 HR, 34 RBI, 34 BB, 62 SO	Winn	R		-500
Kebryan Hayes	'+310	3B	R	3	.324	PIT	v	BAL	6th	3rd	2b	0.5	1,1,0,0,1,0,0,0	0.38	38%	40%	19%	0%	.453 24-53, 1 HR, 4 RBI, 12 BB, 17 SO	Wells	R	.000 0-3, 0 HR, 0 RBI, 0 BB, 1 SO	-475
Justin Turner	'+450	3B	R	4	.280	TOR	@	NYY	21st	29th	2b	0.5	0,1,0,1,0,2,0,0	0.5	38%	30%	19%	0%	.257 36-140, 6 HR, 23 RBI, 17 BB, 23 SO	Schmidt	R	.286 2-7, 1 HR, 1 RBI, 1 BB, 1 SO	-800
Michael Conforto	'+350	LF	L	4	.419	SF	v	SD	5th	14th	2b	0.5	1,0,1,0,0,0,0,2	0.5	38%	30%	16%	0%	.365 107-293, 22 HR, 68 RBI, 25 BB, 87 SO	King	R	.000 0-5, 0 HR, 0 RBI, 1 BB, 2 SO	-550
Michael A Taylor	'+500	CF		-	.429	PIT	v	BAL	6th	3rd	2b	0.5	0,1,1,0,0,0,1,0	0.38	38%	30%	13%	0%	.242 36-149, 3 HR, 17 RBI, 12 BB, 35 SO	Wells	R		-1000
Andres Gimenez	'+370	2B	L	2	.333	CLE	@	MIN	11th	21st	2b	0.5	0,2,0,0,0,1,1,0	0.5	38%	30%	0%	0%	.219 39-178, 3 HR, 12 RBI, 11 BB, 25 SO	Ryan	R	.211 4-19, 0 HR, 0 RBI, 0 BB, 4 SO	-600
Jose Altuve	'+425	2B	R	1	.344	HOU	@	TEX	6th	2nd	2b	0.5	0,1,0,1,0,1,0,0	0.38	38%	30%	0%	0%	.302 223-738, 32 HR, 87 RBI, 63 BB, 93 SO	Gray	R	.286 2-7, 1 HR, 3 RBI, 0 BB, 2 SO	-750
