NAME	OVER	POS	R/L	Batting #	B. AVG	TEAM	A/H	OPP	OPP RANK	OPP RANK LYR	PROP	LINE	LAST (old ➡️ new)	AVG	% OVER	L10 % OVER	CAREER % OVER	% OVER VS TEAM	VS TEAM	PITCHER	THROWS	VS PITCHER	UNDER
Spencer Horwitz	'+210	1B	L	1	.357	TOR	@	MIL	20th	11th	bb	0.5	1,1,0,1	0.75	75%	40%	20%	50%	.500 4-8, 0 HR, 1 RBI, 1 BB, 2 SO	Myers	R		-290
Aaron Judge	-245	CF	R	3	.313	NYY	@	KC	17th	22nd	bb	0.5	0,1,2,1,1,2,2,1,0,0	0.81	59%	70%	50%	44%	.364 4-11, 1 HR, 3 RBI, 2 BB, 1 SO	Lynch	L		'+180
Justyn Henry Malloy	'+250	OF	R	7	.158	DET	v	WSH	11th	23rd	bb	0.5	0,0,0,2,1,1,1	0.71	57%	57%	0%	100%	.000 0-3, 0 HR, 0 RBI, 1 BB, 2 SO	Irvin	R		-370
Juan Soto	-155	RF	L	2	.316	NYY	@	KC	17th	22nd	bb	0.5	2,2,0,0,0,2,2,2,1,2	0.74	55%	70%	57%	60%	.200 3-15, 0 HR, 0 RBI, 6 BB, 3 SO	Lynch	L		'+115
Dj Lemahieu	'+105	3B	R	9	.229	NYY	@	KC	17th	22nd	bb	0.5	1,1,0,0,1,2,0,1,0,0	0.64	55%	50%	30%	38%	.350 7-20, 1 HR, 2 RBI, 4 BB, 5 SO	Lynch	L		-140
Bryce Harper	'+140	1B	L	3	.274	PHI	@	BOS	2nd	12th	bb	0.5	0,0,1,0,1,1,2,0,2,1	0.69	52%	60%	47%	42%	.333 5-15, 1 HR, 1 RBI, 2 BB, 2 SO	Pivetta	R	.273 3-11, 2 HR, 3 RBI, 4 BB, 5 SO	-175
Kyle Schwarber	-120	DH	L	1	.240	PHI	@	BOS	2nd	12th	bb	0.5	1,1,1,0,0,2,0,0,1,0	0.73	52%	50%	44%	29%	.235 4-17, 3 HR, 5 RBI, 1 BB, 7 SO	Pivetta	R	.000 0-4, 0 HR, 0 RBI, 1 BB, 2 SO	-110
Mookie Betts	'+130	SS	R	1	.309	LAD	v	TEX	25th	10th	bb	0.5	0,0,1,1,1,2,2,1,0,1	0.69	52%	70%	40%	54%	.267 4-15, 0 HR, 5 RBI, 3 BB, 2 SO	Gray	R	.333 1-3, 0 HR, 0 RBI, 1 BB, 1 SO	-175
Jonathan India	'+205	2B	R	8	.243	CIN	v	CLE	8th	16th	bb	0.5	1,1,0,0,1,1,0,1,0,0	0.58	48%	50%	34%	30%	.250 3-12, 0 HR, 2 RBI, 1 BB, 3 SO	Bibee	R		-290
Tyler Oneill	'+115	LF	R	3	.250	BOS	v	PHI	6th	6th	bb	0.5	0,0,2,0,0,0,0,0,1,0	0.52	48%	20%	25%	18%	.143 2-14, 0 HR, 0 RBI, 1 BB, 4 SO	Sanchez	L	.333 1-3, 0 HR, 0 RBI, 0 BB, 0 SO	-150
Ian Happ	'+170	LF	S	5	.213	CHC	@	TB	5th	4th	bb	0.5	1,0,0,0,0,0,0,2,2,0	0.52	47%	30%	36%	18%	.214 3-14, 0 HR, 1 RBI, 1 BB, 6 SO	Civale	R	.333 1-3, 0 HR, 0 RBI, 0 BB, 0 SO	-235
Jesse Winker	'+105	LF	L	3	.256	WSH	@	DET	4th	7th	bb	0.5	0,0,1,1,0,0,0,0,3,1	0.52	45%	40%	39%	50%	.000 0-8, 0 HR, 1 RBI, 3 BB, 4 SO	Olson	R		-140
