NAME	OVER	POS	R/L	TEAM	A/H	OPP	OPP RANK	OPP RANK LYR	PROP	LINE	LAST (old ➡️ new)	AVG	% OVER	L10 % OVER	CAREER % OVER	% OVER VS TEAM	VS TEAM	UNDER
Dane Dunning	-195	SP	R	TEX	@	HOU	22nd	11th	bb_allowed	1.5	4,3	3.5	100%	100%	0%	0%	13.2 IP 12 K, 12 H, 2 BB	'+145
Michael King	-145	RP	R	SD	@	LAD	6th	2nd	bb_allowed	2.5	3,7,1	3.67	67%	67%	0%	0%	5.1 IP 8 K, 1 H, 0 BB	'+110
Tarik Skubal	'+135	SP	L	DET	v	MIN	12th	4th	bb_allowed	1.5	0,2	1.0	50%	50%	0%	0%	45.3 IP 42 K, 37 H, 13 BB	-180
Bailey Falter	'+105	SP	L	PIT	@	PHI	7th	14th	bb_allowed	1.5	3,1	2.0	50%	50%	0%	0%		-135
Luis Severino	'+120	SP	R	NYM	v	KC	16th	29th	bb_allowed	1.5	0,2	1.0	50%	50%	0%	0%	5.2 IP 5 K, 8 H, 0 BB	-160
Jp France	-170	SP	R	HOU	v	TEX	4th	3rd	bb_allowed	1.5	1,2	1.5	50%	50%	0%	0%	17.2 IP 12 K, 11 H, 5 BB	'+130
Steven Matz	-115	SP	L	STL	@	ARI	5th	16th	bb_allowed	1.5	2,1	1.5	50%	50%	0%	0%	6.0 IP 6 K, 5 H, 1 BB	-115
Bryce Miller	-135	SP	R	SEA	v	CHC	2nd	6th	bb_allowed	1.5	2,1	1.5	50%	50%	0%	0%		'+100
Jordan Wicks	'+130	SP	L	CHC	@	SEA	25th	13th	bb_allowed	2.5	3,1	2.0	50%	50%	0%	0%		-175
Jake Irvin	-170	SP	R	WSH	@	OAK	19th	23rd	bb_allowed	1.5	2,1	1.5	50%	50%	0%	0%	6.2 IP 6 K, 7 H, 0 BB	'+125
Yoshinobu Yamamoto	-125	SP	R	LAD	v	SD	17th	1st	bb_allowed	1.5	1,0,2	1.0	33%	33%	0%	0%	2.0 IP 4 K, 4 H, 1 BB	-105
Pablo Lopez	-125	SP	R	MIN	@	DET	18th	21st	bb_allowed	1.5	0,1	0.5	0%	0%	0%	0%	13.0 IP 18 K, 12 H, 1 BB	-105
Michael Wacha	-105	SP	R	KC	@	NYM	9th	18th	bb_allowed	1.5	1,1	1.0	0%	0%	0%	0%	46.2 IP 48 K, 37 H, 17 BB	-125
Brandon Pfaadt	-110	SP	R	ARI	v	STL	25th	7th	bb_allowed	1.5	0,1	0.5	0%	0%	0%	0%		-120
Paul Blackburn	'+110	SP	R	OAK	v	WSH	14th	28th	bb_allowed	1.5	1,0	0.5	0%	0%	0%	0%	5.2 IP 3 K, 8 H, 4 BB	-145
