NAME	OVER	POS	R/L	TEAM	A/H	OPP	OPP RANK	OPP RANK LYR	PROP	LINE	LAST (old ➡️ new)	AVG	% OVER	L10 % OVER	CAREER % OVER	% OVER VS TEAM	VS TEAM	UNDER
Keaton Winn	'+110	RP	R	SF	@	TB	17th	4th	er	2.5	3,4	3.5	100%	70%	56%	0%		-145
Jake Irvin	'+100	SP	R	WSH	@	OAK	29th	30th	er	2.5	3,4	3.5	100%	60%	54%	0%	6.2 IP 6 K, 7 H, 0 BB	-130
Max Fried	-150	SP	L	ATL	@	MIA	24th	28th	er	1.5	3,7	5.0	100%	70%	46%	75%	57.4 IP 61 K, 69 H, 17 BB	'+115
Dane Dunning	-130	SP	R	TEX	@	HOU	20th	5th	er	2.5	3,3	3.0	100%	70%	40%	38%	13.2 IP 12 K, 12 H, 2 BB	-105
Jp France	-165	SP	R	HOU	v	TEX	12th	3rd	er	2.5	3,3	3.0	100%	50%	33%	67%	17.2 IP 12 K, 11 H, 5 BB	'+125
Tyler Wells	'+115	SP	R	BAL	v	MIL	3rd	17th	er	2.5	3,3	3.0	100%	50%	21%	0%		-155
Brandon Pfaadt	'+130	SP	R	ARI	v	STL	21st	19th	er	2.5	1,5	3.0	50%	50%	68%	0%		-175
Ryan Feltner	-140	SP	R	COL	@	TOR	24th	16th	er	2.5	3,1	2.0	50%	50%	67%	0%		'+105
Tarik Skubal	-120	SP	L	DET	v	MIN	28th	11th	er	1.5	0,4	2.0	50%	40%	60%	67%	45.3 IP 42 K, 37 H, 13 BB	-110
Bryce Miller	'+100	SP	R	SEA	v	CHC	2nd	6th	er	2.5	4,0	2.0	50%	60%	44%	0%		-135
Luis Severino	-115	SP	R	NYM	v	KC	7th	23rd	er	2.5	6,1	3.5	50%	60%	41%	80%	5.2 IP 5 K, 8 H, 0 BB	-115
Carlos Carrasco	'+100	SP	R	CLE	v	NYY	13th	25th	er	2.5	3,1	2.0	50%	70%	40%	31%	58.8 IP 65 K, 55 H, 19 BB	-130
Pablo Lopez	'+130	SP	R	MIN	@	DET	26th	27th	er	2.5	1,3	2.0	50%	50%	38%	50%	13.0 IP 18 K, 12 H, 1 BB	-170
Michael Wacha	-110	SP	R	KC	@	NYM	15th	20th	er	2.5	3,0	1.5	50%	40%	38%	25%	46.2 IP 48 K, 37 H, 17 BB	-120
Kevin Gausman	'+120	SP	R	TOR	v	COL	18th	18th	er	2.5	1,5	3.0	50%	50%	36%	57%	4.0 IP 5 K, 6 H, 3 BB	-160
Trevor Rogers	-110	SP	L	MIA	v	ATL	1st	1st	er	2.5	4,2	3.0	50%	50%	36%	57%	31.1 IP 35 K, 34 H, 13 BB	-120
Freddy Peralta	'+130	SP	R	MIL	@	BAL	4th	7th	er	2.5	1,3	2.0	50%	30%	29%	0%	5.0 IP 9 K, 6 H, 0 BB	-175
Cristopher Sanchez	'+115	SP	L	PHI	v	PIT	9th	22nd	er	2.5	2,3	2.5	50%	40%	28%	0%	5.0 IP 3 K, 0 H, 2 BB	-155
Chris Flexen	'+125	RP	R	CHW	v	CIN	11th	9th	er	3.5	4,3	3.5	50%	40%	22%	100%	4.2 IP 4 K, 7 H, 4 BB	-165
Bailey Falter	'+110	SP	L	PIT	@	PHI	21st	8th	er	3.5	6,0	3.0	50%	30%	15%	0%		-145
Yoshinobu Yamamoto	-175	SP	R	LAD	v	SD	10th	13th	er	1.5	5,0,0	1.67	33%	33%	33%	100%	2.0 IP 4 K, 4 H, 1 BB	'+130
Michael King	-115	RP	R	SD	@	LAD	8th	2nd	er	2.5	3,2,0	1.67	33%	20%	12%	50%	5.1 IP 8 K, 1 H, 0 BB	-115
Paul Blackburn	-170	SP	R	OAK	v	WSH	23rd	21st	er	1.5	0,0	0.0	0%	60%	63%	100%	5.2 IP 3 K, 8 H, 4 BB	'+125
Jordan Wicks	'+105	SP	L	CHC	@	SEA	27th	12th	er	2.5	2,2	2.0	0%	33%	43%	0%		-140
Reid Detmers	-140	SP	L	LAA	@	BOS	14th	10th	er	2.5	1,1	1.0	0%	30%	43%	25%	12.1 IP 19 K, 6 H, 1 BB	'+105
Steven Matz	-120	SP	L	STL	@	ARI	6th	14th	er	2.5	2,0	1.0	0%	10%	38%	33%	6.0 IP 6 K, 5 H, 1 BB	-110
Andrew Abbott	-105	SP	L	CIN	@	CHW	30th	29th	er	2.5	2,2	2.0	0%	40%	38%	0%		-125
Tanner Houck	-120	SP	R	BOS	v	LAA	15th	15th	er	2.5	0,0	0.0	0%	40%	29%	20%	16.0 IP 21 K, 7 H, 6 BB	-110
