NAME	OVER	POS	R/L	Batting #	B. AVG	TEAM	A/H	OPP	OPP RANK	OPP RANK LYR	PROP	LINE	LAST (old ➡️ new)	AVG	% OVER	L10 % OVER	CAREER % OVER	% OVER VS TEAM	VS TEAM	PITCHER	THROWS	VS PITCHER	UNDER
David Dahl	-215	RF	L	6	.667	PHI	@	BOS	8th	24th	h	0.5	2,1,1	1.33	100%	100%	0%	0%		Crawford	R		'+160
Tyler Locklear	-110	1B	R	8	.286	SEA	v	CHW	27th	20th	h	0.5	1,1	1.0	100%	100%	0%	100%	.333 1-3, 0 HR, 0 RBI, 0 BB, 0 SO	Thorpe	R		-120
Jose Iglesias	-180	SS	R	9	.409	NYM	v	MIA	26th	16th	h	0.5	1,1,3,1,1,2,0	1.29	86%	86%	0%	0%		Luzardo	L	.000 0-1, 0 HR, 0 RBI, 0 BB, 0 SO	'+135
Daniel Schneemann	-120	3B	L	-	.385	CLE	@	CIN	13th	25th	h	0.5	1,1,1,1,1,0	0.83	83%	83%	0%	0%		Martinez	R		-110
Jd Martinez	-200	DH	R	4	.264	NYM	v	MIA	26th	16th	h	0.5	1,1,1,2,1,1,1,1,0,1	1.0	79%	90%	0%	100%	.500 4-8, 0 HR, 2 RBI, 0 BB, 2 SO	Luzardo	L	.667 2-3, 0 HR, 0 RBI, 0 BB, 1 SO	'+150
William Contreras	-265	C	R	2	.312	MIL	v	TOR	21st	10th	h	0.5	0,3,1,0,0,1,2,1,1,1	1.26	78%	70%	67%	57%	.154 2-13, 1 HR, 2 RBI, 3 BB, 6 SO	Kikuchi	L	.000 1-1, 1 HR, 2 RBI, 2 BB, 0 SO	'+190
Nick Gonzales	-235	2B	R	6	.310	PIT	@	STL	23rd	29th	h	0.5	1,2,1,1,0,2,2,0,1,2	1.15	78%	80%	0%	0%		Mikolas	R		'+170
Rafael Devers	-220	3B	L	4	.284	BOS	v	PHI	5th	8th	h	0.5	0,0,1,1,2,1,2,1,1,0	1.06	76%	70%	68%	68%	.364 4-11, 0 HR, 3 RBI, 0 BB, 4 SO	Wheeler	R	.200 1-5, 0 HR, 1 RBI, 0 BB, 3 SO	'+160
Kevin Pillar	-260	CF	R	4	.381	LAA	@	ARI	29th	19th	h	0.5	1,3,1,1,1,0,0,0,2,2	1.28	76%	70%	0%	0%		Montgomery	L	.143 2-14, 0 HR, 1 RBI, 0 BB, 3 SO	'+185
Ozzie Albies	-235	2B	S	5	.265	ATL	@	BAL	3rd	12th	h	0.5	2,0,0,1,2,0,1,0,1,1	1.05	75%	60%	69%	83%	.231 3-13, 0 HR, 0 RBI, 0 BB, 5 SO	Suarez	R		'+170
Connor Norby	-160	2B	R	7	.214	BAL	v	ATL	15th	15th	h	0.5	0,1,1,1	0.75	75%	75%	0%	0%		Fried	L		'+120
Fernando Tatis	-235	RF	R	2	.280	SD	v	OAK	22nd	27th	h	0.5	3,1,1,2,4,3,1,1,1,1	1.1	74%	100%	69%	89%	.294 5-17, 2 HR, 4 RBI, 3 BB, 6 SO	Sears	L		'+170
Juan Soto	-270	RF	L	2	.318	NYY	@	KC	17th	26th	h	0.5	2,1,1,1,2,3,0,1,0,1	1.18	74%	80%	64%	67%	.231 3-13, 0 HR, 0 RBI, 4 BB, 3 SO	Singer	R	.667 2-3, 0 HR, 0 RBI, 0 BB, 0 SO	'+195
Jurickson Profar	-210	LF	S	3	.319	SD	v	OAK	22nd	27th	h	0.5	0,1,2,1,0,1,2,0,2,0	1.07	74%	60%	56%	54%	.250 3-12, 0 HR, 2 RBI, 5 BB, 1 SO	Sears	L	.500 1-2, 0 HR, 0 RBI, 0 BB, 0 SO	'+155
Jose Ramirez	-265	3B	S	3	.271	CLE	@	CIN	13th	25th	h	0.5	2,1,1,2,0,1,2,0,1,2	1.08	73%	80%	67%	62%	.438 7-16, 0 HR, 1 RBI, 1 BB, 3 SO	Martinez	R		'+190
Bryan De La Cruz	-240	LF	R	2	.248	MIA	@	NYM	9th	18th	h	0.5	0,0,0,1,1,1,0,3,0,1	0.98	73%	50%	60%	64%	.295 13-44, 1 HR, 6 RBI, 5 BB, 11 SO	Megill	R	.000 0-5, 0 HR, 0 RBI, 0 BB, 2 SO	'+175
Salvador Perez	-280	C	R	4	.298	KC	v	NYY	1st	4th	h	0.5	0,1,0,1,1,0,0,1,0,1	1.09	72%	50%	67%	63%	.222 6-27, 2 HR, 6 RBI, 1 BB, 6 SO	Stroman	R	.167 1-6, 0 HR, 0 RBI, 0 BB, 1 SO	'+200
Ezequiel Tovar	-250	SS	R	2	.293	COL	@	MIN	18th	6th	h	0.5	3,0,1,0,2,0,0,4,1,1	1.23	71%	60%	68%	33%	.083 1-12, 0 HR, 0 RBI, 0 BB, 5 SO	Varland	R		'+185
Connor Wong	-130	C	R	7	.329	BOS	v	PHI	5th	8th	h	0.5	2,0,2,1,0,0,2,2,1,1	1.15	71%	70%	50%	0%	.000 0-7, 0 HR, 0 RBI, 0 BB, 2 SO	Wheeler	R	.000 0-2, 0 HR, 0 RBI, 0 BB, 1 SO	-105
Rob Refsnyder	-170	LF	R	3	.336	BOS	v	PHI	5th	8th	h	0.5	1,1,1,1,1,2,3,1,0,2	1.03	71%	90%	43%	50%	.400 2-5, 0 HR, 2 RBI, 0 BB, 3 SO	Wheeler	R		'+130
Josh Smith	-155	3B	L	7	.289	TEX	@	LAD	4th	5th	h	0.5	1,1,2,2,0,1,3,0,1,1	0.94	71%	80%	40%	0%	.000 0-3, 0 HR, 0 RBI, 1 BB, 1 SO	Paxton	L		'+115
Corey Seager	-255	SS	L	2	.271	TEX	@	LAD	4th	5th	h	0.5	1,2,1,1,1,3,1,2,0,1	1.04	70%	90%	71%	100%	.667 2-3, 1 HR, 1 RBI, 1 BB, 1 SO	Paxton	L	.333 1-3, 0 HR, 0 RBI, 0 BB, 1 SO	'+185
Seiya Suzuki	-265	RF	R	2	.272	CHC	@	TB	24th	2nd	h	0.5	2,1,1,2,1,0,1,2,0,3	1.07	70%	80%	67%	67%	.500 5-10, 0 HR, 0 RBI, 1 BB, 4 SO	Eflin	R	.667 2-3, 0 HR, 0 RBI, 0 BB, 1 SO	'+190
Jp Crawford	-155	SS	L	1	.222	SEA	v	CHW	27th	20th	h	0.5	2,1,0,1,1,1,1,2,2,0	0.86	70%	80%	63%	59%	.115 3-26, 1 HR, 2 RBI, 11 BB, 8 SO	Thorpe	R		'+115
Jake Cronenworth	-185	1B	L	5	.267	SD	v	OAK	22nd	27th	h	0.5	1,1,0,1,0,1,2,2,1,2	1.03	70%	80%	63%	75%	.281 9-32, 1 HR, 6 RBI, 1 BB, 5 SO	Sears	L		'+140
Jordan Westburg	-235	3B	R	1	.280	BAL	v	ATL	15th	15th	h	0.5	2,1,1,0,0,0,2,1,3,0	1.07	70%	60%	60%	0%		Fried	L		'+175
Isaac Paredes	-200	3B	R	4	.288	TB	v	CHC	20th	13th	h	0.5	1,1,1,1,1,2,2,0,0,1	1.07	70%	80%	50%	25%	.000 0-8, 0 HR, 0 RBI, 0 BB, 3 SO	Taillon	R		'+145
Corey Julks	-180	RF	R	1	.282	CHW	@	SEA	2nd	7th	h	0.5	1,1,2,1,1,2,0,0,2,1	1.0	70%	80%	0%	100%	.200 1-5, 1 HR, 1 RBI, 0 BB, 3 SO	Woo	R	.000 0-2, 0 HR, 0 RBI, 0 BB, 1 SO	'+135
Heliot Ramos	-225	LF	R	1	.318	SF	v	HOU	12th	9th	h	0.5	0,1,2,2,0,2,3,2,0,2	1.17	70%	70%	0%	100%	.400 2-5, 0 HR, 0 RBI, 0 BB, 1 SO	Blanco	R		'+165
Manny Machado	-210	3B	R	4	.248	SD	v	OAK	22nd	27th	h	0.5	1,1,2,0,1,1,3,0,0,2	0.94	69%	70%	70%	79%	.308 4-13, 0 HR, 0 RBI, 1 BB, 4 SO	Sears	L		'+155
Freddie Freeman	-245	1B	L	3	.290	LAD	v	TEX	6th	14th	h	0.5	0,0,2,1,2,1,1,0,2,0	1.06	69%	60%	69%	92%	.667 8-12, 3 HR, 6 RBI, 3 BB, 2 SO	Dunning	R	.000 2-2, 1 HR, 1 RBI, 0 BB, 0 SO	'+180
Jazz Chisholm	-215	CF	L	1	.245	MIA	@	NYM	9th	18th	h	0.5	0,2,0,1,0,1,0,1,1,1	0.94	69%	60%	64%	58%	.213 13-61, 3 HR, 6 RBI, 6 BB, 21 SO	Megill	R	.375 3-8, 0 HR, 0 RBI, 1 BB, 3 SO	'+155
Teoscar Hernandez	-245	RF	R	5	.266	LAD	v	TEX	6th	14th	h	0.5	1,0,2,0,0,0,3,2,2,2	1.01	69%	60%	64%	68%	.227 10-44, 1 HR, 4 RBI, 5 BB, 18 SO	Dunning	R	.125 1-8, 0 HR, 0 RBI, 1 BB, 3 SO	'+175
Andres Gimenez	-240	2B	L	2	.263	CLE	@	CIN	13th	25th	h	0.5	2,1,2,1,2,0,1,0,1,1	1.05	69%	80%	59%	64%	.250 2-8, 1 HR, 1 RBI, 0 BB, 3 SO	Martinez	R		'+175
Masyn Winn	-235	SS	R	1	.297	STL	v	PIT	19th	21st	h	0.5	3,0,0,1,1,3,2,1,0,2	0.98	69%	70%	50%	60%	.167 3-18, 0 HR, 1 RBI, 1 BB, 4 SO	Skenes	R		'+170
Edmundo Sosa	-200	SS	R	7	.294	PHI	@	BOS	8th	24th	h	0.5	1,2,0,1,1,1,1,0,1,1	0.89	69%	80%	47%	60%	.400 4-10, 0 HR, 1 RBI, 0 BB, 2 SO	Crawford	R		'+150
Julio Rodriguez	-230	CF	R	3	.271	SEA	v	CHW	27th	20th	h	0.5	0,3,0,1,1,0,1,1,2,2	1.07	68%	70%	68%	80%	.364 8-22, 0 HR, 3 RBI, 2 BB, 3 SO	Thorpe	R		'+170
