NAME	OVER	POS	R/L	TEAM	A/H	OPP	OPP RANK	OPP RANK LYR	PROP	LINE	LAST (old ➡️ new)	AVG	% OVER	L10 % OVER	CAREER % OVER	% OVER VS TEAM	VS TEAM	UNDER
James Paxton	-175	SP	L	LAD	v	SF	11th	28th	h_allowed	3.5		0	0%	80%	76%	100%	10.2 IP 13 K, 13 H, 4 BB	'+130
Mackenzie Gore	-170	SP	L	WSH	v	PIT	2nd	25th	h_allowed	3.5		0	0%	70%	67%	0%	7.0 IP 9 K, 2 H, 3 BB	'+125
Dane Dunning	-125	SP	R	TEX	@	TB	16th	5th	h_allowed	4.5		0	0%	70%	57%	33%	16.0 IP 15 K, 10 H, 5 BB	-105
Sean Manaea	-125	RP	L	NYM	v	DET	14th	26th	h_allowed	4.5		0	0%	20%	56%	67%	31.2 IP 31 K, 33 H, 7 BB	-105
Kyle Gibson	'+115	SP	R	STL	@	SD	7th	22nd	h_allowed	5.5		0	0%	60%	55%	60%	26.4 IP 21 K, 28 H, 7 BB	-155
Marco Gonzales	-120	SP	L	PIT	@	WSH	14th	10th	h_allowed	5.5		0	0%	50%	51%	100%	2.2 IP 1 K, 7 H, 1 BB	-110
Keaton Winn	-140	RP	R	SF	@	LAD	9th	8th	h_allowed	4.5		0	0%	44%	44%	100%	5.1 IP 5 K, 6 H, 0 BB	'+105
Cristopher Sanchez	-110	SP	L	PHI	v	CIN	3rd	15th	h_allowed	4.5		0	0%	70%	38%	100%	6.0 IP 7 K, 6 H, 0 BB	-120
Matt Waldron	'+115	RP	R	SD	v	STL	29th	14th	h_allowed	5.5		0	0%	25%	25%	0%	5.2 IP 9 K, 3 H, 2 BB	-155
Ryan Pepiot	'+100	SP	R	TB	v	TEX	6th	2nd	h_allowed	4.5		0	0%	38%	24%	0%		-135
Chase Silseth	'+115	SP	R	LAA	@	MIA	21st	7th	h_allowed	5.5		0	0%	0%	17%	0%	1.0 IP 0 K, 1 H, 4 BB	-150
Dakota Hudson	-160	SP	R	COL	@	CHC	19th	11th	h_allowed	4.5		0	0%	90%	0%	0%		'+120
Dean Kremer	'+110	SP	R	BAL	v	KC	16th	20th	h_allowed	4.5		0	0%	60%	0%	0%		-145
Michael Wacha	-155	SP	R	KC	@	BAL	11th	12th	h_allowed	4.5		0	0%	70%	0%	0%		'+120
Andrew Abbott	'+100	SP	L	CIN	@	PHI	20th	9th	h_allowed	4.5		0	0%	60%	0%	0%		-130
Reese Olson	-175	SP	R	DET	@	NYM	26th	27th	h_allowed	3.5		0	0%	50%	0%	0%		'+130
Ronel Blanco	-105	SP	R	HOU	v	TOR	21st	6th	h_allowed	4.5		0	0%	30%	0%	0%		-130
Ryne Nelson	-155	SP	R	ARI	v	NYY	10th	29th	h_allowed	4.5		0	0%	50%	0%	0%		'+115
Joe Boyle	-110	RP	R	OAK	v	BOS	16th	4th	h_allowed	4.5		0	0%	33%	0%	0%		-140
Tanner Houck	-170	SP	R	BOS	@	OAK	25th	30th	h_allowed	3.5		0	0%	70%	0%	0%		'+125
Emerson Hancock	-155	SP	R	SEA	v	CLE	7th	13th	h_allowed	4.5		0	0%	33%	0%	0%		'+115
Triston Mckenzie	-170	SP	R	CLE	@	SEA	29th	19th	h_allowed	3.5		0	0%	25%	0%	0%		'+125
