NAME	POS	R/L	Batting #	TEAM	A/H	OPP	OPP RANK	OPP RANK VAL	PITCHER	THROWS	VS PITCHER	PROP	LINE	LAST ➡️	% OVER	LYR AVG	LYR % OVER	LYR # MATCHUPS	LYR MATCHUPS	OVER	UNDER
Jordan Lyles	SP	R	-	KC	v	MIN	11th	8.37	Gray	R		hits_allowed	4.5		0%	6.12	84%	1	0%	-140	'+105
Kevin Gausman	SP	R	-	TOR	@	STL	9th	8.52	Flaherty	R		hits_allowed	4.5		0%	6.06	77%	2	50%	-155	'+115
Justin Steele	SP	L	-	CHC	v	MIL	21st	7.84	Woodruff	R		hits_allowed	3.5		0%	4.62	71%	6	50%	-175	'+130
Jose Urena	SP	R	-	COL	@	SD	15th	8.08	Wacha	R		hits_allowed	4.5		0%	5.19	67%	2	50%	-140	'+105
Madison Bumgarner	SP	L	-	ARI	@	LAD	4th	8.72	Kershaw	L		hits_allowed	5.5		0%	5.97	63%	3	67%	'+105	-140
Rich Hill	SP	L	-	PIT	@	CIN	23rd	7.8	Lodolo	L		hits_allowed	4.5		0%	4.81	62%	0	0%	-105	-125
Zack Wheeler	SP	R	-	PHI	@	TEX	16th	8.07	Eovaldi	R		hits_allowed	4.5		0%	4.81	58%	2	100%	-125	-105
Lucas Giolito	SP	R	-	CHW	@	HOU	13th	8.27	Urquidy	R		hits_allowed	5.5		0%	5.7	57%	2	100%	'+105	-140
Patrick Sandoval	SP	L	-	LAA	@	OAK	30th	7.08	Fujinami	R		hits_allowed	4.5		0%	5.15	56%	4	50%	-110	-120
Nathan Eovaldi	SP	R	-	TEX	v	PHI	10th	8.41	Wheeler	R		hits_allowed	5.5		0%	5.75	55%	0	0%	'+110	-145
Clayton Kershaw	SP	L	-	LAD	v	ARI	28th	7.6	Bumgarner	L		hits_allowed	4.5		0%	4.17	55%	2	50%	'+105	-135
Brandon Woodruff	SP	R	-	MIL	@	CHC	17th	7.98	Steele	L		hits_allowed	4.5		0%	4.52	48%	3	33%	'+130	-170
Dean Kremer	SP	R	-	BAL	@	BOS	3rd	8.81	Sale	L		hits_allowed	5.5		0%	5.59	45%	3	67%	-165	'+125
Aaron Civale	SP	R	-	CLE	@	SEA	25th	7.68	Gilbert	R		hits_allowed	4.5		0%	4.65	45%	1	0%	'+110	-145
Jack Flaherty	SP	R	-	STL	v	TOR	1st	9.04	Gausman	R		hits_allowed	4.5		0%	4.0	44%	0	0%	'+100	-130
Michael Wacha	SP	R	-	SD	v	COL	6th	8.69	Urena	R		hits_allowed	5.5		0%	4.83	43%	0	0%	'+120	-160
Alex Cobb	SP	R	-	SF	@	NYY	19th	7.94	Schmidt	R		hits_allowed	5.5		0%	5.43	43%	0	0%	'+125	-165
Sonny Gray	SP	R	-	MIN	@	KC	14th	8.2	Lyles	R		hits_allowed	4.5		0%	4.12	42%	3	0%	-115	-115
Jose Urquidy	SP	R	-	HOU	v	CHW	2nd	8.85	Giolito	R		hits_allowed	5.5		0%	5.31	41%	1	100%	'+120	-165
Logan Gilbert	SP	R	-	SEA	v	CLE	7th	8.68	Civale	R		hits_allowed	5.5		0%	5.31	41%	1	100%	'+115	-150
Zach Eflin	SP	R	-	TB	v	DET	26th	7.65	Turnbull	R		hits_allowed	4.5		0%	3.5	40%	0	0%	-155	'+115
Josiah Gray	SP	R	-	WSH	v	ATL	8th	8.54	Strider	R		hits_allowed	5.5		0%	4.86	39%	2	0%	'+110	-145
Edward Cabrera	SP	R	-	MIA	v	NYM	5th	8.72	Megill	R		hits_allowed	4.5		0%	3.14	29%	1	100%	'+100	-135
Spencer Strider	SP	R	-	ATL	@	WSH	12th	8.34	Gray	R		hits_allowed	4.5		0%	2.77	19%	3	0%	'+110	-145
Clarke Schmidt	SP	R	-	NYY	v	SF	24th	7.78	Cobb	R		hits_allowed	4.5		0%	1.59	3%	0	0%	'+125	-165
Spencer Turnbull	SP	R	-	DET	@	TB	18th	7.95	Eflin	R		hits_allowed	4.5		0%	0	0%	0	0%	-165	'+120
Chris Sale	SP	L	-	BOS	v	BAL	20th	7.91	Kremer	R		hits_allowed	4.5		0%	5.0	0%	0	0%	-160	'+120
Nick Lodolo	SP	L	-	CIN	v	PIT	29th	7.32	Hill	L		hits_allowed	3.5		0%	0	0%	0	0%	-160	'+120
