NAME	OVER	POS	R/L	Batting #	B. AVG	TEAM	A/H	OPP	OPP RANK	OPP RANK LYR	PROP	LINE	LAST (old ➡️ new)	AVG	% OVER	L10 % OVER	CAREER % OVER	% OVER VS TEAM	VS TEAM	PITCHER	THROWS	VS PITCHER	UNDER
Adam Duvall	+0	LF	R	6	.180	ATL	@	BAL	-	-	hits_milestones	0		0.0	0%	0%	0%	0%	.345 10-29, 2 HR, 8 RBI, 0 BB, 9 SO	Suarez	R		'+330
Adley Rutschman	+0	C	S	2	.302	BAL	v	ATL	-	-	hits_milestones	0		0.0	0%	0%	0%	0%	.000 0-8, 0 HR, 0 RBI, 4 BB, 1 SO	Fried	L	.000 0-3, 0 HR, 0 RBI, 1 BB, 1 SO	'+700
Anthony Santander	+0	RF	S	5	.222	BAL	v	ATL	-	-	hits_milestones	0		0.0	0%	0%	0%	0%	.462 6-13, 2 HR, 7 RBI, 0 BB, 2 SO	Fried	L	.333 1-3, 1 HR, 1 RBI, 0 BB, 1 SO	'+950
Austin Hays	+0	LF	R	6	.209	BAL	v	ATL	-	-	hits_milestones	0		0.0	0%	0%	0%	0%	.250 1-4, 0 HR, 0 RBI, 1 BB, 1 SO	Fried	L	.000 0-3, 0 HR, 0 RBI, 0 BB, 0 SO	'+1100
Austin Riley	+0	3B	R	2	.230	ATL	@	BAL	-	-	hits_milestones	0		0.0	0%	0%	0%	0%	.231 3-13, 0 HR, 0 RBI, 0 BB, 2 SO	Suarez	R		'+800
Colton Cowser	+0	LF	L	9	.224	BAL	v	ATL	-	-	hits_milestones	0		0.0	0%	0%	0%	0%		Fried	L		'+475
Connor Norby	+0	2B	R	7	.214	BAL	v	ATL	-	-	hits_milestones	0		0.0	0%	0%	0%	0%		Fried	L		'+370
Gunnar Henderson	+0	SS	L	4	.269	BAL	v	ATL	-	-	hits_milestones	0		0.0	0%	0%	0%	0%	.083 1-12, 0 HR, 1 RBI, 1 BB, 5 SO	Fried	L	.500 1-2, 0 HR, 1 RBI, 1 BB, 0 SO	'+310
James Mccann	+0	C	R	8	.217	BAL	v	ATL	-	-	hits_milestones	0		0.0	0%	0%	0%	0%	.167 1-6, 0 HR, 0 RBI, 0 BB, 1 SO	Fried	L	.000 0-12, 0 HR, 0 RBI, 2 BB, 2 SO	'+290
Jarred Kelenic	+0	LF	L	7	.265	ATL	@	BAL	-	-	hits_milestones	0		0.0	0%	0%	0%	0%	.100 1-10, 0 HR, 1 RBI, 3 BB, 3 SO	Suarez	R		'+370
Jordan Westburg	+0	3B	R	1	.280	BAL	v	ATL	-	-	hits_milestones	0		0.0	0%	0%	0%	0%		Fried	L		'+1000
Marcell Ozuna	+0	DH	R	3	.312	ATL	@	BAL	-	-	hits_milestones	0		0.0	0%	0%	0%	0%	.100 1-10, 1 HR, 1 RBI, 3 BB, 1 SO	Suarez	R	.000 0-1, 0 HR, 0 RBI, 1 BB, 0 SO	'+800
Matt Olson	+0	1B	L	4	.239	ATL	@	BAL	-	-	hits_milestones	0		0.0	0%	0%	0%	0%	.273 3-11, 1 HR, 1 RBI, 3 BB, 3 SO	Suarez	R		'+1200
Michael Harris	+0	CF	L	1	.248	ATL	@	BAL	-	-	hits_milestones	0		0.0	0%	0%	0%	0%	.143 1-7, 0 HR, 1 RBI, 2 BB, 1 SO	Suarez	R		'+750
Orlando Arcia	+0	SS	R	9	.230	ATL	@	BAL	-	-	hits_milestones	0		0.0	0%	0%	0%	0%	.250 1-4, 0 HR, 0 RBI, 0 BB, 2 SO	Suarez	R		'+310
Ozzie Albies	+0	2B	S	5	.265	ATL	@	BAL	-	-	hits_milestones	0		0.0	0%	0%	0%	0%	.231 3-13, 0 HR, 0 RBI, 0 BB, 5 SO	Suarez	R		'+1100
Ryan Mountcastle	+0	1B	R	3	.280	BAL	v	ATL	-	-	hits_milestones	0		0.0	0%	0%	0%	0%	.214 3-14, 0 HR, 0 RBI, 0 BB, 5 SO	Fried	L	.286 2-7, 0 HR, 0 RBI, 0 BB, 1 SO	'+550
Sean Murphy	+0	C	R	8	.147	ATL	@	BAL	-	-	hits_milestones	0		0.0	0%	0%	0%	0%	.222 2-9, 1 HR, 4 RBI, 0 BB, 1 SO	Suarez	R		'+1300
Andy Ibanez	+0	2B	R	2	.262	DET	v	WSH	-	-	hits_milestones	0		0.0	0%	0%	0%	0%	.000 0-12, 0 HR, 1 RBI, 0 BB, 0 SO	Parker	L		'+750
Cj Abrams	+0	SS	L	1	.245	WSH	@	DET	-	-	hits_milestones	0		0.0	0%	0%	0%	0%	.286 2-7, 0 HR, 1 RBI, 0 BB, 0 SO	Maeda	R		'+700
Eddie Rosario	+0	RF	L	6	.190	WSH	@	DET	-	-	hits_milestones	0		0.0	0%	0%	0%	0%	.182 2-11, 1 HR, 1 RBI, 3 BB, 1 SO	Maeda	R	.091 1-11, 0 HR, 0 RBI, 0 BB, 2 SO	'+1200
Gio Urshela	+0	3B	R	5	.268	DET	v	WSH	-	-	hits_milestones	0		0.0	0%	0%	0%	0%	.273 3-11, 0 HR, 1 RBI, 0 BB, 2 SO	Parker	L		'+600
Javier Baez	+0	SS	R	8	.183	DET	v	WSH	-	-	hits_milestones	0		0.0	0%	0%	0%	0%	.000 0-13, 0 HR, 0 RBI, 1 BB, 2 SO	Parker	L		'+1000
Jesse Winker	+0	LF	L	3	.261	WSH	@	DET	-	-	hits_milestones	0		0.0	0%	0%	0%	0%	.000 0-4, 0 HR, 0 RBI, 2 BB, 2 SO	Maeda	R	.500 4-8, 0 HR, 1 RBI, 1 BB, 0 SO	'+285
Joey Gallo	+0	1B	L	8	.161	WSH	@	DET	-	-	hits_milestones	0		0.0	0%	0%	0%	0%	.148 4-27, 2 HR, 3 RBI, 6 BB, 15 SO	Maeda	R	.500 3-6, 1 HR, 2 RBI, 2 BB, 2 SO	'+700
Justyn Henry Malloy	+0	OF	R	7	.188	DET	v	WSH	-	-	hits_milestones	0		0.0	0%	0%	0%	0%		Parker	L		'+310
Keibert Ruiz	+0	C	S	5	.202	WSH	@	DET	-	-	hits_milestones	0		0.0	0%	0%	0%	0%	.500 3-6, 1 HR, 3 RBI, 0 BB, 1 SO	Maeda	R		'+1100
Lane Thomas	+0	RF	R	2	.218	WSH	@	DET	-	-	hits_milestones	0		0.0	0%	0%	0%	0%	.417 5-12, 1 HR, 4 RBI, 1 BB, 2 SO	Maeda	R		'+800
Luis Garcia	+0	2B	L	4	.270	WSH	@	DET	-	-	hits_milestones	0		0.0	0%	0%	0%	0%	.000 0-4, 0 HR, 0 RBI, 0 BB, 1 SO	Maeda	R		'+700
Mark Canha	+0	LF	R	3	.233	DET	v	WSH	-	-	hits_milestones	0		0.0	0%	0%	0%	0%	.333 17-51, 1 HR, 9 RBI, 4 BB, 9 SO	Parker	L		'+1100
Matt Vierling	+0	3B	R	1	.276	DET	v	WSH	-	-	hits_milestones	0		0.0	0%	0%	0%	0%	.417 5-12, 1 HR, 1 RBI, 0 BB, 0 SO	Parker	L		'+550
Nick Senzel	+0	3B	R	7	.239	WSH	@	DET	-	-	hits_milestones	0		0.0	0%	0%	0%	0%	.375 3-8, 0 HR, 0 RBI, 0 BB, 4 SO	Maeda	R		'+1300
Riley Greene	+0	LF	L	4	.243	DET	v	WSH	-	-	hits_milestones	0		0.0	0%	0%	0%	0%	.167 2-12, 1 HR, 1 RBI, 2 BB, 3 SO	Parker	L		'+1000
Wenceel Perez	+0	CF	S	6	.252	DET	v	WSH	-	-	hits_milestones	0		0.0	0%	0%	0%	0%		Parker	L		'+1100
Ben Rortvedt	+0	C	L	9	.243	TB	v	CHC	-	-	hits_milestones	0		0.0	0%	0%	0%	0%	.500 1-2, 0 HR, 0 RBI, 0 BB, 1 SO	Taillon	R		'+425
