NAME	OVER	POS	R/L	TEAM	A/H	OPP	OPP RANK	OPP RANK LYR	PROP	LINE	LAST (old ➡️ new)	AVG	% OVER	L10 % OVER	CAREER % OVER	% OVER VS TEAM	VS TEAM	UNDER
Luis Gil	-105	SP	R	NYY	@	TOR	7th	6th	k	5.5	6,8	7.0	100%	100%	67%	100%	7.2 IP 14 K, 1 H, 7 BB	-125
Kutter Crawford	-115	SP	R	BOS	v	CLE	10th	-	k	4.5	7,5,6	6.0	100%	90%	50%	0%	7.0 IP 6 K, 9 H, 0 BB	-110
Ben Brown	'+110	RP	R	CHC	@	ARI	2nd	3rd	k	4.5	1,5,5	3.67	67%	67%	67%	0%		-140
Martin Perez	-135	SP	L	PIT	@	NYM	4th	9th	k	3.5	2,6,7	5.0	67%	40%	46%	62%	5.0 IP 3 K, 4 H, 1 BB	'+105
Chris Bassitt	-120	SP	R	TOR	v	NYY	6th	19th	k	5.5	6,3,8	5.67	67%	50%	43%	100%	14.2 IP 19 K, 8 H, 2 BB	-105
Patrick Sandoval	'+105	SP	L	LAA	@	TB	15th	17th	k	5.5	2,7,6	5.0	67%	40%	35%	43%	14.2 IP 17 K, 12 H, 6 BB	-130
Ross Stripling	-170	SP	R	OAK	v	STL	15th	8th	k	3.5	6,3,5	4.67	67%	40%	35%	29%	21.1 IP 23 K, 23 H, 7 BB	'+135
Joe Ross	'+100	SP	R	MIL	v	SD	5th	7th	k	4.5	3,7	5.0	50%	50%	45%	40%	18.0 IP 19 K, 22 H, 7 BB	-130
Louie Varland	'+125	SP	R	MIN	@	BAL	11th	11th	k	5.5	4,6	5.0	50%	10%	27%	0%		-160
George Kirby	-120	SP	R	SEA	v	CIN	24th	25th	k	6.5	8,2,3	4.33	33%	40%	38%	0%		-105
Merrill Kelly	'+125	SP	R	ARI	v	CHC	12th	13th	k	6.5	8,4,4	5.33	33%	30%	28%	0%	5.2 IP 6 K, 4 H, 5 BB	-160
Cal Quantrill	'+120	SP	R	COL	@	PHI	20th	22nd	k	4.5	1,3,6	3.33	33%	20%	23%	100%	5.0 IP 7 K, 5 H, 0 BB	-155
Kyle Harrison	'+120	SP	L	SF	@	MIA	13th	4th	k	5.5	5,4,8	5.67	33%	20%	14%	0%		-150
Joe Musgrove	'+130	SP	R	SD	@	MIL	19th	15th	k	6.5	2,3,7,5	4.25	25%	40%	29%	25%	47.6 IP 53 K, 39 H, 15 BB	-165
Tyler Glasnow	'+155	SP	R	LAD	v	WSH	14th	1st	k	9.5	3,5,7,14	7.25	25%	20%	10%	17%	20.4 IP 27 K, 24 H, 12 BB	-190
Reese Olson	-150	SP	R	DET	v	TEX	3rd	16th	k	4.5	3,3	3.0	0%	60%	62%	0%	1.2 IP 2 K, 3 H, 1 BB	'+120
Aaron Nola	-130	SP	R	PHI	v	COL	25th	27th	k	6.5	3,4,3	3.33	0%	30%	53%	56%	14.0 IP 7 K, 10 H, 4 BB	'+100
Sonny Gray	'+105	SP	R	STL	@	OAK	30th	24th	k	5.5	5	5.0	0%	40%	47%	20%	4.0 IP 4 K, 3 H, 1 BB	-130
Edward Cabrera	'+120	SP	R	MIA	v	SF	8th	23rd	k	5.5		0	0%	20%	42%	100%	6.0 IP 8 K, 6 H, 2 BB	-150
Frankie Montas	-130	SP	R	CIN	@	SEA	28th	28th	k	5.5	4,5,4	4.33	0%	0%	41%	58%	56.1 IP 79 K, 42 H, 17 BB	'+100
Adrian Houser	'+130	SP	R	NYM	v	PIT	26th	20th	k	4.5	3,1	2.0	0%	60%	31%	21%	6.0 IP 5 K, 4 H, 2 BB	-160
Cole Irvin	'+115	SP	L	BAL	v	MIN	29th	29th	k	4.5	3,4	3.5	0%	20%	27%	0%	11.1 IP 5 K, 9 H, 3 BB	-145
Zach Eflin	'+105	SP	R	TB	v	LAA	21st	26th	k	6.5	5,5,5	5.0	0%	40%	23%	25%	16.0 IP 19 K, 10 H, 2 BB	-130
Xzavion Curry	'+125	RP	R	CLE	@	BOS	27th	12th	k	3.5		0	0%	10%	7%	0%	4.2 IP 3 K, 7 H, 0 BB	-155
Seth Lugo	'+135	SP	R	KC	@	CHW	18th	18th	k	5.5	4,3,2	3.0	0%	40%	7%	0%	7.1 IP 3 K, 0 H, 0 BB	-175
Michael Lorenzen	-140	SP	R	TEX	@	DET	22nd	21st	k	3.5		0	0%	0%	0%	0%		'+110
Nick Nastrini	-130	SP	R	CHW	v	KC	8th	14th	k	4.5		0	0%	0%	0%	0%		'+105
Darius Vines	-110	SP	R	ATL	@	HOU	1st	2nd	k	3.5		0	0%	0%	0%	0%		-115
Spencer Arrighetti	-105	SP	R	HOU	v	ATL	17th	5th	k	4.5	3	3.0	0%	0%	0%	0%		-120
