NAME	OVER	POS	R/L	TEAM	A/H	OPP	OPP RANK	OPP RANK LYR	PROP	LINE	LAST (old ➡️ new)	AVG	% OVER	L10 % OVER	CAREER % OVER	% OVER VS TEAM	VS TEAM	UNDER
Adrian Houser	-160	SP	R	NYM	@	LAD	-	-	outs	14.5	15,15,16	15.33	100%	90%	47%	50%	5.1 IP 6 K, 5 H, 0 BB	'+120
Edward Cabrera	'+135	SP	R	MIA	@	CHC	-	-	outs	15.5	18	18.0	100%	20%	30%	0%	10.0 IP 20 K, 8 H, 6 BB	-180
Mitchell Parker	-145	SP	L	WSH	v	HOU	-	-	outs	14.5	15	15.0	100%	100%	0%	0%		'+110
Merrill Kelly	-135	SP	R	ARI	@	SF	-	-	outs	17.5	20,21,18,15	18.5	75%	60%	64%	56%	11.2 IP 7 K, 13 H, 5 BB	'+100
Aaron Civale	-105	SP	R	TB	@	NYY	-	-	outs	15.5	18,18,15,18	17.25	75%	40%	63%	80%	26.1 IP 23 K, 28 H, 10 BB	-130
Martin Perez	-110	SP	L	PIT	v	BOS	-	-	outs	16.5	13,20,24,17	18.5	75%	30%	52%	70%	4.2 IP 5 K, 3 H, 1 BB	-120
Ross Stripling	-125	SP	R	OAK	@	CLE	-	-	outs	16.5	15,21,18,17	17.75	75%	40%	17%	20%	21.2 IP 20 K, 15 H, 4 BB	-110
Colin Rea	-105	SP	R	MIL	@	STL	-	-	outs	15.5	15,18,17	16.67	67%	20%	33%	14%	5.2 IP 4 K, 3 H, 3 BB	-125
George Kirby	-120	SP	R	SEA	@	COL	-	-	outs	17.5	20,11,12,18	15.25	50%	70%	61%	100%	6.1 IP 3 K, 6 H, 0 BB	-110
Frankie Montas	-105	SP	R	CIN	v	LAA	-	-	outs	15.5	18,17,15,6	14.0	50%	40%	51%	56%	74.0 IP 85 K, 62 H, 25 BB	-125
Cal Quantrill	-125	SP	R	COL	v	SEA	-	-	outs	15.5	15,12,18,18	15.75	50%	60%	42%	0%	9.2 IP 6 K, 15 H, 3 BB	-110
Chris Bassitt	'+125	SP	R	TOR	@	SD	-	-	outs	18.5	15,13,20,19	16.75	50%	70%	34%	25%	6.0 IP 5 K, 4 H, 1 BB	-165
Cristian Javier	-105	SP	R	HOU	@	WSH	-	-	outs	16.5	18,15,16,21	17.5	50%	40%	32%	50%	6.0 IP 2 K, 5 H, 0 BB	-130
Jordan Hicks	'+105	SP	R	SF	v	ARI	-	-	outs	15.5	15,21,18,15	17.25	50%	20%	0%	0%	3.0 IP 6 K, 2 H, 2 BB	-140
Joe Musgrove	-120	SP	R	SD	v	TOR	-	-	outs	17.5	8,17,18,12,18	14.6	40%	70%	49%	50%	6.0 IP 7 K, 5 H, 1 BB	-110
Aaron Nola	'+120	SP	R	PHI	v	CHW	-	-	outs	18.5	13,17,18,22	17.5	25%	30%	43%	100%	7.0 IP 10 K, 3 H, 2 BB	-160
Tanner Bibee	-120	SP	R	CLE	v	OAK	-	-	outs	16.5	12,16,13,15	14.0	0%	20%	52%	0%	4.0 IP 4 K, 0 H, 0 BB	-110
Cole Irvin	'+105	SP	L	BAL	@	KC	-	-	outs	15.5	15,15,14	14.67	0%	20%	49%	83%	10.1 IP 8 K, 6 H, 0 BB	-140
Luis Gil	'+135	SP	R	NYY	v	TB	-	-	outs	15.5	14,13,15	14.0	0%	0%	33%	0%		-185
Darius Vines	'+130	SP	R	ATL	v	TEX	-	-	outs	15.5	14	14.0	0%	0%	0%	0%		-170
