NAME	OVER	POS	R/L	Batting #	B. AVG	TEAM	A/H	OPP	OPP RANK	OPP RANK LYR	PROP	LINE	LAST (old ➡️ new)	AVG	% OVER	L10 % OVER	CAREER % OVER	% OVER VS TEAM	VS TEAM	PITCHER	THROWS	VS PITCHER	UNDER
Christopher Morel	'+175	3B	R	4	.375	CHC	v	LAD	17th	17th	r	0.5	1,1,1,1,2,1	1.17	100%	80%	0%	0%	.200 3-15, 1 HR, 2 RBI, 0 BB, 7 SO	Miller	R		-240
Ketel Marte	'+130	2B	S	1	.379	ARI	@	ATL	7th	16th	r	0.5	3,1,1,1,0,2,1	1.29	86%	60%	0%	0%	.245 27-110, 3 HR, 14 RBI, 15 BB, 26 SO	Strider	R	.333 2-6, 0 HR, 0 RBI, 2 BB, 3 SO	-170
Kyle Schwarber	-120	DH	L	1	.280	PHI	@	WSH	29th	4th	r	0.5	0,1,2,1,1,1	1.0	83%	70%	46%	0%	.299 50-167, 20 HR, 41 RBI, 41 BB, 48 SO	Corbin	L	.333 5-15, 2 HR, 6 RBI, 4 BB, 3 SO	-110
Adolis Garcia	-110	RF	R	4	.240	TEX	v	HOU	6th	20th	r	0.5	1,1,0,1,1,1	0.83	83%	70%	45%	0%	.267 50-187, 12 HR, 35 RBI, 8 BB, 51 SO	Brown	R	.143 1-7, 0 HR, 1 RBI, 0 BB, 1 SO	-120
Seiya Suzuki	'+140	RF	R	2	.333	CHC	v	LAD	17th	17th	r	0.5	1,0,1,1,2,1	1.0	83%	60%	0%	0%	.224 11-49, 1 HR, 6 RBI, 6 BB, 15 SO	Miller	R		-190
Christian Yelich	'+115	LF	L	3	.368	MIL	v	SEA	14th	28th	r	0.5	1,1,1,1,0	0.8	80%	70%	48%	0%	.354 17-48, 3 HR, 6 RBI, 4 BB, 7 SO	Gilbert	R	.667 2-3, 1 HR, 2 RBI, 0 BB, 0 SO	-150
Ozzie Albies	-135	2B	S	2	.350	ATL	v	ARI	9th	11th	r	0.5	1,2,1,2,0	1.2	80%	70%	0%	0%	.217 26-120, 5 HR, 15 RBI, 7 BB, 24 SO	Henry	L		'+100
Ronald Acuna	-180	RF	R	1	.316	ATL	v	ARI	9th	11th	r	0.5	1,2,1,2,0	1.2	80%	70%	0%	0%	.307 31-101, 4 HR, 6 RBI, 9 BB, 19 SO	Henry	L		'+135
Max Muncy	'+115	3B	L	5	.303	LAD	@	CHC	18th	18th	r	0.5	1,1,0,1,0,1,1,1,1	0.78	78%	80%	46%	0%	.222 24-108, 11 HR, 21 RBI, 30 BB, 36 SO	Hendricks	R	.375 3-8, 1 HR, 1 RBI, 1 BB, 2 SO	-155
Mike Tauchman	'+195	LF	L	8	.125	CHC	v	LAD	17th	17th	r	0.5	2,1,0,2	1.25	75%	50%	0%	0%	.242 8-33, 0 HR, 1 RBI, 5 BB, 13 SO	Miller	R		-275
Bobby Witt	-150	SS	R	2	.429	KC	v	CHW	19th	5th	r	0.5	0,1,3,1,0,1,1	1.0	71%	70%	46%	89%	.286 38-133, 3 HR, 8 RBI, 11 BB, 29 SO	Fedde	R		'+110
Oneil Cruz	'+120	SS	L	1	.286	PIT	v	BAL	12th	21st	r	0.5	1,0,2,1,1,0,1	0.86	71%	70%	45%	0%	.083 1-12, 1 HR, 2 RBI, 0 BB, 7 SO	Rodriguez	R		-160
Kebryan Hayes	'+155	3B	R	3	.290	PIT	v	BAL	12th	21st	r	0.5	1,2,0,1,1,0,1	0.86	71%	70%	39%	0%	.174 4-23, 1 HR, 4 RBI, 2 BB, 7 SO	Rodriguez	R		-210
Jorge Soler	'+135	OF	R	2	.280	SF	v	SD	25th	30th	r	0.5	0,2,1,1,0,1,2	1.0	71%	70%	39%	204%	.160 26-163, 3 HR, 12 RBI, 21 BB, 53 SO	Cease	R	.000 0-15, 0 HR, 0 RBI, 4 BB, 8 SO	-180
Michael Conforto	'+150	LF	L	7	.370	SF	v	SD	25th	30th	r	0.5	3,0,2,1,1,1,0	1.14	71%	60%	39%	166%	.284 56-197, 14 HR, 39 RBI, 17 BB, 67 SO	Cease	R	.000 0-5, 0 HR, 0 RBI, 1 BB, 2 SO	-205
Michael A Taylor	'+230	CF		-	.480	PIT	v	BAL	12th	21st	r	0.5	1,1,2,0,2,0,1	1.0	71%	70%	32%	0%	.303 36-119, 3 HR, 17 RBI, 12 BB, 25 SO	Rodriguez	R		-330
Lourdes Gurriel	'+180	LF	R	3	.267	ARI	@	ATL	7th	16th	r	0.5	3,1,1,1,0,0,1	1.0	71%	50%	0%	0%	.241 14-58, 1 HR, 7 RBI, 2 BB, 9 SO	Strider	R	.000 0-2, 0 HR, 0 RBI, 1 BB, 2 SO	-250
Jose Altuve	-115	2B	R	1	.345	HOU	@	TEX	10th	13th	r	0.5	0,1,0,2,1,1,2	1.0	71%	60%	0%	0%	.301 213-708, 32 HR, 87 RBI, 63 BB, 93 SO	Bradford	L	.000 0-1, 0 HR, 0 RBI, 0 BB, 1 SO	-115
Mookie Betts	-145	SS	R	1	.485	LAD	@	CHC	18th	18th	r	0.5	0,2,3,1,3,0,3,2,0	1.56	67%	60%	56%	0%	.250 26-104, 5 HR, 15 RBI, 11 BB, 19 SO	Hendricks	R	.333 2-6, 0 HR, 0 RBI, 1 BB, 0 SO	'+110
Shohei Ohtani	-135	DH	L	2	.270	LAD	@	CHC	18th	18th	r	0.5	0,1,1,0,1,1,1,0,2	0.78	67%	60%	48%	0%	.273 3-11, 1 HR, 1 RBI, 3 BB, 3 SO	Hendricks	R		'+105
Taylor Ward	'+130	LF	R	4	.320	LAA	v	BOS	1st	10th	r	0.5	0,2,1,1,0,2	1.0	67%	60%	41%	0%	.156 7-45, 1 HR, 3 RBI, 5 BB, 12 SO	Crawford	R	.000 0-4, 0 HR, 0 RBI, 0 BB, 1 SO	-175
Teoscar Hernandez	'+135	LF	R	6	.257	LAD	@	CHC	18th	18th	r	0.5	2,0,1,2,0,2,1,1,0	1.0	67%	60%	40%	0%	.333 8-24, 2 HR, 6 RBI, 1 BB, 5 SO	Hendricks	R		-180
Isaac Paredes	-150	3B	R	4	.190	TB	@	COL	30th	1st	r	0.5	0,0,1,1,1,1	0.67	67%	60%	34%	0%	.417 5-12, 2 HR, 4 RBI, 1 BB, 1 SO	Gomber	L	.500 1-2, 1 HR, 1 RBI, 1 BB, 1 SO	'+115
Anthony Volpe	'+140	SS	R	6	.409	NYY	v	TOR	23rd	27th	r	0.5	0,2,1,2,0,1	1.0	67%	40%	34%	0%	.167 7-42, 2 HR, 3 RBI, 2 BB, 17 SO	Kikuchi	L	.200 1-5, 0 HR, 0 RBI, 0 BB, 0 SO	-185
Cedric Mullins	'+155	CF	L	7	.167	BAL	@	PIT	14th	9th	r	0.5	1,1,0,1,0,1	0.67	67%	50%	0%	0%	.360 9-25, 1 HR, 4 RBI, 0 BB, 5 SO	Jones	R		-210
Jordan Westburg	'+170	2B	R	8	.211	BAL	@	PIT	14th	9th	r	0.5	0,1,1,1,1,0	0.67	67%	67%	0%	0%		Jones	R		-230
Jared Walsh	'+190	1B	L	6	.381	TEX	v	HOU	6th	20th	r	0.5	0,3,1,0,1,1	1.0	67%	67%	0%	0%		Brown	R		-260
Corey Seager	-120	SS	L	2	.364	TEX	v	HOU	6th	20th	r	0.5	0,1,2,0,1	0.8	60%	40%	49%	0%	.290 38-131, 7 HR, 17 RBI, 6 BB, 28 SO	Brown	R	.333 2-6, 0 HR, 1 RBI, 0 BB, 2 SO	-110
Rhys Hoskins	'+130	1B	R	6	.294	MIL	v	SEA	14th	28th	r	0.5	0,2,0,2,1	1.0	60%	60%	46%	0%	.462 6-13, 3 HR, 7 RBI, 0 BB, 3 SO	Gilbert	R	.500 1-2, 1 HR, 4 RBI, 0 BB, 1 SO	-175
Cal Raleigh	'+165	C	S	5	.235	SEA	@	MIL	11th	29th	r	0.5	1,0,0,2,1	0.8	60%	50%	35%	0%	.333 3-9, 1 HR, 3 RBI, 1 BB, 3 SO	Peralta	R		-225
Elias Diaz	'+100	C	R	6	.176	COL	v	TB	22nd	25th	r	0.5	0,1,1,0,1	0.6	60%	40%	0%	0%	.500 7-14, 1 HR, 6 RBI, 0 BB, 3 SO	Littell	R	.333 2-6, 1 HR, 3 RBI, 0 BB, 0 SO	-135
Jake Fraley	'+205	RF	L	5	.467	CIN	v	NYM	4th	14th	r	0.5	2,0,0,1,1	0.8	60%	30%	0%	0%	.350 7-20, 1 HR, 5 RBI, 2 BB, 4 SO	Quintana	L		-285
Eddie Rosario	'+245	CF	L	7	.158	WSH	v	PHI	26th	24th	r	0.5	1,0,1,0,1	0.6	60%	60%	0%	0%		Nola	R	.105 2-19, 0 HR, 2 RBI, 0 BB, 9 SO	-360
Trey Lipscomb	'+235	3B	R	8	.333	WSH	v	PHI	26th	24th	r	0.5	0,2,1,1,0	0.8	60%	60%	0%	0%		Nola	R		-340
Austin Riley	-115	3B	R	3	.238	ATL	v	ARI	9th	11th	r	0.5	1,0,1,2,0	0.8	60%	60%	0%	0%	.384 28-73, 11 HR, 31 RBI, 4 BB, 20 SO	Henry	L		-115
Marcell Ozuna	-120	DH	R	5	.227	ATL	v	ARI	9th	11th	r	0.5	0,1,0,1,2	0.8	60%	70%	0%	0%	.268 49-183, 6 HR, 20 RBI, 23 BB, 42 SO	Henry	L		-110
Michael Harris	'+120	CF	L	8	.368	ATL	v	ARI	9th	11th	r	0.5	2,3,0,1,0	1.2	60%	40%	0%	0%	.211 8-38, 0 HR, 3 RBI, 3 BB, 13 SO	Henry	L		-160
Travis Darnaud	'+115	C	R	6	.200	ATL	v	ARI	9th	11th	r	0.5	1,1,0,1,0	0.6	60%	30%	0%	0%	.234 15-64, 0 HR, 1 RBI, 5 BB, 12 SO	Henry	L		-155
Evan Carter	'+115	LF	L	3	.000	TEX	v	HOU	6th	20th	r	0.5	0,1,2,2,0	1.0	60%	60%	0%	0%		Brown	R		-155
Rafael Devers	'+105	3B	L	2	.217	BOS	@	LAA	21st	8th	r	0.5	1,0,1,1,0	0.6	60%	30%	0%	0%	.279 36-129, 10 HR, 24 RBI, 5 BB, 24 SO	Canning	R	.167 1-6, 0 HR, 0 RBI, 0 BB, 1 SO	-140
Luis Campusano	'+175	C	R	7	.400	SD	@	SF	27th	19th	r	0.5	0,2,1,0,1,0,1	0.71	57%	50%	38%	267%	.395 34-86, 5 HR, 22 RBI, 0 BB, 10 SO	Hicks	R		-240
Lamonte Wade	'+135	RF	L	3	.316	SF	v	SD	25th	30th	r	0.5	0,1,0,1,1,0,1	0.57	57%	50%	36%	119%	.304 52-171, 3 HR, 12 RBI, 15 BB, 64 SO	Cease	R	.400 2-5, 1 HR, 1 RBI, 3 BB, 0 SO	-180
Jack Suwinski	'+135	LF	L	4	.182	PIT	v	BAL	12th	21st	r	0.5	0,0,1,1,0,2,1	0.71	57%	40%	35%	0%	.333 3-9, 0 HR, 1 RBI, 3 BB, 3 SO	Rodriguez	R		-185
Christian Walker	'+175	1B	R	4	.250	ARI	@	ATL	7th	16th	r	0.5	2,1,0,1,0,2,0	0.86	57%	40%	0%	0%	.303 23-76, 6 HR, 14 RBI, 10 BB, 25 SO	Strider	R	.000 0-2, 0 HR, 0 RBI, 0 BB, 2 SO	-240
Maikel Garcia	-145	3B	R	1	.267	KC	v	CHW	19th	5th	r	0.5	1,0,1,0,0,1,1	0.57	57%	60%	0%	168%	.203 14-69, 0 HR, 9 RBI, 6 BB, 24 SO	Fedde	R		'+110
Manny Machado	'+145	3B	R	4	.200	SD	@	SF	27th	19th	r	0.5	1,2,1,1,0,2,0,0,0	0.78	56%	50%	43%	86%	.286 120-419, 20 HR, 76 RBI, 40 BB, 76 SO	Hicks	R	.000 0-2, 0 HR, 0 RBI, 0 BB, 2 SO	-195
Jackson Merrill	'+165	CF	L	9	.240	SD	@	SF	27th	19th	r	0.5	0,2,1,0,1,2,1,0,0	0.78	56%	56%	0%	75%	.200 2-10, 0 HR, 1 RBI, 2 BB, 2 SO	Hicks	R		-225
