NAME	OVER	POS	R/L	Batting #	B. AVG	TEAM	A/H	OPP	OPP RANK	OPP RANK LYR	PROP	LINE	LAST (old ➡️ new)	AVG	% OVER	L10 % OVER	CAREER % OVER	% OVER VS TEAM	VS TEAM	PITCHER	THROWS	VS PITCHER	UNDER
Jonatan Clase	'+170	CF	S	8	.250	SEA	@	COL	30th	1st	rbi	0.5	1,1,0,2	1.0	75%	75%	0%	100%	.400 2-5, 0 HR, 2 RBI, 0 BB, 1 SO	Quantrill	R		-230
Marcell Ozuna	'+120	DH	R	5	.338	ATL	v	TEX	14th	17th	rbi	0.5	1,0,3,1,4,1,0,1,1,0	1.26	63%	70%	36%	47%	.214 3-14, 1 HR, 3 RBI, 3 BB, 3 SO	Lorenzen	R	.105 2-19, 0 HR, 1 RBI, 0 BB, 7 SO	-160
William Contreras	'+200	C	R	2	.385	MIL	@	STL	12th	6th	rbi	0.5	0,2,2,1,1,0,2,0,2,1	1.05	63%	70%	35%	30%	.311 19-61, 1 HR, 5 RBI, 6 BB, 18 SO	Gray	R		-280
Jose Ramirez	'+125	3B	S	3	.239	CLE	v	OAK	10th	2nd	rbi	0.5	0,0,0,2,1,2,0,1,1,1	0.86	62%	60%	35%	35%	.327 17-52, 1 HR, 11 RBI, 4 BB, 6 SO	Stripling	R	.429 3-7, 1 HR, 2 RBI, 1 BB, 0 SO	-165
Tyler Freeman	'+215	CF	R	5	.217	CLE	v	OAK	10th	2nd	rbi	0.5	0,1,0,1,0,0,1,0,2,1	0.65	59%	50%	21%	67%	.300 6-20, 1 HR, 5 RBI, 2 BB, 4 SO	Stripling	R	.000 0-3, 0 HR, 0 RBI, 0 BB, 1 SO	-310
Juan Soto	'+160	RF	L	2	.354	NYY	v	TB	24th	29th	rbi	0.5	1,1,3,0,0,0,0,2,3,0	0.95	57%	50%	37%	44%	.188 3-16, 1 HR, 4 RBI, 3 BB, 2 SO	Civale	R	.000 0-2, 0 HR, 0 RBI, 1 BB, 2 SO	-220
Taylor Ward	'+160	LF	R	3	.287	LAA	@	CIN	17th	8th	rbi	0.5	0,3,2,1,2,1,1,0,0,0	1.0	57%	60%	27%	0%	.167 1-6, 0 HR, 0 RBI, 2 BB, 1 SO	Montas	R	.364 4-11, 1 HR, 1 RBI, 0 BB, 2 SO	-215
Lourdes Gurriel	'+140	LF	R	3	.294	ARI	@	SF	26th	19th	rbi	0.5	1,2,1,3,0,0,2,0,1,0	1.05	55%	60%	35%	50%	.339 19-56, 1 HR, 7 RBI, 2 BB, 7 SO	Hicks	R	.000 1-1, 0 HR, 0 RBI, 0 BB, 0 SO	-185
Michael Conforto	'+205	LF	L	4	.260	SF	v	ARI	19th	11th	rbi	0.5	0,1,0,1,1,1,0,0,0,1	0.75	55%	50%	32%	37%	.288 15-52, 2 HR, 8 RBI, 7 BB, 6 SO	Kelly	R	.143 1-7, 0 HR, 0 RBI, 2 BB, 2 SO	-290
Matt Olson	'+135	1B	L	4	.243	ATL	v	TEX	14th	17th	rbi	0.5	1,0,1,0,1,0,0,1,0,1	0.68	53%	50%	41%	43%	.188 3-16, 0 HR, 2 RBI, 3 BB, 5 SO	Lorenzen	R	.000 0-1, 0 HR, 0 RBI, 0 BB, 1 SO	-185
Anthony Santander	'+155	RF	S	4	.237	BAL	@	KC	1st	3rd	rbi	0.5	1,0,2,0,0,0,1,1,0,2	0.89	53%	50%	34%	47%	.364 16-44, 1 HR, 7 RBI, 5 BB, 11 SO	Lugo	R	.000 0-1, 0 HR, 0 RBI, 0 BB, 1 SO	-215
Cj Abrams	'+195	SS	L	1	.300	WSH	v	HOU	27th	20th	rbi	0.5	3,0,0,1,0,1,0,1,0,1	0.71	53%	50%	23%	40%	.200 4-20, 1 HR, 2 RBI, 0 BB, 3 SO	Javier	R	.000 0-2, 0 HR, 0 RBI, 0 BB, 0 SO	-275
Michael Busch	'+230	1B	L	-	.328	CHC	v	MIA	29th	14th	rbi	0.5	0,0,2,1,1,2,1,0,1,2	0.79	53%	70%	23%	33%	.286 2-7, 0 HR, 2 RBI, 0 BB, 4 SO	Cabrera	R	.000 0-1, 0 HR, 0 RBI, 0 BB, 1 SO	-330
Oswaldo Cabrera	'+265	3B	S	8	.290	NYY	v	TB	24th	29th	rbi	0.5	0,1,1,2,0,1,1,0,0,0	0.76	53%	50%	22%	47%	.308 8-26, 1 HR, 6 RBI, 1 BB, 4 SO	Civale	R		-390
Cody Bellinger	'+165	CF	L	3	.218	CHC	v	MIA	29th	14th	rbi	0.5	0,0,0,0,0,0,1,1,1,1	0.7	50%	40%	36%	43%	.312 10-32, 3 HR, 6 RBI, 2 BB, 9 SO	Cabrera	R	.000 0-4, 0 HR, 0 RBI, 0 BB, 3 SO	-225
Josh Naylor	'+125	1B	L	4	.329	CLE	v	OAK	10th	2nd	rbi	0.5	2,1,0,2,0,0,0,1,1,3	0.85	50%	60%	33%	65%	.375 15-40, 4 HR, 10 RBI, 4 BB, 8 SO	Stripling	R	.833 5-6, 1 HR, 2 RBI, 0 BB, 0 SO	-165
Trevor Larnach	'+175	LF	L	4	.333	MIN	v	DET	6th	12th	rbi	0.5	0,0,2,1	0.75	50%	60%	33%	30%	.200 16-80, 2 HR, 10 RBI, 6 BB, 28 SO	Mize	R		-240
Maikel Garcia	'+205	3B	R	1	.181	KC	v	BAL	17th	24th	rbi	0.5	1,0,2,0,0,0,0,0,0,1	0.65	50%	30%	33%	55%	.370 17-46, 1 HR, 8 RBI, 2 BB, 9 SO	Irvin	L	.667 2-3, 0 HR, 3 RBI, 0 BB, 0 SO	-290
Gunnar Henderson	'+190	SS	L	1	.284	BAL	@	KC	1st	3rd	rbi	0.5	0,2,0,1,1,1,3,1,0,0	0.75	50%	60%	32%	36%	.324 12-37, 3 HR, 7 RBI, 5 BB, 10 SO	Lugo	R		-265
Marcus Semien	'+170	2B	R	1	.283	TEX	@	ATL	11th	15th	rbi	0.5	0,0,0,4,1,1,0,1,1,0	0.82	50%	50%	32%	36%	.318 7-22, 1 HR, 2 RBI, 0 BB, 2 SO	Vines	R		-235
Andres Gimenez	'+200	2B	L	2	.291	CLE	v	OAK	10th	2nd	rbi	0.5	0,0,0,0,1,0,1,0,2,2	0.65	50%	40%	27%	60%	.318 14-44, 0 HR, 11 RBI, 2 BB, 10 SO	Stripling	R	.750 3-4, 0 HR, 2 RBI, 1 BB, 0 SO	-280
Chadwick Tromp	'+220	C	R	-	.235	ATL	v	TEX	14th	17th	rbi	0.5	0,0,1,2,0,2	0.83	50%	40%	25%	100%	.417 5-12, 2 HR, 4 RBI, 0 BB, 3 SO	Lorenzen	R		-310
Fernando Tatis	'+170	RF	R	2	.273	SD	v	TOR	20th	25th	rbi	0.5	0,1,2,1,0,1,0,0,1,0	0.61	48%	50%	38%	20%	.238 5-21, 1 HR, 1 RBI, 2 BB, 5 SO	Bassitt	R	.000 0-3, 0 HR, 0 RBI, 0 BB, 1 SO	-235
Alec Bohm	'+150	3B	R	5	.261	PHI	v	CHW	28th	5th	rbi	0.5	1,1,1,1,0,0,0,1,6,0	0.81	48%	60%	35%	40%	.278 5-18, 2 HR, 8 RBI, 3 BB, 3 SO	Nastrini	R		-200
Josh Smith	'+240	3B	L	6	.298	TEX	@	ATL	11th	15th	rbi	0.5	0,1,1,0,0,0,1,0,0,1	0.52	48%	40%	15%	20%	.188 3-16, 0 HR, 1 RBI, 1 BB, 6 SO	Vines	R		-340
Michael Harris	'+145	CF	L	2	.309	ATL	v	TEX	14th	17th	rbi	0.5	0,0,1,0,0,1,0,0,1,1	0.53	47%	40%	33%	40%	.286 6-21, 1 HR, 2 RBI, 0 BB, 4 SO	Lorenzen	R	.167 1-6, 0 HR, 0 RBI, 0 BB, 1 SO	-195
Brandon Marsh	'+180	LF	L	6	.286	PHI	v	CHW	28th	5th	rbi	0.5	0,1,2,0,0,0,0,0,1,2	0.63	47%	40%	25%	31%	.312 5-16, 2 HR, 3 RBI, 1 BB, 9 SO	Nastrini	R		-245
Connor Joe	'+225	RF	R	7	.288	PIT	v	BOS	4th	10th	rbi	0.5	0,2,0,0,1,0,1,0,0,1	0.71	47%	40%	24%	33%	.333 1-3, 1 HR, 1 RBI, 0 BB, 0 SO	Winckowski	R		-320
Dj Stewart	'+270	RF	L	-	.226	NYM	@	LAD	23rd	18th	rbi	0.5	0,0,2,0,2,1,1,1,3,0	0.77	46%	60%	26%	33%	.250 2-8, 1 HR, 3 RBI, 3 BB, 3 SO	Glasnow	R	.000 0-3, 0 HR, 0 RBI, 0 BB, 2 SO	-400
Will Smith	'+130	C	R	4	.351	LAD	v	NYM	8th	13th	rbi	0.5	1,3,0,0,0,1,2,0,0,0	0.75	45%	40%	40%	23%	.188 3-16, 0 HR, 1 RBI, 1 BB, 4 SO	Houser	R	.000 0-3, 0 HR, 0 RBI, 0 BB, 0 SO	-175
Adolis Garcia	'+110	RF	R	4	.317	TEX	@	ATL	11th	15th	rbi	0.5	0,2,0,0,0,0,2,1,2,0	0.91	45%	40%	39%	56%	.333 6-18, 3 HR, 6 RBI, 1 BB, 7 SO	Vines	R		-145
Spencer Steer	'+180	LF	R	4	.324	CIN	v	LAA	25th	7th	rbi	0.5	1,0,0,3,0,0,0,0,0,0	0.9	45%	20%	38%	60%	.500 9-18, 0 HR, 4 RBI, 4 BB, 5 SO	Soriano	R		-245
Salvador Perez	'+130	C	R	4	.342	KC	v	BAL	17th	24th	rbi	0.5	1,0,0,1,4,0,0,2,0,5	1.1	45%	50%	37%	47%	.372 16-43, 6 HR, 16 RBI, 3 BB, 5 SO	Irvin	L	.444 4-9, 1 HR, 1 RBI, 0 BB, 1 SO	-175
Max Muncy	'+120	3B	L	5	.240	LAD	v	NYM	8th	13th	rbi	0.5	0,1,1,1,2,1,0,0,0,1	0.64	45%	60%	36%	29%	.182 4-22, 1 HR, 2 RBI, 10 BB, 8 SO	Houser	R	.000 0-2, 0 HR, 0 RBI, 0 BB, 1 SO	-160
Isaac Paredes	'+165	3B	R	4	.270	TB	@	NYY	3rd	22nd	rbi	0.5	1,1,0,0,2,0,0,0,2,0	0.7	45%	40%	30%	32%	.327 16-49, 1 HR, 7 RBI, 5 BB, 8 SO	Gil	R		-225
Elly De La Cruz	'+190	SS	S	6	.290	CIN	v	LAA	25th	7th	rbi	0.5	1,1,3,0,0,0,0,1,3,1	0.75	45%	60%	29%	60%	.294 5-17, 2 HR, 10 RBI, 5 BB, 4 SO	Soriano	R	.000 0-1, 0 HR, 0 RBI, 0 BB, 0 SO	-260
Cedric Mullins	'+220	CF	L	6	.254	BAL	@	KC	1st	3rd	rbi	0.5	0,1,0,0,1,3,0,2,0,0	0.75	45%	40%	27%	36%	.167 4-24, 0 HR, 5 RBI, 3 BB, 7 SO	Lugo	R		-310
Brendan Donovan	'+195	LF	L	1	.211	STL	v	MIL	9th	26th	rbi	0.5	1,1,1,0,0,0,1,0,1,1	0.6	45%	60%	23%	15%	.148 4-27, 0 HR, 3 RBI, 3 BB, 7 SO	Rea	R		-275
Riley Adams	'+235	C	R	8	.289	WSH	v	HOU	27th	20th	rbi	0.5	0,1,1,0,0,0,0,0,1,1	0.55	45%	40%	20%	67%	.375 3-8, 1 HR, 2 RBI, 1 BB, 3 SO	Javier	R		-330
Shohei Ohtani	'+105	DH	L	2	.359	LAD	v	NYM	8th	13th	rbi	0.5	0,0,1,1,0,0,0,0,1,0	0.48	43%	30%	37%	43%	.333 5-15, 0 HR, 2 RBI, 9 BB, 4 SO	Houser	R		-135
Eugenio Suarez	'+210	3B	R	6	.231	ARI	@	SF	26th	19th	rbi	0.5	0,2,3,0,0,1,0,0,1,0	0.67	43%	40%	33%	38%	.238 5-21, 0 HR, 1 RBI, 3 BB, 6 SO	Hicks	R	.250 1-4, 0 HR, 2 RBI, 0 BB, 2 SO	-295
Bryan Reynolds	'+195	LF	S	2	.277	PIT	v	BOS	4th	10th	rbi	0.5	0,0,1,0,0,0,1,1,0,0	0.62	43%	30%	32%	62%	.556 10-18, 3 HR, 5 RBI, 3 BB, 3 SO	Winckowski	R	.000 3-3, 2 HR, 4 RBI, 0 BB, 0 SO	-265
Mitch Haniger	-105	RF	R	5	.275	SEA	@	COL	30th	1st	rbi	0.5	0,2,2,0,0,0,3,1,1,0	0.68	42%	50%	35%	41%	.212 7-33, 2 HR, 7 RBI, 3 BB, 9 SO	Quantrill	R	.500 1-2, 0 HR, 0 RBI, 0 BB, 0 SO	-130
Adley Rutschman	'+200	C	S	2	.304	BAL	@	KC	1st	3rd	rbi	0.5	1,0,0,1,0,0,0,0,4,1	0.63	42%	40%	32%	29%	.333 14-42, 1 HR, 7 RBI, 5 BB, 6 SO	Lugo	R		-280
Willy Adames	'+200	SS	R	3	.303	MIL	@	STL	12th	6th	rbi	0.5	0,0,3,2,0,1,0,0,0,1	0.58	42%	40%	32%	31%	.268 15-56, 2 HR, 7 RBI, 5 BB, 18 SO	Gray	R	.571 4-7, 1 HR, 2 RBI, 5 BB, 2 SO	-280
Amed Rosario	'+215	RF	R	6	.343	TB	@	NYY	3rd	22nd	rbi	0.5	0,0,1,2,0,1,2,1,0,0	0.53	42%	50%	28%	27%	.286 8-28, 1 HR, 1 RBI, 3 BB, 6 SO	Gil	R		-310
Jordan Westburg	'+180	3B	R	8	.319	BAL	@	KC	1st	3rd	rbi	0.5	3,0,0,2,0,2,2,0,0,2	0.84	42%	50%	28%	40%	.263 5-19, 1 HR, 4 RBI, 0 BB, 4 SO	Lugo	R		-245
Brandon Nimmo	'+265	LF	L	1	.205	NYM	@	LAD	23rd	18th	rbi	0.5	0,2,1,0,1,1,0,2,0,0	0.79	42%	50%	25%	18%	.333 10-30, 2 HR, 4 RBI, 4 BB, 7 SO	Glasnow	R	.000 0-2, 0 HR, 0 RBI, 3 BB, 0 SO	-390
Giancarlo Stanton	'+170	DH	R	5	.234	NYY	v	TB	24th	29th	rbi	0.5	4,0,1,1,1,0,0,1,0,0	0.59	41%	50%	39%	33%	.136 3-22, 1 HR, 6 RBI, 1 BB, 7 SO	Civale	R	.400 2-5, 1 HR, 1 RBI, 0 BB, 0 SO	-230
Christian Walker	'+155	1B	R	4	.265	ARI	@	SF	26th	19th	rbi	0.5	0,0,0,0,0,0,0,0,1,1	0.59	41%	20%	34%	31%	.333 17-51, 0 HR, 7 RBI, 11 BB, 7 SO	Hicks	R	.333 1-3, 1 HR, 1 RBI, 0 BB, 2 SO	-210
Ketel Marte	'+185	2B	S	1	.356	ARI	@	SF	26th	19th	rbi	0.5	0,1,0,0,0,1,2,0,1,0	0.55	41%	40%	30%	37%	.355 22-62, 4 HR, 11 RBI, 6 BB, 12 SO	Hicks	R	.000 0-2, 0 HR, 0 RBI, 0 BB, 0 SO	-255
Blaze Alexander	'+275	SS	R	9	.333	ARI	@	SF	26th	19th	rbi	0.5	0,0,1,0,0,0,3,0,5,1	0.76	41%	40%	0%	100%	.444 4-9, 1 HR, 6 RBI, 1 BB, 2 SO	Hicks	R		-400
Luis Guillorme	'+240	2B	L	9	.231	ATL	v	TEX	14th	17th	rbi	0.5	0,2,0,1	0.6	40%	30%	13%	25%	.154 2-13, 0 HR, 1 RBI, 1 BB, 2 SO	Lorenzen	R	.500 2-4, 0 HR, 0 RBI, 0 BB, 0 SO	-350
Kyle Mccann	'+265	C	L	-	.300	OAK	@	CLE	2nd	21st	rbi	0.5	1,0,0,0,2	0.6	40%	40%	0%	100%	.000 0-2, 0 HR, 1 RBI, 2 BB, 2 SO	Bibee	R		-390
Wyatt Langford	'+210	LF	R	7	.241	TEX	@	ATL	11th	15th	rbi	0.5	0,0,1,1,0,0,0,1,0,0	0.45	40%	30%	0%	0%	.125 1-8, 0 HR, 0 RBI, 0 BB, 4 SO	Vines	R		-300
Mookie Betts	'+175	SS	R	1	.356	LAD	v	NYM	8th	13th	rbi	0.5	0,0,3,2,0,0,2,0,0,0	0.78	39%	30%	37%	47%	.391 9-23, 1 HR, 3 RBI, 6 BB, 2 SO	Houser	R	.000 0-1, 0 HR, 0 RBI, 1 BB, 1 SO	-235
Teoscar Hernandez	'+165	RF	R	6	.264	LAD	v	NYM	8th	13th	rbi	0.5	0,1,2,0,0,0,1,0,1,0	0.83	39%	40%	35%	42%	.263 5-19, 1 HR, 4 RBI, 1 BB, 6 SO	Houser	R	.333 1-3, 0 HR, 0 RBI, 0 BB, 1 SO	-230
Abraham Toro	'+240	3B	S	1	.254	OAK	@	CLE	2nd	21st	rbi	0.5	0,0,0,1,2,0,0,1,1,0	0.44	39%	40%	26%	36%	.143 5-35, 2 HR, 4 RBI, 4 BB, 4 SO	Bibee	R		-350
Yainer Diaz	'+130	C	R	5	.289	HOU	@	WSH	13th	4th	rbi	0.5	1,1,0,1,0,0,0,0,1,0	0.43	38%	40%	42%	60%	.235 4-17, 1 HR, 3 RBI, 0 BB, 3 SO	Parker	L		-170
Nolan Arenado	'+135	3B	R	4	.286	STL	v	MIL	9th	26th	rbi	0.5	0,1,3,0,0,1,0,0,0,2	0.52	38%	40%	41%	45%	.282 11-39, 3 HR, 12 RBI, 5 BB, 4 SO	Rea	R	.000 0-1, 0 HR, 0 RBI, 1 BB, 0 SO	-180
Vladimir Guerrero	'+180	1B	R	2	.237	TOR	@	SD	22nd	30th	rbi	0.5	0,1,0,0,1,0,2,0,1,0	0.43	38%	40%	38%	25%	.316 6-19, 1 HR, 2 RBI, 2 BB, 4 SO	Musgrove	R	.000 0-3, 0 HR, 0 RBI, 0 BB, 1 SO	-250
Kerry Carpenter	'+145	RF	L	4	.323	DET	@	MIN	21st	27th	rbi	0.5	0,0,2,0,0,1,1,2,2,1	0.52	38%	60%	32%	42%	.400 26-65, 3 HR, 10 RBI, 4 BB, 15 SO	Varland	R	.667 2-3, 1 HR, 1 RBI, 0 BB, 0 SO	-195
Jeimer Candelario	'+165	3B	S	7	.183	CIN	v	LAA	25th	7th	rbi	0.5	1,0,0,1,0,0,0,2,1,0	0.44	38%	40%	29%	23%	.286 4-14, 0 HR, 2 RBI, 2 BB, 4 SO	Soriano	R		-230
Riley Greene	'+190	LF	L	1	.229	DET	@	MIN	21st	27th	rbi	0.5	1,0,1,0,0,0,0,1,0,0	0.38	38%	30%	29%	35%	.326 14-43, 2 HR, 8 RBI, 5 BB, 13 SO	Varland	R		-265
Jake Cronenworth	'+175	1B	L	3	.256	SD	v	TOR	20th	25th	rbi	0.5	1,2,0,2,1,0,0,0,0,0	0.67	38%	40%	29%	20%	.158 3-19, 0 HR, 2 RBI, 2 BB, 7 SO	Bassitt	R	.333 2-6, 0 HR, 2 RBI, 0 BB, 2 SO	-245
Ryan Jeffers	'+220	C	R	2	.250	MIN	v	DET	6th	12th	rbi	0.5	1,0,0,2,2,2,0,0,0,1	0.75	38%	50%	25%	24%	.283 13-46, 2 HR, 9 RBI, 5 BB, 11 SO	Mize	R	.167 1-6, 0 HR, 0 RBI, 1 BB, 0 SO	-310
Connor Wong	'+190	C	R	8	.349	BOS	@	PIT	15th	9th	rbi	0.5	0,0,2,1,0,0,3,1,0,0	0.62	38%	40%	21%	0%	.273 3-11, 0 HR, 0 RBI, 0 BB, 3 SO	Perez	L		-265
Luis Campusano	'+195	C	R	7	.286	SD	v	TOR	20th	25th	rbi	0.5	0,1,0,2,0,0,1,1,0,0	0.63	37%	40%	39%	0%	.300 3-10, 0 HR, 0 RBI, 1 BB, 0 SO	Bassitt	R		-270
Austin Riley	'+110	3B	R	3	.259	ATL	v	TEX	14th	17th	rbi	0.5	2,0,1,0,0,1,0,0,0,0	0.63	37%	30%	37%	50%	.150 3-20, 1 HR, 3 RBI, 2 BB, 5 SO	Lorenzen	R	.000 0-1, 0 HR, 0 RBI, 0 BB, 0 SO	-145
Javier Baez	'+195	SS	R	8	.177	DET	@	MIN	21st	27th	rbi	0.5	0,1,0,1,0,0,1,1,0,1	0.37	37%	50%	32%	35%	.180 9-50, 2 HR, 10 RBI, 3 BB, 20 SO	Varland	R	.667 2-3, 0 HR, 1 RBI, 0 BB, 0 SO	-270
Jared Triolo	'+255	2B	R	8	.222	PIT	v	BOS	4th	10th	rbi	0.5	2,0,1,0,0,1,0,0,0,1	0.42	37%	40%	26%	50%	.125 1-8, 0 HR, 1 RBI, 0 BB, 1 SO	Winckowski	R		-370
Nick Gordon	'+200	LF	L	7	.233	MIA	@	CHC	15th	16th	rbi	0.5	1,0,0,2,0,1,0,2,0,0	0.63	37%	40%	21%	33%	.286 6-21, 0 HR, 4 RBI, 0 BB, 3 SO	Hendricks	R	.000 0-2, 0 HR, 0 RBI, 0 BB, 1 SO	-280
Colton Cowser	'+250	LF	L	7	.375	BAL	@	KC	1st	3rd	rbi	0.5	2,4,1,0,1,0,2,0,0,0	0.79	37%	50%	17%	20%	.333 3-9, 0 HR, 1 RBI, 0 BB, 3 SO	Lugo	R		-360
Kyle Tucker	'+135	RF	L	4	.286	HOU	@	WSH	13th	4th	rbi	0.5	0,0,3,3,0,0,1,1,0,2	0.77	36%	50%	39%	29%	.556 10-18, 1 HR, 3 RBI, 3 BB, 2 SO	Parker	L		-185
