NAME	OVER	POS	R/L	Batting #	B. AVG	TEAM	A/H	OPP	OPP RANK	OPP RANK LYR	PROP	LINE	LAST (old ➡️ new)	AVG	% OVER	L10 % OVER	CAREER % OVER	% OVER VS TEAM	VS TEAM	PITCHER	THROWS	VS PITCHER	UNDER
Jose Caballero	'+245	SS	R	7	.288	TB	@	NYY	21st	21st	sb	0.5	1,0,0,0,0,0,0,0,1,1	0.37	37%	30%	19%	25%	.217 5-23, 0 HR, 2 RBI, 1 BB, 10 SO	Gil	R		-350
Elly De La Cruz	'+235	SS	S	6	.290	CIN	v	LAA	7th	27th	sb	0.5	0,0,0,0,0,0,1,0,3,0	0.5	35%	20%	31%	60%	.294 5-17, 2 HR, 10 RBI, 5 BB, 4 SO	Soriano	R	.000 0-1, 0 HR, 0 RBI, 0 BB, 0 SO	-340
Corbin Carroll	'+195	CF	L	2	.224	ARI	@	SF	22nd	10th	sb	0.5	0,1,0,1,0,2,1,0,0,0	0.38	33%	40%	23%	29%	.222 14-63, 1 HR, 6 RBI, 3 BB, 15 SO	Hicks	R		-270
Brice Turang	'+340	2B	L	6	.323	MIL	@	STL	18th	23rd	sb	0.5	0,0,0,0,0,1,0,1,0,0	0.5	33%	20%	18%	8%	.205 8-39, 1 HR, 2 RBI, 4 BB, 4 SO	Gray	R		-525
Ronald Acuna	'+195	RF	R	1	.301	ATL	v	TEX	4th	26th	sb	0.5	3,0,2,0,1,0,1,0,0,1	0.47	32%	50%	24%	29%	.294 5-17, 3 HR, 4 RBI, 5 BB, 5 SO	Lorenzen	R	.000 0-1, 0 HR, 1 RBI, 1 BB, 0 SO	-275
Lane Thomas	'+310	RF	R	3	.183	WSH	v	HOU	15th	9th	sb	0.5	0,0,0,0,1,0,1,0,0,1	0.45	30%	30%	7%	14%	.286 6-21, 0 HR, 1 RBI, 1 BB, 6 SO	Javier	R	.000 0-3, 0 HR, 0 RBI, 0 BB, 1 SO	-475
Johan Rojas	'+270	CF	R	9	.245	PHI	v	CHW	23rd	1st	sb	0.5	0,0,0,0,0,1,0,1,1,1	0.29	29%	40%	24%	100%	.750 3-4, 0 HR, 1 RBI, 0 BB, 0 SO	Nastrini	R		-400
Julio Rodriguez	'+240	CF	R	2	.256	SEA	@	COL	25th	24th	sb	0.5	0,0,0,0,0,0,1,1,0,2	0.3	25%	30%	20%	25%	.353 6-17, 0 HR, 7 RBI, 1 BB, 3 SO	Quantrill	R	.000 2-2, 1 HR, 1 RBI, 0 BB, 0 SO	-350
Anthony Volpe	'+340	SS	R	1	.307	NYY	v	TB	28th	22nd	sb	0.5	0,0,1,1,0,1,0,0,0,0	0.3	25%	30%	13%	21%	.283 15-53, 4 HR, 9 RBI, 3 BB, 16 SO	Civale	R		-550
Jonatan Clase	'+180	CF	S	8	.250	SEA	@	COL	25th	24th	sb	0.5	0,0,1,0	0.25	25%	25%	0%	0%	.400 2-5, 0 HR, 2 RBI, 0 BB, 1 SO	Quantrill	R		-250
Harrison Bader	'+450	CF	R	8	.306	NYM	@	LAD	13th	5th	sb	0.5	0,0,0,1,0,1,0,0,1,0	0.24	24%	30%	11%	6%	.145 8-55, 0 HR, 3 RBI, 3 BB, 18 SO	Glasnow	R	.500 1-2, 0 HR, 0 RBI, 0 BB, 0 SO	-800
Jesus Sanchez	'+700	RF	L	5	.191	MIA	@	CHC	7th	12th	sb	0.5	0,1,0,0,0,1,0,0,0,0	0.24	24%	20%	1%	10%	.261 6-23, 0 HR, 3 RBI, 1 BB, 8 SO	Hendricks	R		-1800
Jarren Duran	'+280	LF	L	1	.280	BOS	@	PIT	18th	14th	sb	0.5	0,0,0,0,0,0,0,1,0,0	0.32	23%	10%	13%	0%	.067 1-15, 0 HR, 0 RBI, 1 BB, 1 SO	Perez	L		-425
Shohei Ohtani	'+450	DH	L	2	.359	LAD	v	NYM	30th	4th	sb	0.5	0,0,0,1,0,1,0,1,1,0	0.22	22%	40%	11%	29%	.333 5-15, 0 HR, 2 RBI, 9 BB, 4 SO	Houser	R		-800
Will Benson	'+425	CF	L	2	.197	CIN	v	LAA	7th	27th	sb	0.5	1,0,0,0,2,1,0,0,0,0	0.26	21%	30%	13%	40%	.267 4-15, 0 HR, 0 RBI, 1 BB, 5 SO	Soriano	R	.000 0-1, 0 HR, 0 RBI, 0 BB, 1 SO	-750
Starling Marte	'+255	RF	R	6	.282	NYM	@	LAD	13th	5th	sb	0.5	0,1,0,0,0,0,0,0,1,1	0.25	20%	30%	22%	19%	.214 6-28, 1 HR, 6 RBI, 0 BB, 8 SO	Glasnow	R	.200 1-5, 1 HR, 2 RBI, 0 BB, 3 SO	-400
Spencer Steer	'+650	LF	R	4	.324	CIN	v	LAA	7th	27th	sb	0.5	0,0,0,0,1,0,0,0,0,1	0.2	20%	20%	7%	20%	.500 9-18, 0 HR, 4 RBI, 4 BB, 5 SO	Soriano	R		-1400
Trea Turner	'+270	SS	R	2	.353	PHI	v	CHW	23rd	1st	sb	0.5	0,0,0,0,0,0,0,0,0,0	0.19	19%	0%	22%	33%	.364 8-22, 1 HR, 4 RBI, 1 BB, 6 SO	Nastrini	R		-400
Bobby Witt	'+290	SS	R	2	.302	KC	v	BAL	12th	28th	sb	0.5	0,1,0,0,0,0,0,1,0,0	0.19	19%	20%	21%	33%	.292 14-48, 2 HR, 5 RBI, 2 BB, 10 SO	Irvin	L	.111 1-9, 0 HR, 0 RBI, 0 BB, 5 SO	-425
Jazz Chisholm	'+220	CF	L	3	.218	MIA	@	CHC	7th	12th	sb	0.5	1,0,0,0,1,0,0,0,0,0	0.19	19%	20%	17%	13%	.250 9-36, 0 HR, 4 RBI, 1 BB, 12 SO	Hendricks	R		-310
Mike Trout	'+750	CF	R	2	.256	LAA	@	CIN	27th	11th	sb	0.5	0,0,0,0,0,1,0,2,0,0	0.24	19%	20%	12%	8%	.167 2-12, 0 HR, 0 RBI, 0 BB, 3 SO	Montas	R	.278 5-18, 0 HR, 0 RBI, 2 BB, 5 SO	-1800
Jake Fraley	'+450	RF	L	5	.340	CIN	v	LAA	7th	27th	sb	0.5	0,0,0,0,3,0,1,0,0,0	0.31	19%	20%	11%	17%	.200 9-45, 2 HR, 12 RBI, 10 BB, 13 SO	Soriano	R		-800
David Hamilton	'+400	SS	L	-	.182	BOS	@	PIT	18th	14th	sb	0.5	0,0,1,0,1,0,0,0,0,0	0.18	18%	20%	14%	0%		Perez	L		-650
Jose Siri	'+450	CF	R	8	.188	TB	@	NYY	21st	21st	sb	0.5	0,0,0,0,0,0,0,0,0,0	0.27	18%	0%	13%	12%	.108 4-37, 2 HR, 3 RBI, 4 BB, 15 SO	Gil	R		-800
Jeremy Pena	'+500	SS	R	8	.356	HOU	@	WSH	29th	2nd	sb	0.5	0,0,0,0,0,0,0,0,1,1	0.18	18%	20%	7%	67%	.500 6-12, 0 HR, 2 RBI, 0 BB, 2 SO	Parker	L		-1000
Mookie Betts	'+550	SS	R	1	.356	LAD	v	NYM	30th	4th	sb	0.5	0,0,0,0,1,0,0,0,0,2	0.22	17%	20%	12%	16%	.391 9-23, 1 HR, 3 RBI, 6 BB, 2 SO	Houser	R	.000 0-1, 0 HR, 0 RBI, 1 BB, 1 SO	-1100
Ha Seong Kim	'+450	SS	R	6	.232	SD	v	TOR	14th	8th	sb	0.5	0,1,0,0,0,0,0,0,0,0	0.17	17%	10%	11%	20%	.294 5-17, 0 HR, 1 RBI, 1 BB, 4 SO	Bassitt	R	.200 1-5, 0 HR, 0 RBI, 0 BB, 2 SO	-800
Sal Frelick	'+600	CF	L	1	.306	MIL	@	STL	18th	23rd	sb	0.5	0,0,0,0,1,0,0,0,0,0	0.17	17%	10%	9%	0%	.258 8-31, 0 HR, 2 RBI, 3 BB, 5 SO	Gray	R		-1400
Blake Perkins	'+750	CF	S	8	.356	MIL	@	STL	18th	23rd	sb	0.5	1,1,0,0,0,0,0,0,0,0	0.17	17%	20%	8%	0%	.333 7-21, 1 HR, 1 RBI, 3 BB, 3 SO	Gray	R		-2000
Luis Garcia	'+550	2B	L	5	.288	WSH	v	HOU	15th	9th	sb	0.5	1,0,0,0,0,0,0,2,1,0	0.22	17%	30%	4%	20%	.235 4-17, 0 HR, 1 RBI, 2 BB, 1 SO	Javier	R	.000 0-3, 0 HR, 0 RBI, 0 BB, 0 SO	-1000
Jackson Merrill	'+550	CF	L	8	.311	SD	v	TOR	14th	8th	sb	0.5	0,1,0,0,0,1,1,0,0,0	0.17	17%	30%	0%	0%	.125 1-8, 0 HR, 0 RBI, 0 BB, 3 SO	Bassitt	R		-1000
Parker Meadows	'+550	CF	L	7	.087	DET	@	MIN	6th	25th	sb	0.5	1,0,0,0,0,0,0,0,1,0	0.16	16%	20%	22%	20%	.067 1-15, 0 HR, 0 RBI, 1 BB, 7 SO	Varland	R		-1000
Amed Rosario	'+400	RF	R	6	.343	TB	@	NYY	21st	21st	sb	0.5	0,0,0,0,0,0,0,0,1,1	0.16	16%	20%	11%	22%	.286 8-28, 1 HR, 1 RBI, 3 BB, 6 SO	Gil	R		-650
Tyler Wade	'+360	3B	L	9	.205	SD	v	TOR	14th	8th	sb	0.5	0,0,1,0,0,1,0,0,0,0	0.16	16%	20%	11%	12%	.200 2-10, 0 HR, 1 RBI, 0 BB, 2 SO	Bassitt	R	.000 0-2, 0 HR, 0 RBI, 0 BB, 1 SO	-575
Bo Bichette	'+850	SS	R	3	.227	TOR	@	SD	5th	15th	sb	0.5	0,0,1,0,0,1,0,0,1,0	0.16	16%	30%	9%	20%	.316 6-19, 0 HR, 0 RBI, 3 BB, 3 SO	Musgrove	R	.667 2-3, 0 HR, 0 RBI, 0 BB, 0 SO	-3000
Javier Baez	'+700	SS	R	8	.177	DET	@	MIN	6th	25th	sb	0.5	0,0,0,0,0,0,0,0,0,0	0.16	16%	0%	8%	3%	.180 9-50, 2 HR, 10 RBI, 3 BB, 20 SO	Varland	R	.667 2-3, 0 HR, 1 RBI, 0 BB, 0 SO	-1800
Jordan Westburg	'+800	3B	R	8	.319	BAL	@	KC	2nd	20th	sb	0.5	0,1,1,0,0,0,0,0,0,1	0.16	16%	30%	6%	20%	.263 5-19, 1 HR, 4 RBI, 0 BB, 4 SO	Lugo	R		-2500
Masyn Winn	'+350	SS	R	9	.321	STL	v	MIL	16th	13th	sb	0.5	0,0,0,0,1,0,1,0,0,0	0.16	16%	20%	6%	0%	.107 3-28, 0 HR, 2 RBI, 4 BB, 8 SO	Rea	R	.333 1-3, 0 HR, 0 RBI, 1 BB, 2 SO	-575
Colton Cowser	'+750	LF	L	7	.375	BAL	@	KC	2nd	20th	sb	0.5	1,0,0,1,0,0,0,1,0,0	0.16	16%	30%	4%	0%	.333 3-9, 0 HR, 1 RBI, 0 BB, 3 SO	Lugo	R		-2000
