NAME	OVER	POS	R/L	Batting #	B. AVG	TEAM	A/H	OPP	OPP RANK	OPP RANK LYR	PROP	LINE	LAST (old ➡️ new)	AVG	% OVER	L10 % OVER	CAREER % OVER	% OVER VS TEAM	VS TEAM	PITCHER	THROWS	VS PITCHER	UNDER
Jackson Holliday	-200	2B	L	9	.067	BAL	v	MIN	29th	29th	so	0.5	2,2,3,2	2.25	100%	100%	0%	0%		Varland	R		'+145
Tim Anderson	-285	SS	R	4	.275	MIA	v	SF	8th	23rd	so	0.5	2,1,1,1,2,1,1,1,0,1	1.21	93%	90%	67%	100%	.091 1-11, 0 HR, 2 RBI, 0 BB, 4 SO	Harrison	L		'+205
Triston Casas	-290	1B	L	4	.259	BOS	v	CLE	10th	-	so	0.5	0,1,3,0,1,1,1,1,2,1	1.19	88%	80%	66%	75%	.267 4-15, 1 HR, 1 RBI, 2 BB, 4 SO	Curry	R	.000 1-1, 0 HR, 0 RBI, 0 BB, 0 SO	'+210
Mitch Garver	-240	DH	R	8	.156	SEA	v	CIN	24th	25th	so	0.5	0,1,2,2,1,2,2,1,1,2	1.23	85%	90%	61%	67%	.375 6-16, 2 HR, 4 RBI, 0 BB, 8 SO	Montas	R	.000 0-6, 0 HR, 0 RBI, 0 BB, 3 SO	'+175
Jt Realmuto	-240	C	R	4	.265	PHI	v	COL	25th	27th	so	0.5	1,2,1,1,0,3,0,2,1,1	1.23	85%	80%	59%	58%	.250 5-20, 0 HR, 1 RBI, 1 BB, 4 SO	Quantrill	R	.000 0-2, 0 HR, 0 RBI, 0 BB, 1 SO	'+175
Dominic Fletcher	-180	CF	L	6	.250	CHW	v	KC	8th	14th	so	0.5	1,1,0,1,1,1,0,1,1,1	0.92	85%	80%	57%	75%	.273 3-11, 0 HR, 1 RBI, 1 BB, 3 SO	Lugo	R	.000 0-3, 0 HR, 0 RBI, 0 BB, 0 SO	'+135
Paul Goldschmidt	-260	1B	R	2	.193	STL	@	OAK	30th	24th	so	0.5	2,1,0,0,1,2,3,2,0,1	1.27	80%	70%	65%	75%	.500 5-10, 1 HR, 3 RBI, 4 BB, 3 SO	Stripling	R	.368 7-19, 2 HR, 4 RBI, 2 BB, 5 SO	'+185
Edouard Julien	-185	2B	L	9	.196	MIN	@	BAL	11th	11th	so	0.5	1,3,2,0,2,1,2,1,2,2	1.36	79%	90%	76%	67%	.267 4-15, 1 HR, 2 RBI, 0 BB, 5 SO	Irvin	L		'+135
Jose Abreu	-195	1B	R	8	.111	HOU	v	ATL	17th	5th	so	0.5	1,2,1,2,0,2,1,1,0,1	1.0	79%	80%	61%	56%	.154 2-13, 0 HR, 1 RBI, 1 BB, 4 SO	Vines	R		'+145
Willi Castro	-225	3B	S	-	.122	MIN	@	BAL	11th	11th	so	0.5	1,2,3,0,2,0,2,2,1,2	1.5	79%	80%	59%	50%	.143 2-14, 0 HR, 2 RBI, 2 BB, 2 SO	Irvin	L	.000 0-5, 0 HR, 0 RBI, 0 BB, 0 SO	'+165
Jake Rogers	-260	C	R	-	.111	DET	v	TEX	3rd	16th	so	0.5	1,2,3,3,1,0,2,1,0	1.44	78%	80%	76%	82%	.333 5-15, 2 HR, 4 RBI, 5 BB, 8 SO	Lorenzen	R		'+190
Reese Mcguire	-195	C	L	8	.294	BOS	v	CLE	10th	-	so	0.5	2,0,1,2,1,1,1,1,2,1	1.0	77%	90%	54%	40%	.111 1-9, 0 HR, 0 RBI, 1 BB, 4 SO	Curry	R	.000 0-1, 0 HR, 0 RBI, 0 BB, 1 SO	'+145
Ty France	-150	1B	R	4	.280	SEA	v	CIN	24th	25th	so	0.5	1,0,1,1,0,2,2,1,2,1	1.08	77%	80%	54%	50%	.300 3-10, 0 HR, 2 RBI, 3 BB, 1 SO	Montas	R	.462 6-13, 0 HR, 1 RBI, 1 BB, 3 SO	'+110
Jarren Duran	-225	LF	L	1	.303	BOS	v	CLE	10th	-	so	0.5	0,1,2,2,2,1,1,0,0,2	1.06	75%	70%	67%	53%	.348 8-23, 0 HR, 1 RBI, 1 BB, 2 SO	Curry	R	.000 0-2, 0 HR, 0 RBI, 0 BB, 1 SO	'+165
Bobby Witt	-255	SS	R	2	.333	KC	@	CHW	18th	18th	so	0.5	0,1,1,1,1,2,0,1,0,1	1.0	75%	70%	60%	71%	.226 14-62, 0 HR, 3 RBI, 5 BB, 13 SO	Nastrini	R		'+185
Oswaldo Cabrera	-245	3B	S	7	.289	NYY	@	TOR	7th	6th	so	0.5	2,2,0,0,1,1,0,1,1,1	0.92	75%	70%	51%	68%	.185 10-54, 1 HR, 2 RBI, 4 BB, 12 SO	Bassitt	R	.200 1-5, 0 HR, 0 RBI, 0 BB, 3 SO	'+180
Gavin Lux	-190	2B	L	-	.163	LAD	v	WSH	14th	1st	so	0.5	1,1,2,1,2,0,1,0,1,1	0.87	73%	80%	64%	50%	.286 12-42, 0 HR, 3 RBI, 4 BB, 7 SO	Parker	L		'+140
Willson Contreras	-195	C	R	5	.263	STL	@	OAK	30th	24th	so	0.5	3,2,0,0,1,2,2,1,1,1	1.18	73%	80%	62%	67%	.000 1-1, 0 HR, 0 RBI, 1 BB, 0 SO	Stripling	R	.111 1-9, 0 HR, 0 RBI, 0 BB, 5 SO	'+145
Parker Meadows	-240	CF	L	-	.061	DET	v	TEX	3rd	16th	so	0.5	2,0,1,1,2,1,0,4,1,1	1.14	71%	80%	72%	0%		Lorenzen	R		'+175
Jared Triolo	-285	2B	R	8	.268	PIT	@	NYM	4th	9th	so	0.5	1,2,0,2,1,1,0,1,0,2	1.0	71%	70%	72%	100%	.333 1-3, 0 HR, 1 RBI, 1 BB, 1 SO	Houser	R		'+205
William Contreras	-240	C	R	2	.393	MIL	v	SD	5th	7th	so	0.5	2,1,1,1,1,0,0,0,0,2	1.0	71%	60%	69%	40%	.273 6-22, 1 HR, 5 RBI, 5 BB, 2 SO	Musgrove	R	.000 0-2, 0 HR, 0 RBI, 0 BB, 0 SO	'+175
Lenyn Sosa	-190	3B	R	5	.200	CHW	v	KC	8th	14th	so	0.5	1,0,2,1,2,2,0	1.14	71%	70%	65%	67%	.200 5-25, 0 HR, 1 RBI, 0 BB, 5 SO	Lugo	R		'+140
Brandon Nimmo	-160	LF	L	1	.236	NYM	v	PIT	26th	20th	so	0.5	0,1,1,1,0,2,0,1,1,1	0.93	71%	70%	62%	74%	.348 8-23, 2 HR, 4 RBI, 3 BB, 8 SO	Perez	L	.375 3-8, 0 HR, 0 RBI, 0 BB, 0 SO	'+120
Michael Harris	-210	CF	L	6	.316	ATL	@	HOU	1st	2nd	so	0.5	1,2,2,0,1,1,0,1,0,3	1.0	71%	70%	58%	100%	.167 2-12, 0 HR, 1 RBI, 0 BB, 6 SO	Arrighetti	R		'+155
