NAME	POS	TEAM	OPP	OPP RANK	OPP RANK VAL	PROP	LINE	LYR AVG	LYR % Over	LYR Matchup	# Matchups	OVER	UNDER
Lane Thomas	RF	WSH	ATL	-		stolen_bases	0.5	0.0	0%	0%	19	'+850	-3000
Ozzie Albies	2B	ATL	WSH	-		stolen_bases	0.5	0.0	0%	0%	4	'+700	-1800
Ronald Acuna Jr	RF	ATL	WSH	-		stolen_bases	0.5	0.0	0%	0%	15	'+275	-400
Victor Robles	CF	WSH	ATL	-		stolen_bases	0.5	0.0	0%	0%	16	'+850	-2500
Cj Abrams	SS	WSH	ATL	-		stolen_bases	0.5	0.0	0%	0%	10	'+850	-3000
Aaron Judge	RF	NYY	SF	-		stolen_bases	0.5	0.0	0%	0%	0	'+550	-1100
Brandon Crawford	SS	SF	NYY	-		stolen_bases	0.5	0.0	0%	0%	0	'+1100	-8000
Gleyber Torres	2B	NYY	SF	-		stolen_bases	0.5	0.0	0%	0%	0	'+550	-1100
Joc Pederson	1B	SF	NYY	-		stolen_bases	0.5	0.0	0%	0%	0	'+1200	-10000
Lamonte Wade Jr	1B	SF	NYY	-		stolen_bases	0.5	0.0	0%	0%	0	'+950	-3500
Michael Conforto	RF	SF	NYY	-		stolen_bases	0.5	0	0%	0%	0	'+850	-2500
Mike Yastrzemski	CF	SF	NYY	-		stolen_bases	0.5	0.0	0%	0%	0	'+1100	-8000
Oswaldo Cabrera	3B	NYY	SF	-		stolen_bases	0.5	0.0	0%	0%	0	'+950	-3500
Thairo Estrada	2B	SF	NYY	-		stolen_bases	0.5	0.0	0%	0%	0	'+370	-600
Dj Lemahieu	2B	NYY	SF	-		stolen_bases	0.5	0.0	0%	0%	0	'+900	-3000
Cedric Mullins	CF	BAL	BOS	-		stolen_bases	0.5	0.0	0%	0%	15	'+340	-525
Jorge Mateo	SS	BAL	BOS	-		stolen_bases	0.5	0.0	0%	0%	17	'+500	-1000
Gunnar Henderson	SS	BAL	BOS	-		stolen_bases	0.5	0.0	0%	0%	7	'+850	-2500
Christian Yelich	LF	MIL	CHC	-		stolen_bases	0.5	0.0	0%	0%	18	'+400	-700
Cody Bellinger	CF	CHC	MIL	-		stolen_bases	0.5	0.0	0%	0%	5	'+600	-1200
Dansby Swanson	SS	CHC	MIL	-		stolen_bases	0.5	0.0	0%	0%	6	'+650	-1600
Garrett Mitchell	CF	MIL	CHC	-		stolen_bases	0.5	0.0	0%	0%	1	'+255	-370
Ian Happ	LF	CHC	MIL	-		stolen_bases	0.5	0.0	0%	0%	17	'+700	-1800
Nico Hoerner	2B	CHC	MIL	-		stolen_bases	0.5	0.0	0%	0%	18	'+280	-425
Patrick Wisdom	3B	CHC	MIL	-		stolen_bases	0.5	0.0	0%	0%	14	'+1000	-5000
Willy Adames	SS	MIL	CHC	-		stolen_bases	0.5	0.0	0%	0%	15	'+800	-2500
Javier Baez	SS	DET	TB	-		stolen_bases	0.5	0.0	0%	0%	7	'+700	-1800
Matt Vierling	CF	DET	TB	-		stolen_bases	0.5	0.0	0%	0%	0	'+650	-1400
Randy Arozarena	LF	TB	DET	-		stolen_bases	0.5	0.0	0%	0%	6	'+500	-900
Wander Franco	SS	TB	DET	-		stolen_bases	0.5	0.0	0%	0%	3	'+700	-1800
Brandon Marsh	CF	PHI	TEX	-		stolen_bases	0.5	0.0	0%	0%	12	'+850	-2500
Bryson Stott	2B	PHI	TEX	-		stolen_bases	0.5	0.0	0%	0%	1	'+600	-1200
Bubba Thompson	CF	TEX	PHI	-		stolen_bases	0.5	0.0	0%	0%	0	'+220	-310
Jt Realmuto	C	PHI	TEX	-		stolen_bases	0.5	0.0	0%	0%	4	'+550	-1100
Trea Turner	SS	PHI	TEX	-		stolen_bases	0.5	0.0	0%	0%	0	'+310	-475
Brandon Nimmo	CF	NYM	MIA	-		stolen_bases	0.5	0.0	0%	0%	19	'+750	-1800
Francisco Lindor	SS	NYM	MIA	-		stolen_bases	0.5	0.0	0%	0%	19	'+450	-800
Jean Segura	3B	MIA	NYM	-		stolen_bases	0.5	0.0	0%	0%	15	'+750	-2000
Joey Wendle	SS	MIA	NYM	-		stolen_bases	0.5	0.0	0%	0%	9	'+800	-2500
Starling Marte	RF	NYM	MIA	-		stolen_bases	0.5	0.0	0%	0%	12	'+300	-450
Bo Bichette	SS	TOR	STL	-		stolen_bases	0.5	0.0	0%	0%	4	'+650	-1600
Daulton Varsho	LF	TOR	STL	-		stolen_bases	0.5	0.0	0%	0%	6	'+550	-1100
George Springer	RF	TOR	STL	-		stolen_bases	0.5	0.0	0%	0%	4	'+700	-1800
Kevin Kiermaier	CF	TOR	STL	-		stolen_bases	0.5	0.0	0%	0%	3	'+900	-3000
Tommy Edman	SS	STL	TOR	-		stolen_bases	0.5	0.0	0%	0%	4	'+275	-400
Tyler Oneill	CF	STL	TOR	-		stolen_bases	0.5	0.0	0%	0%	2	'+370	-600
Willson Contreras	C	STL	TOR	-		stolen_bases	0.5	0.0	0%	0%	2	'+900	-3000
Brendan Donovan	2B	STL	TOR	-		stolen_bases	0.5	0.0	0%	0%	4	'+900	-3000
Lars Nootbaar	LF	STL	TOR	-		stolen_bases	0.5	0.0	0%	0%	3	'+550	-1100
Bobby Witt Jr	SS	KC	MIN	-		stolen_bases	0.5	0.0	0%	0%	18	'+270	-400
Byron Buxton	CF	MIN	KC	-		stolen_bases	0.5	0.0	0%	0%	9	'+400	-700
Edward Olivares	LF	KC	MIN	-		stolen_bases	0.5	0.0	0%	0%	3	'+900	-3500
Kyle Isbel	CF	KC	MIN	-		stolen_bases	0.5	0.0	0%	0%	10	'+425	-750
Max Kepler	RF	MIN	KC	-		stolen_bases	0.5	0.0	0%	0%	12	'+1100	-8000
Michael A Taylor	CF	MIN	KC	-		stolen_bases	0.5	0.0	0%	0%	0	'+700	-1600
Michael Massey	2B	KC	MIN	-		stolen_bases	0.5	0.0	0%	0%	7	'+650	-1600
Mj Melendez	C	KC	MIN	-		stolen_bases	0.5	0.0	0%	0%	16	'+1100	-8000
Nate Eaton	2B	KC	MIN	-		stolen_bases	0.5	0.0	0%	0%	7	'+265	-390
Nick Gordon	2B	MIN	KC	-		stolen_bases	0.5	0.0	0%	0%	16	'+600	-1200
Andrew Mccutchen	RF	PIT	CIN	-		stolen_bases	0.5	0.0	0%	0%	14	'+1100	-6000
Bryan Reynolds	LF	PIT	CIN	-		stolen_bases	0.5	0.0	0%	0%	15	'+750	-2000
Jack Suwinski	CF	PIT	CIN	-		stolen_bases	0.5	0.0	0%	0%	13	'+900	-3000
Jake Fraley	LF	CIN	PIT	-		stolen_bases	0.5	0.0	0%	0%	7	'+320	-550
Jonathan India	2B	CIN	PIT	-		stolen_bases	0.5	0.0	0%	0%	9	'+700	-1800
Jose Barrero	SS	CIN	PIT	-		stolen_bases	0.5	0.0	0%	0%	9	'+475	-800
Kebryan Hayes	3B	PIT	CIN	-		stolen_bases	0.5	0.0	0%	0%	11	'+390	-650
Oneil Cruz	SS	PIT	CIN	-		stolen_bases	0.5	0.0	0%	0%	8	'+425	-700
Tj Friedl	CF	CIN	PIT	-		stolen_bases	0.5	0.0	0%	0%	15	'+370	-600
Wil Myers	RF	CIN	PIT	-		stolen_bases	0.5	0.0	0%	0%	2	'+850	-2500
Andrew Benintendi	LF	CHW	HOU	-		stolen_bases	0.5	0.0	0%	0%	7	'+800	-2000
Elvis Andrus	2B	CHW	HOU	-		stolen_bases	0.5	0.0	0%	0%	13	'+450	-750
Jeremy Pena	SS	HOU	CHW	-		stolen_bases	0.5	0.0	0%	0%	3	'+425	-700
Tim Anderson	SS	CHW	HOU	-		stolen_bases	0.5	0.0	0%	0%	0	'+390	-650
Amed Rosario	SS	CLE	SEA	-		stolen_bases	0.5	0.0	0%	0%	6	'+310	-475
Andres Gimenez	2B	CLE	SEA	-		stolen_bases	0.5	0.0	0%	0%	7	'+265	-390
Jose Ramirez	3B	CLE	SEA	-		stolen_bases	0.5	0.0	0%	0%	7	'+320	-500
Julio Rodriguez	CF	SEA	CLE	-		stolen_bases	0.5	0.0	0%	0%	7	'+295	-450
Kolten Wong	2B	SEA	CLE	-		stolen_bases	0.5	0.0	0%	0%	0	'+390	-650
Steven Kwan	LF	CLE	SEA	-		stolen_bases	0.5	0.0	0%	0%	7	'+330	-525
Teoscar Hernandez	RF	SEA	CLE	-		stolen_bases	0.5	0.0	0%	0%	5	'+500	-1000
Myles Straw	CF	CLE	SEA	-		stolen_bases	0.5	0.0	0%	0%	5	'+390	-650
