NAME	OVER	POS	R/L	Batting #	B. AVG	TEAM	A/H	OPP	OPP RANK	OPP RANK LYR	PROP	LINE	LAST (old ➡️ new)	AVG	% OVER	L10 % OVER	CAREER % OVER	% OVER VS TEAM	VS TEAM	PITCHER	THROWS	VS PITCHER	UNDER
Willson Contreras	-185	C	R	4	.279	STL	v	ATL	4th	16th	tb	0.5	2,0,0,4,4,0,4,2,2,1	1.88	81%	70%	60%	71%	.227 5-22, 1 HR, 5 RBI, 1 BB, 5 SO	Lopez	R	.000 0-3, 0 HR, 0 RBI, 0 BB, 1 SO	'+135
Jd Martinez	-190	DH	R	3	.283	NYM	v	NYY	6th	26th	tb	0.5	2,9,3,1,0,0,5,2,2,2	1.88	78%	80%	0%	100%	.200 1-5, 0 HR, 1 RBI, 0 BB, 0 SO	Gil	R	.500 1-2, 0 HR, 0 RBI, 0 BB, 0 SO	'+140
Ryan Mcmahon	-165	3B	L	3	.281	COL	@	HOU	14th	14th	tb	0.5	0,4,1,4,2,5,1,6,1,1	1.83	69%	90%	57%	57%	.217 5-23, 2 HR, 3 RBI, 4 BB, 9 SO	Arrighetti	R		'+120
Isaac Paredes	-180	3B	R	4	.275	TB	v	SEA	3rd	25th	tb	0.5	2,0,1,5,1,1,0,0,0,4	1.69	69%	60%	50%	58%	.318 7-22, 3 HR, 7 RBI, 2 BB, 4 SO	Kirby	R	.667 2-3, 0 HR, 1 RBI, 0 BB, 1 SO	'+135
Paul Goldschmidt	-190	1B	R	3	.231	STL	v	ATL	4th	16th	tb	0.5	4,1,0,2,2,4,1,1,4,1	1.46	68%	90%	69%	74%	.400 8-20, 2 HR, 4 RBI, 6 BB, 6 SO	Lopez	R	.667 2-3, 0 HR, 0 RBI, 0 BB, 0 SO	'+140
Brendan Donovan	-195	LF	L	7	.266	STL	v	ATL	4th	16th	tb	0.5	1,0,1,2,4,2,7,5,2,3	1.62	68%	90%	62%	82%	.333 4-12, 0 HR, 2 RBI, 2 BB, 3 SO	Lopez	R	.000 0-1, 0 HR, 0 RBI, 0 BB, 0 SO	'+145
Royce Lewis	-120	3B	R	3	.329	MIN	@	ARI	29th	10th	tb	1.5	2,4,5,0,6,4,4,3,0,0	2.95	68%	70%	53%	0%	.000 0-4, 0 HR, 0 RBI, 0 BB, 1 SO	Nelson	R		-110
Jp Crawford	-160	SS	L	1	.211	SEA	@	TB	28th	28th	tb	0.5	0,0,6,0,1,1,1,1,1,2	1.39	67%	70%	63%	77%	.242 8-33, 1 HR, 4 RBI, 9 BB, 8 SO	Pepiot	R		'+120
Geraldo Perdomo	-140	SS	S	9	.276	ARI	v	MIN	20th	23rd	tb	0.5	1,1,2,1,2,0,1,0,2,0	1.06	67%	70%	47%	14%	.077 1-13, 0 HR, 0 RBI, 1 BB, 2 SO	Richardson	R		'+105
Nolan Arenado	-165	3B	R	5	.246	STL	v	ATL	4th	16th	tb	0.5	2,3,4,0,2,1,1,0,2,0	1.37	66%	70%	70%	80%	.296 8-27, 0 HR, 1 RBI, 0 BB, 7 SO	Lopez	R		'+120
Brent Rooker	-170	LF	R	4	.257	OAK	@	LAA	21st	8th	tb	0.5	3,0,2,2,1,1,2,0,1,4	1.82	66%	80%	56%	61%	.245 12-49, 6 HR, 12 RBI, 11 BB, 12 SO	Contreras	R	.500 1-2, 0 HR, 1 RBI, 0 BB, 0 SO	'+125
Mark Vientos	-150	3B	R	7	.297	NYM	v	NYY	6th	26th	tb	0.5	0,0,0,1,4,6,0,0,4,8	2.0	65%	50%	49%	100%	.417 5-12, 2 HR, 2 RBI, 1 BB, 4 SO	Gil	R		'+110
Daniel Schneemann	-175	SS	L	7	.283	CLE	@	BAL	5th	21st	tb	0.5	2,0,6,1,0,0,4,1,3,0	1.47	65%	60%	0%	50%	.200 1-5, 0 HR, 0 RBI, 0 BB, 1 SO	Rodriguez	R		'+125
Alex Verdugo	-205	LF	L	4	.244	NYY	@	NYM	8th	22nd	tb	0.5	0,7,0,1,1,0,0,0,0,0	1.48	64%	30%	64%	47%	.000 0-11, 0 HR, 0 RBI, 2 BB, 5 SO	Manaea	L	.250 1-4, 0 HR, 0 RBI, 0 BB, 0 SO	'+150
Thairo Estrada	-205	2B	R	8	.236	SF	v	CHC	16th	24th	tb	0.5	1,1,3,5,0,2,0,0,1,1	1.48	64%	70%	58%	55%	.238 10-42, 3 HR, 9 RBI, 1 BB, 11 SO	Wesneski	R	.250 1-4, 1 HR, 1 RBI, 1 BB, 1 SO	'+150
Lane Thomas	-175	RF	R	2	.240	WSH	@	SD	19th	30th	tb	0.5	6,4,0,0,4,6,2,2,2,3	1.7	64%	80%	57%	61%	.303 10-33, 2 HR, 5 RBI, 1 BB, 9 SO	Cease	R		'+130
Brandon Nimmo	-180	LF	L	2	.245	NYM	v	NYY	6th	26th	tb	0.5	2,3,3,6,4,2,5,1,4,4	1.64	63%	100%	60%	68%	.316 6-19, 2 HR, 7 RBI, 2 BB, 6 SO	Gil	R		'+135
Patrick Bailey	-200	C	S	3	.295	SF	v	CHC	16th	24th	tb	0.5	1,0,2,5,1,4,0,4,1,0	1.44	63%	70%	58%	43%	.200 4-20, 1 HR, 1 RBI, 2 BB, 5 SO	Wesneski	R		'+145
Jacob Stallings	-140	C	R	6	.293	COL	@	HOU	14th	14th	tb	0.5	1,4,1,3,4,2,0,0,1,0	1.32	63%	70%	53%	60%	.200 1-5, 0 HR, 1 RBI, 1 BB, 1 SO	Arrighetti	R		'+105
Brenton Doyle	-195	CF	R	1	.257	COL	@	HOU	14th	14th	tb	0.5	2,2,0,7,0,0,1,1,1,0	1.37	63%	60%	52%	40%	.118 2-17, 0 HR, 0 RBI, 2 BB, 8 SO	Arrighetti	R		'+140
Jose Caballero	-160	SS	R	8	.233	TB	v	SEA	3rd	25th	tb	0.5	4,0,0,0,0,0,1,0,1,0	1.13	63%	30%	38%	50%	.125 1-8, 0 HR, 0 RBI, 1 BB, 2 SO	Kirby	R		'+115
Willy Adames	-175	SS	R	4	.241	MIL	v	TEX	9th	19th	tb	0.5	4,0,0,1,5,3,1,1,0,0	1.62	62%	60%	62%	61%	.368 7-19, 1 HR, 4 RBI, 3 BB, 3 SO	Eovaldi	R	.125 1-8, 0 HR, 0 RBI, 0 BB, 3 SO	'+130
Rhys Hoskins	-140	1B	R	6	.221	MIL	v	TEX	9th	19th	tb	0.5	0,0,0,1,1,2,1,1,4,1	1.47	62%	70%	61%	67%	.211 4-19, 1 HR, 7 RBI, 5 BB, 6 SO	Eovaldi	R	.400 2-5, 1 HR, 1 RBI, 1 BB, 0 SO	'+105
Nicky Lopez	-150	2B	L	8	.247	CHW	v	LAD	1st	18th	tb	0.5	1,2,0,0,0,0,4,2,0,1	0.91	61%	50%	55%	40%	.267 4-15, 0 HR, 5 RBI, 2 BB, 1 SO	Stone	R		'+110
Luis Matos	-200	CF	R	-	.240	SF	v	CHC	16th	24th	tb	0.5	0,0,0,0,1,1,1,0,1,2	1.28	60%	50%	58%	100%	.500 5-10, 0 HR, 0 RBI, 0 BB, 0 SO	Wesneski	R		'+145
Ha Seong Kim	-180	SS	R	7	.223	SD	v	WSH	18th	2nd	tb	0.5	0,2,1,0,0,1,5,1,1,1	1.29	60%	70%	56%	62%	.269 7-26, 3 HR, 6 RBI, 4 BB, 4 SO	Herz	L		'+130
Brandon Marsh	-185	LF	L	7	.249	PHI	@	DET	12th	20th	tb	0.5	1,1,0,0,3,2,0,0,1,0	1.23	60%	50%	55%	67%	.091 1-11, 0 HR, 1 RBI, 0 BB, 8 SO	Montero	R		'+135
Harrison Bader	-135	CF	R	9	.268	NYM	v	NYY	6th	26th	tb	0.5	5,1,1,3,2,0,0,0,4,5	1.25	59%	70%	51%	100%	.500 2-4, 1 HR, 1 RBI, 0 BB, 0 SO	Gil	R		'+100
Jorge Mateo	-205	2B	R	-	.233	BAL	v	CLE	15th	17th	tb	0.5	1,0,0,0,0,2,0,4,0,3	1.24	59%	40%	49%	36%	.278 5-18, 0 HR, 2 RBI, 0 BB, 3 SO	Carrasco	R		'+150
Francisco Alvarez	-165	C	R	5	.290	NYM	v	NYY	6th	26th	tb	0.5	0,1,0,3,4,1,4,6,2,1	1.48	59%	80%	48%	60%	.158 3-19, 0 HR, 0 RBI, 3 BB, 7 SO	Gil	R		'+120
Joey Ortiz	-160	3B	R	8	.278	MIL	v	TEX	9th	19th	tb	0.5	2,0,1,0,1,0,2,2,0,4	1.35	59%	60%	43%	50%	.250 1-4, 1 HR, 1 RBI, 1 BB, 2 SO	Eovaldi	R		'+115
Dansby Swanson	-205	SS	R	6	.217	CHC	@	SF	24th	13th	tb	0.5	0,0,0,4,5,0,2,1,3,0	1.29	58%	50%	63%	57%	.225 9-40, 2 HR, 8 RBI, 5 BB, 11 SO	Birdsong	R		'+150
Pete Alonso	-160	1B	R	4	.240	NYM	v	NYY	6th	26th	tb	0.5	0,2,5,3,3,4,2,1,0,0	1.79	58%	70%	62%	52%	.300 3-10, 2 HR, 6 RBI, 2 BB, 2 SO	Gil	R		'+120
Matt Carpenter	'+110	DH	L	8	.235	STL	v	ATL	4th	16th	tb	0.5	1,0,4,0,2,3,0,1,1,1	1.04	58%	70%	57%	64%	.154 2-13, 1 HR, 3 RBI, 3 BB, 7 SO	Lopez	R		-150
Michael Conforto	-150	LF	L	5	.230	SF	v	CHC	16th	24th	tb	0.5	0,2,0,0,0,0,3,0,0,1	1.44	58%	30%	57%	52%	.095 2-21, 0 HR, 4 RBI, 3 BB, 8 SO	Wesneski	R	.000 0-2, 0 HR, 0 RBI, 1 BB, 1 SO	'+110
Michael Toglia	-125	1B	S	7	.196	COL	@	HOU	14th	14th	tb	0.5	5,1,2,0,7,0,1,1,4,4	1.55	58%	80%	50%	100%	.333 2-6, 1 HR, 1 RBI, 2 BB, 0 SO	Arrighetti	R		-105
Joey Loperfido	-165	LF	L	8	.327	HOU	v	COL	30th	1st	tb	0.5	1,4,0,2,0,0,5,0,1,0	1.21	58%	50%	0%	0%	.000 0-3, 0 HR, 0 RBI, 0 BB, 1 SO	Feltner	R		'+125
Jesse Winker	-135	LF	L	3	.268	WSH	@	SD	19th	30th	tb	0.5	2,1,3,4,5,0,0,0,1,4	1.37	57%	70%	57%	65%	.273 3-11, 1 HR, 4 RBI, 2 BB, 2 SO	Cease	R	.000 0-3, 0 HR, 0 RBI, 2 BB, 3 SO	'+100
Steven Kwan	'+110	LF	L	1	.385	CLE	@	BAL	5th	21st	tb	1.5	3,4,1,5,2,0,6,5,1,1	2.29	57%	60%	43%	36%	.244 10-41, 0 HR, 2 RBI, 2 BB, 7 SO	Rodriguez	R	.333 1-3, 0 HR, 0 RBI, 0 BB, 0 SO	-150
David Dahl	-190	LF	L	8	.244	PHI	@	DET	12th	20th	tb	0.5	2,0,0,1,0,0,0,4,2,1	1.5	57%	50%	0%	100%	.500 1-2, 0 HR, 0 RBI, 0 BB, 1 SO	Montero	R		'+140
Jared Triolo	-185	2B	R	7	.209	PIT	@	CIN	13th	5th	tb	0.5	1,0,1,0,0,1,3,0,0,4	0.98	56%	50%	69%	71%	.476 10-21, 3 HR, 6 RBI, 5 BB, 5 SO	Ashcraft	R		'+135
Christopher Morel	-190	3B	R	2	.201	CHC	@	SF	24th	13th	tb	0.5	0,0,1,1,0,2,5,4,1,0	1.37	56%	60%	60%	47%	.242 8-33, 2 HR, 8 RBI, 5 BB, 4 SO	Birdsong	R		'+140
Jose Trevino	-195	C	R	8	.250	NYY	@	NYM	8th	22nd	tb	0.5	2,5,0,4,0,4,0,0,0,1	1.17	56%	50%	53%	67%	.400 2-5, 0 HR, 0 RBI, 0 BB, 1 SO	Manaea	L	.167 1-6, 0 HR, 0 RBI, 0 BB, 1 SO	'+140
Cj Abrams	'+125	SS	L	1	.283	WSH	@	SD	19th	30th	tb	1.5	1,4,2,1,2,5,7,0,4,3	2.07	56%	70%	33%	42%	.414 12-29, 1 HR, 4 RBI, 3 BB, 4 SO	Cease	R		-170
Wenceel Perez	-205	RF	S	5	.268	DET	v	PHI	2nd	27th	tb	0.5	4,1,0,0,2,0,2,5,2,2	1.44	56%	70%	0%	100%	.375 3-8, 0 HR, 0 RBI, 0 BB, 0 SO	Turnbull	R		'+150
Ramon Laureano	-155	RF	R	7	.296	ATL	@	STL	17th	3rd	tb	0.5	1,0,0,0,5,6,0,1,1	1.56	56%	56%	0%	100%	.250 1-4, 0 HR, 1 RBI, 0 BB, 2 SO	Gibson	R	.500 10-20, 2 HR, 6 RBI, 4 BB, 3 SO	'+115
Ty France	-160	1B	R	6	.238	SEA	@	TB	28th	28th	tb	0.5	0,4,0,0,0,0,1,0,0,5	1.32	55%	30%	64%	74%	.139 5-36, 1 HR, 5 RBI, 0 BB, 9 SO	Pepiot	R		'+120
Gavin Lux	-205	2B	L	9	.225	LAD	@	CHW	26th	9th	tb	0.5	0,1,0,2,0,1,0,5,1,2	1.03	55%	60%	61%	100%	.643 9-14, 0 HR, 1 RBI, 3 BB, 2 SO	Fedde	R	.000 0-2, 0 HR, 0 RBI, 0 BB, 0 SO	'+150
Paul Dejong	-150	SS	R	6	.235	CHW	v	LAD	1st	18th	tb	0.5	5,1,0,1,0,1,1,0,1,2	1.49	55%	70%	57%	67%	.192 5-26, 2 HR, 5 RBI, 3 BB, 11 SO	Stone	R		'+110
Gavin Sheets	-150	RF	L	-	.236	CHW	v	LAD	1st	18th	tb	0.5	0,0,0,0,1,2,1,3,0,3	1.3	55%	50%	50%	29%	.182 2-11, 0 HR, 0 RBI, 2 BB, 3 SO	Stone	R		'+110
Michael Busch	-135	1B	L	7	.260	CHC	@	SF	24th	13th	tb	0.5	1,1,4,3,3,0,0,2,1,1	1.35	55%	80%	38%	75%	.321 9-28, 1 HR, 4 RBI, 3 BB, 8 SO	Birdsong	R		'+100
Tyler Black	-140	3B	L	7	.242	MIL	v	TEX	9th	19th	tb	0.5	2,0,0,1,0,1,0,0,2,1	0.91	55%	50%	0%	0%		Eovaldi	R		'+105
Jeff Mcneil	-170	2B	L	8	.216	NYM	v	NYY	6th	26th	tb	0.5	0,0,1,2,1,0,0,0,0,2	1.04	54%	40%	67%	76%	.316 6-19, 0 HR, 5 RBI, 1 BB, 2 SO	Gil	R		'+125
Josh Rojas	-200	3B	L	9	.256	SEA	@	TB	28th	28th	tb	0.5	5,2,3,2,0,0,2,0,0,0	1.17	54%	50%	57%	33%	.143 2-14, 0 HR, 1 RBI, 2 BB, 1 SO	Pepiot	R	.333 1-3, 0 HR, 0 RBI, 2 BB, 0 SO	'+145
