NAME	OVER	POS	R/L	Batting #	B. AVG	TEAM	A/H	OPP	OPP RANK	OPP RANK LYR	PROP	LINE	LAST (old ➡️ new)	AVG	% OVER	L10 % OVER	CAREER % OVER	% OVER VS TEAM	VS TEAM	PITCHER	THROWS	VS PITCHER	UNDER
Angel Martinez	+0	3B	S	2	.263	CLE	v	DET	-	-	total_bases_milestones	0		0.0	0%	0%	0%	0%	.222 4-18, 1 HR, 3 RBI, 0 BB, 0 SO	Skubal	L		'+750
Austin Hedges	+0	C	R	9	.141	CLE	v	DET	-	-	total_bases_milestones	0		0.0	0%	0%	0%	0%	.364 4-11, 0 HR, 5 RBI, 0 BB, 2 SO	Skubal	L	.200 1-5, 0 HR, 0 RBI, 0 BB, 1 SO	'+1100
Brayan Rocchio	+0	SS	S	8	.212	CLE	v	DET	-	-	total_bases_milestones	0		0.0	0%	0%	0%	0%	.171 7-41, 0 HR, 5 RBI, 4 BB, 17 SO	Skubal	L	.000 0-1, 0 HR, 0 RBI, 1 BB, 1 SO	'+1000
Colt Keith	+0	2B	L	2	.251	DET	@	CLE	-	-	total_bases_milestones	0		0.0	0%	0%	0%	0%	.316 6-19, 1 HR, 6 RBI, 4 BB, 5 SO	Carrasco	R		'+390
David Fry	+0	C	R	5	.286	CLE	v	DET	-	-	total_bases_milestones	0		0.0	0%	0%	0%	0%	.095 2-21, 1 HR, 1 RBI, 2 BB, 3 SO	Skubal	L		'+550
Gio Urshela	+0	3B	R	7	.256	DET	@	CLE	-	-	total_bases_milestones	0		0.0	0%	0%	0%	0%	.241 7-29, 1 HR, 8 RBI, 1 BB, 4 SO	Carrasco	R	.500 1-2, 0 HR, 0 RBI, 0 BB, 1 SO	'+550
Jake Rogers	+0	C	R	9	.204	DET	@	CLE	-	-	total_bases_milestones	0		0.0	0%	0%	0%	0%	.214 9-42, 1 HR, 1 RBI, 3 BB, 13 SO	Carrasco	R		'+550
Javier Baez	+0	SS	R	8	.177	DET	@	CLE	-	-	total_bases_milestones	0		0.0	0%	0%	0%	0%	.250 16-64, 1 HR, 7 RBI, 3 BB, 11 SO	Carrasco	R	.400 2-5, 1 HR, 1 RBI, 1 BB, 1 SO	'+550
Jhonkensy Noel	+0	RF	R	6	.250	CLE	v	DET	-	-	total_bases_milestones	0		0.0	0%	0%	0%	0%	.167 1-6, 0 HR, 0 RBI, 0 BB, 2 SO	Skubal	L		'+425
Jose Ramirez	+0	3B	S	3	.268	CLE	v	DET	-	-	total_bases_milestones	0		0.0	0%	0%	0%	0%	.213 16-75, 3 HR, 9 RBI, 7 BB, 12 SO	Skubal	L	.412 7-17, 0 HR, 0 RBI, 1 BB, 2 SO	'+285
Josh Naylor	+0	1B	L	4	.239	CLE	v	DET	-	-	total_bases_milestones	0		0.0	0%	0%	0%	0%	.238 10-42, 2 HR, 6 RBI, 8 BB, 4 SO	Skubal	L	.000 0-5, 0 HR, 0 RBI, 0 BB, 2 SO	'+450
Justyn Henry Malloy	+0	LF	R	3	.218	DET	@	CLE	-	-	total_bases_milestones	0		0.0	0%	0%	0%	0%	.182 2-11, 1 HR, 1 RBI, 1 BB, 5 SO	Carrasco	R		'+500
Mark Canha	+0	1B	R	5	.229	DET	@	CLE	-	-	total_bases_milestones	0		0.0	0%	0%	0%	0%	.154 2-13, 0 HR, 1 RBI, 2 BB, 6 SO	Carrasco	R	.250 2-8, 0 HR, 0 RBI, 0 BB, 2 SO	'+500
Matt Vierling	+0	3B	R	1	.251	DET	@	CLE	-	-	total_bases_milestones	0		0.0	0%	0%	0%	0%	.268 15-56, 2 HR, 9 RBI, 3 BB, 16 SO	Carrasco	R		'+310
Riley Greene	+0	LF	L	4	.271	DET	@	CLE	-	-	total_bases_milestones	0		0.0	0%	0%	0%	0%	.254 18-71, 2 HR, 8 RBI, 5 BB, 20 SO	Carrasco	R		'+340
Tyler Freeman	+0	CF	R	7	.218	CLE	v	DET	-	-	total_bases_milestones	0		0.0	0%	0%	0%	0%	.300 12-40, 2 HR, 4 RBI, 1 BB, 7 SO	Skubal	L	.000 0-3, 0 HR, 0 RBI, 0 BB, 1 SO	'+850
Wenceel Perez	+0	RF	S	6	.258	DET	@	CLE	-	-	total_bases_milestones	0		0.0	0%	0%	0%	0%	.259 7-27, 0 HR, 1 RBI, 2 BB, 9 SO	Carrasco	R		'+600
Steven Kwan	+0	LF	L	1	.346	CLE	v	DET	-	-	total_bases_milestones	0		0.0	0%	0%	0%	0%	.220 13-59, 0 HR, 1 RBI, 8 BB, 5 SO	Skubal	L		'+650
Ali Sanchez	+0	C	R	9	.250	MIA	v	NYM	-	-	total_bases_milestones	0		0.0	0%	0%	0%	0%		Peterson	L		'+1000
Brandon Nimmo	+0	LF	L	2	.243	NYM	@	MIA	-	-	total_bases_milestones	0		0.0	0%	0%	0%	0%	.246 16-65, 2 HR, 10 RBI, 16 BB, 21 SO	Chirinos	R	.200 1-5, 0 HR, 0 RBI, 0 BB, 0 SO	'+295
Bryan De La Cruz	+0	LF	R	2	.237	MIA	v	NYM	-	-	total_bases_milestones	0		0.0	0%	0%	0%	0%	.242 16-66, 1 HR, 8 RBI, 6 BB, 18 SO	Peterson	L	.250 3-12, 0 HR, 1 RBI, 2 BB, 4 SO	'+475
Dj Stewart	+0	RF	L	5	.183	NYM	@	MIA	-	-	total_bases_milestones	0		0.0	0%	0%	0%	0%	.208 5-24, 0 HR, 0 RBI, 2 BB, 10 SO	Chirinos	R	.000 0-3, 0 HR, 0 RBI, 1 BB, 2 SO	'+360
Emmanuel Rivera	+0	3B	R	7	.211	MIA	v	NYM	-	-	total_bases_milestones	0		0.0	0%	0%	0%	0%	.211 4-19, 0 HR, 3 RBI, 7 BB, 4 SO	Peterson	L	.500 1-2, 0 HR, 1 RBI, 0 BB, 0 SO	'+750
Francisco Alvarez	+0	C	R	6	.289	NYM	@	MIA	-	-	total_bases_milestones	0		0.0	0%	0%	0%	0%	.100 3-30, 0 HR, 4 RBI, 2 BB, 8 SO	Chirinos	R	.000 0-2, 0 HR, 0 RBI, 0 BB, 1 SO	'+475
Francisco Lindor	+0	SS	S	1	.253	NYM	@	MIA	-	-	total_bases_milestones	0		0.0	0%	0%	0%	0%	.238 20-84, 5 HR, 12 RBI, 11 BB, 14 SO	Chirinos	R	.000 0-4, 0 HR, 1 RBI, 0 BB, 0 SO	'+265
Harrison Bader	+0	CF	R	9	.260	NYM	@	MIA	-	-	total_bases_milestones	0		0.0	0%	0%	0%	0%	.233 10-43, 1 HR, 6 RBI, 1 BB, 10 SO	Chirinos	R	.000 0-2, 0 HR, 0 RBI, 0 BB, 0 SO	'+700
Jd Martinez	+0	DH	R	3	.256	NYM	@	MIA	-	-	total_bases_milestones	0		0.0	0%	0%	0%	0%	.300 9-30, 1 HR, 7 RBI, 2 BB, 7 SO	Chirinos	R	.308 4-13, 0 HR, 1 RBI, 2 BB, 4 SO	'+400
Jake Burger	+0	3B	R	4	.228	MIA	v	NYM	-	-	total_bases_milestones	0		0.0	0%	0%	0%	0%	.224 15-67, 3 HR, 9 RBI, 5 BB, 23 SO	Peterson	L	.200 1-5, 0 HR, 0 RBI, 1 BB, 2 SO	'+340
Jazz Chisholm	+0	CF	L	1	.245	MIA	v	NYM	-	-	total_bases_milestones	0		0.0	0%	0%	0%	0%	.247 21-85, 5 HR, 11 RBI, 8 BB, 26 SO	Peterson	L	.200 2-10, 0 HR, 1 RBI, 1 BB, 2 SO	'+650
