NAME	OVER	POS	R/L	Batting #	B. AVG	TEAM	A/H	OPP	OPP RANK	OPP RANK LYR	PROP	LINE	LAST (old ➡️ new)	AVG	% OVER	L10 % OVER	CAREER % OVER	% OVER VS TEAM	VS TEAM	PITCHER	THROWS	VS PITCHER	UNDER
Matt Vierling	'+1200	3B	R	1	.270	DET	v	WSH	-	-	triples	0.5		0.0	0%	0%	0%	0%	.312 5-16, 1 HR, 1 RBI, 1 BB, 0 SO	Irvin	R	.500 1-2, 0 HR, 0 RBI, 0 BB, 0 SO	-20000
Wenceel Perez	'+1200	CF	S	3	.245	DET	v	WSH	-	-	triples	0.5		0.0	0%	0%	0%	0%	.000 0-4, 0 HR, 0 RBI, 0 BB, 1 SO	Irvin	R		-20000
Zach Mckinstry	'+1200	SS	L	8	.206	DET	v	WSH	-	-	triples	0.5		0.0	0%	0%	0%	0%	.333 3-9, 1 HR, 2 RBI, 2 BB, 0 SO	Irvin	R	.500 1-2, 1 HR, 1 RBI, 0 BB, 0 SO	-20000
Ceddanne Rafaela	'+1200	CF	R	9	.210	BOS	v	PHI	-	-	triples	0.5		0.0	0%	0%	0%	0%	.000 0-3, 0 HR, 0 RBI, 0 BB, 1 SO	Sanchez	L		-20000
Connor Wong	'+1100	C	R	5	.329	BOS	v	PHI	-	-	triples	0.5		0.0	0%	0%	0%	0%	.100 1-10, 0 HR, 0 RBI, 0 BB, 2 SO	Sanchez	L		-6000
Anthony Volpe	'+1200	SS	R	1	.274	NYY	@	KC	-	-	triples	0.5		0.0	0%	0%	0%	0%	.231 6-26, 0 HR, 0 RBI, 0 BB, 6 SO	Lynch	L		-20000
Bobby Witt	'+800	SS	R	2	.321	KC	v	NYY	-	-	triples	0.5		0.0	0%	0%	0%	0%	.375 12-32, 1 HR, 4 RBI, 2 BB, 3 SO	Poteet	R		-2000
Mj Melendez	'+1100	LF	L	7	.159	KC	v	NYY	-	-	triples	0.5		0.0	0%	0%	0%	0%	.280 7-25, 1 HR, 1 RBI, 1 BB, 6 SO	Poteet	R		-8000
Corbin Carroll	'+900	CF	L	1	.213	ARI	v	LAA	-	-	triples	0.5		0.0	0%	0%	0%	0%	.600 3-5, 0 HR, 1 RBI, 1 BB, 0 SO	Soriano	R		-3500
Jake Mccarthy	'+800	RF	L	6	.282	ARI	v	LAA	-	-	triples	0.5		0.0	0%	0%	0%	0%	.286 2-7, 0 HR, 1 RBI, 1 BB, 1 SO	Soriano	R		-2500
