NAME	OVER	POS	R/L	Batting #	B. AVG	TEAM	A/H	OPP	OPP RANK	OPP RANK LYR	PROP	LINE	LAST (old ➡️ new)	AVG	% OVER	L10 % OVER	CAREER % OVER	% OVER VS TEAM	VS TEAM	PITCHER	THROWS	VS PITCHER	UNDER
Tarik Skubal	-120	SP	L	-	.143	DET	v	OAK	-	-	w	0.5	1	1.0	100%	100%	0%	0%	33.0 IP 41 K, 16 H, 13 BB	Sears	L		-110
Zack Littell	'+145	RP	R	-	.200	TB	@	COL	-	-	w	0.5	1	1.0	100%	100%	0%	0%	12.8 IP 18 K, 11 H, 4 BB	Gomber	L		-200
Jared Jones	'+265	SP	R	-	.143	PIT	v	BAL	-	-	w	0.5	1	1.0	100%	100%	0%	0%		Rodriguez	R		-390
Jordan Hicks	'+295	SP	R	-	.167	SF	v	SD	-	-	w	0.5	1	1.0	100%	100%	0%	0%	14.2 IP 20 K, 0 H, 1 BB	Cease	R		-450
Brady Singer	'+115	SP	R	-	.125	KC	v	CHW	-	-	w	0.5	1	1.0	100%	100%	0%	0%	65.7 IP 54 K, 80 H, 12 BB	Fedde	R		-150
Cody Bradford	'+275	SP	L	-	.176	TEX	v	HOU	-	-	w	0.5	1	1.0	100%	100%	0%	0%	8.3 IP 7 K, 8 H, 0 BB	Brown	R		-400
Freddy Peralta	'+140	SP	R	-	.056	MIL	v	SEA	-	-	w	0.5	1	1.0	100%	100%	0%	0%	4.0 IP 5 K, 2 H, 2 BB	Gilbert	R		-190
Marcus Stroman	'+145	SP	R	-	.182	NYY	v	TOR	-	-	w	0.5	1	1.0	100%	100%	0%	0%	5.0 IP 1 K, 3 H, 2 BB	Kikuchi	L		-195
Jp Sears	'+425	SP	L	-	.375	OAK	@	DET	-	-	w	0.5		0.0	0%	0%	0%	0%	12.1 IP 11 K, 11 H, 2 BB	Skubal	L		-800
Austin Gomber	'+285	SP	L	-	.316	COL	v	TB	-	-	w	0.5		0.0	0%	0%	0%	0%	6.0 IP 4 K, 7 H, 2 BB	Littell	R		-425
Dylan Cease	'+160	SP	R	-	.133	SD	@	SF	-	-	w	0.5		0.0	0%	0%	0%	0%	19.1 IP 24 K, 5 H, 8 BB	Hicks	R		-215
Hunter Greene	'+195	SP	R	-	.294	CIN	v	NYM	-	-	w	0.5		0.0	0%	0%	0%	0%	15.4 IP 15 K, 17 H, 6 BB	Quintana	L		-275
Jose Quintana	'+160	SP	L	-	.333	NYM	@	CIN	-	-	w	0.5		0.0	0%	0%	0%	0%	75.7 IP 58 K, 77 H, 22 BB	Greene	R		-215
Aaron Nola	-120	SP	R	-	.478	PHI	@	WSH	-	-	w	0.5		0.0	0%	0%	0%	0%	165.0 IP 182 K, 154 H, 50 BB	Corbin	L		-110
Patrick Corbin	'+380	SP	L	-	.412	WSH	v	PHI	-	-	w	0.5		0.0	0%	0%	0%	0%	109.2 IP 94 K, 123 H, 42 BB	Nola	R		-650
Tommy Henry	'+425	SP	L	-	.353	ARI	@	ATL	-	-	w	0.5		0.0	0%	0%	0%	0%		Strider	R		-700
Erick Fedde	'+310	SP	R	-	.263	CHW	@	KC	-	-	w	0.5		0.0	0%	0%	0%	0%		Singer	R		-475
Hunter Brown	'+185	SP	R	-	.250	HOU	@	TEX	-	-	w	0.5		0.0	0%	0%	0%	0%	17.0 IP 16 K, 18 H, 2 BB	Bradford	L		-255
Logan Gilbert	'+230	SP	R	-	.160	SEA	@	MIL	-	-	w	0.5		0.0	0%	0%	0%	0%	6.0 IP 8 K, 5 H, 0 BB	Peralta	R		-330
Griffin Canning	'+160	SP	R	-	.318	LAA	v	BOS	-	-	w	0.5		0.0	0%	0%	0%	0%	13.0 IP 12 K, 8 H, 5 BB	Crawford	R		-215
Kutter Crawford	'+230	SP	R	-	.143	BOS	@	LAA	-	-	w	0.5		0.0	0%	0%	0%	0%	9.3 IP 10 K, 5 H, 1 BB	Canning	R		-330
Yusei Kikuchi	'+310	SP	L	-	.316	TOR	@	NYY	-	-	w	0.5		0.0	0%	0%	0%	0%	51.6 IP 49 K, 45 H, 22 BB	Stroman	R		-475
