NAME	OVER	POS	R/L	TEAM	A/H	OPP	OPP RANK	OPP RANK LYR	PROP	LINE	LAST ➡️	AVG	% OVER	L10 % OVER	CAREER % OVER	% OVER VS TEAM	VS TEAM	UNDER
Alex Wood	'+255	SP	L	SF	@	CHW	-	-	win	-		0	0%	0%	0%	0%	7.0 IP 6 K, 6 H, 0 BB	-370
Lance Lynn	'+130	SP	R	CHW	v	SF	-	-	win	-	0	0.0	0%	0%	0%	0%	41.4 IP 30 K, 34 H, 20 BB	-175
Josiah Gray	'+190	SP	R	WSH	@	COL	-	-	win	-	0	0.0	0%	0%	0%	0%	19.2 IP 18 K, 13 H, 15 BB	-265
Kyle Freeland	'+190	SP	L	COL	v	WSH	-	-	win	-	0	0.0	0%	0%	0%	0%	38.6 IP 28 K, 48 H, 14 BB	-260
Dustin May	'+155	SP	R	LAD	@	ARI	-	-	win	-	0	0.0	0%	0%	0%	0%	5.1 IP 5 K, 13 H, 2 BB	-215
Merrill Kelly	'+265	SP	R	ARI	v	LAD	-	-	win	-	0	0.0	0%	0%	0%	0%	62.4 IP 58 K, 78 H, 24 BB	-390
Chris Sale	'+160	SP	L	BOS	@	DET	-	-	win	-	0	0.0	0%	0%	0%	0%	168.9 IP 194 K, 145 H, 44 BB	-220
Spencer Turnbull	'+230	SP	R	DET	v	BOS	-	-	win	-	0	0.0	0%	0%	0%	0%	8.0 IP 5 K, 10 H, 4 BB	-330
Jordan Lyles	'+340	SP	R	KC	v	TOR	-	-	win	-	0	0.0	0%	0%	0%	0%	32.4 IP 20 K, 47 H, 12 BB	-550
Kevin Gausman	-115	SP	R	TOR	@	KC	-	-	win	-	0	0.0	0%	0%	0%	0%	9.1 IP 9 K, 16 H, 4 BB	-115
