NAME	OVER	POS	R/L	Batting #	B. AVG	TEAM	A/H	OPP	OPP RANK	OPP RANK LYR	PROP	LINE	LAST (old ➡️ new)	AVG	% OVER	L10 % OVER	CAREER % OVER	% OVER VS TEAM	VS TEAM	PITCHER	THROWS	VS PITCHER	UNDER
Alex Bregman	+0	3B	R	4	.198	HOU	@	DET	-	-	x+_hits	0		0.0	0%	0%	0%	0%	.360 9-25, 1 HR, 4 RBI, 4 BB, 0 SO	Mize	R	.000 0-2, 0 HR, 0 RBI, 1 BB, 0 SO	'+700
Andy Ibanez	+0	2B	R	7	.342	DET	v	HOU	-	-	x+_hits	0		0.0	0%	0%	0%	0%	.125 1-8, 0 HR, 0 RBI, 0 BB, 2 SO	Valdez	L	.200 2-10, 0 HR, 0 RBI, 3 BB, 3 SO	'+700
Carson Kelly	+0	C	R	-	.175	DET	v	HOU	-	-	x+_hits	0		0.0	0%	0%	0%	0%	.250 1-4, 0 HR, 0 RBI, 0 BB, 2 SO	Valdez	L	.000 0-2, 0 HR, 0 RBI, 0 BB, 1 SO	'+390
Jake Meyers	+0	CF	R	-	.250	HOU	@	DET	-	-	x+_hits	0		0.0	0%	0%	0%	0%	.200 2-10, 0 HR, 0 RBI, 0 BB, 4 SO	Mize	R		'+1300
Jake Rogers	+0	C	R	8	.187	DET	v	HOU	-	-	x+_hits	0		0.0	0%	0%	0%	0%	.111 1-9, 0 HR, 1 RBI, 0 BB, 4 SO	Valdez	L	.167 1-6, 0 HR, 1 RBI, 0 BB, 3 SO	'+340
Javier Baez	+0	SS	R	6	.176	DET	v	HOU	-	-	x+_hits	0		0.0	0%	0%	0%	0%	.136 3-22, 0 HR, 2 RBI, 0 BB, 5 SO	Valdez	L	.231 3-13, 0 HR, 0 RBI, 0 BB, 5 SO	'+1200
Jeremy Pena	+0	SS	R	5	.333	HOU	@	DET	-	-	x+_hits	0		0.0	0%	0%	0%	0%	.308 8-26, 1 HR, 6 RBI, 2 BB, 1 SO	Mize	R		'+450
Joey Loperfido	+0	CF	L	8	.316	HOU	@	DET	-	-	x+_hits	0		0.0	0%	0%	0%	0%		Mize	R		'+390
Jon Singleton	+0	1B	L	6	.239	HOU	@	DET	-	-	x+_hits	0		0.0	0%	0%	0%	0%	.333 2-6, 0 HR, 1 RBI, 1 BB, 0 SO	Mize	R		'+1300
Jose Altuve	+0	2B	R	1	.327	HOU	@	DET	-	-	x+_hits	0		0.0	0%	0%	0%	0%	.308 4-13, 0 HR, 1 RBI, 3 BB, 2 SO	Mize	R	.200 1-5, 0 HR, 0 RBI, 1 BB, 0 SO	'+550
Kyle Tucker	+0	RF	L	2	.268	HOU	@	DET	-	-	x+_hits	0		0.0	0%	0%	0%	0%	.333 7-21, 3 HR, 6 RBI, 4 BB, 5 SO	Mize	R	.500 2-4, 0 HR, 0 RBI, 1 BB, 0 SO	'+1000
Mark Canha	+0	LF	R	2	.248	DET	v	HOU	-	-	x+_hits	0		0.0	0%	0%	0%	0%	.500 1-2, 0 HR, 1 RBI, 0 BB, 0 SO	Valdez	L	.286 4-14, 0 HR, 1 RBI, 2 BB, 2 SO	'+950
Matt Vierling	+0	3B	R	1	.282	DET	v	HOU	-	-	x+_hits	0		0.0	0%	0%	0%	0%	.350 7-20, 1 HR, 3 RBI, 1 BB, 6 SO	Valdez	L	.286 2-7, 0 HR, 0 RBI, 1 BB, 2 SO	'+700
Riley Greene	+0	LF	L	5	.254	DET	v	HOU	-	-	x+_hits	0		0.0	0%	0%	0%	0%	.364 8-22, 1 HR, 2 RBI, 3 BB, 9 SO	Valdez	L	.375 3-8, 0 HR, 0 RBI, 2 BB, 3 SO	'+310
Spencer Torkelson	+0	1B	R	4	.221	DET	v	HOU	-	-	x+_hits	0		0.0	0%	0%	0%	0%	.227 5-22, 1 HR, 4 RBI, 3 BB, 4 SO	Valdez	L	.250 3-12, 0 HR, 1 RBI, 1 BB, 2 SO	'+295
Yainer Diaz	+0	C	R	7	.273	HOU	@	DET	-	-	x+_hits	0		0.0	0%	0%	0%	0%	.182 2-11, 1 HR, 2 RBI, 1 BB, 1 SO	Mize	R		'+600
Yordan Alvarez	+0	LF	L	3	.245	HOU	@	DET	-	-	x+_hits	0		0.0	0%	0%	0%	0%	.269 7-26, 1 HR, 9 RBI, 3 BB, 2 SO	Mize	R	.000 0-5, 0 HR, 0 RBI, 1 BB, 2 SO	'+750
Andrew Mccutchen	+0	RF	R	1	.184	PIT	v	CHC	-	-	x+_hits	0		0.0	0%	0%	0%	0%	.176 3-17, 1 HR, 2 RBI, 5 BB, 6 SO	Taillon	R	.000 0-4, 0 HR, 1 RBI, 0 BB, 3 SO	'+320
Bryan Reynolds	+0	LF	S	2	.240	PIT	v	CHC	-	-	x+_hits	0		0.0	0%	0%	0%	0%	.205 9-44, 0 HR, 3 RBI, 5 BB, 10 SO	Taillon	R	.333 2-6, 0 HR, 0 RBI, 0 BB, 1 SO	'+1200
Christopher Morel	+0	3B	R	4	.211	CHC	@	PIT	-	-	x+_hits	0		0.0	0%	0%	0%	0%	.189 7-37, 2 HR, 6 RBI, 3 BB, 10 SO	Jones	R		'+360
Cody Bellinger	+0	CF	L	3	.239	CHC	@	PIT	-	-	x+_hits	0		0.0	0%	0%	0%	0%	.279 12-43, 1 HR, 13 RBI, 5 BB, 6 SO	Jones	R		'+1100
Dansby Swanson	+0	SS	R	7	.209	CHC	@	PIT	-	-	x+_hits	0		0.0	0%	0%	0%	0%	.264 14-53, 2 HR, 10 RBI, 4 BB, 14 SO	Jones	R		'+425
Ian Happ	+0	LF	S	5	.217	CHC	@	PIT	-	-	x+_hits	0		0.0	0%	0%	0%	0%	.340 18-53, 3 HR, 19 RBI, 6 BB, 12 SO	Jones	R		'+350
Jack Suwinski	+0	LF	L	7	.178	PIT	v	CHC	-	-	x+_hits	0		0.0	0%	0%	0%	0%	.194 7-36, 2 HR, 3 RBI, 11 BB, 13 SO	Taillon	R	.800 4-5, 3 HR, 4 RBI, 1 BB, 0 SO	'+330
Jared Triolo	+0	2B	R	6	.208	PIT	v	CHC	-	-	x+_hits	0		0.0	0%	0%	0%	0%	.375 3-8, 1 HR, 2 RBI, 3 BB, 3 SO	Taillon	R		'+330
Joey Bart	+0	C	R	-	.195	PIT	v	CHC	-	-	x+_hits	0		0.0	0%	0%	0%	0%	.000 0-2, 0 HR, 1 RBI, 0 BB, 0 SO	Taillon	R		'+600
Kebryan Hayes	+0	3B	R	3	.240	PIT	v	CHC	-	-	x+_hits	0		0.0	0%	0%	0%	0%	.315 17-54, 2 HR, 4 RBI, 2 BB, 14 SO	Taillon	R	.200 1-5, 0 HR, 0 RBI, 0 BB, 2 SO	'+1100
Michael A Taylor	+0	CF		-	.221	PIT	v	CHC	-	-	x+_hits	0		0.0	0%	0%	0%	0%	.500 2-4, 1 HR, 2 RBI, 0 BB, 0 SO	Taillon	R		'+700
Michael Busch	+0	1B	L	6	.256	CHC	@	PIT	-	-	x+_hits	0		0.0	0%	0%	0%	0%	.100 1-10, 0 HR, 1 RBI, 1 BB, 5 SO	Jones	R		'+390
Miguel Amaya	+0	C	R	8	.194	CHC	@	PIT	-	-	x+_hits	0		0.0	0%	0%	0%	0%	.143 1-7, 0 HR, 0 RBI, 2 BB, 1 SO	Jones	R		'+500
Mike Tauchman	+0	RF	L	2	.269	CHC	@	PIT	-	-	x+_hits	0		0.0	0%	0%	0%	0%	.306 15-49, 1 HR, 7 RBI, 5 BB, 13 SO	Jones	R		'+1300
Nico Hoerner	+0	2B	R	1	.266	CHC	@	PIT	-	-	x+_hits	0		0.0	0%	0%	0%	0%	.320 16-50, 1 HR, 8 RBI, 6 BB, 6 SO	Jones	R		'+650
Oneil Cruz	+0	SS	L	4	.252	PIT	v	CHC	-	-	x+_hits	0		0.0	0%	0%	0%	0%	.237 9-38, 1 HR, 10 RBI, 1 BB, 5 SO	Taillon	R	.000 0-2, 0 HR, 0 RBI, 0 BB, 0 SO	'+1100
Pete Crow Armstrong	+0	CF	L	9	.220	CHC	@	PIT	-	-	x+_hits	0		0.0	0%	0%	0%	0%		Jones	R		'+425
