NAME	OVER	POS	R/L	Batting #	B. AVG	TEAM	A/H	OPP	OPP RANK	OPP RANK LYR	PROP	LINE	LAST (old ➡️ new)	AVG	% OVER	L10 % OVER	CAREER % OVER	% OVER VS TEAM	VS TEAM	PITCHER	THROWS	VS PITCHER	UNDER
Yordan Alvarez	+0	LF	L	3	.245	HOU	@	DET	-	-	x+_home_runs	0		0.0	0%	0%	0%	0%	.269 7-26, 1 HR, 9 RBI, 3 BB, 2 SO	Mize	R	.000 0-5, 0 HR, 0 RBI, 1 BB, 2 SO	'+3000
Cody Bellinger	+0	CF	L	3	.239	CHC	@	PIT	-	-	x+_home_runs	0		0.0	0%	0%	0%	0%	.279 12-43, 1 HR, 13 RBI, 5 BB, 6 SO	Jones	R		'+4500
Oneil Cruz	+0	SS	L	4	.252	PIT	v	CHC	-	-	x+_home_runs	0		0.0	0%	0%	0%	0%	.237 9-38, 1 HR, 10 RBI, 1 BB, 5 SO	Taillon	R	.000 0-2, 0 HR, 0 RBI, 0 BB, 0 SO	'+4000
Aaron Judge	+0	CF	R	3	.236	NYY	@	TB	-	-	x+_home_runs	0		0.0	0%	0%	0%	0%	.146 7-48, 2 HR, 5 RBI, 7 BB, 23 SO	Bradley	R		'+1200
Giancarlo Stanton	+0	DH	R	5	.220	NYY	@	TB	-	-	x+_home_runs	0		0.0	0%	0%	0%	0%	.125 3-24, 1 HR, 6 RBI, 3 BB, 7 SO	Bradley	R		'+3000
Juan Soto	+0	RF	L	2	.333	NYY	@	TB	-	-	x+_home_runs	0		0.0	0%	0%	0%	0%	.150 3-20, 1 HR, 4 RBI, 4 BB, 3 SO	Bradley	R		'+3000
Danny Jansen	+0	C	R	5	.311	TOR	v	MIN	-	-	x+_home_runs	0		0.0	0%	0%	0%	0%	.174 8-46, 1 HR, 4 RBI, 3 BB, 10 SO	Ryan	R		'+3500
Ryan Jeffers	+0	C	R	1	.306	MIN	@	TOR	-	-	x+_home_runs	0		0.0	0%	0%	0%	0%	.000 0-13, 0 HR, 0 RBI, 0 BB, 6 SO	Kikuchi	L	.000 0-4, 0 HR, 0 RBI, 0 BB, 3 SO	'+4500
Vladimir Guerrero	+0	1B	R	3	.246	TOR	v	MIN	-	-	x+_home_runs	0		0.0	0%	0%	0%	0%	.160 4-25, 0 HR, 2 RBI, 2 BB, 7 SO	Ryan	R	.333 1-3, 0 HR, 1 RBI, 0 BB, 2 SO	'+4000
Jake Burger	+0	1B	R	4	.203	MIA	v	PHI	-	-	x+_home_runs	0		0.0	0%	0%	0%	0%	.179 5-28, 1 HR, 4 RBI, 3 BB, 5 SO	Suarez	L	.000 0-3, 0 HR, 0 RBI, 0 BB, 0 SO	'+4000
Kyle Schwarber	+0	DH	L	1	.211	PHI	@	MIA	-	-	x+_home_runs	0		0.0	0%	0%	0%	0%	.184 9-49, 3 HR, 6 RBI, 10 BB, 22 SO	Rogers	L	.000 0-6, 0 HR, 0 RBI, 3 BB, 2 SO	'+3500
Austin Riley	+0	3B	R	3	.245	ATL	@	NYM	-	-	x+_home_runs	0		0.0	0%	0%	0%	0%	.328 21-64, 3 HR, 9 RBI, 6 BB, 13 SO	Quintana	L	.167 2-12, 0 HR, 0 RBI, 3 BB, 2 SO	'+4000
Marcell Ozuna	+0	DH	R	5	.315	ATL	@	NYM	-	-	x+_home_runs	0		0.0	0%	0%	0%	0%	.396 21-53, 6 HR, 18 RBI, 3 BB, 12 SO	Quintana	L	.458 11-24, 1 HR, 7 RBI, 3 BB, 3 SO	'+3500
Matt Olson	+0	1B	L	4	.200	ATL	@	NYM	-	-	x+_home_runs	0		0.0	0%	0%	0%	0%	.270 17-63, 4 HR, 10 RBI, 10 BB, 20 SO	Quintana	L	.238 5-21, 0 HR, 2 RBI, 2 BB, 9 SO	'+3500
Tyler Oneill	+0	RF	R	3	.283	BOS	v	WSH	-	-	x+_home_runs	0		0.0	0%	0%	0%	0%	.200 5-25, 0 HR, 1 RBI, 3 BB, 14 SO	Corbin	L		'+4000
Andrew Vaughn	+0	1B	R	5	.194	CHW	v	CLE	-	-	x+_home_runs	0		0.0	0%	0%	0%	0%	.309 17-55, 3 HR, 7 RBI, 2 BB, 11 SO	Carrasco	R	.000 0-3, 0 HR, 1 RBI, 0 BB, 1 SO	'+4500
Eloy Jimenez	+0	DH	R	4	.221	CHW	v	CLE	-	-	x+_home_runs	0		0.0	0%	0%	0%	0%	.292 7-24, 0 HR, 2 RBI, 1 BB, 2 SO	Carrasco	R	.750 3-4, 1 HR, 3 RBI, 0 BB, 0 SO	'+4500
Jose Ramirez	+0	3B	S	3	.238	CLE	@	CHW	-	-	x+_home_runs	0		0.0	0%	0%	0%	0%	.250 14-56, 4 HR, 9 RBI, 3 BB, 7 SO	Crochet	L	.000 0-2, 0 HR, 0 RBI, 0 BB, 0 SO	'+3500
Tommy Pham	+0	CF	R	2	.312	CHW	v	CLE	-	-	x+_home_runs	0		0.0	0%	0%	0%	0%	.500 2-4, 0 HR, 1 RBI, 0 BB, 1 SO	Carrasco	R	.545 6-11, 1 HR, 3 RBI, 1 BB, 2 SO	'+4000
Gary Sanchez	+0	C	R	-	.217	MIL	v	STL	-	-	x+_home_runs	0		0.0	0%	0%	0%	0%	.211 4-19, 0 HR, 0 RBI, 0 BB, 5 SO	Lynn	R	.400 4-10, 1 HR, 1 RBI, 2 BB, 1 SO	'+3500
Rhys Hoskins	+0	1B	R	5	.211	MIL	v	STL	-	-	x+_home_runs	0		0.0	0%	0%	0%	0%	.283 34-120, 9 HR, 16 RBI, 14 BB, 36 SO	Lynn	R		'+3000
William Contreras	+0	C	R	2	.347	MIL	v	STL	-	-	x+_home_runs	0		0.0	0%	0%	0%	0%	.319 22-69, 1 HR, 6 RBI, 6 BB, 20 SO	Lynn	R	.000 0-3, 0 HR, 0 RBI, 0 BB, 0 SO	'+2500
Willy Adames	+0	SS	R	4	.252	MIL	v	STL	-	-	x+_home_runs	0		0.0	0%	0%	0%	0%	.270 17-63, 2 HR, 7 RBI, 6 BB, 21 SO	Lynn	R	.167 2-12, 0 HR, 0 RBI, 0 BB, 6 SO	'+3000
Adolis Garcia	+0	RF	R	4	.268	TEX	@	COL	-	-	x+_home_runs	0		0.0	0%	0%	0%	0%	.222 2-9, 1 HR, 3 RBI, 2 BB, 2 SO	Gomber	L	.000 0-5, 0 HR, 0 RBI, 5 BB, 1 SO	'+2500
Corey Seager	+0	SS	L	2	.230	TEX	@	COL	-	-	x+_home_runs	0		0.0	0%	0%	0%	0%	.538 7-13, 2 HR, 7 RBI, 0 BB, 2 SO	Gomber	L	.200 1-5, 0 HR, 0 RBI, 0 BB, 1 SO	'+4000
