NAME	OVER	POS	R/L	Batting #	B. AVG	TEAM	A/H	OPP	OPP RANK	OPP RANK LYR	PROP	LINE	LAST (old ➡️ new)	AVG	% OVER	L10 % OVER	CAREER % OVER	% OVER VS TEAM	VS TEAM	PITCHER	THROWS	VS PITCHER	UNDER
Casey Mize	+0	SP	R	-	.267	DET	v	HOU	-	-	x+_strikeouts	0		0.0	0%	0%	0%	0%	13.0 IP 10 K, 10 H, 4 BB	Valdez	L		'+425
Framber Valdez	+0	SP	L	-	.305	HOU	@	DET	-	-	x+_strikeouts	0		0.0	0%	0%	0%	0%	14.0 IP 15 K, 8 H, 6 BB	Mize	R		'+450
Jared Jones	+0	SP	R	-	.184	PIT	v	CHC	-	-	x+_strikeouts	0		0.0	0%	0%	0%	0%		Taillon	R		'+330
Javier Assad	+0	SP	R	-	.201	CHC	@	PIT	-	-	x+_strikeouts	0		0.0	0%	0%	0%	0%	12.0 IP 15 K, 8 H, 3 BB	Jones	R		'+360
Clarke Schmidt	+0	SP	R	-	.260	NYY	@	TB	-	-	x+_strikeouts	0		0.0	0%	0%	0%	0%	16.2 IP 17 K, 12 H, 3 BB	Bradley	R		'+320
Taj Bradley	+0	SP	R	-	0	TB	v	NYY	-	-	x+_strikeouts	0		0	0%	0%	0%	0%		Schmidt	R		'+200
Brandon Pfaadt	+0	SP	R	-	.264	ARI	@	BAL	-	-	x+_strikeouts	0		0.0	0%	0%	0%	0%		Irvin	L		'+475
Cole Irvin	+0	SP	L	-	.233	BAL	v	ARI	-	-	x+_strikeouts	0		0.0	0%	0%	0%	0%	5.2 IP 4 K, 8 H, 1 BB	Pfaadt	R		'+450
Joe Ryan	+0	SP	R	-	.226	MIN	@	TOR	-	-	x+_strikeouts	0		0.0	0%	0%	0%	0%	6.0 IP 4 K, 6 H, 1 BB	Kikuchi	L		'+250
Yusei Kikuchi	+0	SP	L	-	.245	TOR	v	MIN	-	-	x+_strikeouts	0		0.0	0%	0%	0%	0%	5.0 IP 4 K, 4 H, 1 BB	Ryan	R		'+285
Ranger Suarez	+0	SP	L	-	.173	PHI	@	MIA	-	-	x+_strikeouts	0		0.0	0%	0%	0%	0%	17.4 IP 17 K, 20 H, 9 BB	Rogers	L		'+400
Trevor Rogers	+0	SP	L	-	.303	MIA	v	PHI	-	-	x+_strikeouts	0		0.0	0%	0%	0%	0%	40.9 IP 47 K, 46 H, 21 BB	Suarez	L		'+340
Charlie Morton	+0	SP	R	-	.219	ATL	@	NYM	-	-	x+_strikeouts	0		0.0	0%	0%	0%	0%	27.2 IP 30 K, 15 H, 15 BB	Quintana	L		'+225
Jose Quintana	+0	SP	L	-	.278	NYM	v	ATL	-	-	x+_strikeouts	0		0.0	0%	0%	0%	0%	16.2 IP 13 K, 13 H, 6 BB	Morton	R		'+245
Patrick Corbin	+0	SP	L	-	.342	WSH	@	BOS	-	-	x+_strikeouts	0		0.0	0%	0%	0%	0%	6.0 IP 6 K, 4 H, 0 BB	Houck	R		'+310
Tanner Houck	+0	SP	R	-	.216	BOS	v	WSH	-	-	x+_strikeouts	0		0.0	0%	0%	0%	0%	5.0 IP 8 K, 0 H, 0 BB	Corbin	L		'+450
Carlos Carrasco	+0	SP	R	-	.289	CLE	@	CHW	-	-	x+_strikeouts	0		0.0	0%	0%	0%	0%	4.2 IP 5 K, 6 H, 2 BB	Crochet	L		'+425
Garrett Crochet	+0	SP	L	-	.211	CHW	v	CLE	-	-	x+_strikeouts	0		0.0	0%	0%	0%	0%	1.2 IP 0 K, 0 H, 1 BB	Carrasco	R		'+240
Lance Lynn	+0	SP	R	-	.245	STL	@	MIL	-	-	x+_strikeouts	0		0.0	0%	0%	0%	0%	7.0 IP 3 K, 4 H, 1 BB	Gasser	L		'+270
Austin Gomber	+0	SP	L	-	.248	COL	v	TEX	-	-	x+_strikeouts	0		0.0	0%	0%	0%	0%	18.5 IP 14 K, 12 H, 9 BB	Gray	R		'+350
Jon Gray	+0	SP	R	-	.229	TEX	@	COL	-	-	x+_strikeouts	0		0.0	0%	0%	0%	0%	5.0 IP 6 K, 5 H, 2 BB	Gomber	L		'+390
Griffin Canning	+0	SP	R	-	.274	LAA	v	KC	-	-	x+_strikeouts	0		0.0	0%	0%	0%	0%	6.0 IP 5 K, 3 H, 2 BB	Marsh	R		'+265
Michael King	+0	SP	R	-	.233	SD	v	LAD	-	-	x+_strikeouts	0		0.0	0%	0%	0%	0%	10.1 IP 12 K, 1 H, 0 BB	Glasnow	R		'+225
Tyler Glasnow	+0	SP	R	-	.182	LAD	@	SD	-	-	x+_strikeouts	0		0.0	0%	0%	0%	0%	10.0 IP 9 K, 3 H, 0 BB	King	R		'+195
Paul Blackburn	+0	SP	R	-	.213	OAK	@	SEA	-	-	x+_strikeouts	0		0.0	0%	0%	0%	0%	5.0 IP 4 K, 4 H, 1 BB	Woo	R		'+340
Andrew Abbott	+0	SP	L	-	.229	CIN	@	SF	-	-	x+_strikeouts	0		0.0	0%	0%	0%	0%	11.1 IP 12 K, 6 H, 5 BB	Webb	R		'+450
Logan Webb	+0	SP	R	-	.283	SF	v	CIN	-	-	x+_strikeouts	0		0.0	0%	0%	0%	0%	13.0 IP 13 K, 11 H, 0 BB	Abbott	L		'+390
