NAME	OVER	POS	R/L	Batting #	B. AVG	TEAM	A/H	OPP	OPP RANK	OPP RANK LYR	PROP	LINE	LAST (old ➡️ new)	AVG	% OVER	L10 % OVER	CAREER % OVER	% OVER VS TEAM	VS TEAM	PITCHER	THROWS	VS PITCHER	UNDER
Alexander Canario	+0	CF	R	-	.500	CHC	v	MIA	-	-	x+_total_bases	0		0.0	0%	0%	0%	0%		Puk	L		'+450
Christopher Morel	+0	3B	R	4	.217	CHC	v	MIA	-	-	x+_total_bases	0		0.0	0%	0%	0%	0%	.182 2-11, 1 HR, 1 RBI, 2 BB, 4 SO	Puk	L		'+270
Emmanuel Rivera	+0	3B	R	8	.208	MIA	@	CHC	-	-	x+_total_bases	0		0.0	0%	0%	0%	0%	.333 3-9, 0 HR, 2 RBI, 0 BB, 1 SO	Taillon	R	.667 2-3, 0 HR, 0 RBI, 0 BB, 0 SO	'+550
Garrett Cooper	+0	1B	R	7	.348	CHC	v	MIA	-	-	x+_total_bases	0		0.0	0%	0%	0%	0%	.375 3-8, 0 HR, 0 RBI, 2 BB, 0 SO	Puk	L		'+350
Jazz Chisholm	+0	CF	L	3	.215	MIA	@	CHC	-	-	x+_total_bases	0		0.0	0%	0%	0%	0%	.261 6-23, 0 HR, 3 RBI, 1 BB, 8 SO	Taillon	R	.333 1-3, 0 HR, 0 RBI, 0 BB, 0 SO	'+230
Jesus Sanchez	+0	RF	L	5	.184	MIA	@	CHC	-	-	x+_total_bases	0		0.0	0%	0%	0%	0%	.286 4-14, 0 HR, 3 RBI, 1 BB, 5 SO	Taillon	R		'+370
Josh Bell	+0	1B	S	4	.200	MIA	@	CHC	-	-	x+_total_bases	0		0.0	0%	0%	0%	0%	.083 1-12, 0 HR, 1 RBI, 1 BB, 4 SO	Taillon	R	.333 1-3, 1 HR, 1 RBI, 0 BB, 0 SO	'+270
Michael Busch	+0	1B	L	-	.317	CHC	v	MIA	-	-	x+_total_bases	0		0.0	0%	0%	0%	0%	.000 0-3, 0 HR, 0 RBI, 0 BB, 2 SO	Puk	L		'+450
Miguel Amaya	+0	C	R	9	.281	CHC	v	MIA	-	-	x+_total_bases	0		0.0	0%	0%	0%	0%	.400 2-5, 0 HR, 1 RBI, 0 BB, 0 SO	Puk	L		'+650
Nick Fortes	+0	C	R	9	.097	MIA	@	CHC	-	-	x+_total_bases	0		0.0	0%	0%	0%	0%	.222 2-9, 0 HR, 0 RBI, 1 BB, 0 SO	Taillon	R		'+650
Nick Gordon	+0	LF	L	7	.206	MIA	@	CHC	-	-	x+_total_bases	0		0.0	0%	0%	0%	0%	.250 3-12, 0 HR, 2 RBI, 0 BB, 2 SO	Taillon	R	.200 1-5, 0 HR, 0 RBI, 0 BB, 0 SO	'+370
Nico Hoerner	+0	2B	R	1	.228	CHC	v	MIA	-	-	x+_total_bases	0		0.0	0%	0%	0%	0%	.308 8-26, 0 HR, 3 RBI, 2 BB, 7 SO	Puk	L		'+400
Tim Anderson	+0	SS	R	6	.267	MIA	@	CHC	-	-	x+_total_bases	0		0.0	0%	0%	0%	0%	.273 3-11, 0 HR, 1 RBI, 2 BB, 2 SO	Taillon	R	.333 2-6, 0 HR, 0 RBI, 0 BB, 3 SO	'+700
Alec Bohm	+0	3B	R	4	.242	PHI	v	CHW	-	-	x+_total_bases	0		0.0	0%	0%	0%	0%	.182 2-11, 0 HR, 2 RBI, 1 BB, 3 SO	Crochet	L		'+400
Andrew Benintendi	+0	LF	L	2	.175	CHW	@	PHI	-	-	x+_total_bases	0		0.0	0%	0%	0%	0%	.250 2-8, 0 HR, 0 RBI, 0 BB, 4 SO	Turnbull	R	.571 4-7, 0 HR, 0 RBI, 0 BB, 1 SO	'+650
Braden Shewmake	+0	SS	L	-	.192	CHW	@	PHI	-	-	x+_total_bases	0		0.0	0%	0%	0%	0%		Turnbull	R		'+600
Brandon Marsh	+0	LF	L	-	.288	PHI	v	CHW	-	-	x+_total_bases	0		0.0	0%	0%	0%	0%	.333 4-12, 1 HR, 1 RBI, 0 BB, 7 SO	Crochet	L		'+650
Bryce Harper	+0	1B	L	3	.217	PHI	v	CHW	-	-	x+_total_bases	0		0.0	0%	0%	0%	0%	.333 12-36, 2 HR, 7 RBI, 6 BB, 5 SO	Crochet	L		'+310
Bryson Stott	+0	2B	L	7	.237	PHI	v	CHW	-	-	x+_total_bases	0		0.0	0%	0%	0%	0%	.286 4-14, 0 HR, 1 RBI, 0 BB, 1 SO	Crochet	L		'+750
Eloy Jimenez	+0	DH	R	4	.118	CHW	@	PHI	-	-	x+_total_bases	0		0.0	0%	0%	0%	0%	.273 3-11, 0 HR, 0 RBI, 0 BB, 2 SO	Turnbull	R	.250 2-8, 1 HR, 3 RBI, 2 BB, 1 SO	'+450
Jt Realmuto	+0	C	R	5	.262	PHI	v	CHW	-	-	x+_total_bases	0		0.0	0%	0%	0%	0%	.333 3-9, 0 HR, 0 RBI, 1 BB, 4 SO	Crochet	L		'+370
Johan Rojas	+0	CF	R	9	.200	PHI	v	CHW	-	-	x+_total_bases	0		0.0	0%	0%	0%	0%		Crochet	L		'+800
Kyle Schwarber	+0	DH	L	1	.230	PHI	v	CHW	-	-	x+_total_bases	0		0.0	0%	0%	0%	0%	.000 0-10, 0 HR, 0 RBI, 2 BB, 4 SO	Crochet	L	.000 0-3, 0 HR, 0 RBI, 0 BB, 2 SO	'+265
Martin Maldonado	+0	C	R	9	.061	CHW	@	PHI	-	-	x+_total_bases	0		0.0	0%	0%	0%	0%	.250 2-8, 0 HR, 1 RBI, 0 BB, 2 SO	Turnbull	R	.000 0-7, 0 HR, 0 RBI, 1 BB, 1 SO	'+900
Nick Castellanos	+0	RF	R	6	.159	PHI	v	CHW	-	-	x+_total_bases	0		0.0	0%	0%	0%	0%	.364 4-11, 0 HR, 2 RBI, 1 BB, 2 SO	Crochet	L		'+360
