EV	EV Book	Imp	Game	Team	Player	Prop	O/U	FD	DK	MGM	Bet365	PN	Kambi/BR	CZ	ESPN	LYR %	L10 %	SZN %	Splits	Def Rank	Def Pos Rank	IN
4.7	-120 BR	55%	MIL @ LAL	LAL	Gabe Vincent	pts+reb+ast	u 21.5	-	-	-	-	118/-157	-110/-120	-	-	85%	90%	97%	14,13,15,9,5,7,10,18,25,3	14th	28th	🟡
2.9	-114 BR	53%	MIL @ LAL	LAL	Jaxson Hayes	reb	u 7.5	-	-	-	-	112/-149	-117/-114	100/-137	-	94%	80%	82%	11,7,5,4,4,2,8,5,3,3	24th	8th	🟡
2.1	120 CZ	45%	CHI @ SAC	SAC	Demar Derozan	ast	o 5.5	-	-	-	-	-100/-132	-	120/-166	-	36%	60%	32%	8,4,5,4,10,6,10,1,8,8	27th	28th	🟡
1.8	-121 CZ	55%	CHI @ SAC	SAC	Zach Lavine	pts+reb+ast	u 32.5	-	-	-	-	111/-148	-	-113/-121	-	0%	100%	55%	24,31,14,28,21,28,31,15,27,22	29th		🟡
0.8	-134 BR	57%	MIL @ LAL	LAL	Gabe Vincent	3ptm	u 3.5	-	-	-	-	121/-162	100/-134	120/-166	-	89%	70%	86%	3,4,2,2,0,2,2,4,6,1	19th	6th	🟡
0.6	-125 BR	56%	CHI @ SAC	SAC	Zach Lavine	3ptm	o 2.5	-	-	-	-	-158/118	-125/-107	-142/104	-	0%	30%	55%	2,5,1,1,1,4,2,1,4,2	16th		🟡
0.5	120 BR	45%	MIL @ LAL	LAL	Dalton Knecht	pts	u 21.5	-	-	-	-	-136/103	-167/120	-	-	0%	100%	96%	3,13,12,17,6,3,3,0,2,0	13th		🟡
0.2	-107 BR	52%	CHI @ SAC	SAC	Malik Monk	pts	u 19.5	-	-	-	-	-102/-130	-124/-107	-113/-121	-	82%	60%	62%	16,13,21,28,22,34,16,9,5,13	29th	29th	🟡
0.1	110 BR	48%	TOR @ GS	GS	Moses Moody	3ptm	u 1.5	-	-	-	-	-125/-106	-148/110	-129/-106	-	77%	50%	50%	4,1,1,0,3,0,1,3,2,3	15th	8th	🟡
0.1	-133 CZ	57%	CHI @ SAC	SAC	Jake Laravia	pts+reb+ast	u 13.5	-	-	-	-	118/-157	-	-103/-133	-	0%	40%	65%	10,14,21,17,12,15,20,12,5,15	29th		🟡
-0.4	-105 BR	51%	CHI @ SAC	SAC	Demar Derozan	pts	u 23.5	-	-	-	-	-106/-125	-129/-105	-117/-117	-	47%	70%	60%	22,27,22,22,20,10,21,21,31,29	29th	24th	🟡
-0.6	108 BR	48%	CHI @ SAC	SAC	Malik Monk	ast	u 6.5	-	-	-	-	-124/-106	-143/108	-129/-106	-	93%	60%	59%	4,8,3,7,8,5,2,2,7,3	27th	14th	🟡
-0.7	-142 CZ	59%	TOR @ GS	TOR	Jamal Shead	pts+reb+ast	u 14.5	-	-	-	-	124/-165	-	104/-142	-	0%	20%	65%	18,8,21,25,19,20,25,22,14,16	11th		🟡
-0.7	-109 BR	52%	TOR @ GS	GS	Brandin Podziemski	pts	u 11.5	-	-	-	-	-106/-125	-122/-109	-109/-125	-	0%	30%	56%	19,0,17,15,19,14,10,27,8,28	20th		🟡
-0.9	-122 BR	55%	TOR @ GS	GS	Jimmy Butler	pts+reb+ast	u 29.5	-	-	-	-	116/-154	-108/-122	-106/-129	-	0%	40%	50%	24,37,42,39,37,19,32,24,37,17	17th		🟡
-1.1	-114 BR	53%	TOR @ GS	GS	Brandin Podziemski	pts+reb+ast	u 20.5	-	-	-	-	103/-136	-117/-114	-109/-125	-	0%	40%	55%	28,0,25,19,31,21,18,38,14,42	17th		🟡
-1.2	102 BR	50%	TOR @ GS	TOR	Immanuel Quickley	pts	o 17.5	-	-	-	-	-109/-121	102/-136	-113/-121	-	32%	60%	50%	23,24,15,34,15,15,21,21,19,17	8th	10th	🟡
-1.3	100 BR	50%	MIL @ LAL	LAL	Gabe Vincent	pts	u 14.5	-	-	-	-	-121/-110	-132/100	-117/-117	-	78%	80%	94%	11,12,9,6,4,6,8,15,20,3	13th	30th	🟡
-1.7	-152 BR	60%	TOR @ GS	TOR	Scottie Barnes	reb	o 5.5	-	-	-	-	-185/138	-152/115	-166/120	-	60%	60%	68%	6,4,10,6,10,7,6,5,4,2	18th	8th	🟡
-1.7	-143 BR	59%	TOR @ GS	GS	Jonathan Kuminga	reb	o 3.5	-	-	-	-	-	-143/108	-166/120	-	41%	40%	68%	2,5,3,2,4,2,2,8,1,9	19th	23rd	🟡
-1.7	-106 CZ	51%	TOR @ GS	TOR	Jakob Poeltl	pts+reb+ast	o 21.5	-	-	-	-	-118/-112	-	-106/-129	-	59%	70%	72%	17,30,26,31,16,30,28,33,39,19	11th	20th	🟡
-1.8	112 CZ	47%	MIL @ LAL	LAL	Dalton Knecht	pts+reb+ast	u 28.5	-	-	-	-	-133/100	-	-154/112	-	0%	100%	94%	5,19,16,24,8,3,4,4,5,0	14th		🟡
-1.9	-180 BR	64%	TOR @ GS	GS	Buddy Hield	3ptm	u 2.5	-	-	-	-	146/-197	133/-180	159/-224	-	28%	80%	58%	1,0,4,1,1,2,2,3,2,0	15th	8th	🟡
-2.0	-113 BR	53%	TOR @ GS	GS	Jonathan Kuminga	pts	o 14.5	-	-	-	-	-127/-104	-113/-118	-125/-109	-	25%	50%	55%	13,10,13,10,16,16,15,16,4,18	20th	16th	🟡
-2.2	159 CZ	39%	TOR @ GS	GS	Buddy Hield	3ptm	o 2.5	-	-	-	-	146/-197	133/-180	159/-224	-	72%	20%	42%	1,0,4,1,1,2,2,3,2,0	15th	8th	🟡
-2.3	120 CZ	45%	TOR @ GS	GS	Jonathan Kuminga	reb	u 3.5	-	-	-	-	-	-143/108	-166/120	-	59%	60%	32%	2,5,3,2,4,2,2,8,1,9	19th	23rd	🟡
-2.5	-125 CZ	56%	TOR @ GS	GS	Jonathan Kuminga	pts+reb+ast	u 21.5	-	-	-	-	104/-138	-	-109/-125	-	74%	70%	50%	17,20,20,14,23,20,19,27,5,31	17th	20th	🟡
-2.5	-125 CZ	56%	TOR @ GS	TOR	Jamison Battle	pts	u 10.5	-	-	-	-	104/-138	-	-109/-125	-	0%	60%	78%	9,14,14,5,11,8,2,16,5,9	8th		🟡
-2.5	-113 CZ	53%	CHI @ SAC	CHI	Josh Giddey	pts	o 16.5	-	-	-	-	-124/-107	-	-113/-121	-	50%	70%	38%	19,26,29,22,15,26,25,8,15,17	17th	20th	🟡
-2.9	120 CZ	45%	CHI @ SAC	CHI	Tre Jones	ast	o 6.5	-	-	-	-	109/-145	-	120/-166	-	0%	50%	23%	2,6,7,4,5,8,6,12,9,7	19th		🟡
-2.9	110 BR	48%	CHI @ SAC	SAC	Keegan Murray	pts	u 12.5	-	-	-	-	-131/-101	-150/110	-137/100	-	51%	30%	46%	16,13,10,13,13,28,17,9,12,18	29th	24th	🟡
-3.0	108 CZ	48%	CHI @ SAC	CHI	Zach Collins	pts+reb+ast	o 15.5	-	-	-	-	-101/-131	-	108/-148	-	0%	40%	57%	10,4,16,9,16,3,13,22,10,24	15th		🟡
-3.0	-109 CZ	52%	CHI @ SAC	SAC	Jonas Valanciunas	pts+reb+ast	u 27.5	-	-	-	-	-112/-118	-	-125/-109	-	0%	100%	83%	16,27,12,26,8,5,13,8,6,18	29th		🟡
-3.2	-152 BR	60%	TOR @ GS	TOR	Immanuel Quickley	ast	o 4.5	-	-	-	-	-177/132	-152/114	-160/116	-	28%	80%	63%	5,4,4,5,6,7,8,7,9,9	11th	16th	🟡
-3.2	-114 BR	53%	TOR @ GS	GS	Buddy Hield	reb	u 2.5	-	-	-	-	-	-117/-114	-109/-125	-	13%	30%	40%	2,0,6,5,2,3,3,5,3,3	19th	5th	🟡
-3.2	-114 BR	53%	MIL @ LAL	LAL	Gabe Vincent	reb	u 2.5	-	-	-	-	-	-117/-114	-109/-125	-	66%	80%	86%	2,0,2,3,1,1,2,2,4,0	24th	30th	🟡
-3.2	-121 CZ	55%	CHI @ SAC	CHI	Tre Jones	pts	u 11.5	-	-	-	-	-101/-131	-	-113/-121	-	0%	40%	82%	10,11,9,20,15,8,19,18,12,15	17th		🟡
-3.2	-121 CZ	55%	CHI @ SAC	CHI	Coby White	pts+reb+ast	u 31.5	-	-	-	-	-101/-131	-	-113/-121	-	98%	10%	58%	34,33,35,41,41,44,38,38,8,37	15th	8th	🟡
-3.3	-117 CZ	54%	MIL @ LAL	LAL	Gabe Vincent	pts	o 14.5	-	-	-	-	-121/-110	-132/100	-117/-117	-	22%	20%	6%	11,12,9,6,4,6,8,15,20,3	13th	30th	🟡
-3.5	-112 BR	53%	TOR @ GS	TOR	Scottie Barnes	pts	o 17.5	-	-	-	-	-125/-106	-112/-120	-117/-117	-	32%	30%	58%	16,16,29,22,13,15,18,9,9,5	8th	9th	🟡
-3.5	-121 CZ	55%	CHI @ SAC	SAC	Trey Lyles	pts+reb+ast	u 14.5	-	-	-	-	-102/-130	-	-113/-121	-	61%	70%	70%	5,14,25,31,15,4,4,12,3,6	29th	27th	🟡
-3.5	100 BR	50%	CHI @ SAC	SAC	Jonas Valanciunas	pts	u 13.5	-	-	-	-	-	-132/100	-125/-109	-	0%	90%	75%	8,12,6,18,4,2,6,4,2,12	29th		🟡
-3.6	-148 CZ	60%	TOR @ GS	TOR	Jamal Shead	ast	u 4.5	-	-	-	-	120/-160	-	108/-148	-	0%	40%	59%	6,4,6,6,3,8,4,9,5,3	11th		🟡
