	FPTS	TEAM	PLAYER	PTS	REB	AST	STL	BLK	TO
C1	66.7	DEN	Nikola Jokic	27.02	12.53	10.31	1.75	0.6	1.62
C2	56.3	SA	Victor Wembanyama	23.09	11.8	2.74	1.1	3.31	1.81
G1	54.0	OKC	Shai Gilgeous Alexander	31.4	4.92	5.65	1.88	0.97	1.82
G2	53.9	LAL	Luka Doncic	29.29	8.29	8.09	-	-	-
F1	53.8	DAL	Anthony Davis	25.05	10.99	2.45	1.15	2.12	1.2
F2	49.5	SAC	Domantas Sabonis	17.97	13.88	6.09	0.66	0.47	1.81
G3	49.4	MIN	Anthony Edwards	29.12	5.92	5.61	1.14	0.55	2.11
G4	49.1	PHI	Tyrese Maxey	30.04	3.81	7.22	0.84	-	-
C3	48.8	NY	Karl Anthony Towns	21.94	12.54	3.09	0.86	0.66	1.16
G5	48.3	DET	Cade Cunningham	26.62	5.29	9.15	-	-	-
G6	47.9	LAC	James Harden	21.9	5.0	9.26	1.62	0.59	2.05
F3	46.5	BOS	Jayson Tatum	24.01	7.62	6.04	0.97	0.4	2.12
F4	45.6	TOR	Scottie Barnes	21.45	7.85	5.82	1.2	-	-
G7	44.7	ATL	Trae Young	24.96	3.21	8.94	1.2	0.21	2.68
F5	44.6	NO	Zion Williamson	23.27	6.49	5.06	1.09	0.82	1.72
G8	44.4	LAL	Austin Reaves	23.91	5.18	8.15	0.65	0.19	1.98
F6	44.0	LAL	Lebron James	21.0	7.39	7.97	-	-	-
G9	42.6	PHX	Devin Booker	25.56	3.92	6.15	0.97	0.19	1.57
C4	42.5	HOU	Alperen Sengun	17.19	9.79	4.21	1.27	0.55	1.16
G10	42.3	NY	Jalen Brunson	25.7	2.94	6.78	1.12	0.11	1.68
F7	42.2	MEM	Jaren Jackson	22.95	6.3	2.49	1.0	1.55	1.57
F8	42.1	OKC	Jaylin Williams	21.29	4.56	4.69	1.95	0.81	1.37
G11	41.9	GS	Stephen Curry	24.94	4.5	5.02	1.02	0.44	1.68
F9	41.7	ORL	Paolo Banchero	22.87	7.0	3.69	0.97	0.55	1.76
F10	41.4	HOU	Amen Thompson	14.68	8.45	4.41	1.78	1.12	1.27
G12	41.4	NO	Trey Murphy	22.48	5.17	4.05	1.27	0.8	1.1
C5	40.8	LAC	Ivica Zubac	13.71	11.0	2.4	1.08	1.51	0.74
F11	40.7	ORL	Franz Wagner	24.36	5.16	3.48	1.18	0.35	1.22
C6	40.2	MIN	Rudy Gobert	12.43	11.63	2.14	0.85	1.79	0.75
G13	40.2	CLE	Darius Garland	22.5	2.05	7.25	1.26	-	-
F12	40.1	OKC	Jalen Williams	20.27	4.8	4.89	1.69	0.54	1.37
C7	40.1	CHI	Nikola Vucevic	17.46	9.97	2.85	0.99	0.49	1.02
G14	40.1	MIA	Tyler Herro	21.93	5.32	6.78	-	-	-
G15	40.0	NY	Josh Hart	13.6	9.33	6.14	1.18	0.22	0.96
G16	40.0	SAC	Malik Monk	20.09	4.12	6.48	1.16	0.72	1.62
C8	39.7	MIN	Naz Reid	18.19	6.7	2.91	1.1	1.58	0.94
G17	39.6	MEM	Ja Morant	20.99	4.19	7.21	1.2	0.23	2.8
G18	39.5	IND	Tyrese Haliburton	17.94	3.55	7.5	1.38	0.6	1.0
C9	39.4	OKC	Isaiah Hartenstein	11.53	11.1	4.02	1.02	1.06	1.07
G19	39.0	ATL	Dyson Daniels	14.61	6.17	3.95	2.8	0.64	1.15
F13	38.9	IND	Pascal Siakam	20.18	7.8	2.34	0.84	0.61	0.87
G20	38.6	DAL	Kyrie Irving	22.68	4.12	4.29	1.26	0.39	1.68
C10	38.4	BOS	Kristaps Porzingis	18.38	6.98	2.3	0.78	1.57	0.91
G21	38.2	DEN	Jamal Murray	19.74	3.83	5.96	1.28	0.38	1.17
G22	38.0	BOS	Jaylen Brown	20.62	5.45	4.65	0.96	0.21	1.27
C11	37.9	MIA	Bam Adebayo	16.87	9.64	4.38	-	-	-
F14	37.8	ATL	Onyeka Okongwu	13.74	9.93	2.0	1.29	1.1	0.97
C12	37.5	POR	Deandre Ayton	14.46	10.11	2.03	0.9	1.1	1.15
G23	37.1	WSH	Jordan Poole	21.5	3.43	4.42	1.35	0.5	1.7
C13	37.1	UTAH	Walker Kessler	9.94	10.88	1.29	0.89	2.38	0.91
F15	36.8	CLE	Evan Mobley	17.7	9.82	2.92	-	-	-
F16	36.1	LAC	Kawhi Leonard	18.83	5.43	2.89	1.23	0.72	1.11
G24	36.1	CHI	Josh Giddey	13.21	7.23	5.58	1.19	0.53	1.5
G25	36.0	NO	Cj Mccollum	20.75	3.74	4.48	0.86	0.54	1.24
C14	35.4	DAL	Daniel Gafford	11.71	8.24	1.84	0.6	2.54	0.86
G26	35.1	LAC	Norman Powell	21.75	3.52	2.51	1.56	0.23	1.06
G27	34.5	HOU	Jalen Green	21.96	3.86	3.22	0.97	0.23	1.66
F17	34.3	MIN	Jaden Mcdaniels	13.94	6.42	2.26	1.71	1.02	0.92
F18	34.1	SAC	Demar Derozan	20.28	3.73	3.57	0.74	0.45	0.66
G28	32.7	MEM	Desmond Bane	16.09	4.48	4.93	1.02	0.31	1.5
G29	31.8	WSH	Bilal Coulibaly	13.87	5.28	2.7	1.65	0.83	1.43
F19	31.8	DEN	Michael Porter	18.33	6.08	1.28	0.55	0.54	0.88
