	FPTS	TEAM	PLAYER	PTS	REB	AST	STL	BLK	TO
C1	66.7	DEN	Nikola Jokic	27.02	12.53	10.31	1.75	0.6	1.62
C2	56.3	SA	Victor Wembanyama	23.09	11.8	2.74	1.1	3.31	1.81
C3	48.8	NY	Karl Anthony Towns	21.94	12.54	3.09	0.86	0.66	1.16
C4	42.5	HOU	Alperen Sengun	17.19	9.79	4.21	1.27	0.55	1.16
C5	40.8	LAC	Ivica Zubac	13.71	11.0	2.4	1.08	1.51	0.74
C6	40.2	MIN	Rudy Gobert	12.43	11.63	2.14	0.85	1.79	0.75
C7	40.1	CHI	Nikola Vucevic	17.46	9.97	2.85	0.99	0.49	1.02
C8	39.7	MIN	Naz Reid	18.19	6.7	2.91	1.1	1.58	0.94
C9	39.4	OKC	Isaiah Hartenstein	11.53	11.1	4.02	1.02	1.06	1.07
C10	38.4	BOS	Kristaps Porzingis	18.38	6.98	2.3	0.78	1.57	0.91
C11	37.9	MIA	Bam Adebayo	16.87	9.64	4.38	-	-	-
C12	37.5	POR	Deandre Ayton	14.46	10.11	2.03	0.9	1.1	1.15
C13	37.1	UTAH	Walker Kessler	9.94	10.88	1.29	0.89	2.38	0.91
C14	35.4	DAL	Daniel Gafford	11.71	8.24	1.84	0.6	2.54	0.86
C15	31.0	DET	Jalen Duren	11.88	10.55	-	-	1.1	-
C16	28.0	CLE	Jarrett Allen	13.17	9.92	-	-	-	-
C17	28.0	PHX	Nick Richards	8.89	8.83	1.09	0.46	1.17	0.69
C18	27.8	IND	Thomas Bryant	10.68	7.45	0.88	0.69	1.08	0.63
C19	27.4	BKN	Nic Claxton	11.02	8.15	-	-	1.4	-
C20	27.1	MEM	Zach Edey	8.96	8.12	1.05	0.56	1.19	0.83
C21	26.5	NO	Yves Missi	6.94	7.72	1.82	0.52	1.44	0.66
C22	26.3	MIA	Kelel Ware	12.78	9.02	-	-	-	-
C23	24.8	ORL	Wendell Carter	8.24	7.13	1.88	0.79	0.42	0.62
C24	24.5	ORL	Goga Bitadze	6.36	7.17	1.79	0.62	1.14	0.63
C25	20.1	BOS	Al Horford	6.65	5.03	1.87	0.55	0.66	0.52
C26	14.2	HOU	Steven Adams	2.92	4.89	1.2	0.34	0.56	0.54
C27	10.6	DET	Isaiah Stewart	3.11	4.98	-	-	-	-
