	FPTS	TEAM	PLAYER	PTS	REB	AST	STL	BLK	TO
F1	53.8	DAL	Anthony Davis	25.05	10.99	2.45	1.15	2.12	1.2
F2	49.5	SAC	Domantas Sabonis	17.97	13.88	6.09	0.66	0.47	1.81
F3	46.5	BOS	Jayson Tatum	24.01	7.62	6.04	0.97	0.4	2.12
F4	45.6	TOR	Scottie Barnes	21.45	7.85	5.82	1.2	-	-
F5	44.6	NO	Zion Williamson	23.27	6.49	5.06	1.09	0.82	1.72
F6	44.0	LAL	Lebron James	21.0	7.39	7.97	-	-	-
F7	42.2	MEM	Jaren Jackson	22.95	6.3	2.49	1.0	1.55	1.57
F8	42.1	OKC	Jaylin Williams	21.29	4.56	4.69	1.95	0.81	1.37
F9	41.7	ORL	Paolo Banchero	22.87	7.0	3.69	0.97	0.55	1.76
F10	41.4	HOU	Amen Thompson	14.68	8.45	4.41	1.78	1.12	1.27
F11	40.7	ORL	Franz Wagner	24.36	5.16	3.48	1.18	0.35	1.22
F12	40.1	OKC	Jalen Williams	20.27	4.8	4.89	1.69	0.54	1.37
F13	38.9	IND	Pascal Siakam	20.18	7.8	2.34	0.84	0.61	0.87
F14	37.8	ATL	Onyeka Okongwu	13.74	9.93	2.0	1.29	1.1	0.97
F15	36.8	CLE	Evan Mobley	17.7	9.82	2.92	-	-	-
F16	36.1	LAC	Kawhi Leonard	18.83	5.43	2.89	1.23	0.72	1.11
F17	34.3	MIN	Jaden Mcdaniels	13.94	6.42	2.26	1.71	1.02	0.92
F18	34.1	SAC	Demar Derozan	20.28	3.73	3.57	0.74	0.45	0.66
F19	31.8	DEN	Michael Porter	18.33	6.08	1.28	0.55	0.54	0.88
F20	31.8	LAL	Rui Hachimura	17.58	5.58	1.8	0.83	0.49	0.83
F21	31.3	UTAH	John Collins	16.04	7.62	1.01	0.67	0.62	1.53
F22	31.0	DAL	Pj Washington	12.9	6.7	1.95	1.17	0.92	1.19
F23	30.8	HOU	Tari Eason	11.38	6.78	1.52	1.46	1.09	0.69
F24	30.7	PHX	Kevin Durant	17.81	3.79	3.26	0.58	0.74	1.68
F25	30.5	NY	Precious Achiuwa	9.44	8.37	1.56	1.21	1.04	0.63
F26	30.4	GS	Draymond Green	8.2	6.22	4.84	1.11	1.16	1.17
F27	29.5	WSH	Alexandre Sarr	12.32	7.67	1.29	0.59	1.01	1.07
F28	29.0	SAC	Keegan Murray	12.09	6.18	1.24	0.99	1.11	0.55
F29	28.6	POR	Toumani Camara	10.17	6.32	2.17	1.37	0.81	0.85
F30	28.5	UTAH	Lauri Markkanen	17.86	5.28	0.66	0.62	0.28	0.96
F31	28.2	GS	Andrew Wiggins	19.2	3.73	-	1.15	-	-
F32	28.2	NY	Mikal Bridges	16.25	2.86	3.05	0.88	0.42	0.78
F33	26.7	POR	Jerami Grant	13.31	3.35	2.43	0.87	0.96	0.78
F34	25.8	ATL	Deandre Hunter	19.37	4.31	-	-	-	-
F35	24.6	POR	Deni Avdija	10.16	5.44	3.36	0.55	0.34	1.43
F36	24.4	MIA	Nikola Jovic	11.6	4.97	3.54	-	-	-
F37	24.2	PHI	Guerschon Yabusele	13.0	7.48	-	-	-	-
F38	24.1	DEN	Aaron Gordon	11.76	5.3	2.93	-	-	-
F39	24.0	ATL	Zaccharie Risacher	12.76	3.94	1.29	0.94	0.43	0.72
F40	23.5	SA	Jeremy Sochan	8.09	6.29	1.82	0.78	0.51	0.67
F41	22.7	LAL	Dorian Finney Smith	9.9	5.02	1.85	0.88	0.25	0.87
F42	22.7	LAC	Derrick Jones	10.26	3.72	1.21	1.39	0.47	0.58
F43	22.0	HOU	Dillon Brooks	12.55	3.24	1.35	0.91	0.19	0.68
F44	21.8	DET	Tobias Harris	13.32	5.67	-	-	-	-
F45	21.5	IND	Obi Toppin	10.22	4.89	1.21	0.51	0.39	0.6
F46	21.4	HOU	Cam Whitmore	10.86	3.57	1.24	0.98	0.41	0.78
F47	19.9	DET	Ausar Thompson	8.81	4.9	-	1.26	-	-
F48	19.5	BKN	Ziaire Williams	11.37	5.44	-	-	-	-
F49	18.5	SA	Harrison Barnes	9.14	3.6	1.5	0.55	0.18	0.43
F50	18.4	CHI	Matas Buzelis	10.86	5.01	-	-	-	-
F51	18.0	MEM	Jaylen Wells	9.32	3.06	1.51	0.68	0.13	0.6
F52	17.9	TOR	Kelly Olynyk	9.76	5.46	-	-	-	-
F53	17.7	DAL	Naji Marshall	7.05	3.2	2.36	0.8	0.19	0.65
F54	17.6	SA	Keldon Johnson	8.92	3.87	0.9	0.43	0.24	0.54
F55	17.4	PHX	Royce Oneale	9.45	5.28	-	-	-	-
F56	16.6	ORL	Jonathan Isaac	3.91	4.75	0.56	0.67	1.02	0.31
F57	15.9	IND	Aaron Nesmith	7.06	3.33	1.1	0.53	0.39	0.57
F58	15.4	CHI	Patrick Williams	9.53	3.89	-	-	-	-
F59	14.9	BKN	Jalen Wilson	9.71	3.46	-	-	-	-
F60	14.6	ATL	Larry Nance	7.12	4.96	-	-	-	-
F61	14.4	CHI	Jalen Smith	8.36	4.03	-	-	-	-
F62	13.2	OKC	Chet Holmgren	6.76	4.27	-	-	-	-
F63	12.9	PHX	Ryan Dunn	6.86	4.0	-	-	-	-
F64	12.8	WSH	Corey Kispert	12.77	-	-	-	-	-
F65	12.7	SA	Julian Champagnie	4.24	2.82	1.17	0.65	0.38	0.6
F66	11.8	BOS	Sam Hauser	5.04	2.56	0.9	0.48	0.14	0.32
F67	11.2	SAC	Trey Lyles	3.53	2.96	0.73	0.52	0.3	0.31
F68	9.9	MIA	Duncan Robinson	9.93	-	-	-	-	-
F69	9.6	DET	Tim Hardaway	9.61	-	-	-	-	-
F70	9.3	DEN	Zeke Nnaji	4.86	2.98	-	-	-	-
F71	8.9	CLE	Georges Niang	5.55	2.26	-	-	-	-
