	FPTS	TEAM	PLAYER	PTS	REB	AST	STL	BLK	TO
G1	49.7	OKC	Shai Gilgeous Alexander	27.87	4.28	5.99	1.79	0.88	1.53
G2	49.5	LAC	James Harden	23.04	5.54	9.06	1.63	0.59	2.09
G3	48.9	DET	Cade Cunningham	25.73	5.91	8.52	0.91	0.47	2.63
G4	46.6	ATL	Trae Young	24.63	3.0	10.86	1.09	0.2	2.73
G5	45.6	MIA	Tyler Herro	25.26	5.47	6.66	1.11	0.18	1.73
G6	44.3	PHI	Tyrese Maxey	27.48	3.13	5.91	1.21	0.43	1.61
G7	43.9	NY	Josh Hart	15.14	10.56	6.17	1.27	0.35	1.24
G8	43.9	NY	Jalen Brunson	25.64	2.93	7.52	1.18	0.17	1.5
G9	43.2	IND	Tyrese Haliburton	18.61	3.55	8.97	1.57	0.77	1.2
G10	42.7	CHI	Josh Giddey	16.15	8.86	6.38	1.29	0.67	2.15
G11	39.7	TOR	Rj Barrett	20.6	6.64	4.84	0.87	0.22	1.42
G12	38.8	SAC	Malik Monk	18.64	3.54	6.3	1.13	1.08	1.22
G13	37.7	HOU	Jalen Green	22.59	4.6	4.47	0.71	0.32	1.63
G14	37.5	ATL	Dyson Daniels	13.42	5.64	4.3	2.9	0.54	1.11
G15	36.1	POR	Anfernee Simons	20.89	3.1	5.62	0.93	0.17	1.14
G16	35.4	WSH	Jordan Poole	20.08	3.41	4.65	1.2	0.4	1.59
G17	34.7	BOS	Derrick White	15.92	4.3	4.73	1.09	0.97	0.94
G18	34.1	UTAH	Keyonte George	19.18	3.42	5.52	0.89	0.2	1.78
G19	33.7	TOR	Immanuel Quickley	17.64	3.73	6.13	0.7	0.15	1.24
G20	33.2	CHI	Coby White	18.91	3.56	4.73	0.95	0.17	1.46
G21	31.5	UTAH	Jordan Clarkson	19.76	3.14	3.41	0.85	0.22	1.26
G22	30.9	UTAH	Isaiah Collier	11.39	3.78	8.17	0.97	0.21	2.0
G23	30.5	PHI	Kelly Oubre	14.64	6.18	1.47	1.2	0.53	0.84
G24	29.9	WSH	Bilal Coulibaly	12.84	5.18	3.63	1.14	0.54	1.15
G25	28.8	POR	Scoot Henderson	12.37	3.11	5.47	1.33	0.23	1.13
G26	27.5	SA	Chris Paul	8.85	3.44	6.59	1.26	0.23	0.86
G27	27.4	SA	Devin Vassell	14.81	3.29	2.18	1.16	0.56	0.74
G28	27.3	IND	Andrew Nembhard	10.82	3.24	4.95	1.58	0.18	1.06
G29	27.1	BOS	Payton Pritchard	12.93	3.75	3.68	0.93	0.29	0.65
G30	25.8	CHI	Lonzo Ball	10.11	4.18	3.47	1.36	0.45	1.25
G31	25.4	LAC	Kris Dunn	7.21	4.33	3.6	1.96	0.37	0.68
G32	25.2	IND	Bennedict Mathurin	13.6	4.4	1.93	0.6	0.39	0.88
G33	25.1	BOS	Jrue Holiday	9.68	3.79	3.54	1.32	0.39	0.74
G34	23.9	BKN	Keon Johnson	11.34	3.67	2.47	1.12	0.36	1.08
G35	23.6	TOR	Gradey Dick	13.24	3.9	1.54	0.92	0.15	0.96
G36	23.3	POR	Shaedon Sharpe	13.3	3.09	2.0	0.84	0.2	0.76
G37	23.2	CHI	Ayo Dosunmu	11.72	2.91	3.67	0.63	0.28	1.11
G38	22.7	TOR	Ochai Agbaji	10.11	4.17	1.61	0.92	0.6	0.62
G39	21.4	DET	Malik Beasley	13.51	2.79	1.24	0.83	-	0.65
G40	21.2	OKC	Aaron Wiggins	10.73	3.57	1.45	0.87	0.31	0.58
G41	20.1	OKC	Alex Caruso	5.36	3.02	2.98	1.48	0.62	0.58
G42	19.8	OKC	Luguentz Dort	8.12	3.44	1.49	1.13	0.48	0.53
G43	19.7	SA	Stephon Castle	10.2	2.9	2.3	0.76	0.21	1.18
G44	19.4	SAC	Keon Ellis	7.47	2.77	1.16	1.36	0.82	0.49
G45	17.5	NY	Miles Mcbride	8.14	2.44	1.97	0.78	0.29	0.47
G46	17.4	OKC	Cason Wallace	5.88	2.73	1.78	1.37	0.39	0.51
G47	16.4	TOR	Jakobe Walter	7.53	3.07	1.36	0.81	0.14	0.58
G48	16.0	LAC	Amir Coffey	8.84	2.48	1.05	0.61	0.17	0.49
G49	15.0	OKC	Isaiah Joe	6.81	2.48	1.44	0.73	0.17	0.43
G50	13.7	NY	Cameron Payne	6.57	1.28	2.45	0.46	0.2	0.49
G51	10.8	MIL	Damian Lillard	-	2.0	4.36	0.72	0.2	1.53
G52	6.5	HOU	Aaron Holiday	6.55	-	-	-	-	-
G53	5.3	MIL	Aj Green	-	1.5	0.8	0.6	0.16	0.44
G54	4.3	MIL	Gary Trent	-	1.14	0.71	0.56	0.1	0.43
G55	3.5	DEN	Christian Braun	-	2.72	-	-	-	0.62
G56	1.7	DEN	Jamal Murray	-	1.96	-	-	-	1.19
G57	1.7	DEN	Russell Westbrook	-	2.17	-	-	-	1.53
G58	1.1	DEN	Julian Strawther	-	1.0	-	-	-	0.44
