EV	EV Book	Imp	Game	Player	DK	CZ	ESPN
128.7	19000 DK	1%	MIA @ DAL	Dereck Lively	'+19000	6500	'+10000
111.1	17000 DK	1%	BKN @ DET	Jalen Duren	'+17000	6000	'+10000
86.4	15000 DK	1%	BKN @ DET	Nicolas Claxton	'+15000	6000	'+10000
74.1	14000 DK	1%	MIN @ IND	Rudy Gobert	'+14000	6000	'+10000
60.8	4000 DK	2%	SA @ SAC	Domantas Sabonis	'+4000	2400	'+2500
47.6	3000 DK	3%	BOS @ DEN	Aaron Gordon	'+3000	2000	'+2000
44.4	2500 DK	4%	MIA @ DAL	Jimmy Butler	'+2500	1600	'+1800
26.7	1800 DK	5%	SA @ SAC	Tre Jones	'+1800	1300	'+1500
20.9	1200 DK	8%	BOS @ DEN	Kentavious Caldwell Pope	'+1200	950	'+1000
20.0	800 DK	11%	BKN @ DET	Isaiah Stewart	'+800	600	'+700
18.5	1500 DK	6%	SA @ SAC	Jeremy Sochan	'+1500	1200	'+1300
16.7	1300 DK	7%	TOR @ PHX	Rj Barrett	'+1300	1100	'+1100
15.0	2200 DK	4%	CHI @ GS	Jonathan Kuminga	'+2200	1800	'+2000
14.3	900 DK	10%	MIA @ DAL	Pj Washington	'+900	750	'+800
13.0	1200 DK	8%	BOS @ DEN	Nikola Jokic	'+1200	1000	'+1100
11.6	1100 DK	8%	CHI @ GS	Brandin Podziemski	'+1100	950	'+1000
11.1	650 DK	13%	CHI @ GS	Alex Caruso	'+650	550	'+600
10.5	550 DK	15%	TOR @ PHX	Royce Oneale	'+550	475	'+500
10.5	950 DK	10%	CHI @ GS	Nikola Vucevic	'+950	800	'+900
8.6	850 DK	11%	CHI @ GS	Andrew Wiggins	'+850	750	'+800
7.7	1300 DK	7%	MIN @ IND	Andrew Nembhard	'+1300	1100	'+1300
6.6	8000 DK	1%	MIA @ DAL	Bam Adebayo	'+8000	5000	'+10000
5.3	900 DK	10%	TOR @ PHX	Bradley Beal	'+900	800	'+900
4.4	370 DK	21%	BKN @ DET	Lonnie Walker	'+370	350	-
4.3	1100 DK	8%	TOR @ PHX	Ochai Agbaji	'+1100	1000	'+1100
3.2	700 DK	12%	MIA @ DAL	Terry Rozier	'+700	650	'+700
3.2	700 DK	12%	CHI @ GS	Ayo Dosunmu	'+700	650	'+700
3.0	750 DK	12%	SA @ SAC	Zach Collins	'+750	700	'+750
2.4	2000 DK	5%	BKN @ DET	Ausar Thompson	'+2000	1900	'+2000
1.9	550 DK	15%	MIN @ IND	Aaron Nesmith	'+550	525	'+550
1.9	550 DK	15%	MIA @ DAL	Nikola Jovic	'+550	525	'+550
1.8	2800 DK	3%	TOR @ PHX	Jusuf Nurkic	'+2800	2500	'+3000
1.7	600 DK	14%	MIA @ DAL	Josh Green	'+600	575	'+600
0.0	1500 DK	6%	TOR @ PHX	Kelly Olynyk	'+1500	1500	'+1500
-0.5	450 DK	18%	TOR @ PHX	Gary Trent	'+450	430	'+475
-0.6	400 DK	20%	SA @ SAC	Kevin Huerter	'+400	380	'+425
-0.9	475 DK	17%	BKN @ DET	Dorian Finney Smith	'+475	460	'+500
-1.2	320 DK	24%	MIN @ IND	Mike Conley	'+320	310	'+340
-1.6	650 DK	13%	SA @ SAC	Harrison Barnes	'+650	625	'+700
-2.1	450 DK	18%	MIA @ DAL	Kyrie Irving	'+450	450	'+475
-2.5	475 DK	17%	SA @ SAC	Julian Champagnie	'+475	480	'+500
-3.2	650 DK	13%	BOS @ DEN	Jamal Murray	'+650	650	'+700
-3.7	1200 DK	8%	MIN @ IND	Pascal Siakam	'+1200	1200	'+1300
-4.0	500 DK	17%	MIN @ IND	Myles Turner	'+500	500	'+550
-4.8	900 DK	10%	BKN @ DET	Dennis Schroder	'+900	900	'+1000
-5.0	1800 DK	5%	CHI @ GS	Demar Derozan	'+1800	1800	'+2000
-6.7	600 DK	14%	BOS @ DEN	Kristaps Porzingis	'+600	600	'+700
-6.7	320 DK	24%	BKN @ DET	Mikal Bridges	'+320	340	'+360
-7.1	2500 DK	4%	MIN @ IND	Kyle Anderson	'+2500	2400	'+3000
-7.3	850 DK	11%	BOS @ DEN	Jrue Holiday	'+850	850	'+1000
-8.1	600 DK	14%	SA @ SAC	Deaaron Fox	'+600	625	'+700
-8.1	600 DK	14%	BKN @ DET	Cade Cunningham	'+600	625	'+700
-8.7	320 DK	24%	MIA @ DAL	Duncan Robinson	'+320	340	'+380
-9.5	425 DK	19%	BOS @ DEN	Michael Porter	'+425	460	'+500
-9.7	600 DK	14%	MIN @ IND	Jaden Mcdaniels	'+600	650	'+700
-9.9	475 DK	17%	BKN @ DET	Jaden Ivey	'+475	525	'+550
-10.7	425 DK	19%	BOS @ DEN	Jayson Tatum	'+425	475	'+500
-11.0	400 DK	20%	MIN @ IND	Tyrese Haliburton	'+400	450	'+475
-11.1	500 DK	17%	TOR @ PHX	Kevin Durant	'+500	550	'+600
