NAME	POS	AVG MIN	ML	A/H	TEAM	OPP	OPP RANK	PROP	LINE	SZN AVG	W-L Splits	A-H Splits	% OVER	L15 % OVER	L5 % OVER	LAST 10 GAMES ➡️	LAST YR % OVER	OVER	UNDER
Donte Divincenzo	SG	25	-105	A	GS	SAC	20th	3ptm	0.5	2.0	2.09 - 1.88	1.97 - 2.02	82%	67%	60%	0,1,1,0,2,2,4,4,1,0	85%	-230	'+185
Andrew Wiggins	SF	32	-105	A	GS	SAC	20th	3ptm	1.5	2.3	2.73 - 1.9	2.24 - 2.43	71%	53%	60%	2,1,3,2,1,3,2,2,1,0	60%	-165	'+135
Kevin Huerter	SG	29	-115	H	SAC	GS	8th	3ptm	1.5	2.6	2.63 - 2.59	2.12 - 3.1	71%	60%	20%	1,0,1,2,0,2,2,1,2,4	58%	-190	'+155
Jordan Poole	SG	29	-105	A	GS	SAC	20th	3ptm	1.5	2.5	2.72 - 2.3	2.34 - 2.72	69%	53%	40%	1,2,1,0,2,4,0,5,0,6	71%	-140	'+110
Trey Lyles	PF	16	-115	H	SAC	GS	19th	3ptm	0.5	1.2	1.42 - 0.85	0.9 - 1.46	67%	60%	60%	1,1,0,0,4,0,3,2,0,1	51%	-210	'+170
Caleb Martin	SF	29	'+165	A	MIA	NY	23rd	3ptm	0.5	1.2	1.33 - 1.0	1.18 - 1.18	64%	47%	80%	0,2,1,2,2,1,0,0,0,1	61%	-195	'+160
Kyle Lowry	PG	30	'+165	A	MIA	NY	27th	3ptm	1.5	1.9	1.89 - 1.96	1.88 - 1.97	58%	47%	40%	2,0,2,1,0,1,6,0,3,2	58%	-110	-120
Kevin Love	PF	19	'+165	A	MIA	NY	25th	3ptm	1.5	1.6	2.19 - 0.75	1.77 - 1.4	54%	53%	80%	5,2,2,0,4,1,0,2,2,1	0%	-150	'+120
Davion Mitchell	PG	18	-115	H	SAC	GS	29th	3ptm	0.5	0.8	0.88 - 0.75	0.9 - 0.75	52%	60%	100%	2,1,1,2,1,1,2,2,0,0	66%	-175	'+140
Stephen Curry	PG	35	-105	A	GS	SAC	24th	3ptm	4.5	4.8	5.0 - 4.64	4.67 - 5.04	52%	53%	60%	2,5,6,3,6,5,3,6,2,7	51%	-155	'+125
Julius Randle	PF	35	-195	H	NY	MIA	3rd	3ptm	2.5	2.8	3.0 - 2.41	3.2 - 2.32	50%	40%	40%	0,0,2,3,3,0,3,2,1,8	25%	'+100	-130
Rj Barrett	SG	33	-195	H	NY	MIA	27th	3ptm	1.5	1.6	1.61 - 1.65	1.55 - 1.71	50%	40%	40%	2,0,3,0,1,1,0,2,2,1	48%	-135	'+105
Keegan Murray	SF	29	-115	H	SAC	GS	24th	3ptm	2.5	2.5	2.8 - 2.14	2.51 - 2.52	46%	40%	20%	2,5,1,0,0,2,1,2,7,2	0%	-110	-120
Draymond Green	PF	31	-105	A	GS	SAC	14th	3ptm	0.5	0.5	0.63 - 0.44	0.49 - 0.6	44%	40%	60%	1,0,1,0,1,0,1,0,0,0	32%	'+105	-135
Max Strus	SG	28	'+165	A	MIA	NY	11th	3ptm	2.5	2.4	2.64 - 2.2	2.43 - 2.44	44%	33%	0%	2,0,2,1,2,7,1,0,3,4	58%	'+120	-150
Klay Thompson	SG	33	-105	A	GS	SAC	20th	3ptm	4.5	4.4	4.9 - 3.7	3.92 - 4.79	43%	73%	60%	5,4,3,5,5,6,5,5,7,5	30%	-105	-125
Harrison Barnes	SF	32	-115	H	SAC	GS	24th	3ptm	1.5	1.6	1.7 - 1.41	1.53 - 1.61	39%	27%	20%	0,1,3,0,1,5,1,0,1,1	52%	'+165	-205
Malik Monk	SG	22	-115	H	SAC	GS	8th	3ptm	2.5	1.8	2.16 - 1.36	2.26 - 1.4	34%	27%	20%	1,2,0,3,2,0,2,2,4,5	20%	'+140	-175
Gabe Vincent	PG	26	'+165	A	MIA	NY	27th	3ptm	2.5	1.8	2.1 - 1.36	1.86 - 1.69	31%	33%	60%	4,2,0,4,4,0,2,0,0,1	27%	'+120	-150
Domantas Sabonis	PF	34	-115	H	SAC	GS	19th	3ptm	0.5	0.4	0.41 - 0.31	0.24 - 0.5	31%	27%	0%	0,0,0,0,0,0,1,1,1,0	39%	'+190	-235
Jalen Brunson	PG	35	-195	H	NY	MIA	28th	3ptm	2.5	2.0	2.18 - 1.62	2.0 - 1.92	27%	33%	20%	2,5,0,1,1,1,7,1,2,1	15%	'+140	-175
Deaaron Fox	PG	33	-115	H	SAC	GS	29th	3ptm	2.5	1.7	1.63 - 1.88	1.95 - 1.54	21%	33%	80%	3,4,3,2,4,1,1,2,0,1	9%	'+100	-130
Jimmy Butler	SF	33	'+165	A	MIA	NY	23rd	3ptm	1.5	0.7	0.68 - 0.68	0.62 - 0.73	15%	33%	80%	3,3,4,2,0,0,0,1,0,1	17%	'+110	-140
