NAME	POS	AVG MIN	ML	A/H	TEAM	OPP	OPP RANK	PROP	LINE	SZN AVG	W-L Splits	A-H Splits	% OVER	L15 % OVER	L5 % OVER	LAST 10 GAMES ➡️	LAST YR % OVER	OVER	UNDER
Jordan Poole	SG	29	-305	H	GS	LAL	12th	ast	2.5	4.4	4.54 - 4.19	4.2 - 4.56	78%	60%	40%	2,6,2,1,6,4,4,1,3,2	72%	-125	-105
Dennis Schroder	PG	29	'+255	A	LAL	GS	18th	ast	2.5	4.3	4.48 - 4.06	4.33 - 4.28	73%	73%	60%	3,3,5,1,1,3,3,4,2,4	0%	-135	'+105
Lebron James	SF	36	'+255	A	LAL	GS	6th	ast	5.5	6.6	6.68 - 6.48	6.24 - 6.97	67%	67%	60%	6,4,6,5,7,5,3,5,6,6	57%	-125	-105
Bam Adebayo	C	34	'+145	A	MIA	NY	8th	ast	2.5	3.3	3.15 - 3.55	3.6 - 3.07	64%	53%	40%	2,6,2,10,2,5,1,7,4,4	61%	-140	'+110
Dangelo Russell	PG	32	'+255	A	LAL	GS	18th	ast	5.5	6.1	5.85 - 6.5	6.31 - 5.98	61%	47%	40%	3,6,4,10,3,7,4,7,8,5	69%	'+100	-130
Donte Divincenzo	SG	25	-305	H	GS	LAL	12th	ast	2.5	3.4	3.61 - 3.2	3.53 - 3.35	58%	60%	20%	1,2,1,2,3,4,8,1,4,8	56%	'+110	-140
Julius Randle	PF	35	-170	H	NY	MIA	29th	ast	3.5	4.1	3.84 - 4.4	4.05 - 4.1	57%	53%	40%	3,8,6,1,3,1,4,1,3,4	68%	-140	'+110
Rj Barrett	SG	34	-170	H	NY	MIA	23rd	ast	2.5	2.8	2.56 - 3.14	2.56 - 3.08	52%	73%	80%	3,3,7,4,1,3,0,6,3,6	57%	-175	'+140
Kyle Lowry	PG	30	'+145	A	MIA	NY	9th	ast	4.5	4.9	4.89 - 4.93	4.71 - 5.13	49%	47%	60%	4,6,6,2,5,3,3,3,1,5	72%	'+135	-165
Anthony Davis	PF	34	'+255	A	LAL	GS	3rd	ast	2.5	2.6	2.71 - 2.52	2.52 - 2.72	48%	53%	20%	2,5,1,1,2,2,3,3,4,3	57%	-135	'+105
Jimmy Butler	SF	34	'+145	A	MIA	NY	26th	ast	5.5	5.3	5.93 - 4.55	5.26 - 5.42	45%	53%	20%	10,4,4,2,4,3,11,3,9,6	36%	-130	'+100
Austin Reaves	SG	29	'+255	A	LAL	GS	24th	ast	3.5	3.5	4.12 - 2.65	3.14 - 3.82	41%	67%	80%	4,3,8,6,6,2,4,4,3,6	20%	-115	-115
Jalen Brunson	PG	35	-170	H	NY	MIA	8th	ast	6.5	6.1	6.04 - 6.26	6.29 - 6.0	41%	33%	40%	11,2,7,4,6,6,6,2,8,9	24%	-105	-125
Stephen Curry	PG	35	-305	H	GS	LAL	23rd	ast	6.5	6.2	6.65 - 5.71	6.43 - 5.93	38%	27%	40%	14,3,6,5,8,4,3,6,2,7	40%	-140	'+110
Andrew Wiggins	SF	32	-305	H	GS	LAL	12th	ast	2.5	2.1	2.09 - 2.04	2.13 - 2.0	35%	33%	0%	1,0,2,0,0,3,3,0,1,4	35%	'+150	-185
Draymond Green	PF	31	-305	H	GS	LAL	18th	ast	7.5	6.9	7.2 - 6.62	6.72 - 7.14	32%	33%	40%	7,7,8,10,7,7,5,11,4,5	42%	'+120	-150
Gabe Vincent	PG	26	'+145	A	MIA	NY	9th	ast	3.5	2.7	2.98 - 2.35	2.71 - 2.7	28%	47%	100%	5,5,5,6,8,2,3,6,2,2	41%	-145	'+115
