NAME	POS	AVG MIN	ML	A/H	TEAM	OPP	OPP RANK	PROP	LINE	SZN AVG	W-L Splits	A-H Splits	% OVER	L15 % OVER	L5 % OVER	LAST 10 GAMES ➡️	LAST YR % OVER	OVER	UNDER
Derrick White	PG	28	-305	H	BOS	MIA	4th	blk	0.5	0.9	0.92 - 0.97	1.02 - 0.86	60%	53%	80%	2,2,2,0,1,1,0,1,0,0	49%	-205	'+165
Al Horford	C	30	-305	H	BOS	MIA	5th	blk	0.5	1.1	1.09 - 1.26	0.86 - 1.39	60%	67%	60%	1,0,2,0,3,1,1,5,0,2	74%	-235	'+190
Bam Adebayo	C	34	'+255	A	MIA	BOS	1st	blk	0.5	0.8	0.71 - 0.88	0.73 - 0.83	55%	53%	40%	0,1,0,0,1,1,0,1,1,0	49%	-110	-120
Jayson Tatum	SF	37	-305	H	BOS	MIA	1st	blk	0.5	0.8	0.84 - 0.63	0.91 - 0.62	53%	67%	40%	2,0,0,1,0,2,0,4,1,1	48%	-145	'+115
Caleb Martin	SF	29	'+255	A	MIA	BOS	6th	blk	0.5	0.4	0.32 - 0.53	0.45 - 0.36	35%	33%	60%	1,0,1,1,0,0,1,0,0,1	35%	'+130	-160
Grant Williams	PF	24	-305	H	BOS	MIA	9th	blk	0.5	0.4	0.43 - 0.33	0.43 - 0.36	32%	33%	40%	1,0,1,0,0,1,2,0,0,0	50%	'+170	-210
Jimmy Butler	SF	34	'+255	A	MIA	BOS	6th	blk	0.5	0.4	0.55 - 0.21	0.37 - 0.45	29%	47%	40%	1,0,2,0,0,2,2,2,0,1	39%	'+115	-145
Marcus Smart	PG	32	-305	H	BOS	MIA	4th	blk	0.5	0.4	0.29 - 0.5	0.37 - 0.35	29%	20%	40%	0,0,0,1,1,0,0,0,0,1	23%	'+195	-240
Jaylen Brown	SG	36	-305	H	BOS	MIA	9th	blk	0.5	0.4	0.4 - 0.34	0.42 - 0.34	25%	20%	20%	0,0,0,0,2,0,0,0,1,0	31%	'+210	-265
Kevin Love	PF	18	'+255	A	MIA	BOS	5th	blk	0.5	0.3	0.26 - 0.27	0.33 - 0.2	24%	27%	0%	0,0,0,0,0,0,0,0,0,0	0%	'+330	-440
Malcolm Brogdon	PG	26	-305	H	BOS	MIA	4th	blk	0.5	0.3	0.24 - 0.31	0.19 - 0.34	23%	13%	20%	0,0,2,0,0,0,0,0,0,1	30%	'+290	-380
Max Strus	SG	28	'+255	A	MIA	BOS	17th	blk	0.5	0.2	0.19 - 0.14	0.16 - 0.17	13%	20%	0%	0,0,0,0,0,0,1,1,0,0	21%	'+380	-520
Gabe Vincent	PG	26	'+255	A	MIA	BOS	30th	blk	0.5	0.1	0.06 - 0.11	0.05 - 0.11	8%	13%	40%	0,1,0,1,0,0,0,0,0,0	16%	'+500	-750
